Value	ISOCODE	UNSDCODE	NAME0	CIESINCODE	DATATYPE	DATACODE	DATAYEAR	DATALEVEL	SEXLEVEL	AGELEVEL	GRSTART	GREND	GRLEVEL	LASTCENSUS	MEANUNITKM
4	AFG	4	Afghanistan	4	Population estimate/projection	6	2011	2	2	0	1998	2011	1	1979	4507.466751
8	ALB	8	Albania	8	Final census	1	2011	3	1	1	2001	2011	3	2011	115.9498354
12	DZA	12	Algeria	12	Final census	1	2008	2	2	2	1998	2008	2	2008	50884.79488
16	ASM	16	American Samoa	16	Final census	1	2010	3	3	3	2000	2010	3	2010	7.612468451
20	AND	20	Andorra	20	Population register	5	2010	1	1	1	2000	2010	1	2011	79.90282249
24	AGO	24	Angola	24	Preliminary/provisional census	4	2014	2	2	0	2006	2014	1	2014	17505.19519
28	ATG	28	Antigua and Barbuda	28	Final census	1	2011	1	1	1	2001	2011	1	2011	82.24028143
31	AZE	31	Azerbaijan	31	Final census	1	2009	1	1	1	1999	2009	1	2009	1431.939755
32	ARG	32	Argentina	32	Final census	1	2010	2	2	2	2001	2010	2	2010	14167.92426
36	AUS	36	Australia	36	Final census	1	2011	5	5	5	2001	2011	4	2016	73230.76029
40	AUT	40	Austria	40	Population register	5	2012	4	4	4	2001	2012	4	2011	74.38597591
44	BHS	44	Bahamas	44	Final census	1	2010	1	1	1	2000	2010	1	2010	2425.904723
48	BHR	48	Bahrain	48	Final census	1	2010	1	1	0	2001	2010	1	2010	236.7749005
50	BGD	50	Bangladesh	50	Final census	1	2011	3	3	3	2001	2011	2	2011	389.9270283
51	ARM	51	Armenia	51	Final census	1	2011	3	3	3	2001	2011	2	2011	847.810558
52	BRB	52	Barbados	52	Final census	1	2010	1	1	1	2000	2010	1	2010	43.01802245
56	BEL	56	Belgium	56	Population register	5	2014	4	4	4	2002	2014	4	2011	78.83905686
60	BMU	60	Bermuda	60	Final census	1	2010	1	1	1	2000	2010	1	2010	8.192353031
64	BTN	64	Bhutan	64	Final census	1	2005	2	2	2	2005	2010	1	2005	598.6397641
68	BOL	68	Bolivia (Plurinational State of)	68	Final census	1	2012	3	3	3	2001	2012	3	2012	16539.95947
70	BIH	70	Bosnia and Herzegovina	70	Final census	1	2013	3	3	3	2003	2013	1	2013	563.6611079
72	BWA	72	Botswana	72	Final census	1	2011	2	2	0	2001	2011	2	2011	39354.19035
76	BRA	76	Brazil	76	Final census	1	2010	5	5	5	2000	2010	2	2010	1886.892649
84	BLZ	84	Belize	84	Final census	1	2010	1	1	1	2000	2010	1	2010	4184.486525
90	SLB	90	Solomon Islands	90	Final census	1	2009	4	4	4	1999	2009	1	2009	91.17955422
92	VGB	92	British Virgin Islands	92	Final census	1	2010	1	1	1	1991	2001	1	2010	38.95106104
