index,Area,Notes,Code,ISO3,LocCode,LocName,ParentLocCode,WorldCode,SubregionCode,SubregionName,SDGCode,SDGName,SDGCode2,SDGName2,RegionCode,RegionName
25,SUB-SAHARAN AFRICA,,947,,12,SDG region,1828,,,,,,,,,
26,Eastern Africa,,910,,3,Subregion,947,,,,,,,,,
27,Burundi,,108,BDI,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa
28,Comoros,,174,COM,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa
29,Djibouti,,262,DJI,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa
30,Eritrea,,232,ERI,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa
31,Ethiopia,,231,ETH,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa
32,Kenya,,404,KEN,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa
33,Madagascar,,450,MDG,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa
34,Malawi,,454,MWI,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa
35,Mauritius,1,480,MUS,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa
36,Mayotte,2,175,MYT,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa
37,Mozambique,,508,MOZ,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa
38,Réunion,2,638,REU,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa
39,Rwanda,,646,RWA,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa
40,Seychelles,,690,SYC,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa
41,Somalia,,706,SOM,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa
42,South Sudan,,728,SSD,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa
43,Uganda,,800,UGA,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa
44,United Republic of Tanzania,3,834,TZA,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa
45,Zambia,,894,ZMB,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa
46,Zimbabwe,,716,ZWE,4,Country/Area,910,   900,910,Eastern Africa,,,947,Sub-Saharan Africa,903,Africa
47,Middle Africa,,911,   ,3,Subregion,947,,,,,,,,,
48,Angola,,24,AGO,4,Country/Area,911,   900,911,Middle Africa,,,947,Sub-Saharan Africa,903,Africa
49,Cameroon,,120,CMR,4,Country/Area,911,   900,911,Middle Africa,,,947,Sub-Saharan Africa,903,Africa
50,Central African Republic,,140,CAF,4,Country/Area,911,   900,911,Middle Africa,,,947,Sub-Saharan Africa,903,Africa
51,Chad,,148,TCD,4,Country/Area,911,   900,911,Middle Africa,,,947,Sub-Saharan Africa,903,Africa
