"","lags","aic","dof"
"1",1,-22322.6925642943,6438
"2",2,-22359.7123103886,6434
"3",3,-22368.0106683417,6430
"4",4,-22393.3294699769,6426
"5",5,-22420.9851299058,6422
"6",6,-22430.5968682106,6418
"7",7,-22442.2028410279,6414
"8",8,-22455.4810931219,6410
"9",9,-22480.1786765684,6406
"10",10,-22523.318789035,6402
"11",11,-22541.5665073651,6398
"12",12,-22151.9690462809,6273
"13",13,-21798.1682486299,6150
"14",14,-21502.6924522821,6027
"15",15,-21179.8186453988,5904
"16",16,-20915.4130389473,5780
"17",17,-20599.5350145414,5656
"18",18,-20288.8165708939,5531
"19",19,-19998.8118910498,5406
"20",20,-19646.9782774011,5286
