"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15"
"1",1,0.00906060326603106,0.00798029370606684,0.010885417893413,0.0173196822172173,0.0199315741805074,0.0127410474292455,-0.00202176264721423,0.00134079266927546,-0.0106869009673911,-0.00643316510949397,-0.0108650471815919,-0.000848204074188937,0.00856169799605101,0.000225222081050635,-0.00412204155583267,0.00442497998254546
"2",2,0.00970742240402344,0.00873180755028124,0.0150460623421187,0.0190935100306876,0.0184400091032672,0.011995803126786,-0.000565537243643552,0.00340607695415496,-0.0110475520829498,-0.00815424097609244,-0.0142270349101207,-0.00165575177645873,0.00661898486365761,-0.000344631309219521,0.000629815687010204,0.00962292853118202
"3",3,0.0135395973726538,0.0083271372615319,0.0159507122247843,0.0179057081701944,0.0198646308619761,0.0146715232651631,0.00410837632635134,0.0100134427397796,-0.00847173624595946,-0.00602643275029062,-0.0140615647101817,-0.00269726761966782,0.00425645772027735,-0.00278592764182415,0.00197890243934313,0.0074797427989067
"4",4,0.0107766888177255,0.00932791288060502,0.0151052528085512,0.0175888873313823,0.0212733188866446,0.0115858970540072,-0.00278303774152199,0.00575136002277379,-0.0089195805259297,-0.00152467976992942,-0.0088876350867291,0.00377496867171856,0.00917572327059986,-0.00115747579215077,-0.0011356374529404,0.00715211589935983
"5",5,0.0078643541514111,0.00643635343948747,0.00971149339192161,0.0116806250457055,0.0179173230496666,0.00966034274045196,0.00275743724115643,0.00714008884082009,-0.00923923563447068,-0.00248657275920357,-0.0147469061525714,-0.00110118965983554,0.000824585260841601,-0.00623559981994879,-0.00193408944758098,0.00306170340719774
"6",6,0.012377164453428,0.0110671446235427,0.0121741545116097,0.0181865402973928,0.0167895063788611,0.0128359603233334,0.00259261797908211,0.00548436559973092,-0.0076828473223336,-0.00557240724783782,-0.0120159405541079,-0.0038254041652236,0.00299077555566231,-0.00296854113056765,0.000631056013730244,0.00482880644314821
"7",7,0.00959844364054617,0.00323626250059109,0.0138964361767277,0.0155191323197832,0.0150956225365199,0.0125821900977682,0.000519279855035198,0.00910212700786131,-0.0081479949988291,0.00195828168327267,-0.0102429613013598,-0.00299681483466181,0.00584566020085282,-0.000740771273350694,0.000374001833315102,0.00497815314984927
"8",8,0.00912890798817958,0.00620061854638003,0.0122048407717337,0.0153023787684274,0.0208885859845286,0.0161483620826231,0.004673990879337,0.00718885559789245,-0.0136983804588454,-0.00360174889672702,-0.0141165034892674,-0.00604984193760969,0.00149120111759299,-0.00314118700562389,0.00132611713808583,0.00512209014489764
"9",9,0.00614480770077182,0.000446175343373605,0.0053447871157739,0.00616794974353913,0.0140972430925576,0.011385385577876,0.00149852592818304,0.00451007574194301,-0.00896055136622514,-0.00842966732476854,-0.0199489674860027,-0.0106138191310214,-0.00119480470507768,-0.00576405454488699,-0.00429514667839232,0.00458275690597919
"10",10,0.0122274267369895,0.011642389613867,0.0137459362084573,0.018347690449322,0.0171121026229157,0.0122833813107107,0.00359398934316959,0.0061356095506052,-0.00336357376373899,-0.00145660251007263,-0.00282264345266621,0.00343713999653124,0.00817637456575438,0.00290205984836751,-4.19737605283412e-05,0.00495515685878251
