"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16","coef_lag17","coef_lag18"
"1",1,0.0132932969125501,0.0204443249094987,0.023463709661329,0.0364609879087529,0.035230478645832,0.0325223158851956,0.0190812473205189,0.0172590931447149,0.00288195921711613,-0.00267053513565867,-0.00412472426045652,-0.000389385255216257,0.0126951217325418,0.0183694456566941,0.017914174221951,0.0264332653053032,0.0121707197357893,0.0209830210889765,0.00813507095488237
"2",2,0.0125572032231017,0.0178206633679772,0.0277531889478237,0.0340595555598545,0.0321893250353608,0.0278680338281963,0.0149937681632487,0.0128000195324525,-0.00117996262236347,-0.00370955675554915,-0.0127670969549539,0.000142385388030605,0.012365378290069,0.01629853501878,0.0168058536269474,0.0251468030552462,0.0134298689255089,0.0126710232208506,0.000482993902548978
"3",3,0.0193304392859933,0.0181548596607873,0.0272292700118621,0.0346963860494294,0.0368086564120592,0.0319484538597579,0.020143002014975,0.0216988454554501,-0.000796463347995988,-0.00668704595972898,-0.0123395809887253,-0.000608830688719498,0.0119829604849765,0.0154256388842934,0.020108657535189,0.0264417250995598,0.00728721104108064,0.0169961555965587,0.000792357448172974
"4",4,0.0170461090611043,0.0215283447840816,0.0305478281591254,0.0360698813476829,0.0394219820296314,0.0306131295609253,0.0150315325088948,0.0161459774780589,-4.84714152158696e-05,-0.000399903307614314,-0.0064946334467926,0.0063491817395617,0.0182959199341211,0.0196308354623436,0.019436872332972,0.0257397049831283,0.0115872564354385,0.0145547820758148,-0.000925707722951878
"5",5,0.0108520911829048,0.0119153896816786,0.0166033480966169,0.0189445165353184,0.0244740581303622,0.021141363013885,0.0125954158690176,0.0163703086781364,0.00101821477230101,-0.00189889713420986,-0.0131167120210256,-0.00546665266742469,0.00521070898950855,0.00406788554836177,0.00691226868998196,0.01326650690858,0.00807980510939803,0.00768053440410456,-0.00184726382600209
"6",6,0.0168256727763563,0.022087935279317,0.0246577572140442,0.0333933545193966,0.0315917580628658,0.0293486885445707,0.017623360021735,0.0164823304767521,0.00290806517019976,-0.00564590531969243,-0.00801524049703429,-0.00225774595191346,0.0106884409334562,0.0128863218461483,0.0168875805003064,0.0243133172654056,0.0103679968208874,0.012759947505509,0.00366351118374472
"7",7,0.0151923553444392,0.0147669411697956,0.0246560528595707,0.0353101570900036,0.0338627729733908,0.0324520666426883,0.0195219900762141,0.023924175956761,0.00128826424222936,0.00189788384815911,-0.00741737421259231,-0.0011881814480086,0.0125534140511813,0.0181033125070447,0.0226232945788677,0.0274681074849994,0.00995605743490756,0.0225817832551257,0.00425413256012784
"8",8,0.0135349066784721,0.0169182599252794,0.0225679879918927,0.0308836844572551,0.0346729744128437,0.0313599551320158,0.0186486299108854,0.0180533745139825,-0.00506329755757376,-0.000837598148810919,-0.00965572370943278,-0.00359442956858668,0.00689333304107506,0.010765508826433,0.0181092239449908,0.0221478963178728,0.00739848099578375,0.0162771945064739,0.00392815700106281
"9",9,0.0104449437317064,0.010980363916816,0.0147860813319423,0.0182608309521609,0.022828319825782,0.0224377428919758,0.0113953619378646,0.0135690065440993,-0.00258914077996897,-0.00716747910290074,-0.0132858421860996,-0.00858353516404593,0.0019651896820897,0.00370836268134507,0.0103927328476288,0.0179423916842727,0.0028859518876084,0.00835073853073486,0.00585662982430891
"10",10,0.0178381435980574,0.0189694745721404,0.0220732835422593,0.0298329317729709,0.0260535185842328,0.0266047405713614,0.0201958504083957,0.0193932711157622,0.00512730848513093,0.00308021204574384,0.00322853929676366,8.03476126606763e-05,0.00627874249274815,0.0159773084593361,0.0176033154293612,0.0177819269893634,0.00496535465212219,0.0207122911182505,0.00674337246186931
