"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16","coef_lag17","coef_lag18","coef_lag19"
"1",1,0.0122526814107812,0.0107328407804765,-0.00713635845512137,-0.000579698204423668,-0.00135601628569642,-0.0153133784767258,-0.00553332186423959,-0.00385200762651213,-0.0104537009850668,-0.022580248618305,-0.0171637813480696,-0.00591317523875764,-0.00779682652515635,-0.00593480406327859,-0.00186668660490521,0.0273292628098517,0.0262180393755456,0.000815767202955402,-0.0039348824905471,-0.00728086374977498
"2",2,0.00781000290642728,0.0128587145243927,-0.00783564697886248,0.00396286506283166,-0.000348125110884387,-0.0131001763890562,-0.00467599989641513,-0.00201441862582432,-0.0121334424426878,-0.0244144629676197,-0.0153227040793801,-0.00167997881349669,-0.00427846956077741,-0.00482679935345724,-0.00200802037107554,0.0266643627560446,0.0197468826026259,0.000217405888457797,-0.00102786982769573,-0.00549335130840966
"3",3,0.00682408991506454,0.0141514518734034,-0.0116203323945674,0.00291701100239745,-0.000534914186287748,-0.00908225362412724,-0.00492959358679543,-0.00114923574159179,-0.0146599883689663,-0.0202376811537347,-0.0166169911164912,-0.00477522753682843,-0.00943272331154194,1.10570132175821e-05,-0.00412161788734523,0.0251264449616285,0.0212228249096248,-0.00240677493495616,-0.0056103966578733,-0.00609638853921066
"4",4,0.00997590057607645,0.0100232287871894,-0.013648529802132,-0.000948067000904934,-0.00468754908076133,-0.0190912159108549,-0.00385723669868419,-0.00435855323331216,-0.0118514481445229,-0.0253038091581722,-0.0142313555268612,-0.007036661665835,-0.00719921779087996,-0.00253496369547973,-0.000332638087925722,0.0319136597653702,0.0231420637127176,-0.000104578640101802,-0.000908900044259371,-0.0123603355589468
"5",5,0.0145803875841379,0.00586472909595153,-0.0043224660608702,0.00525072430266893,0.0018849012660996,-0.00929219964480505,0.00692676942252063,0.000211629948737722,-0.00333560844495174,-0.0204243682511339,-0.00984401822062083,-0.00452255861814873,-0.0128135496150135,-0.000929916441014314,-0.0035414323084269,0.0220916790523237,0.0220115079871976,-0.000687829904884754,0.00195040696512657,-0.00810135745852413
"6",6,0.0114536523913791,0.00927292404072622,-0.00562928719712492,-0.000952596036757422,-0.00166886586603862,-0.0111228852104088,-0.00146840497592334,-0.00545487357067029,-0.00937104827799571,-0.0173250995558356,-0.0154394801728467,-0.00635421629755605,-0.00995725022569895,0.00105822303903389,-0.00151067291466111,0.0226596999020473,0.0204579493032449,0.00250771148334723,-0.000134454719328657,-0.00836412770625997
"7",7,0.00860665312359337,0.0124854200067308,-0.0109973015351362,0.000613056739146615,-0.000687697862164419,-0.0139654446948452,-0.0016508559087671,-0.000224678077300543,-0.00989391299289524,-0.0255299495606188,-0.0177963679485518,-0.00513504018862371,-0.00677718464232105,-0.00709439435372799,-0.00156167391525893,0.0271900560677721,0.0240519772214068,-0.00159905278255785,-0.00573210054922101,-0.00772044608540896
"8",8,0.00916995582166601,0.00913883745648458,-0.00843067962606431,0.00169762479135349,0.000895527351259978,-0.0116640799080261,-0.00265383697382275,-0.00253073133520048,-0.00964288498905553,-0.0223726680835208,-0.015721428381324,-0.00601109814221485,-0.00718346590967815,-0.000116979272955706,-0.00378185762012556,0.0245117598070434,0.0224964078046213,0.00168503092407651,0.000364197246994941,-0.00837831822406456
"9",9,0.00779046968953592,0.00779667643828017,-0.00553448575739885,0.000301432259441135,0.0042138557930812,-0.0095447662137896,-0.00133207168312147,-0.00193310902246397,-0.00574992474372389,-0.0212921506721879,-0.0132914601012381,-0.00486207416807467,-0.00504924673623896,-0.000543195845478602,-0.00160170910531073,0.0192838855840877,0.0249663997180946,0.00366860255786757,0.000514224715071899,-0.00471932380617507
"10",10,0.0109679155744195,0.00783139757757837,-0.00898087216435849,0.000655126047976738,-0.000652145887353978,-0.0122238962235615,-0.00413454076105119,-0.00193815337476156,-0.00619054096004689,-0.0145216290585922,-0.0147288826115813,-0.00335021103129684,-0.00618058251453108,-0.00484611338982952,-0.0065530825735351,0.0223081966453014,0.0219805512080136,0.00238600999134102,-9.90098238884878e-05,-0.00525597590438179
