"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16","coef_lag17","coef_lag18","coef_lag19"
"1",1,0.014779483065588,0.0130905284048801,0.0276047561071353,0.0377149208647052,0.0415606116183964,0.0484903992295929,0.0414345759151017,0.0399394736566465,0.0209713511770518,0.0219496240321291,-0.000619101530041131,-0.0198495633524679,0.00123943303030671,0.0215837320653573,0.0344051387251132,0.0277235046400502,0.0402997688170995,0.059552815013487,0.0219761704044322,0.00873101680691281
"2",2,0.0145522271247631,0.0108046401611859,0.0323677930727135,0.0376400392362171,0.0398259012904736,0.04436529835831,0.0382880987606336,0.0355709699715219,0.0160910381185289,0.0203900656157988,-0.00677106978966419,-0.0187292228641586,0.00179557708243219,0.0213282239273761,0.0354628212497556,0.0272718383880223,0.0401859216960147,0.0526293982062974,0.0149243631124177,0.00673733431239317
"3",3,0.0202103647597456,0.0108849558326061,0.0309312941408377,0.0358563491962129,0.0435446138830492,0.0463273824863759,0.041906910598785,0.0437298885909332,0.01761306018622,0.0175095751817846,-0.00847044800848115,-0.0191832780283599,4.34499467085784e-05,0.0180229744207557,0.0353823608096194,0.027998626124523,0.0345282212824261,0.0547366875634384,0.0146158569529813,0.00700093248836881
"4",4,0.0197975931146222,0.01446562105371,0.0358615179283556,0.0375521114562643,0.0472661627419676,0.0489751671104221,0.0397812760426321,0.0428548952242954,0.0204432843896576,0.0285773756888518,-0.00315297329151461,-0.0148194410108397,0.00599331968726416,0.023217498504002,0.0391569278263397,0.0276059723569584,0.0434513404723712,0.0569871495269917,0.0150391855347833,0.00889850162230967
"5",5,0.0133825683895446,0.00427153242924635,0.023082549887201,0.0209993834268898,0.0324191391977612,0.0371559418076044,0.0352244426685955,0.0411675687765961,0.0207355261948737,0.0248332682780086,-0.00802678740390459,-0.0216254584170735,-0.00440500112837508,0.0061937763443396,0.0235979622030853,0.0165219926068984,0.0383590794230767,0.0469849438377842,0.0124129221297449,0.0144214402431058
"6",6,0.0187139819167403,0.0148626887006995,0.0296846198619113,0.0341013579345924,0.0377825800164444,0.0446275863019835,0.038785343510739,0.0394937079378707,0.0212954439498629,0.0191793092624351,-0.0047759356812524,-0.0191960931666418,0.000104939982152501,0.0140963574805298,0.0317970307748109,0.0264410547282162,0.0387448776999361,0.0496423779095775,0.0172563805082563,0.0133872524957263
"7",7,0.0154563598173872,0.00702338166233012,0.0274073081926542,0.034844308150655,0.0391437197651588,0.0482580226410965,0.0409340778108886,0.0454088414683377,0.0194696593349752,0.0255044263831632,-0.00640214593611052,-0.0219387561378709,0.00034259414828154,0.0201595626152939,0.036798347517505,0.0277182510250133,0.038370116409709,0.0597680911943631,0.0171797631031042,0.00906527464168186
"8",8,0.0154512771854544,0.00948532884000283,0.0274331878635998,0.0327152542530793,0.0427106674117301,0.0470320082667822,0.0403133254239801,0.0415561632347098,0.0137082026946281,0.0242799724932336,-0.00527043300849544,-0.0206681506622236,-0.00270683756674428,0.0123928530552233,0.0341224896257437,0.0247030763760977,0.0357428693361663,0.0541516396402211,0.0179710243399059,0.0116133150769203
"9",9,0.0118471790676459,0.00426143396292595,0.0187360642547849,0.0206211947979206,0.029409354569023,0.0363700025646191,0.0315950537976872,0.0340275253849616,0.0134547868496718,0.0142712824037519,-0.00824423074637292,-0.02448371482942,-0.00791476488112519,0.0061547775943723,0.02530040472697,0.0202046348891831,0.0268562595717502,0.0436555237903808,0.0190062358340591,0.00892415444224814
"10",10,0.018449843874169,0.0122442178966705,0.0262397939213573,0.0296464466490652,0.0305597969408708,0.0382140895610649,0.0368278429804064,0.0372576922603774,0.0206625105453173,0.0230097439898737,0.00538000176946353,-0.0128105426694616,-0.00161723281763799,0.0169999266462166,0.0276768587414225,0.0192487099179775,0.0291954608343434,0.0494797078640658,0.0162102726071844,0.0125052425500483
"11",11,0.0202972937835087,0.0162342000485453,0.0331906817034647,0.040114867139967,0.0392945546072689,0.0520068203262353,0.0457006256143485,0.0437689450860553,0.0188911087275777,0.0213985454220574,0.00250198660387159,-0.0163679727328588,0.00222165332718082,0.0207993241908602,0.0388272600467135,0.0296843423780212,0.035622129689692,0.0552005673396112,0.0200079184859602,0.0139359538049492
"12",12,0.0150524762540549,0.0114964552037498,0.0291177732214591,0.033019328328622,0.0415573982574544,0.0390574165461363,0.0364900126132433,0.0392711644021636,0.020432429543964,0.0197977792662571,-0.00192469452019319,-0.0148288401901309,0.00110848148189206,0.0123208107543786,0.0337343318383257,0.0303686447036791,0.0385480466806816,0.0508141640361756,0.0216361046576473,0.0137492482131842
"13",13,0.0173986430328538,0.005950148630056,0.0269239152580406,0.0238745749441946,0.0284066531091557,0.0402866377516537,0.0372438453922149,0.0373955059000793,0.0196390599730932,0.0277543642525044,-0.00607960138047221,-0.0239460036660142,-0.00420119809244224,0.014972331986382,0.0298394286725393,0.0155615862808287,0.0345148997439446,0.0472692968436237,0.00682030299195015,0.00757769343864485
"14",14,0.0177071612826585,0.0131338311053371,0.0319060063501509,0.0366538721524858,0.0430930363052305,0.0440443464487539,0.0388460516547373,0.0425439376052985,0.0206866400922547,0.0222159221654949,-0.000904032739816984,-0.0153731332531744,0.00243454069662154,0.015073824804548,0.029880863615735,0.0261910561369088,0.0382816994279924,0.0535721160518904,0.016267746491949,0.014166336564951
"15",15,0.0131125135925552,0.0110259842575573,0.0344666638958582,0.0358053426932848,0.0433486883894099,0.0416988051189163,0.0407709195826303,0.0406815052823946,0.0171742726535741,0.0208266102282716,-0.00700187472841379,-0.00971618468722326,0.00200371495486326,0.0116941955918229,0.0308742805085858,0.0312114645291469,0.0436832970193846,0.0520880159506738,0.021990898691154,0.019822350603396
"16",16,0.0172117881803079,0.00638783045830601,0.0256802741531234,0.0284081986862891,0.034030753662821,0.0405519647040491,0.0332237952648318,0.0397259118029985,0.0167459082176891,0.0203582952923372,-0.00595156988881092,-0.0240418362535617,-0.00157373680666384,0.0100257877156292,0.0269138747040171,0.0228016642460024,0.0342963558129903,0.0527914379100914,0.012168969910749,0.0137747376804233
"17",17,0.0193595569287086,0.0140870737780322,0.033257796450872,0.0337627704049375,0.0413843119866108,0.0435074250319177,0.0359179404379844,0.0405889334337276,0.0184033209084906,0.0237093165857624,-0.00247946822014056,-0.0105637998085791,0.00414678976563165,0.0151037076825599,0.0306277284274183,0.0249749735362659,0.0343784112573465,0.0432561103963499,0.0138694486169534,0.0147773934013063
"18",18,0.0195183411926762,0.0127770576479065,0.032040446569417,0.035171118581744,0.0394737541371627,0.0430810310932987,0.0356030998320678,0.0427072287214811,0.0159021203642429,0.0246378421304758,-0.00512795857263328,-0.0160416234561532,0.000606565988007819,0.0163248048641465,0.0374828307590142,0.0277493258750913,0.0366592685822658,0.0570620292219666,0.0157938544426694,0.0120162004726424
"19",19,0.0188547248748494,0.0128532083509813,0.0347761563787789,0.0386151604029465,0.0437919280227752,0.0514898237977077,0.0470421257792074,0.050220885909091,0.0246522842858474,0.0251739212622365,-0.00629700242104009,-0.0208227520320793,-0.00574494520287118,0.0151946753378403,0.0344074255967174,0.0310675996005618,0.0418886350002105,0.0601444997434546,0.0173929711525561,0.0159764336778244
"20",20,0.0195824722579902,0.0152965573635168,0.039737620132671,0.0399343440964283,0.049185097699878,0.0526126605386682,0.0462802271362227,0.0439293262646364,0.0196218515610543,0.0200824293746423,-0.0081901782817343,-0.0129387967187909,0.0062732148609945,0.0203373761520922,0.0355534696252951,0.0325414913205684,0.0496585408153109,0.0538540716656079,0.0159098757205566,0.0181682979397072
"21",21,0.0164670543456814,0.0110914543142761,0.0263279772435394,0.0345854764721755,0.0378292291969335,0.0489429856030665,0.0439036953904653,0.0429655095707452,0.0222634418339681,0.0212825753395875,-0.00522277718210546,-0.0264204487436367,-0.00299700205625154,0.0182813785933332,0.0360046679437244,0.0244148446236127,0.0388913853994525,0.055442882441081,0.0191940438371487,0.0056679722155614
"22",22,0.0150492113469066,0.0107862013528769,0.0304276105121988,0.0340819007872849,0.0393481301254414,0.0457263441090474,0.0375133213457329,0.0386752433235542,0.0138337447476886,0.0217526045396353,-0.00737400420719608,-0.0223935205502791,-0.00174569408852477,0.0147337054678043,0.0361344317274993,0.0247522255123131,0.0400616172170679,0.0541406094038389,0.0177872329955482,0.00786359310875067
"23",23,0.0181634907319819,0.00853180600884659,0.0317751939994254,0.0323737782225737,0.0363117299306289,0.0481634832721918,0.0448500100557924,0.0427577467564524,0.0161176390442765,0.0215863247369819,-0.00864989193776719,-0.0194681955686246,0.00177460770722069,0.0170378916044813,0.0330222177773306,0.023006861799358,0.0367895131907541,0.051667446988398,0.011472904982359,0.0131693523313148
