"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16","coef_lag17","coef_lag18","coef_lag19","coef_lag20"
"1",1,0.00604274358789835,0.016632651193331,0.0228392922409846,0.0326492060360883,0.0352236706952933,0.0331371962678158,0.00967850041271291,0.00969425496010315,-0.0045452262811579,-0.011622389817515,-0.0154840597885738,0.00451594796821499,0.0265853304053632,0.0205901859249,0.0131942555789108,0.0194547658073833,0.0212444684481236,NA,NA,-0.000893677425418681,NA
"2",2,0.00722161526014637,0.0153952280412492,0.0283073602784892,0.0338796994270484,0.0337501475886639,0.0301609614967842,0.0108467669583757,0.0106565392169423,-0.00536251737715976,-0.00890850052409622,-0.0167761354154932,0.00397871742539794,0.0229712080023483,0.0182332543593655,0.0185108968532928,0.0216593614773522,0.0226444034985944,NA,NA,-0.000683225576192318,NA
"3",3,0.0133152882535096,0.0168435340847047,0.0271479297682649,0.0331723315440155,0.0383879643796227,0.0322499285150898,0.013832878054147,0.0182915408394819,-0.00445200052149501,-0.0133046105449935,-0.0173181173776202,0.00631737488661833,0.0223331253236333,0.0153244845087807,0.0181668205883221,0.0245091618851531,0.0148382310867438,NA,NA,-0.000217986614999309,NA
"4",4,0.0130686058025547,0.0212733710603067,0.032168368180319,0.0349589057121496,0.0420184250594904,0.0331249481536116,0.0106659789010883,0.0163932224853534,-0.00220256691163749,-0.00386736569671379,-0.0121087161386385,0.0113534737734522,0.028735622566897,0.0193180601458168,0.021285627406971,0.0244373945352695,0.0221720769544571,NA,NA,0.00145825830866032,NA
"5",5,0.00682730132320989,0.0093659790390995,0.0189642449491219,0.0181765857235656,0.0273075263750744,0.0254963483346678,0.0111270206012139,0.0187772945681556,0.00250362956111037,-0.00158842746739608,-0.0154088069276036,-0.000592413577527422,0.0139800876127705,0.00361496106041884,0.00715428774360212,0.0135104781961278,0.021344327702531,NA,NA,0.00829497179092886,NA
"6",6,0.0109132703473739,0.0180305317478467,0.0251953065273119,0.0297137153973225,0.0317377924114366,0.0316883683178944,0.0120068425732789,0.0144101535481176,0.00110777673601358,-0.0084747202997995,-0.0162790991538017,0.000748609459101296,0.0209125885890218,0.0121414859332584,0.013289105427383,0.019678019780813,0.0232425179916761,NA,NA,0.00580125990204465,NA
"7",7,0.00794205821498319,0.0133841926746863,0.0232450184706336,0.032165588508007,0.0340742343204962,0.0334655183712931,0.00995635179038697,0.0171993484902353,-0.00456987196215102,-0.0081135496013092,-0.016362593119946,0.00652108695713153,0.0255307909817245,0.0181623524743476,0.0173225891067493,0.0239394689297,0.0170099744236011,NA,NA,0.00109032805941747,NA
"8",8,0.0111371749686589,0.0162806378295324,0.0265587080421483,0.0324010173921119,0.0410513664216911,0.0327765739865301,0.0130452367978928,0.0164180846358706,-0.0109161804659198,-0.00739299455782495,-0.0158032871198461,0.00686354123724358,0.0221238724484518,0.0125741623540228,0.0207726870585779,0.0222757777289803,0.0150093709971843,NA,NA,0.0032771671434711,NA
"9",9,0.00793618821089956,0.0080066225868059,0.0177053984774324,0.0184451493200605,0.0272727818173445,0.0231923454545551,0.00943210773281727,0.0117965373534318,-0.00777999638491006,-0.0120551144146359,-0.0210305550684391,-0.00642524589088263,0.0114140821573533,0.00629810890847197,0.0128935401011884,0.0150589008045667,0.0104206508274079,NA,NA,0.000540531798834276,NA
"10",10,0.0122772545467218,0.0166006188491434,0.022940329313211,0.0266773491051284,0.0263546909108931,0.0259750765876115,0.0116134954595998,0.0131542173465828,-0.00100474940989292,-0.00540351938700658,-0.00518668056764757,0.00952757174206064,0.0189329393929181,0.016724788170309,0.0119027633482628,0.0149230764866084,0.0114183681973194,NA,NA,0.00492082627908634,NA
"11",11,0.0259475681286631,0.025397101014721,0.0418124350826025,0.0415933808673714,0.0462005086434266,0.042584984986494,0.0229924018420116,0.02141493026071,-0.0196557666308513,-0.015479155980004,-0.00798200417111857,0.0181591152287093,0.0182365960385876,0.0289484120975793,0.0447653613403286,0.0381571639725743,NA,NA,NA,0.00308732418550083,-0.0277714754109041
"12",12,0.0113080590893126,0.0168462759744086,0.0288717448342062,0.0324218099161004,0.0409364316815951,0.0255871779727966,0.0105606567980056,0.0141744554675542,-0.00423491380426892,-0.0105517211713109,-0.0152270869301556,0.00965191822647327,0.0257357203305182,0.0142916096006659,0.0206229731197307,0.0264238122147651,0.0194220267332829,NA,NA,0.00457474789012685,NA
"13",13,0.0125615081048993,0.0130025336689189,0.0241905614374528,0.0228902135957359,0.0244364303780739,0.0282629971572056,0.0142213192176977,0.0178959854899404,0.00143184396437566,0.0012293216558805,-0.00941952636614968,0.00139111465727365,0.0136930019349008,0.0114803917889803,0.0176104745506133,0.0160842311458838,0.0156452066576517,NA,NA,0.0029842180801894,NA
"14",14,0.0109364188373394,0.0179385920673365,0.0286644175509847,0.033404220580922,0.0377857903056341,0.029125001221194,0.0108061018070385,0.0172788220458033,-0.00180449879033879,-0.00781752607537342,-0.0117059187953424,0.00841127022766549,0.0249898088200663,0.0124373098321089,0.0136270160736311,0.0205600170807899,0.0203748702927539,NA,NA,0.00640260371704797,NA
"15",15,0.00964780991803589,0.0165520304461526,0.0346551939204471,0.0360019124515481,0.0436547792434051,0.0290942168557055,0.0141588259174292,0.0154619728910203,-0.00870902660310025,-0.0100766828752727,-0.0202365648276034,0.0176589946716158,0.0285032952644291,0.0154396663849844,0.018692326335092,0.0279108047138471,0.0243353777057002,NA,NA,0.0106856389840953,NA
"16",16,0.0126826009084216,0.0137489930720626,0.0239416701981636,0.0279764456659139,0.031272161116108,0.0272536777486954,0.00755463750660132,0.0168777388242572,-0.00619239503249162,-0.00997374418755456,-0.012766953585932,0.00429056906929935,0.0203112784240419,0.00880014650083829,0.0146478641370448,0.0220504476626545,0.0132142547372796,NA,NA,0.0070497414345093,NA
"17",17,0.016644513034835,0.0195814362933217,0.0331486977789553,0.033615459606419,0.040594719684981,0.031656476049018,0.0145690190939531,0.0211219008592095,-0.00179320536308914,-0.0018059759732338,-0.010963628079887,0.0120425336288945,0.0238620085266016,0.0153835928001305,0.0213729537206741,0.0234072810284312,0.0174099533165111,NA,NA,0.00824055950350551,NA
"18",18,0.0144228451675025,0.0205082726219659,0.029887458054964,0.0345810513772591,0.0368269920300668,0.0289374481997266,0.00734146114653576,0.0167720957781193,-0.00875411116947166,-0.00847335237968103,-0.0137890491035702,0.0137618652620131,0.0249928216753641,0.0157859735443085,0.0222429241467772,0.0267478364721248,0.0137594011672523,NA,NA,0.00429598529447684,NA
"19",19,0.0279165460113183,0.0271552139129713,0.0466148626507376,0.0436367040083412,0.0533189423251287,0.0381876936551551,0.0229841519592188,0.0284807750058243,-0.0153156372755161,-0.0153524178303839,-0.0127559700254462,0.0196063098213517,0.0119214995928043,0.0199908155326139,0.0444211604067238,0.0448717002507672,NA,NA,NA,0.00570185290519919,-0.0300173700627565
"20",20,0.010922891326859,0.0197447365173974,0.0344879117436659,0.0357382580178858,0.0422342530124843,0.0388191872983244,0.0171623275118328,0.0175394791732538,-0.000724692039414731,-0.00940383758683408,-0.0181241679202378,0.00974046011902031,0.0284339208960579,0.0168541638318496,0.0152723902704424,0.0266060032896037,0.0326521556477921,NA,NA,0.0109699270500019,NA
