"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,NA
"5",5,NA,NA,NA,NA,NA,NA
"6",6,NA,NA,NA,NA,NA,NA
"7",7,NA,NA,NA,NA,NA,NA
"8",8,NA,NA,NA,NA,NA,NA
"9",9,NA,NA,NA,NA,NA,NA
"10",10,NA,NA,NA,NA,NA,NA
"11",11,NA,NA,NA,NA,NA,NA
"12",12,NA,NA,NA,NA,NA,NA
"13",13,NA,NA,NA,NA,NA,NA
"14",14,NA,NA,NA,NA,NA,NA
"15",15,NA,NA,NA,NA,NA,NA
"16",16,NA,NA,NA,NA,NA,NA
"17",17,NA,NA,NA,NA,NA,NA
"18",18,NA,NA,NA,NA,NA,NA
"19",19,NA,NA,NA,NA,NA,NA
"20",20,NA,NA,NA,NA,NA,NA
"21",21,NA,NA,NA,NA,NA,NA
"22",22,NA,NA,NA,NA,NA,NA
"23",23,NA,NA,NA,NA,NA,NA
"24",24,NA,NA,NA,NA,NA,NA
"25",25,NA,NA,NA,NA,NA,NA
"26",26,NA,NA,NA,NA,NA,NA
"27",27,NA,NA,NA,NA,NA,NA
"28",28,NA,NA,NA,NA,NA,NA
"29",29,NA,NA,NA,NA,NA,NA
"30",30,NA,NA,NA,NA,NA,NA
"31",31,NA,NA,NA,NA,NA,NA
"32",32,NA,NA,NA,NA,NA,NA
"33",33,NA,NA,NA,NA,NA,NA
"34",34,NA,NA,NA,NA,NA,NA
"35",35,NA,NA,NA,NA,NA,NA
"36",36,NA,NA,NA,NA,NA,NA
"37",37,NA,NA,NA,NA,NA,NA
"38",38,NA,NA,NA,NA,NA,NA
"39",39,NA,NA,NA,NA,NA,NA
"40",40,NA,NA,NA,NA,NA,NA
"41",41,NA,NA,NA,NA,NA,NA
"42",42,NA,NA,NA,NA,NA,NA
"43",43,NA,NA,NA,NA,NA,NA
"44",44,NA,NA,NA,NA,NA,NA
"45",45,NA,NA,NA,NA,NA,NA
"46",46,NA,NA,NA,NA,NA,NA
"47",47,NA,NA,NA,NA,NA,NA
"48",48,NA,NA,NA,NA,NA,NA
"49",49,NA,NA,NA,NA,NA,NA
"50",50,NA,NA,NA,NA,NA,NA
"51",51,NA,NA,NA,NA,NA,NA
"52",52,NA,NA,NA,NA,NA,NA
"53",53,NA,NA,NA,NA,NA,NA
"54",54,NA,NA,NA,NA,NA,NA
"55",55,NA,NA,NA,NA,NA,NA
"56",56,NA,NA,NA,NA,NA,NA
"57",57,NA,NA,NA,NA,NA,NA
"58",58,NA,NA,NA,NA,NA,NA
"59",59,NA,NA,NA,NA,NA,NA
"60",60,NA,NA,NA,NA,NA,NA
"61",61,NA,NA,NA,NA,NA,NA
"62",62,NA,NA,NA,NA,NA,NA
"63",63,NA,NA,NA,NA,NA,NA
"64",64,NA,NA,NA,NA,NA,NA
"65",65,NA,NA,NA,NA,NA,NA
"66",66,NA,NA,NA,NA,NA,NA
"67",67,NA,NA,NA,NA,NA,NA
"68",68,NA,NA,NA,NA,NA,NA
"69",69,NA,NA,NA,NA,NA,NA
"70",70,NA,NA,NA,NA,NA,NA
"71",71,NA,NA,NA,NA,NA,NA
"72",72,NA,NA,NA,NA,NA,NA
"73",73,NA,NA,NA,NA,NA,NA
"74",74,NA,NA,NA,NA,NA,NA
"75",75,NA,NA,NA,NA,NA,NA
"76",76,NA,NA,NA,NA,NA,NA
"77",77,NA,NA,NA,NA,NA,NA
"78",78,NA,NA,NA,NA,NA,NA
"79",79,NA,NA,NA,NA,NA,NA
"80",80,NA,NA,NA,NA,NA,NA
"81",81,NA,NA,NA,NA,NA,NA
"82",82,NA,NA,NA,NA,NA,NA
"83",83,NA,NA,NA,NA,NA,NA
"84",84,NA,NA,NA,NA,NA,NA
"85",85,NA,NA,NA,NA,NA,NA
"86",86,NA,NA,NA,NA,NA,NA
"87",87,NA,NA,NA,NA,NA,NA
"88",88,NA,NA,NA,NA,NA,NA
"89",89,NA,NA,NA,NA,NA,NA
"90",90,NA,NA,NA,NA,NA,NA
"91",91,NA,NA,NA,NA,NA,NA
"92",92,NA,NA,NA,NA,NA,NA
"93",93,NA,NA,NA,NA,NA,NA
"94",94,NA,NA,NA,NA,NA,NA
"95",95,NA,NA,NA,NA,NA,NA
"96",96,NA,NA,NA,NA,NA,NA
"97",97,NA,NA,NA,NA,NA,NA
"98",98,NA,NA,NA,NA,NA,NA
"99",99,NA,NA,NA,NA,NA,NA
"100",100,NA,NA,NA,NA,NA,NA
"101",101,NA,NA,NA,NA,NA,NA
"102",102,NA,NA,NA,NA,NA,NA
"103",103,NA,NA,NA,NA,NA,NA
"104",104,NA,NA,NA,NA,NA,NA
"105",105,NA,NA,NA,NA,NA,NA
"106",106,NA,NA,NA,NA,NA,NA
"107",107,NA,NA,NA,NA,NA,NA
"108",108,NA,NA,NA,NA,NA,NA
"109",109,NA,NA,NA,NA,NA,NA
"110",110,NA,NA,NA,NA,NA,NA
"111",111,NA,NA,NA,NA,NA,NA
"112",112,NA,NA,NA,NA,NA,NA
"113",113,NA,NA,NA,NA,NA,NA
"114",114,NA,NA,NA,NA,NA,NA
"115",115,NA,NA,NA,NA,NA,NA
"116",116,NA,NA,NA,NA,NA,NA
"117",117,NA,NA,NA,NA,NA,NA
"118",118,NA,NA,NA,NA,NA,NA
"119",119,NA,NA,NA,NA,NA,NA
"120",120,NA,NA,NA,NA,NA,NA
"121",121,NA,NA,NA,NA,NA,NA
"122",122,NA,NA,NA,NA,NA,NA
"123",123,NA,NA,NA,NA,NA,NA
"124",124,NA,NA,NA,NA,NA,NA
"125",125,NA,NA,NA,NA,NA,NA
"126",126,NA,NA,NA,NA,NA,NA
"127",127,NA,NA,NA,NA,NA,NA
"128",128,NA,NA,NA,NA,NA,NA
"129",129,NA,NA,NA,NA,NA,NA
"130",130,NA,NA,NA,NA,NA,NA
"131",131,NA,NA,NA,NA,NA,NA
"132",132,NA,NA,NA,NA,NA,NA
"133",133,NA,NA,NA,NA,NA,NA
"134",134,NA,NA,NA,NA,NA,NA
"135",135,NA,NA,NA,NA,NA,NA
"136",136,NA,NA,NA,NA,NA,NA
"137",137,NA,NA,NA,NA,NA,NA
"138",138,NA,NA,NA,NA,NA,NA
"139",139,NA,NA,NA,NA,NA,NA
"140",140,NA,NA,NA,NA,NA,NA
"141",141,NA,NA,NA,NA,NA,NA
"142",142,NA,NA,NA,NA,NA,NA
"143",143,NA,NA,NA,NA,NA,NA
"144",144,NA,NA,NA,NA,NA,NA
"145",145,NA,NA,NA,NA,NA,NA
"146",146,NA,NA,NA,NA,NA,NA
"147",147,NA,NA,NA,NA,NA,NA
"148",148,NA,NA,NA,NA,NA,NA
"149",149,NA,NA,NA,NA,NA,NA
"150",150,NA,NA,NA,NA,NA,NA
"151",151,NA,NA,NA,NA,NA,NA
"152",152,NA,NA,NA,NA,NA,NA
"153",153,NA,NA,NA,NA,NA,NA
"154",154,NA,NA,NA,NA,NA,NA
"155",155,NA,NA,NA,NA,NA,NA
"156",156,NA,NA,NA,NA,NA,NA
"157",157,NA,NA,NA,NA,NA,NA
"158",158,NA,NA,NA,NA,NA,NA
"159",159,NA,NA,NA,NA,NA,NA
"160",160,NA,NA,NA,NA,NA,NA
"161",161,NA,NA,NA,NA,NA,NA
"162",162,NA,NA,NA,NA,NA,NA
"163",163,NA,NA,NA,NA,NA,NA
"164",164,NA,NA,NA,NA,NA,NA
"165",165,NA,NA,NA,NA,NA,NA
"166",166,NA,NA,NA,NA,NA,NA
"167",167,NA,NA,NA,NA,NA,NA
"168",168,NA,NA,NA,NA,NA,NA
"169",169,NA,NA,NA,NA,NA,NA
"170",170,NA,NA,NA,NA,NA,NA
