"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10"
"1",1,-0.0163601864685083,-0.0114514697461201,-0.0154620128655347,-0.0156240588650992,-0.0157650034439186,-0.0102121329082583,0.00148970466459483,0.00218544255620994,0.018950676831345,0.00916009126991583,0.0115513081814773
"2",2,-0.017204916134367,-0.00955880825241075,-0.0196530501692437,-0.0171813244409684,-0.0159279726275001,-0.0134095142398217,-0.00272833067687662,-0.000586980549583117,0.0127571214431129,0.00502872868158165,0.0157240497257521
"3",3,-0.0203174598414052,-0.00797818163249195,-0.0192604419078812,-0.0170781449449557,-0.0172741504009159,-0.0162101375047918,-0.00706776569746465,-0.00758174512323028,0.00878749788881764,0.00361609698015269,0.011137367901058
"4",4,-0.0181974852334048,-0.0111446574324694,-0.0224878077966242,-0.0151117937584889,-0.017579753617192,-0.0153245758596518,-0.000981124219967897,-0.00478169448193418,0.0108171096972199,-0.00103005518110384,0.00702907622766434
"5",5,-0.0152523509208215,-0.00925711196666293,-0.0193084872538483,-0.0165152812594878,-0.0196850692089139,-0.0183920633804244,-0.0103437403391194,-0.00602613862683441,0.011207260168049,0.000649264670774996,0.00887863269317827
"6",6,-0.0201049296372726,-0.0145518794366675,-0.0174444573751268,-0.0202168719489222,-0.0148915678603659,-0.014803538817852,-0.00752148173045259,-0.00558851423100258,0.00753562013661139,0.00323301467217684,0.00866312985270658
"7",7,-0.0174990141275549,-0.00527858202633918,-0.0217439214253311,-0.0157011321470039,-0.0180521668820236,-0.0137743258205936,-0.00328607855593329,-0.00876333756491558,0.0118627360047932,-0.00691326257119998,0.00904351190639163
"8",8,-0.0192911890947568,-0.0146808620502578,-0.0224385549947589,-0.0216869704668943,-0.0238636755363991,-0.0183980842178026,-0.00461059619746008,-0.0043737061161686,0.0174619834460704,-0.000111309438377187,0.0106209789470777
"9",9,-0.0153648954083245,-0.00363255729416857,-0.0150574524721533,-0.0137002242087184,-0.0204944409582459,-0.0179208927089035,-0.00788055945335367,-0.0045001364548976,0.00911781216105779,0.00257956209715649,0.0150320980112676
"10",10,-0.0182153857353364,-0.0143530005066559,-0.0194150688834387,-0.0199347044045386,-0.0148532388490495,-0.016269599176268,-0.0099624772021122,-0.00672339744028031,0.00337526697194314,1.26325083707913e-06,-0.00165215891017655
"11",11,-0.0178864376868126,-0.00914207063144354,-0.0160220788611985,-0.0152095139421572,-0.0137404495247674,-0.0213833217160802,-0.0116763648430769,-0.00397457160192198,0.0147448368074962,0.00672787419438356,0.0110051107431255
"12",12,-0.0156505464643589,-0.00633236615419769,-0.0128268642229645,-0.0134117448521766,-0.0168893274730497,-0.00825007823824695,-0.00224725739975518,-0.00412676463652146,0.00848443215044385,0.00383463275217987,0.010185711204081
"13",13,-0.0197539339515719,-0.0130886369516772,-0.0258660302470965,-0.0159072323973093,-0.0135486602423215,-0.0196487688955068,-0.0104597625530907,-0.00445828019168623,0.00293565055879108,-0.00902056677254437,0.00316676087422475
"14",14,-0.0171022241497924,-0.012096752596631,-0.0205492273600387,-0.0217135684917362,-0.0188834418912236,-0.0137513559401505,-0.00566218308596112,-0.00708316656451231,0.0118497426302994,0.00283970149781128,0.00559066162166828
"15",15,-0.0128471153769964,-0.00983186632357256,-0.0208419036197731,-0.0175245707319236,-0.0201578861286281,-0.017516348292652,-0.0136829898847779,-0.00610109576528343,0.0158035671921839,0.00697711906031462,0.0162625550603817
"16",16,-0.0216622800099054,-0.00776990011280875,-0.0211836595900183,-0.0197243383392102,-0.0173685150184628,-0.0125879251478507,-0.00379887601844484,-0.0107121168615005,0.00924305663190651,-0.00164435320496579,0.0050587188121434
"17",17,-0.0209414624148894,-0.0141027355087759,-0.0246226335794873,-0.0223227039379576,-0.0258954590470945,-0.0197842644380868,-0.00751227000856092,-0.0115171441071858,0.00685678515525377,-0.00388997629457696,0.00810564850815128
"18",18,-0.0165664749873694,-0.0110944863476774,-0.0187972876179523,-0.0167393168486517,-0.0172034481664902,-0.0133493376653247,-0.00331816468711149,-0.00898894404294002,0.00819589735549491,-0.0013349935467039,0.0131222283542243
"19",19,-0.0233442932270258,-0.0118087233180686,-0.021181266920361,-0.0214541821099845,-0.0199150119799946,-0.0199097668912986,-0.00712456409458311,-0.0114815351307459,0.0113519053856374,-3.38622963257519e-05,0.00979223312757812
"20",20,-0.0188928624408199,-0.0133136317868132,-0.0202747574449569,-0.0191254140989084,-0.0164662475504875,-0.0206603817549594,-0.0145195836358441,-0.00662016144816746,0.0139510526595475,0.00869957172659079,0.011103615871551
"21",21,-0.0167748751602686,-0.00790710778892233,-0.0149395056760945,-0.0174973305050827,-0.0131583147841185,-0.0180082739703831,-0.0104097976114279,-0.00994437754107694,0.0077452289961843,0.00356304475935742,0.0110938376536281
"22",22,-0.0132581659546838,-0.0097929112638314,-0.0197970744479885,-0.0174739537575296,-0.0167820369630046,-0.0106621607892384,-0.00125589563825197,0.00216892847649653,0.0176374464206406,0.00561589227604071,0.0124568277707274
"23",23,-0.0176965441333131,-0.00745735510643863,-0.018124333702739,-0.014898158220881,-0.0125108259696908,-0.0161421667270526,-0.0107880572579421,-0.00412760492535474,0.0140348523475976,0.00611713710917175,0.0160723219114583
"24",24,-0.0158935207940116,-0.0112973676214384,-0.0189946410906989,-0.0173821661933222,-0.0221426645553662,-0.0187577456895678,-0.0109830342147432,-0.00798432643783266,0.00724208291608213,0.00020954376850906,0.00844954965931714
"25",25,-0.0176882083904299,-0.00762412344052131,-0.0177564679798487,-0.015795431869486,-0.0145891359955992,-0.0239557729682784,-0.0126204591473606,-0.0145920133943209,0.00381034644795441,-0.00668946406911807,0.0028629848265679
"26",26,-0.0184418382407402,-0.00773577472051551,-0.022776528166024,-0.020847063595041,-0.0190052750432546,-0.0167828062442049,-0.00593355389471878,-0.00687048375741623,0.0113248084781672,0.00479971026360294,0.0100192264006257
"27",27,-0.0202630963216342,-0.00623149723464555,-0.0260894273233698,-0.0190305575729605,-0.0186786793592924,-0.0131923800550065,-0.0082141788296056,-0.00639784039873346,0.0104155083501108,-0.00427864666799083,0.00348827479587382
"28",28,-0.0190788357779924,-0.00923735866944684,-0.0152796938927033,-0.0142893944503271,-0.0174555848961999,-0.014530521449513,-0.00519659236249395,-0.00559062674174999,0.0111564907231463,0.00101348510804164,0.0139210136643725
"29",29,-0.0205161693951096,-0.010440989525173,-0.0178259117820767,-0.0185651209259724,-0.0141469587575045,-0.0216654444310984,-0.011315830605831,-0.00803489709315608,0.012544325612533,0.00164673330400208,0.0107957508774649
"30",30,-0.0160160148864667,-0.0147172171071606,-0.023567410029016,-0.0255375454804909,-0.0204802608630946,-0.0229089341196975,-0.00723841455352797,-0.00118759425881815,0.0154539980562477,0.00387229584349819,0.0119371983516154
"31",31,-0.0189727620549648,-0.00465872276278124,-0.0166021586186804,-0.0159470715451311,-0.0177667320791503,-0.0129854005151173,-0.00402141916556955,-0.00277641413083618,0.0108133308769426,0.000718679115776342,0.0137975828318641
"32",32,-0.0141790696157124,-0.00525823898514547,-0.0184466559995049,-0.0179017193449192,-0.0148624486822106,-0.0189807845215239,-0.00814665949262628,-0.00686436728720079,0.0136850069284711,0.00242153782518985,0.0143217692250637
