"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11"
"1",1,0.00244467558336917,-0.00592161589986646,-0.00753471708716567,-0.00564691183774154,-0.00277688311730456,0.00196623750969791,-0.000568551402856438,0.00522824616506273,-0.00180960775547316,0.000105244881498919,-0.00544306296074947,-0.00218187464892074
"2",2,0.00519616325211752,-0.00758748610793526,-0.00463807499239478,-0.00718718479690806,-0.00365411917028047,-0.00224016998670476,-0.000457193532199349,0.00165222017422986,0.000305557769547152,0.00388297551267605,-0.00197740250430292,-0.00774978594577489
"3",3,0.00261839488130715,-0.00948654031688657,-0.00516632383785415,-0.00665609774810156,-0.0017116796886986,-0.00191289239306904,-0.00369725916726379,0.00268322468296543,0.000725605705559952,0.000837268209685155,-0.00340403036889814,-0.00254773372910473
"4",4,0.00432502034830619,-0.00607924388461014,-0.00198481950449194,-0.00341134073671681,0.000717696910021061,0.00563568321470275,-0.00330426935516694,0.00497918474130786,-0.00337096913096968,0.00264550942257909,-0.00368963394824296,0.00131501423504627
"5",5,0.00509587324470663,-0.00516144299173561,-0.00318751972293823,-0.0108969188077755,-0.00718875128756406,-0.00147889474009843,-0.002449497921267,0.00473814279524802,-0.00445420222000202,0.000919305246698618,-0.00761572979999243,-0.00417923557354304
"6",6,0.00254581698442515,-0.00614049970112856,-0.00453038808424064,-0.00556510419892585,-0.00368788972442555,0.00091513426988581,-0.00226412951065446,0.00623412003519521,-0.000942758694255201,-0.000804903067515318,-0.00426207533257268,-0.000163121130021067
"7",7,0.00476948289024174,-0.00804828511472094,-0.0064826884392181,-0.00507024325445931,-0.000553768427467796,0.00215196881369187,-0.00285297416393416,-0.000808822200756167,-0.00305379153006098,0.00395605498265572,-0.0013939690979192,-0.00495359813654108
"8",8,0.00176159408992817,-0.00352250302654872,-0.00599007822352427,-0.00563100720364839,-0.00449067457981314,-0.000933252988560016,-0.00404848383376895,0.0033573066290549,-7.7170147652646e-05,0.00367634139568012,-0.0022712009364615,-0.00487055490123609
"9",9,0.00723756590233651,-0.00116020430426558,-0.00376193404437802,-0.00820585077564645,-0.00230732382807437,-0.00106908017631109,-0.00222614788556991,0.00264952233245353,0.00210591623595329,0.0072620543654583,-0.000299477661848409,-0.00653860927837374
"10",10,0.00184386930614157,-0.00144610763499853,-0.00606728068502783,-0.00210832809122197,-0.00446979672193869,0.0026304380685828,-0.00321770724421379,0.00444110762420132,-0.00644716347206426,-0.00039040726455546,-0.00548566093676481,0.000683479567591848
"11",11,0.00225072772594888,-0.000698692017962547,-0.0102459081555624,-0.0027549433388876,-0.0112524408127737,0.00191031136134831,-0.0035077025706022,0.00416027168810044,-0.0030200422041202,-0.000288153832629777,-0.00794092414687541,-0.000281906389605865
"12",12,0.00673856870210747,-0.00477303460661441,-0.00559014803059414,-0.00611984678907791,-0.0028144494595732,-0.000692389152148648,-0.00133561199634608,0.00302929566745458,0.000753956122207793,0.00332032553585233,-0.00525661980361611,-0.000438740568258516
"13",13,0.000505445838263975,-0.00617375728812661,-0.00256543505698903,-0.00803972790070727,-0.00413826784452881,-0.00114753958154851,-0.00266278206753486,-0.00346180793357585,-0.00471502212593525,1.52022272837757e-05,0.000539761202106389,-0.0066976705380381
"14",14,0.000128468610056778,-0.00471970537974038,-0.00705838036647968,-0.00458178448711285,-0.00687654943376045,0.00150830298643267,-0.00422874469434674,0.00611591567204429,-0.00378340766827722,0.00310295716255092,-0.00581517683342731,0.00292290894640753
"15",15,0.00590966169176587,-0.0071615351168377,-0.00162815400719895,-0.00901239902592875,-0.00349288016096479,-0.00501451894586715,-0.000743918029205815,0.00382808631866862,0.0036224751162656,0.00648702400850318,-0.00328020657011733,-0.00587127723205338
"16",16,0.00494127230473008,-0.00486097149654297,-0.00440036385786936,-0.00298215406150372,-0.00245656112063567,-0.000462805579144039,-0.00220275091183893,0.00692024963680714,-0.000678068858420553,0.00284552737410934,-0.00354650942602267,-0.00468329113177273
"17",17,0.00485895401819115,-0.0056915587517439,-0.00305936880310393,-0.00831450297225187,-0.000509892429696292,-0.000348462645396917,-1.59941695151515e-05,0.00257570298715861,-0.00146311487687914,0.00283346616853373,-0.00291526520277987,-0.00208007219834976
"18",18,0.005116986796061,-0.0066828255580346,-0.00510662284153437,-0.00652908566344667,-0.00368217925008913,-0.0018933718614584,-0.00368859117881976,0.00226024797447487,-0.000961605535300685,0.000237234619955801,-0.00545714490185938,-0.00526658997716477
"19",19,0.00528909015927176,-0.00558486460655297,-0.00724792526884319,-0.00379092615736983,-0.00304992985474267,0.00490663262803187,-0.00257301878786573,0.00648478806062903,-0.00389970049356082,0.00390498913954676,-0.00553585475541662,-0.00190812583280964
"20",20,0.00277147701872947,-0.0034470204312592,-0.0047499585368356,-0.00596686183071333,-0.00418629347741527,0.00106192593923162,-0.000853637674220528,0.00886690767651468,0.000584243299520552,0.00409993239213036,-0.00360597658530994,-0.00293922398831171
"21",21,0.00277074864581326,-0.00161020925620571,-0.00563783999077691,-0.00371967183340216,-0.005583768619928,0.000815573079537487,-0.00331760168434844,0.00501894944803964,0.00118667218451343,0.00417583632570227,-0.0013199484856659,-0.00197926261638064
"22",22,0.00403428590318948,-0.00600839717438131,-0.00510563748836602,-0.00501794598992407,-0.00506229569641922,0.00312618331829726,-0.00452783208062174,0.00282169317518764,-0.00205287518770521,0.00322230706703047,-0.00576877478808719,-0.00399563692900312
"23",23,0.00152780740240874,-0.00593052264888076,-0.00376425586331023,-0.00537107600580122,-0.00914438607558158,-0.00122256517226574,-0.00216991631363733,0.00314588408935928,7.08896773672903e-05,0.0054871051879875,-0.00602832108118983,-0.00156065981224068
"24",24,0.00251982649617294,-0.00257477185041199,-0.00784807003202812,-0.00612077249237327,-0.00279591020891862,0.00183500296199792,-0.00555957961539197,0.00328756535180885,-0.000134418360512892,0.00458877981309537,-0.00296975735696454,-0.00353721021287463
"25",25,0.00600870405417902,-0.00518860451398211,-0.00358159798514794,-0.0109353912189759,-0.00401648589848818,0.0018265860221438,0.00165190247285749,0.0041397161992955,-0.00731577644023235,-0.00382308257380903,-0.00371153145173552,0.00183788413550436
"26",26,0.0069647233364808,-0.00400297090234063,-0.0052216346280382,-0.00420996080226614,-0.00495945979152341,0.00114831996747443,-0.00168506327669864,0.00629854035244011,-0.00034925740999566,0.00565148381624108,-0.00626325028902783,-0.00355299435149662
"27",27,0.00661748995394663,-0.00709439771801962,-0.00305116364386962,-0.00293720079561098,-0.00224506723556542,-0.000352205127156464,-0.0016149420049078,0.00209247166419338,-0.00210651024018031,0.00723451523972917,-0.00193102532582109,-0.00473312514061626
"28",28,0.0100676250172538,-0.00505494471682246,-0.00343854320175847,-0.00956163069976993,-0.00146160424869746,0.00154303509569728,0.000960667676128901,0.00401817688336416,-0.00202313122971933,0.000278803521861377,-0.00588829655746709,-0.000958557341875201
"29",29,0.00625133228109011,-0.00231008065408793,-0.00459789424144007,-0.00385318483798064,-0.00437109331151219,0.00349683946049605,-0.00193138328850853,0.00656450808432915,-0.00145241102258785,0.001619598927562,-0.00507168597016716,0.000198927949255571
"30",30,0.00472841093202213,-0.00226565091445323,-0.00578792134944782,-0.0050891090058417,-0.00554148358720201,0.00434465428432062,-0.0026477069603457,0.00531475563375417,0.000662351038127832,0.00778118505561546,-0.00426525494184864,-0.00426630586217605
"31",31,0.0103075894618729,-0.00440685883150121,-0.00301995874216253,-0.00742100447255568,-0.00115394156236686,-0.00187450079628044,-0.00129680359347262,0.00432492065434343,-0.000706493752082931,0.00453073339436717,-0.00302960114774276,-0.0053148105753587
"32",32,0.0063721473387992,-0.00573664883194862,-0.00245355037065676,-0.00696543032590633,-0.0052292547863962,1.32948903686476e-05,-0.00257796671173092,0.00377927062471519,-0.00195318412188278,0.00549341357574411,-0.00159191244388243,-0.00368106687381009
"33",33,0.00703701951057752,-0.00678515246752704,-0.00254655977972255,-0.00346833702276456,-0.00473642060975439,0.00278235162301434,-0.00246792009631875,0.00345117477752991,0.00105864178160926,0.00573538296289557,-0.00438394091065638,-0.00353298820184228
"34",34,0.00390200162697779,-0.0066837189943737,-0.00836091005306743,-0.00519535266468338,-0.000977366844235212,-0.00110335269427837,-0.00130215293105738,0.00425684943800108,-0.00311717055036525,-0.00045340927019266,-0.00891625511500886,-0.00334138451942474
