"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12"
"1",1,-0.0165874764420821,-0.0121311486944456,-0.0157001319164799,-0.0171127514875079,-0.0153861474405202,-0.0147294862585791,0.000348702617690165,0.00297437157401728,0.0180393250940003,0.0136773028075347,0.0111761657581266,0.0133450615171001,2.76705509436581e-05
"2",2,-0.0175464046866011,-0.00868330173979634,-0.0214703604079333,-0.0186897838421345,-0.0161578465755221,-0.0189383472075078,-0.00569957793859329,-0.00103612062331886,0.0136679452148098,0.00866063213990413,0.0184391778411947,0.014578282349612,0.0062980132696577
"3",3,-0.0210266647075091,-0.00941052081575434,-0.0214963507289115,-0.0185535731019619,-0.0161542334585563,-0.0210626829898797,-0.0113473448828064,-0.0085518802444072,0.00781507624817446,0.00682990950268168,0.0125415975924723,0.0143469825894348,0.00773524123786907
"4",4,-0.0187063953874433,-0.013469119344004,-0.0224748263017531,-0.0178258334867147,-0.0173307686983326,-0.0191997092274981,-0.0021023357073764,-0.00418645041676649,0.00909126695478792,0.00212372050900901,0.0048926504833853,0.00851998552319887,-0.00174519008944061
"5",5,-0.0162795127932617,-0.0107046096096076,-0.0204442215587485,-0.019408636261319,-0.019903117052705,-0.0224090788959828,-0.0132949033394151,-0.00646117443215281,0.0104001777346543,0.00265723768454671,0.00874814344316488,0.00828989516868015,0.00452280891685648
"6",6,-0.0194268525669539,-0.015391974651111,-0.0164963520707083,-0.0204990056538466,-0.0131994169063458,-0.0188822515518178,-0.0117497976434991,-0.00529963128446,0.00682161887835042,0.00767703608984757,0.0110453638624267,0.0152220072377913,0.00896778642775038
"7",7,-0.0169506792355265,-0.00440165499024633,-0.0212075666286948,-0.0163118990611274,-0.0169738000864842,-0.0179961853644241,-0.00481770100959378,-0.00716025335737497,0.0122066799797597,-0.00122392799028922,0.0104540500111221,0.0147167605487242,0.00440256405449286
"8",8,-0.0174083254213864,-0.0122005953044087,-0.0207660386851868,-0.0196363824594999,-0.0218715006342475,-0.023217354266415,-0.0082537052316042,-0.00381038264067187,0.0183885034544488,0.00524367631944912,0.0147153248718736,0.0181704268297243,0.00890791018828172
"9",9,-0.0152654001526514,-0.00252565388487646,-0.0163213916206362,-0.0142666029773118,-0.0199681713721828,-0.023816714629937,-0.0108443702296908,-0.00467722498272438,0.00955797067903721,0.00717776908200095,0.0177406251971093,0.0179232542227054,0.00547310300638772
"10",10,-0.0177276603996683,-0.0152393661730104,-0.0185483116041413,-0.0198676658857002,-0.0138966686286335,-0.0188110121043529,-0.0120923287337724,-0.00683252575898827,0.00267497814670467,0.00176318888302018,-0.00131942112233615,0.00623795636478196,0.00259902973417971
"11",11,-0.017645280747548,-0.0103127724568164,-0.015601072795197,-0.0154660953471009,-0.0121713882183945,-0.027242531799966,-0.0160348700908602,-0.0039424758963575,0.0136192003594631,0.0124465392348576,0.0131259093344997,0.0198355403257237,0.00685765356350185
"12",12,-0.0161369504232271,-0.00842762940962754,-0.0137024087916097,-0.0147422777906796,-0.0155110872450185,-0.0129474533715119,-0.00630820664338903,-0.00434850043296527,0.00645213207815444,0.00784021826033504,0.0104336772664319,0.0153917777666124,0.00625894872332438
"13",13,-0.0197999698290834,-0.0125515165394858,-0.0267660619058786,-0.0167236227204429,-0.0124868147784764,-0.0231752538632535,-0.0132215675480008,-0.00424771898588277,0.00361284499197147,-0.00541321862291006,0.00545573893993009,0.0124874808683103,0.00880937967838761
"14",14,-0.0162116914121984,-0.0140909893826986,-0.0186437210176345,-0.0218421505426052,-0.0172168226186669,-0.0187702384334898,-0.0111203574734791,-0.00700267060389404,0.0101413829686499,0.00747472695699176,0.00752407614629265,0.0162816707201661,0.00835556367289401
"15",15,-0.0132996886147684,-0.00938554193920488,-0.0222876811563626,-0.0186066480000054,-0.0199602274161442,-0.0213709944835587,-0.0154510464635971,-0.00564972429800994,0.0162118683414029,0.010597819608759,0.0173168025781103,0.0120447550559096,0.00399261233540282
"16",16,-0.0210873872058951,-0.00728908503689318,-0.0211243519605876,-0.0202536834266778,-0.0167290597691887,-0.018693624621583,-0.00708274934057091,-0.0107346679799566,0.0095330358220021,0.00289950101586587,0.00734155696110302,0.0155901008598702,0.00520008070328882
"17",17,-0.0214451395765589,-0.0152717001502328,-0.0256758018098435,-0.0234102122107566,-0.0254174970067595,-0.0235856425900555,-0.0105554411109683,-0.0121066503463685,0.00634258618226387,-0.00144459888545106,0.00909673921288394,0.0101468126486558,0.00499265180228728
"18",18,-0.0161824274283622,-0.0101191528581902,-0.01933411063602,-0.0174653202364699,-0.0170570392190065,-0.0174115995321558,-0.00642255682127466,-0.00944346015858557,0.00917734308298824,0.00144112582279748,0.0160961038752156,0.0106584137997577,0.00682819817837514
"19",19,-0.0222946610263694,-0.0119943231101662,-0.0206824055020236,-0.0219169887390858,-0.0175677771920746,-0.0243820050749308,-0.0118521921330667,-0.0107838350150286,0.0107404305588777,0.00564571220854996,0.0126080694539923,0.0179966433734698,0.0115962213798915
"20",20,-0.0182913728604947,-0.0136098266282599,-0.0203380324097638,-0.0191121455306159,-0.014568978292079,-0.0253928851394469,-0.018577813808413,-0.00651733919786804,0.0135425351990909,0.0134140669935807,0.0136418801775428,0.0173077064160538,0.00843370735224879
"21",21,-0.0158853443800613,-0.00789701680444888,-0.0139557306374069,-0.0176350522908178,-0.0114715798813808,-0.0232621945288933,-0.0151351069158114,-0.00948970030799634,0.00744883455101977,0.00956990264712482,0.0148229780712916,0.020439705054617,0.0104181236197735
"22",22,-0.0122661034530206,-0.0100272537454686,-0.0184228496662642,-0.0192201836018835,-0.0149592306865576,-0.0165540049408911,-0.00539552836479081,0.00332966212527135,0.0175943353212254,0.0119234918445625,0.0150765025978656,0.0189880387668332,0.009665856350417
