"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13"
"1",1,-0.017824740839394,-0.0137702941821541,-0.018550596860738,-0.0194178609973206,-0.0174996790303471,-0.0137945162666174,0.00073779646563343,0.000421667188279867,0.0175187389065607,0.0118233745305207,0.0110892602095013,0.0117762367950855,0.00131659533715628,0.00682835967692977
"2",2,-0.0172685167519672,-0.00824002247025675,-0.0213235919549787,-0.019017048419356,-0.0147764939554584,-0.0173052602078017,-0.00469365415754099,-0.00391876600676981,0.0131017366837592,0.00848923378970324,0.0181562920764057,0.0162598824040163,0.00775351464793061,0.00935969081662233
"3",3,-0.0216100688188407,-0.0103090851427745,-0.0229959553723878,-0.0205620714258618,-0.0166593041248791,-0.019577936762109,-0.0100292756960868,-0.0121874819436329,0.00691560167725624,0.00551887122281641,0.0121149911730784,0.0147652130371051,0.00929077542151815,0.0109868832253007
"4",4,-0.0203751810419259,-0.0158319307965842,-0.0260309371724082,-0.0211084325472866,-0.020699916857915,-0.0186883634187246,-0.00125208163752075,-0.00780395645644807,0.00831878447331602,-0.000331144498166157,0.00472432136855466,0.00690647426481952,-0.000523059913157946,0.00951099627926522
"5",5,-0.0164374327407343,-0.00980300710766667,-0.0212066596842427,-0.0181083416367541,-0.0217867967121881,-0.021206457374362,-0.0131431570091869,-0.010859839434753,0.011053021314882,0.00209408683444252,0.0105370086421753,0.00898739629562918,0.00652333177267588,0.0114296752218594
"6",6,-0.019993062055714,-0.0156418001068203,-0.0182404010799064,-0.0209312297027664,-0.015238763808482,-0.0178071378372349,-0.0112530048389241,-0.0095176292081051,0.0068526966253938,0.00659290979091354,0.0119948942816431,0.0157847127007006,0.0108254077263625,0.0122426705229308
"7",7,-0.0172783978229319,-0.00594891449947166,-0.0228672514138947,-0.0194594577696632,-0.0162170525929526,-0.0170802373845369,-0.00382601640150064,-0.00945408700193867,0.0104249557639416,-0.00279500010673222,0.00895259305191869,0.0147927727330738,0.00517512475300837,0.00653829413146413
"8",8,-0.017068735734297,-0.0109389868272739,-0.0207673234358013,-0.0190538396797871,-0.0212309063290643,-0.0206237874749585,-0.00688525462196074,-0.00938547719430335,0.0183628610474301,0.005082467165496,0.0155774294310843,0.0209112690878313,0.0117733835735504,0.0174915023528743
"9",9,-0.0154336426279579,-0.00206646366872855,-0.0166453736401219,-0.013928110529885,-0.0210433512351416,-0.0230608870288693,-0.0102460454091022,-0.00785032310761932,0.00985164351247651,0.0069227376686967,0.0185952362339975,0.018973833969464,0.0067373898906965,0.00925373189490893
"10",10,-0.0189029737244211,-0.0170322969986155,-0.0210175007944721,-0.0224224595286182,-0.015302191026149,-0.018232796189068,-0.0116093226390528,-0.00849130237203627,0.00186332192953969,-2.53826554898467e-05,-0.00201349257333599,0.00439386041345544,0.00311840827182933,0.00355330242187647
"11",11,-0.0184874972143411,-0.011824442683073,-0.0180541349130285,-0.0180898029898446,-0.0131631338781994,-0.0260480575496487,-0.0152192987932165,-0.00692145676707936,0.0126124021666534,0.0106277899206256,0.0125936439322008,0.0191584046549153,0.00822581565331602,0.00838808880424772
"12",12,-0.0165181595521267,-0.00820814923261332,-0.0153014603180353,-0.0148286081549138,-0.0172292556715162,-0.0110742773926411,-0.00545214170401495,-0.0101579887750413,0.00644747354459364,0.00657203240500682,0.0116096012363463,0.0164375368693584,0.00884572639481538,0.0164633912109542
"13",13,-0.0204370653526609,-0.0132068535012197,-0.0288569541582675,-0.0179076399728215,-0.0141246539722009,-0.0217722061092891,-0.0125356402786575,-0.00784685483014238,0.00339318117800596,-0.00670126472382419,0.00600549360214922,0.0126613234881675,0.0107338980507593,0.0111034162441619
"14",14,-0.0166986690182185,-0.0138818025155828,-0.0201614576618822,-0.0217894522724919,-0.019109260104204,-0.0173614684547364,-0.0105004696232747,-0.0117889895075102,0.0105273356452452,0.00660698726901356,0.00884444271209327,0.0170665529360913,0.0105457256431053,0.0137520834875573
"15",15,-0.0144394625849006,-0.0108619277062583,-0.024671632571474,-0.0213505159466391,-0.0209411261512792,-0.0198391664196013,-0.0141295703032291,-0.00935957518271127,0.0153793929860116,0.00890053061869361,0.0167377043611284,0.0116064247620377,0.00561010831753369,0.0109777325645586
"16",16,-0.0208844789699219,-0.00638437668437553,-0.0216707398275646,-0.0197501291684657,-0.017090083232072,-0.0165473235595117,-0.00596006736804304,-0.0163654279375597,0.00950365097652816,0.00233747883465257,0.00843584226636094,0.0178406796209791,0.00778396608857176,0.0168585636197512
"17",17,-0.0218120463011877,-0.0152704876605122,-0.0270679336450974,-0.0235652786924617,-0.0265131265350208,-0.0222984275835022,-0.0102611922784042,-0.0151578409545764,0.00648900588564225,-0.00229956930780626,0.00989835210914443,0.0103396557532726,0.00669785395854594,0.0089895417683325
"18",18,-0.0161756222192486,-0.00966652673303426,-0.0197056428463707,-0.0175216839260928,-0.0176103557787899,-0.0160536665972686,-0.00525698455393155,-0.0138199552369287,0.00910721958480066,0.00115858175756544,0.0167573654115161,0.0127127992228469,0.00869227670649051,0.0137510332164039
"19",19,-0.0224293432893935,-0.0123243195757563,-0.0215882463287935,-0.0235187157933655,-0.0179044761773843,-0.0229018673091424,-0.0100489626515119,-0.0154530366279629,0.0100472348326356,0.00492817203768973,0.0125674808447901,0.0202815489381139,0.0135325436245499,0.0155974036043017
"20",20,-0.0194861637673832,-0.0148329708654006,-0.0225772580848996,-0.0208526089235779,-0.0174668253235431,-0.0249562609997305,-0.0177382844453511,-0.00980940624499867,0.0135394625654948,0.0120647862946264,0.0141016206507477,0.0167798277111966,0.00956501100859792,0.00942985268068175
"21",21,-0.0167803041709096,-0.00958112754893574,-0.0159280977315287,-0.020462828995115,-0.012772609031344,-0.0228279088937623,-0.0140993234647225,-0.0119090865610333,0.00643968612474915,0.00808910032619077,0.0140730007522459,0.0201024162301668,0.0111504740394078,0.0072006530706855
"22",22,-0.0131823428899612,-0.0107270902502516,-0.020901585282391,-0.0207179358042184,-0.0165895204276895,-0.0142845601802684,-0.00421209447555209,-0.00180459957179761,0.0172514912068834,0.0102387627654556,0.0154664019015334,0.0191928812904252,0.0123084336042305,0.0157308979920819
"23",23,-0.0169579515845621,-0.00821500904179062,-0.0189101675460369,-0.0152905856546568,-0.00890761722133894,-0.0188153714958484,-0.0150690876671381,-0.00813625961659639,0.0129735405177154,0.0103139579542692,0.0196697628701414,0.0209144147340303,0.0143058477880653,0.0123259677316756
"24",24,-0.0174439893819518,-0.0130982214340168,-0.0229873554724751,-0.0206440807433982,-0.0217795619105709,-0.02290005521685,-0.0133779411764625,-0.0105415097977045,0.00597282740561322,0.00353889827265448,0.00904620665678841,0.0160807614320993,0.005839242929577,0.00657191695709924
"25",25,-0.0193107169351478,-0.0125511120856559,-0.0211174612587745,-0.0203782442323098,-0.0148953763429823,-0.0273570631563011,-0.0159863395546857,-0.018667911303899,0.000365199323942872,-0.00526245167705573,0.00227294225319897,0.0129607423228085,0.00774263003789432,0.0104810909344299
