"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14"
"1",1,-0.0138703307818347,-0.0110601710546117,-0.0145302836274981,-0.0179813425235586,-0.0189881633233001,-0.0110502793643119,0.00276792250654906,0.00275411718352409,0.0129674528255402,0.0122214929213949,0.0141116440895689,0.0119890916581498,0.0056808103461927,0.0101951815103932,0.0190560819981753
"2",2,-0.0145362382871681,-0.00573482991419281,-0.0170414045370019,-0.0159442050162946,-0.0141394131254185,-0.0127957077273749,-0.0031290405142688,-0.0019447240572636,0.00934600169788219,0.00920572210615136,0.0215680238512267,0.016664955641114,0.0130007857120408,0.0118405992978085,0.0147359943879491
"3",3,-0.0198819567967303,-0.0075658187380547,-0.0179415126324403,-0.0161189578300508,-0.0134988959284072,-0.0131413366672356,-0.00813672102548339,-0.0103341481498068,0.00380743730678723,0.00683946447277435,0.0158624100102172,0.0157361180593828,0.0159693299302061,0.0132853528848289,0.0132037111891189
"4",4,-0.0171686560029987,-0.0131304296132897,-0.0210618690243274,-0.0178237107075576,-0.0180221651462146,-0.0149848818888727,0.000494527124897593,-0.00594615896494163,0.00477085866138272,0.00111059710511943,0.00795468637722031,0.00854994360332311,0.00516322248898726,0.012362618002495,0.0156063760940232
"5",5,-0.015543695197377,-0.00760496232706609,-0.0173215430267365,-0.0141779977366865,-0.0194546413646734,-0.0154330345430092,-0.0113275658615885,-0.0094721142336424,0.00911351324858881,0.00279802260202919,0.0137071559293298,0.0094301580600594,0.0118400576732775,0.013391878694202,0.00892999502757223
"6",6,-0.0177668211383398,-0.0135920397242861,-0.0146979269870203,-0.0184170596695614,-0.0143112891391709,-0.0142892112647394,-0.00986001208433489,-0.0077745095916683,0.00409302677820274,0.00744054709883523,0.0146862379938873,0.0164377542820038,0.0153093251552871,0.0142157597843012,0.0122795392516264
"7",7,-0.0162815572120044,-0.00371879578324475,-0.0191246008794348,-0.01664676470841,-0.0158188723233483,-0.0113583985656536,-0.00107738635972614,-0.00715429592409386,0.00766610340677163,-0.0021833881299218,0.0122329093932265,0.0146783796468469,0.0101699374962541,0.00888017567891883,0.0133983350786356
"8",8,-0.0147953472533055,-0.00835195529196258,-0.0161522723502484,-0.0154241248496477,-0.019958710015279,-0.0152535526687408,-0.0048572304544378,-0.00724378427223445,0.0147538793526261,0.00591863684950531,0.019271032171167,0.0213624892793352,0.0174662209698728,0.0199227597401938,0.014694158161676
"9",9,-0.0127068044597917,0.00161523673761633,-0.00903898908090687,-0.00726229942863253,-0.0138708910455191,-0.0157848593124934,-0.00773963197585495,-0.00624212776157517,0.00654800946982334,0.00923752581651974,0.0232831657316262,0.0218933129521187,0.0155101654598013,0.0125003368418892,0.0147699036291106
"10",10,-0.0168701847225876,-0.0142661873887286,-0.0162999982132329,-0.0185186016230791,-0.0135333213641586,-0.0125026125323355,-0.00942067246498673,-0.00655583505931037,-0.00123698934643155,0.000927322772154354,0.00167538784016328,0.00504937575322603,0.00897255704818358,0.00617921113440325,0.0135206931435336
"11",11,-0.0144655792127787,-0.00892805480030627,-0.0136489128698149,-0.0158788122754237,-0.0134743488534789,-0.0227250969755338,-0.0136405688154551,-0.00446472349459572,0.00801658486319278,0.0115088065786325,0.0157502229272604,0.0198504777640215,0.0135272266285805,0.0114215636621168,0.0191695242207437
"12",12,-0.0141769273764246,-0.00593975791389211,-0.0116284706836348,-0.0126757881057662,-0.0170296408880083,-0.0071868247073628,-0.00357973713976306,-0.00858738353115245,0.00288357362301846,0.00712405031203008,0.0144323793146787,0.016691251613034,0.0128697658393379,0.0190682610037506,0.0139342988073655
"13",13,-0.0184805612739332,-0.0101142261403034,-0.0228114569104117,-0.0127442930041305,-0.00865598638991663,-0.0155291911311117,-0.0100341150126228,-0.00599027275757487,0.000994714057938174,-0.00458318240265623,0.00991902945153358,0.0148837370899998,0.0179582729980105,0.0134885175824032,0.0131686264529158
"14",14,-0.0130586857035789,-0.0109751304256984,-0.014912082056953,-0.018111861681665,-0.0160500471252912,-0.0139017585331065,-0.00922360950723786,-0.0101181675345152,0.00686505883678892,0.0081802091852308,0.0121392479584662,0.019133662444283,0.0162810211538539,0.0164937826264649,0.0149553252728156
"15",15,-0.0133866388564559,-0.00810679302034998,-0.0195461539873423,-0.0169701393631071,-0.0180970464506559,-0.0125807315369181,-0.0110654143251775,-0.00730714087728411,0.0123164880346128,0.0100943749671086,0.0206694126461842,0.0122156146895614,0.0121021200954297,0.0136672601632757,0.0140232051042865
"16",16,-0.0182582724317863,-0.00353997332689788,-0.016913989030788,-0.0158999016360665,-0.0151802673129785,-0.0112582438611072,-0.00454556580293022,-0.0145002875542908,0.00582103495069602,0.00339565446582339,0.0120697836894424,0.0187980377150995,0.0138468734260864,0.0193702340795794,0.0145281632920627
"17",17,-0.0217268393433031,-0.0138861701113283,-0.0249327452197096,-0.0214083370145164,-0.0259342095109199,-0.0180262833801912,-0.00886904270106716,-0.0139031353625919,0.00513326924623049,-0.00190057754795808,0.0119766214283149,0.0102156142566098,0.0101028770646296,0.0101239314084863,0.00678244767400417
"18",18,-0.0152633691817178,-0.00744371695259844,-0.0159637160361617,-0.0138294198434657,-0.0153731983240394,-0.0105345655166047,-0.00361126638779444,-0.0123743636906674,0.00677461719573669,0.00207400304789011,0.0198253011912408,0.01334936152927,0.0139257729314252,0.0157012354833746,0.00994033154610916
"19",19,-0.0186845809592122,-0.00974412845725824,-0.0172072677323184,-0.0209143343811787,-0.0166254255136323,-0.0201243804361058,-0.0091474685849129,-0.0135057748639929,0.00603347173436692,0.00615374989547108,0.015419401943943,0.0215837142094715,0.0186249128254238,0.0179783008360812,0.0157546406987304
"20",20,-0.0153818071771775,-0.0118202435092566,-0.0174192151360748,-0.0176049421004475,-0.0161324612724421,-0.0212568430568185,-0.0163262500379942,-0.00750765032851379,0.00910969900722149,0.0133191192925065,0.0175528578954712,0.0180821973679511,0.0154385698524873,0.0122969762955044,0.0178198514894669
"21",21,-0.015340345890143,-0.00778425597738503,-0.0127790517024391,-0.0176266672106654,-0.0117111157042629,-0.0186255861877338,-0.0128781081825795,-0.00998470103136988,0.00390282610151764,0.00891499361803512,0.0168250821950143,0.0205486278347906,0.0160295049369661,0.00885699814499896,0.011254122795276
"22",22,-0.0120560089917879,-0.00908592818087551,-0.0178137633543907,-0.0179847930523659,-0.015257560946647,-0.0101112287429666,-0.00270744484879517,-0.00012864020051155,0.0148492532839793,0.0109422374717484,0.0180455184222447,0.019542653274721,0.0167532787370548,0.0172598530471658,0.0102616098594545
"23",23,-0.0140706834423936,-0.00534320520987801,-0.0138677749693787,-0.0118839452186802,-0.00758769992610584,-0.0136872539426757,-0.0127452909322519,-0.00571443159001325,0.00925690635963444,0.0114222100331447,0.0233203576492539,0.0216825049167079,0.0204549727734413,0.0150723191789369,0.0168671782067551
"24",24,-0.0174348593632636,-0.0110765887084047,-0.0201942927135497,-0.0180858754427866,-0.0216094730904468,-0.016926881972592,-0.0112521241326937,-0.00901965799298747,0.00373074727938818,0.00389555282226413,0.0117705917703377,0.0156887633889672,0.010115000041843,0.00842777125415233,0.00991674347264511
"25",25,-0.016334679865658,-0.00986335922522633,-0.0159833714323481,-0.0169823809625661,-0.0114640370539347,-0.0236290371420051,-0.0140920677863085,-0.0171299753301621,-0.00314379576172227,-0.00368848325700304,0.005236198862201,0.0148029824387431,0.01316307816181,0.013028083816423,0.0148025793744614
"26",26,-0.0135526223344329,-0.00554854399999319,-0.0187025396180286,-0.0195757532969529,-0.0172516465546112,-0.0189890360800377,-0.00760023551583622,-0.00765829231651989,0.00562257580524434,0.0103331540230535,0.0165708407543506,0.0204796329340413,0.0142164137746901,0.0121726720534808,0.0195894400559312
"27",27,-0.0168121335878954,-0.00221158675582965,-0.0201340630452298,-0.0143376831040507,-0.011836372227451,-0.00791295602266476,-0.00709667907946697,-0.00742267412092804,0.00822666224256738,0.00166134230931673,0.0109665093122994,0.0167718371088527,0.0194019242350464,0.0179231499835529,0.0156584161868505
"28",28,-0.0181022801918673,-0.00975168100200419,-0.0147626600559908,-0.0148554839266417,-0.0164485255668411,-0.0154272460632093,-0.00682717866384094,-0.010161487059511,0.00640390985637625,0.00478314092524977,0.0165074862356015,0.0154586006178252,0.0101981137735913,0.0185274449820705,0.0123147217034799
"29",29,-0.0169841477019289,-0.00837310351313387,-0.0130835339896181,-0.0168525541095376,-0.0110755682068358,-0.0198156561776855,-0.0117258998601476,-0.00866356185806515,0.007214464110826,0.00696294521181169,0.0154943773888629,0.0179099973947697,0.0130104357330476,0.0144458923433294,0.0157525540747704
"30",30,-0.00945982149836726,-0.00890153430220498,-0.0144755082323339,-0.0191693867864589,-0.0146036094127274,-0.0205846600233282,-0.00657561152931682,-0.00469393089509871,0.00700837881126247,0.011122585088394,0.0209919992787948,0.0252415370275892,0.0183631225423821,0.0238712979836862,0.0288051622545687
"31",31,-0.0147789523291499,0.00126465352459975,-0.00890481185102854,-0.00915908935930511,-0.0118660302829257,-0.0128795639560742,-0.00591327389037452,-0.00521404419490155,0.00934226375753357,0.00743034846415988,0.0210678400854635,0.0200535214931914,0.0134084941839007,0.0130350865215283,0.00948378344657294
"32",32,-0.0116593062722037,-0.00271328865574027,-0.0138902770381132,-0.0154602971810176,-0.0103996460093422,-0.0171124605975688,-0.00723538219219931,-0.00755394371164001,0.00976256526803152,0.00809041407913052,0.0194866260439914,0.0187911971758234,0.0122699718578682,0.0125255998230297,0.0141739629482865
"33",33,-0.0178820130247194,-0.0075463548582962,-0.0128955875970854,-0.0131673387047519,-0.00598636474172726,-0.00848032806015509,-0.00172058101476527,0.00632754933423567,0.0137490309398423,0.0162385999151954,0.0181306324614054,0.0195565193597769,0.0182457219902499,0.0104552842474471,0.0115050395851456
"34",34,-0.0143676331175521,-0.00748428377699446,-0.0093466381189941,-0.0132648908777767,-0.00825486834283136,-0.00433778908594957,-0.00268603472610261,-0.00426521506628734,0.00475466198394456,0.00350555475542402,0.00662658979889288,0.00922856545843667,0.0129116342896318,0.008951778506407,0.0123347204168942
