"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15"
"1",1,-0.0148260947007559,-0.00764439750039871,-0.0132609319670582,-0.0142089662152865,-0.0177037950134514,-0.00939544594418423,0.0020373403724286,0.00434535567112784,0.0136181952586888,0.00833606320045679,0.014438704060807,0.0137577515624533,0.00790161906795136,0.0121399255956128,0.0206481051658618,0.015390982741495
"2",2,-0.0137640556440285,-0.00398079468321442,-0.0156287815199671,-0.0130563872885547,-0.0125062038554372,-0.0102753502968311,-0.00222916679824446,-0.00119961991498933,0.00986707045763863,0.00743255598485521,0.0228918392779828,0.0180134541002518,0.0144996111701887,0.014044083482659,0.0154382648584622,0.00686747604347835
"3",3,-0.0194351704704584,-0.00425768070975671,-0.0157814062302037,-0.0117389396013289,-0.0113809086152185,-0.0104305259714555,-0.00733220350526133,-0.00904894158465369,0.00461156095896214,0.00329205383035286,0.0171319745436296,0.0180524077851366,0.0180574163654575,0.0161639957433002,0.0146534936355529,0.0130622547643025
"4",4,-0.016288020679726,-0.00938765862990582,-0.0179933266696972,-0.0117176356675896,-0.0150836895325481,-0.00872037577842218,0.00154277940930628,-0.0035330566064036,0.00538200750400659,-0.0020952039974267,0.0108305686969556,0.0113145716340387,0.00911011057232739,0.0165196227273202,0.0179700025307835,0.0150204622258993
"5",5,-0.0133505207289305,-0.00506485652008173,-0.0126660170545851,-0.00714755742419136,-0.0141977345671656,-0.00867278480053869,-0.00575078945377323,-0.00621272317766984,0.0100201339660494,0.000942975538452298,0.0168618756931147,0.0138345574391489,0.0151775935366974,0.0203922623525836,0.0127719867477419,0.0116782969403603
"6",6,-0.0173603495850419,-0.0102385499283369,-0.0119594439763332,-0.0132015802359709,-0.0114497689491604,-0.010028150582215,-0.0078998330966857,-0.00570441153050812,0.0053410451014538,0.00450983960337822,0.0167557448028661,0.0192500416474235,0.0180576787645742,0.0186973962577514,0.0145337362855782,0.0142411600225524
"7",7,-0.0170075142194556,7.97468515211911e-05,-0.0178458675651771,-0.012883261737013,-0.01486461156079,-0.0104401883099668,-0.0014860491425021,-0.00595155584954587,0.00884168921464528,-0.00651271291032209,0.0129106942909838,0.0163308144597299,0.0118997160359925,0.0112934594930702,0.0146302230039514,0.0166648513127915
"8",8,-0.0157883224097469,-0.00480683480937296,-0.0155219033957207,-0.0123599862158879,-0.0192010928874392,-0.0152490319082111,-0.00667240212198079,-0.00641066222586093,0.0155738130728662,0.00165453704732654,0.0191761576531037,0.0228803058778079,0.0192265596125416,0.0205300026205172,0.0153910865206735,0.0143377865362284
"9",9,-0.0115935206818736,0.00386069450201804,-0.00637261181746215,-0.00232341732204141,-0.0108513097961306,-0.0113411557793368,-0.00548985043189965,-0.00374971023745998,0.00704545952612885,0.00706709165768546,0.0251826683777173,0.0246338567712872,0.0182166913106844,0.0160760165229367,0.0171075898597728,0.0103183051807149
"10",10,-0.0169990690820664,-0.0110198757829928,-0.0141069350232853,-0.0140107893135851,-0.0112003062955225,-0.00969602150946977,-0.00861894807659904,-0.00482586175965067,-0.000520897065402454,-0.00250578332378745,0.00266361259023423,0.00749329920721404,0.0113719884385728,0.00917706404318702,0.0153277014494221,0.0138865844681712
