"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16"
"1",1,0.000788404556141136,-0.00600442588615234,-0.010447241341428,-0.00424052668490727,-0.000490525308994768,0.00202737660728597,-0.00238225325376498,0.000403717832045118,-0.00179949274932084,-0.00396766328803226,-0.00597361931985437,-0.00314847766066817,0.00192778079779904,0.00518847147396756,0.00738385120537002,0.000175222350828676,-0.00829764366602683
"2",2,0.00337250279786069,-0.00974575448985987,-0.00706317217282379,-0.00553333877862794,-0.00399228481144926,-0.00481163716933317,-0.00394419121336288,-0.00356474791627576,-0.00232777880815077,0.000544653106502103,-0.00218106170417526,-0.00532628436695632,-3.5178559262536e-06,0.00546377007005355,0.00538563298078006,0.00162863163398066,-0.00705942409720724
"3",3,-0.00102636073727214,-0.0120617987548309,-0.00533569969057621,-0.00480732245278663,-0.00247566269139796,-0.00480282219126867,-0.00660340377803209,-0.00408597914629339,-0.00206315997998012,-0.00428957964774412,-0.00188003766073393,-0.000428164890134618,0.000685888490592968,0.00651108478030457,0.00668498443190895,0.00110261851479483,-0.00726768577102298
"4",4,0.00136608012630029,-0.00773364331209485,-0.00306708404647742,0.000431689101801851,0.000967800765607284,0.00541781612614501,-0.00703208447166936,-0.000518399452564976,-0.00594015622939234,-0.00261789668968161,-0.00609287414036559,0.002911243214278,-0.00121287240907453,0.00434186837984336,0.00509591666390425,-0.00328462001893945,-0.00985025477642882
"5",5,0.00250684709403738,-0.00739434257550729,-0.00420162899870816,-0.00785556401273595,-0.00829395704939593,-0.00514202914891108,-0.0101399889832431,-0.00241677343244221,-0.0105348520738891,-0.00310043607298066,-0.00873710003145877,0.000442447070145642,-0.000631209360498109,-0.00311308997463034,0.00636913161003937,0.00226129446733315,-0.00825342176646295
"6",6,0.000145851453543563,-0.00799127469509897,-0.00513808502080145,-0.00413009185234607,-0.00285088673729279,-0.00281295503665518,-0.0064120489479837,-0.00183004778811403,-0.00396873203276911,-0.00530033339923985,-0.00275618109419332,0.00241853068966104,0.000918241547287198,0.000196466015268715,0.00582877473804983,-0.000976875128260601,-0.00546007208558937
"7",7,0.000976664755002244,-0.00863204646467754,-0.00800994137390694,-0.00379925407908644,-0.00145251761491442,0.00274311370879409,-0.0055819219698802,-0.0034152936841957,-0.0046361051909144,0.00201844024975644,-0.00176082091440684,-0.00471977031030781,-0.00300939933176002,0.0107467348488662,0.00929534234767914,0.00143182925141887,-0.00901409538155557
"8",8,-0.000959158893909706,-0.00657398193431572,-0.00494068182155651,-0.00491104301548302,-0.00518528632642788,-0.00283253241663433,-0.00554378761160952,-0.00209107023773372,-0.00319495046707275,-0.000311176379546815,-0.000447962496913657,-0.00142502611176198,0.00196729821841246,0.00241653167061921,0.00765903055474757,0.00120143216242716,-0.00768168669267813
"9",9,0.00225718097927567,-0.00380299294316634,-0.00321569552903968,-0.00660956813600057,-0.00471591905780161,-0.00319393550052306,-0.00611332252955266,-0.00392604277291383,-0.00380997359805152,0.00240221333034372,-0.00178678976576463,-0.00335291151291956,0.0008604525386812,0.00246978427295136,0.00258987358344912,0.00216023208506828,-0.0128262338827273
"10",10,-0.000382627616764313,-0.00304762260018776,-0.00614970132408462,-0.00210499210831937,-0.00433449430476972,0.000211915675526319,-0.00460989167923905,-0.00246940044803877,-0.00726189984911033,-0.00501815909163931,-0.00515658443237471,0.000345500764720666,-0.000189056206922593,0.00619716875248695,0.0088090936253268,0.000780660526314432,-0.00631494165948725
"11",11,-0.000872477466728453,-0.0022414595886836,-0.0118191454624019,-0.00087881370403579,-0.0112174082534555,0.000901794601929624,-0.0062051825520114,-0.00157764749225461,-0.00476416290603585,-0.00359660777704988,-0.00856229100984384,0.00116988220574745,-1.27075481408613e-05,0.00743898020717124,0.00741841515383789,0.000826951511414621,-0.0077794237318363
"12",12,0.0027634749418356,-0.00902503334162308,-0.00546360944777866,-0.00161560590630791,-0.00118417541116004,-0.00197158773710659,-0.00417021510178219,-0.00235043412342607,-0.00307768568814318,-0.00221912779150363,-0.00557297835870407,0.0047282632648388,0.00399188735740906,-0.00119077412434432,0.00643292391672355,-0.00172091919017603,-0.0118203025872442
"13",13,-0.00435376678030233,-0.00851163837861659,-0.000731353680709737,-0.00541329250690697,-0.0054735312463364,-0.00298603459893382,-0.00616092926136974,-0.00905867321844863,-0.00884207173215395,-0.00345808139803724,9.24277773126809e-05,-0.00325008086532451,-0.00162250402532599,0.00215887002448706,0.00258324555775222,0.000615088187835483,-0.0101618913851679
"14",14,-0.00401678457069181,-0.00535970595479273,-0.00641255187854906,-0.00212940351530972,-0.00645691963823465,-7.12866145762453e-05,-0.00753842124469194,2.36382535133406e-05,-0.0071710903825549,-0.000786740388430417,-0.00501925012542159,0.00780864367071554,-0.00084083331664171,-0.000694392833315225,0.00189968877286757,-0.00279857965901853,-0.00898747757072419
"15",15,0.00187419747903885,-0.00992450854536287,-0.00341967413700924,-0.00447312207669981,-0.00199108808346096,-0.00687276982760148,-0.00490801917454386,-0.00153723870540605,0.000713075424473286,0.00184807753283641,-0.00518619387334501,-0.00302850138104216,0.00181471194460667,0.00453582350937546,0.00517954374376424,-0.00153150155545371,-0.0102261192408841
"16",16,0.00103426916743708,-0.0073299905994451,-0.00674807915734105,0.000211237461588829,-0.00315980752239779,-0.00217440969128002,-0.00800581280884086,0.000152157880653295,-0.00591909685020739,-0.00187024860142202,-0.00451405330221063,-0.000683323182345871,0.000701944385812466,0.00164274731965754,0.00538087670410774,0.00263846929819717,-0.0134108106184296
"17",17,0.00216134095926347,-0.00773397698849002,-0.0024604310053537,-0.00561459662458462,-0.000276663324066907,-0.00205065078128442,-0.00199920000053093,-0.0014840173004095,-0.00343507290319812,-0.000322425047318532,-0.00219771795642372,0.00032263253593487,-0.00111738159734927,-0.00168922694251192,0.00627337987990859,0.0022956303229376,-0.0100654078147675
"18",18,0.00285799470712803,-0.00969742450047927,-0.00639451438602245,-0.00445282146289569,-0.00341469014805183,-0.00531080765487509,-0.00761952221748395,-0.00351956934561009,-0.00450436408728105,-0.00334080496540396,-0.00562508479730443,-0.00103747209775606,-0.000130945704249854,0.000187137349270562,0.00435646294134134,0.000150655025769852,-0.00786376896161047
"19",19,0.00116138750467522,-0.00657887928777777,-0.00851433871085185,-0.00178589351049975,-0.00348941964296458,0.00394138619816138,-0.0067945915634372,0.00125309040607092,-0.00733522724174797,0.000930653697181228,-0.00424951338955993,0.00231763859083698,-0.00021492871941097,0.00679606770266543,0.00297646724609706,-0.000804943360709181,-0.00680121948076493
"20",20,-0.00537214462341252,-0.00221137310924508,-0.00656659560017537,-0.00541507682548201,-0.00312751271690124,0.00193612145828261,-0.00673014087949374,0.00192752162238816,-0.00377033599415039,0.00234241472458042,-0.00613046601159219,0.000570313180666984,0.00292537274844394,0.00506955709110335,0.00293476226578043,-0.00165239475709262,-0.0104776268100056
"21",21,-0.000907725763829724,-0.00384616781295457,-0.00589026372599231,-0.00233192669370883,-0.00614951742199547,-0.00165286663656567,-0.00630600342545606,-0.000860048880529731,-0.00138960768561236,0.00144865530666148,-0.00116794004849134,0.000551130033674851,-0.00288772388405932,0.00626822337603799,0.00662223238303211,-0.000992936261266375,-0.0072229522436979
"22",22,-2.20048550709984e-05,-0.00800104014621763,-0.00388022484188764,-0.00196094953796431,-0.00578215151256834,0.0022323866633453,-0.0073457093278179,-0.00265316447661384,-0.00514749866027808,-0.000174005271092989,-0.00424267473074609,0.000932968213585669,-0.00543941100420316,0.00164580523705783,0.00628233386799118,-0.000546520017332502,-0.00738381498857312
"23",23,-0.000655410242983861,-0.0101933842269296,-0.00250624112125616,-0.00550562313915867,-0.0104776316202861,-0.00580112200967622,-0.00306578992998906,-0.00548825827324513,-0.00175487813965695,0.000751186304214151,-0.0040083032226653,0.00151041333816719,0.000886401504110064,0.00767889584414573,0.0114304764603416,-0.00208120712264355,-0.00222786596315322
"24",24,-0.00313797165531129,-0.00249232622455724,-0.00930532578759441,-0.00341766633788835,-0.00260230717217136,0.0027882911803763,-0.00920360300191631,0.000122782426439127,-0.00306425046513192,0.00270155865833659,-0.00349798925500098,-0.00289551707319792,-0.00110549468429211,0.00471858890688369,0.00751972457189014,0.00277657879486969,-0.0134604955729057
"25",25,0.0015994618586031,-0.00917535834131144,-0.00173355218429391,-0.00604062526114733,-0.00492129565302176,0.000645991174984712,-0.0011365014844233,-0.00186009615477949,-0.0114596230535752,-0.00873462618561127,-0.00403628690019913,0.00514884336647687,-0.00114317662105146,0.00726426042359462,0.00460910174025433,-0.0015006938177618,-0.00967989578982284
"26",26,0.00293264361540879,-0.00578653279793447,-0.00548792579274763,-0.00126034274026976,-0.00396271780240741,-0.000656012629406473,-0.00325644686823569,-0.00025017895860366,-0.00165826410868172,0.000421927655880415,-0.00678746342944636,6.45473561703711e-05,-9.58195744226602e-05,0.00346663758743431,0.00302131436137194,-0.00233700859563499,-0.0125841520887819
"27",27,0.00126363105254639,-0.00809710047166399,-0.00268932664038366,0.000532093479710726,-0.00231463201358869,-0.0022739461684078,-0.00594603000871538,-0.00410405802767402,-0.00483532450172679,0.00268287678423925,-0.00178819901173206,0.00071207998575695,-0.00171384828499092,0.00226588568226594,0.00262872152865261,-0.00375391266469433,-0.00935305524128282
"28",28,0.00467193333615143,-0.0070847688658476,-0.00278730190588325,-0.00449226181553306,-0.00387843229430874,0.00226857018606815,-0.00330941800046287,-2.83560659866896e-06,-0.00805715416444894,-0.00344300589194435,-0.00754513025642682,0.0040817135625257,-0.00139604816711804,-0.00021610071454735,0.00366362292791528,-0.000920951809617026,-0.0135547966962719
"29",29,0.00471808727297181,-0.00428312305593498,-0.00697575575832359,-0.00164827566351573,-0.00475178620941078,0.000621590294493196,-0.00558766608442458,0.000242449908450436,-0.0029483297783709,-0.00284207578006574,-0.00437271089056909,0.00235246072963832,0.00047119899240262,0.00530512931235473,0.00762425203066568,0.000324486445500733,-0.00436298415371145
"30",30,6.32977052123224e-06,-0.00357020467666809,-0.00693325613349201,-0.0024211510786504,-0.00439784802542443,0.00308837062539018,-0.00676176673048073,-0.00212737906963834,-0.00242695678349403,0.00170916273658692,-0.00547498914752913,0.00186868738742853,0.00467475854695663,0.00240380663243494,9.98854321664246e-05,-0.00232503613578284,-0.00819053070792658
