"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16"
"1",1,-0.0141403129732354,-0.0068242120716341,-0.0073999190867818,-0.0109931577966318,-0.0118072695645599,-0.00694490099344799,0.00808313702062673,0.0043261519886223,0.0133481759765274,0.00980558123413977,0.0113216306899395,0.017572958460963,0.0102084535548708,0.0158641322958945,0.0269963664655198,0.017318853981032,0.0141127941927242
"2",2,-0.0136320563665246,-0.00294187372884176,-0.0116173804053229,-0.00965707972040915,-0.00645018935249149,-0.00707978643086943,0.0042310383088135,-0.000319924891194532,0.0104319728844391,0.00784008263139273,0.0200971566308212,0.0214154284677775,0.0171136590214539,0.0179304008495238,0.0206841278056886,0.00944257575893446,0.011046832922504
"3",3,-0.019122392397934,-0.00336942109518729,-0.0101619289915862,-0.00823169911535973,-0.00509382953320953,-0.00718804285231863,-0.000764155442524227,-0.00861680767387014,0.00497051056848129,0.00445205443773736,0.0135802898601923,0.0213846737708671,0.0206821183974251,0.0201627437131051,0.0211705485952266,0.0155505822972311,0.0151493951739754
"4",4,-0.0161373772979405,-0.00896121979232691,-0.01256611683161,-0.0081669382951104,-0.00869983020925401,-0.00561110888288109,0.00860919989196681,-0.00338958223156805,0.00553269403231715,-0.00103593017389132,0.00695608924678975,0.0149078574877295,0.0115597709330638,0.0206181162737982,0.0239424338246227,0.0175138820645295,0.0157454378205174
"5",5,-0.0130462911606175,-0.00380910790227103,-0.00711356833032027,-0.00406860934364268,-0.00842387496740373,-0.00621520098963323,0.000240448403079759,-0.00670719133511827,0.00902791284607266,0.0017681455035214,0.0141599539363432,0.0176259380932363,0.0175137440587974,0.0245930622976579,0.0183966773629998,0.0136979294410965,0.010267686520154
"6",6,-0.0163582946536302,-0.00872767657099144,-0.00732954911612311,-0.010047040253963,-0.00632767616912152,-0.00756781188582684,-0.00254475950921251,-0.00427689413744203,0.00534854640737717,0.00602818949434483,0.0147155100832206,0.0227220828355656,0.020267630382621,0.0214948481143632,0.020692571262063,0.0157406400358732,0.0102331491221577
"7",7,-0.0170016663187197,-0.000103401179925752,-0.0127126417401107,-0.0102227871539985,-0.00951418242995078,-0.00808245826205481,0.00454415277843637,-0.00674377721031526,0.00853888261550221,-0.00540704900363425,0.00949123741109531,0.0196265426686043,0.013800289000341,0.0147991279230639,0.0197835646519585,0.0187492124259787,0.0141106840083251
"8",8,-0.0164521874330569,-0.00501243291466183,-0.0105633223609314,-0.0098957696912726,-0.0136770959573029,-0.0126324941764712,-0.000862602150007473,-0.00783393451561077,0.0160185692953012,0.00222204405579924,0.015126826469948,0.0250147083853944,0.0213867155642675,0.0247829224900545,0.0197499679219727,0.016791858969098,0.0155339752159404
"9",9,-0.0128626236532183,0.00332882285424676,-0.00134847679199881,0.00104178049452836,-0.0031045015043745,-0.00761160006947718,0.00307869704943004,-0.00530649539126244,0.00807838457475039,0.00643906080407083,0.0205391262365995,0.0280948018810273,0.0210493746607559,0.0218783998490186,0.0212463445775249,0.014600264523924,0.0156517256047853
"10",10,-0.0166497686144811,-0.0101315048161649,-0.00889986037895018,-0.0110486368000378,-0.00567869843115839,-0.00702992199077389,-0.00313100431643667,-0.00448186246528268,0.00019579622855684,-0.00111653647056341,-0.000322513804984721,0.0101566430000085,0.0139446181309104,0.012867601584571,0.0211952920060629,0.0159876263149716,0.0143586321685136
