"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16","coef_lag17"
"1",1,0.000918765023770285,-0.00849364667613144,-0.00863008216834307,-0.00528188873394262,9.37617375027127e-06,0.00250562728871839,-0.00109958273176373,-0.0013712812966813,-0.000720713758814228,-0.00428359269985475,-0.00551561028801637,-0.00394154645450289,0.00322981429908988,0.00532366999399194,0.00814199643155333,-0.00190623658279416,-0.00880473004846346,-0.00203428875325641
"2",2,0.00462025209426962,-0.0129032372307938,-0.00549707458189068,-0.0078470639651591,-0.00179416160236011,-0.00553368294800274,-0.00197715376864566,-0.0071196554790702,-0.000818736027974873,-0.00201624911699023,-0.00276061108693078,-0.00650082756819808,0.000244866858945671,0.00471540298758205,0.00766527231839845,3.64920307900249e-05,-0.00423621397208616,-0.00900897271336954
"3",3,-0.000329591023602603,-0.0142589427237724,-0.00299107251119965,-0.00609051748706498,-0.00204049978166848,-0.00410881362470486,-0.00512737702382285,-0.00595861186356104,-0.00122674540181892,-0.00444424369080778,-0.0013866474679487,-0.000875887233040383,0.00131865365806658,0.00663585984958403,0.00756710224143619,-0.00106845264931182,-0.0082764784206768,-0.000255666629667391
"4",4,0.00127358150842478,-0.0100574318171534,-0.00295662247001263,-0.000110543945952124,0.002174701707766,0.00452220827073696,-0.00603050476241028,-0.00196617981521007,-0.0048891495001636,-0.00434400865699123,-0.00658557137370176,0.00187619350649242,-0.000607666938439906,0.00381380604206751,0.00618882332963585,-0.00358652437838128,-0.00734319454455109,-0.00787471635764611
"5",5,-0.00167530606091802,-0.00504877005630929,-0.0076952901755537,-0.00378391021222008,-0.00876981483978598,-0.00544887796182036,-0.0111771665634398,0.00156803055371916,-0.0102053684509298,-0.0028144367729355,-0.00797661616247483,-0.000235160027458078,0.00136354416516252,-0.0034028631135157,0.00387361694270121,0.00532140792018994,-0.00788129005485215,-0.00217326449696801
"6",6,-0.00223351766033804,-0.00975279760622595,-0.00465823866278475,-0.00318474491671249,-0.00248546295060466,-0.00261228711476974,-0.00475571085270496,-0.00192738260716843,-0.00242284388968414,-0.0058300074723869,-0.00113062318186278,0.000539471730131256,0.00365506374390953,0.000161086457202453,0.00581678752296382,-0.00188716251348884,-0.00609451704628241,-0.00410483802750695
"7",7,0.00373574254709746,-0.0125871199658242,-0.00317127511180867,-0.00734926641726235,-0.000332191910188447,0.00423293313210496,-0.00323161075792816,-0.00785609164355124,-0.00313409877666955,0.00165796168635287,-0.0017206765504054,-0.00486241804920941,-0.0025704532945365,0.0106615326016186,0.0110859199171188,-0.003154755289914,-0.0103150266152658,-0.000101254181258996
"8",8,0.00073240358768647,-0.0117512404748214,-0.000261711189421677,-0.0084878266714179,-0.00336599727219111,-0.00196691180621956,-0.0017917180037132,-0.00724555312732415,-0.00104889741081577,-0.00222511107262225,0.000563140051813442,-0.00320015513717278,0.00292499470265269,0.0022184144011963,0.0105526779652808,-0.00354258693129978,-0.00771684792312467,-0.00590352542236495
"9",9,0.00312357965912146,-0.00707124968032798,-0.00263942514178369,-0.00823822548635253,-0.00290540321059498,-0.00428485706268787,-0.00411802201468972,-0.00699307598474714,-0.00245899260492911,-0.000599652164143333,-0.0025017316871655,-0.00478586838738084,0.00101656437502473,0.0017095495880153,0.00497634413508029,0.00117995434449142,-0.0096515386506142,-0.00979348802417516
"10",10,-0.00135920160893783,-0.00410358491231989,-0.00585856652351789,-0.00202737629119337,-0.00363951016580946,0.000255081954756906,-0.00371654974109578,-0.0029468661964994,-0.00629441253953249,-0.00582983743908178,-0.00450274606202589,-0.00064720075998533,0.0010034976343421,0.00601650570552593,0.00898089274313982,0.000423900409195378,-0.00582140160297568,-0.00386854390698493
