"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16","coef_lag17"
"1",1,-0.0144914738967824,-0.00792517792837555,-0.00745624603431898,-0.0130146982140795,-0.0123640962952733,-0.00726031596912252,0.00840028763979663,0.0050784695702338,0.0128307471422926,0.00827015794717275,0.0107473610145599,0.017739038943272,0.0111443231146931,0.0152832176565386,0.0267437015950535,0.0160818503961812,0.0136941376107895,-0.00632070955281672
"2",2,-0.013214236527987,-0.00342997287746369,-0.0109940647118146,-0.00743758859129014,-0.00575622722796369,-0.00352821436837287,0.00560897988587835,0.00429251042693377,0.00871976473809258,0.00571779923121819,0.0203189996055701,0.0191386686052377,0.0204402634841191,0.0187216548077234,0.0238750046448416,0.0108481952271443,0.0127944784008705,0.00130664567582948
"3",3,-0.0198586247957715,-0.00411813143515382,-0.0100643527768033,-0.0105651674450838,-0.00568901365900894,-0.00807411036517514,-0.000577575451420332,-0.00845361646542881,0.00522947583242216,0.00280840073020981,0.0128638701407198,0.0214215140481946,0.0212548942569955,0.0190659198951315,0.020123679639435,0.0144090989811277,0.014849761911152,-0.00680405034030069
"4",4,-0.0157467790833458,-0.0104795432654212,-0.0123864345616655,-0.00772908335621938,-0.00761687009308682,-0.00268181720586354,0.010198021651475,0.000750816115482484,0.00445320557055423,-0.00130661338408637,0.00646517002281405,0.013147563299637,0.0138345826032607,0.0213211234098994,0.0262383298625269,0.0182615916077828,0.0173505526148753,0.00299502879218248
"5",5,-0.0145490372599114,-0.00734049587972024,-0.0113395424174244,-0.00504876724401049,-0.00943110889968552,-0.0081994575252454,-0.00140410703543951,-0.00899019320069796,0.00420553576069764,0.00173098796750424,0.011540735878833,0.0164735165504726,0.0144356455453796,0.0223877137949498,0.0168576777794872,0.0102958260307995,0.00834013139760346,0.00455867201452199
"6",6,-0.0181344986243564,-0.0117924619220764,-0.0104545516065109,-0.0122558590989427,-0.00791173395420698,-0.0094054256602702,-0.00373011882767068,-0.00538422634511928,0.00155198046826125,0.00371829466183344,0.0124663828865161,0.0222778062097833,0.0194424624790207,0.0191515138018993,0.019170033281568,0.0124170289785119,0.00885830820711281,-0.00454830647851423
"7",7,-0.0173205712020912,-0.000260208234615934,-0.0105736009103172,-0.0134895221317745,-0.0105206434507016,-0.00913563119159086,0.00539335732021178,-0.00562184118912169,0.00990697021912947,-0.00857162962148354,0.00952453270968924,0.0199813608993072,0.0155658342458375,0.0137591057508138,0.01875431459332,0.0173125109957123,0.0134673879691865,-0.0139804352128944
"8",8,-0.0175134207257249,-0.00596757788330473,-0.0101800948907008,-0.0113796882974908,-0.0147210201295144,-0.0119950913662705,-0.000248428903062865,-0.00485128313089524,0.0149192145785794,-0.0024087570310377,0.0146344209467951,0.0245747592930076,0.0249649347625366,0.0236306027715839,0.0201899099902269,0.0160498874052388,0.0160519662495438,-0.0118462307174222
"9",9,-0.0119425926315494,0.00248111333310452,-0.000469589760362582,0.00294507195988038,-0.00159995377695364,-0.00265668812784866,0.00546475122122201,0.00122230738608922,0.00712713164603328,0.00571623360540335,0.0203002566642276,0.0256322443557414,0.0247363926393036,0.0232704804401805,0.0253228216112176,0.0161837459495441,0.018485929758666,0.00281358603881271
"10",10,-0.0176571418023656,-0.0119270133867129,-0.0101895828025889,-0.0114303742057896,-0.00606998767036602,-0.00726963023173477,-0.00366859995277265,-0.0042921779363968,-0.00245815702244247,-0.0029556380099357,-0.00163763769987475,0.00924855901675967,0.0141872831276157,0.011747351966798,0.0210152932904161,0.0148930130035286,0.0138831755999044,-0.000680488238729742
"11",11,-0.013859999141449,-0.00687428147859619,-0.00622024868128214,-0.00626049163561707,-0.00383400326990945,-0.0139605444954427,-0.00418709235253064,0.000993278901321463,0.00816199540373549,0.0087545716507937,0.0133530131963467,0.0248617302752711,0.0196030420361852,0.019500916651956,0.0286740493143162,0.018860327442512,0.0164971482565606,0.00247407861858993
"12",12,-0.0157943142481654,-0.00665588311240181,-0.00821594301717375,-0.00730513509559208,-0.0100011242266459,0.000395147725393123,0.00309330817340049,-0.0061514040608135,-0.00132892252835715,0.000443493347275497,0.0102319056647166,0.0203879568563995,0.0200397345058325,0.0231822797496183,0.0196662969280113,0.00787449163046585,0.0117177717673817,-0.00857062261712574
"13",13,-0.0180141273961517,-0.00656508197585905,-0.0153290199444454,-0.00245767061025937,0.00131886358368178,-0.00678873894824159,2.25031134206251e-05,-0.00156847447352944,0.00206539290516493,-0.00797088604345091,0.00971087325050855,0.0193351992906843,0.0249951588528724,0.022688116725823,0.0222951673350147,0.0177928861820541,0.0141714358423585,0.00503947056669626
"14",14,-0.0178614641122455,-0.0124794169907549,-0.0151458122983462,-0.0171917216520074,-0.0152143742567914,-0.013882738470634,-0.00966460674936615,-0.0139971919736814,-0.00116712233201275,-0.000541332510092052,0.00671157419205803,0.0218714242437154,0.0193258541115602,0.0158974978521501,0.0156138796567615,0.00680735695175003,0.0051351693018387,-0.0116947074593231
"15",15,-0.0115270433196051,-0.00504150215247246,-0.0109799020748293,-0.00822890231948152,-0.007451730066391,-0.000320115837858462,0.00166663194841853,-0.00106436552131454,0.0122139245209511,0.00615902474895026,0.0209735426147722,0.0192736144421696,0.0208717104468171,0.0224484702057055,0.0228371106121217,0.0116280781904372,0.0105101051118017,-0.00701614312238178
"16",16,-0.0179431986329067,-0.00311446371381464,-0.00956902262361101,-0.00835549055749128,-0.00460160155395019,-0.000529953111282319,0.00788719704472813,-0.00673795081163352,0.00409385015624268,-0.00200498942841892,0.0081777540810407,0.0242504140586292,0.0231627735664166,0.0268676403097913,0.0242977455797862,0.0124367235699069,0.0151860618047681,-0.00666154670681792
"17",17,-0.0225429144827477,-0.0141168221171624,-0.0207638652888558,-0.0180215179440558,-0.02096167233756,-0.0142045652197433,-0.00312997764506488,-0.0125482532802177,0.00264450228260685,-0.00545804425860076,0.0086880115663944,0.0132492783434114,0.0141494293717343,0.0139631271052698,0.011746419142126,0.00693655639920749,0.0103146641880671,-0.00405077561322209
"18",18,-0.0158068561621105,-0.00661224554858429,-0.0122780808566567,-0.0100598503992354,-0.00938832747426757,-0.00351124502834929,0.00453771857988254,-0.00825377252493028,0.00589274300040115,-0.0029084408622359,0.018393828226331,0.01718128566308,0.0203663582263495,0.0197222523669734,0.0146255806333392,0.00587326417294912,0.00686548133394325,-0.00982863317568898
"19",19,-0.0215952034819952,-0.00990054745358067,-0.0158697406941969,-0.018772311874157,-0.0143967476774356,-0.0187941217082426,-0.006244984516228,-0.0133960626886547,0.00160026117490445,-0.00141561546459405,0.011816585417613,0.0254928247199593,0.0224902598947821,0.0191028705452346,0.018563999524066,0.0102271668024345,0.00665595190586691,-0.0116353980041722
