"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16","coef_lag17","coef_lag18"
"1",1,0.00232417016372822,-0.00997389420180416,-0.00763820809067882,-0.00739343910454605,0.00165737346015339,0.00236071997579559,-0.00175843902401931,-0.00223556069671659,0.000423152673396876,-0.00442370114878381,-0.00532179074872282,-0.00507026508145502,0.00314803698675247,0.00603049172530745,0.00805982928670954,-0.00234295967749903,-0.0068412974038833,-0.00142926052597584,-0.000876958957633616
"2",2,0.00580804813581397,-0.0144720255390226,-0.00476184283850646,-0.0103707077152255,-6.81904752579923e-05,-0.00525510078951415,-0.00294959417106822,-0.00774008069535423,0.00016438199883446,-0.0022016962058354,-0.00326593475362376,-0.00785388154095019,-9.44463042700249e-05,0.00508201747159711,0.00727338758341325,-3.87785928567498e-05,-0.00202166883928192,-0.0070656811997385,-0.00388065288498452
"3",3,0.00122017764729889,-0.0124140291395258,-0.00267692497665688,-0.006426289909501,-0.0028302135126483,-0.00450480050218004,-0.00487734803982418,-0.00700307860565282,-0.00146429415942794,-0.0056563913334024,-0.00133241688410577,-0.00344422015390076,0.00327960924643613,0.00414761463273014,0.00848585605628489,-0.000685234782388962,-0.00746264740789568,0.000387711800147863,0.00229731916474049
"4",4,0.0025901671671211,-0.00925810840073573,-0.00267136769433022,-0.00157573914852364,0.00222778351404877,0.00479381476741727,-0.00668000833939462,-0.00277414953452736,-0.00509911452970571,-0.0052439304446598,-0.00698683523939053,-0.000728822668865089,0.000161926322326442,0.00241140522524803,0.00627323455249063,-0.0029699634788415,-0.00586647257527392,-0.00580398751102296,-0.00202096888735173
"5",5,0.000305212931534381,-0.00432172180543918,-0.00687857551443994,-0.00703512454272039,-0.00814362345269211,-0.00492943586349598,-0.01218284387464,0.000361692275842147,-0.00988666819856209,-0.00415529969719771,-0.00964268017371314,-0.00360267856168603,0.00207315571651028,-0.0057035778573677,0.00408882146814443,0.00616184098780707,-0.00503861080469728,0.00173805583369065,-0.00472013614509444
"6",6,-0.00154789058298183,-0.00844152109361865,-0.00527285386608653,-0.00361021176196623,-0.0031831310854232,-0.00219957868544425,-0.00527042507319793,-0.00208505786328303,-0.00337543811852261,-0.00625015877771629,-0.00184005077301646,-0.00131903984303305,0.0041189156652574,-0.00108431184558,0.00590971472336129,-0.00102109269095487,-0.00573951783938959,-0.00264131862994054,-0.00177642732495728
"7",7,0.00671527319953881,-0.0128412101599629,-0.00151126913104851,-0.0100432304696182,0.000907122550464604,0.00315717608484416,-0.00323625663438023,-0.00976721895870447,-0.00146106537085759,0.000239437861159213,-0.00150667441777595,-0.00759451477023202,-0.000914204935556796,0.00891441106401968,0.0121303316960305,-0.00349965965917918,-0.00768705518212925,0.000664985822650942,0.00205900179660035
"8",8,0.00119097849676915,-0.011195089238387,-0.000720463358013343,-0.00915197811370281,-0.00348290144479685,-0.00136023058194357,-0.00241667867058333,-0.0072439518309442,-0.00167767153309388,-0.00241587936251834,-8.49270209893266e-05,-0.00472026262146284,0.0029853258086458,0.00175983849236628,0.010338871219415,-0.0028694064787231,-0.00703514196291654,-0.00439757389545009,-0.00267571734635196
"9",9,0.00338177218615402,-0.00537620258833292,-0.00467797310263037,-0.00849211506750784,-0.00412225670384337,-0.00316034860384151,-0.00524194586307175,-0.00607377936293266,-0.00469262350418633,-0.000496517827640258,-0.00432407122963766,-0.00657723746963679,0.00044298874953049,0.000873735021956666,0.004500959298734,0.00323724576820877,-0.00966501380511193,-0.00712690176639657,-0.00566079450184125
"10",10,0.000517561403050154,-0.00377507556854312,-0.00721503651590646,-0.00398459538881949,-0.00336900818516747,0.000289841553251318,-0.00479679841921868,-0.0028418526388691,-0.00690180698782487,-0.00619382143712577,-0.00664127272019612,-0.00275409797579313,0.000523332233898479,0.00492034688766296,0.00920722514437014,0.00188231126621179,-0.00445567650126954,-0.00139167356674125,-0.00527439098768645
"11",11,0.000781422352902791,-0.00704370156867199,-0.0105400073420375,-0.00420267797302694,-0.00703917047544122,-0.000708771682702211,-0.00636527549755772,-0.00289082755360146,-0.00099088720760516,-0.00481198074212043,-0.0083950306442953,-0.000104435998282334,0.00032050166831403,0.00840941768416667,0.0079633060757501,-1.76545758865556e-05,-0.00301971484573079,-0.00488625447306974,-0.00107392542839771
"12",12,0.00175339609180418,-0.0144717175428408,-0.0059131419261731,-0.00302761097055651,0.000420741984255633,-0.00138137502649424,-0.00121974186054555,-0.00408739628768039,-0.00230236782561643,-0.00343920384103664,-0.00542492040907454,0.00177684974937454,0.00476532678618767,0.000392045913702022,0.00766015630865465,-0.00335705131215568,-0.0125135278529716,-0.00872004180900073,-0.00634895099788383
"13",13,-0.000684441495882315,-0.0104220481639635,0.00288734127815209,-0.0105591457580367,-0.00205410969388266,-0.00371710691891619,-0.00672865612169682,-0.0129314163524006,-0.00571511119282586,-0.00617747505875944,-0.000763542017436263,-0.00588548139394319,-0.000878205737827314,-0.00052325737773881,0.00379060356353438,-0.000484718331395452,-0.00398334511144175,-0.00208253455382405,-0.000840883986926553
"14",14,-0.00407771719357055,-0.0101897235234804,-0.00456988345167297,-0.00495828907192457,-0.00400574992404509,3.12923293947001e-05,-0.00437290150577381,-0.0023941994162541,-0.00363534292987414,-0.00266670437767199,-0.00348242418210064,0.00329879517399792,0.00246024583862022,-0.00140646232680424,0.00328938834514637,-0.00508585286638381,-0.00857215789676011,-0.00537001708165209,-0.00388830991141136
"15",15,0.00432159517194421,-0.0160429976032281,-0.00134078579544043,-0.00802626427041586,0.000805067950023006,-0.00672440885029867,-0.00285246302902168,-0.00472017502558708,0.00230724872747842,0.00108619194279899,-0.00544768145660849,-0.00394736052291736,0.000744202040272271,0.00640363926526057,0.00706261993707528,-0.00456670018552409,-0.0092653053606747,-0.00561608404576748,-0.00282165056852167
"16",16,0.00228769820441874,-0.0103029693041516,-0.00407401095052556,-0.00315206720478075,-0.00283204924004387,-0.000569545467628689,-0.00478004111345242,-0.00525419252434455,-0.00517381576882746,-0.00652452430122026,-0.0048297517291291,-0.00754583047914574,0.00375970396580079,-0.00175028283412566,0.0086712503131338,0.000331816898280285,-0.0106837432450377,-0.00834180194194743,-0.00359646003602695
"17",17,0.00280720869914803,-0.0117030148667882,-0.000777539620922997,-0.00833685004511284,0.0018425184665308,-0.00165271504924009,-0.000525801462408706,-0.00404520392352324,-0.00139896887620857,-0.00217103224353929,-0.00210001890121225,-0.002526364856356,-0.000325548715845963,-0.0019965638222603,0.00744995497429605,0.000568226766227004,-0.00769250771043781,-0.00541006579080174,-0.00393951415406241
"18",18,0.00511158319434317,-0.0143345092666179,-0.0020505713120957,-0.00908446578741843,-0.0013513014334386,-0.00404079592964602,-0.00453597831601754,-0.00860751435457333,-0.00207591322249389,-0.00602356319720724,-0.00492016591349864,-0.00526596102310964,0.00181949795323681,-0.00120125055940153,0.00692819478385612,-0.00355751922999073,-0.00623032962215647,-0.0043648116202287,-0.00253275314150054
"19",19,0.00107880657249925,-0.00989644201317357,-0.00393677049330485,-0.00357327002923839,-0.00221243061235653,0.00501171463247468,-0.00354715297540413,-0.00267828911671235,-0.00442202549634385,-0.000975014140160011,-0.00109608567831151,-0.00252257613670779,0.00475444560390587,0.00541349889385073,0.00445317265906829,-0.00459976115819868,-0.00653268193791565,-0.00550155367058449,0.00284286346041198
"20",20,-0.00574390960687813,-0.00397637532690803,-0.00430446493503566,-0.00583209636452174,-0.00252338411291116,0.00306070427988615,-0.00444487279234078,-6.88884668551954e-05,-0.00271005020162896,0.00163204456404886,-0.00444589981207472,-0.00198598218854297,0.0055491638434224,0.00466895011745146,0.00363561047069767,-0.00384090524188729,-0.0113769629673159,-0.00418547833001608,0.00115976771405997
"21",21,0.000373778764971832,-0.00720442640911821,-0.00344772675440092,-0.00470796458079134,-0.00425693851220994,-0.00101016432476302,-0.00491557395259707,-0.00302837038226664,0.000295740170418679,0.00104071566901896,-0.000585056469241418,-0.000825147826575407,-0.00203493876606824,0.00671487837761305,0.0074327397518914,-0.00333496477501195,-0.00675742117854975,-0.00286183642128506,-0.00102445539175485
"22",22,0.00218718355815524,-0.0113055119092367,-0.00169780456461885,-0.0053617994550808,-0.00358251670576708,0.00278705255399843,-0.0066031063036374,-0.00461144828145695,-0.00381086131506735,0.000523379920468922,-0.00440421367020255,2.49338590678308e-05,-0.0053045740993554,0.00274018471170515,0.00667443301961951,-0.00268562616230578,-0.00779118442762143,0.00123043354559999,-0.00333007443503231
"23",23,-0.00132975967412475,-0.0112003185027821,-0.0017904241326674,-0.00691507557276225,-0.00928645417754586,-0.00536348967296437,-0.00361456638345513,-0.0055909338640015,1.03947696705764e-05,0.000533713174106471,-0.00340280348473589,-0.00138825014143276,0.0031892576980392,0.00696499427267627,0.0104862034609326,-0.00204404599283027,-0.0011068366908761,0.00269364144278118,-0.00430961359803612
"24",24,0.0015475032003334,-0.00905230714698897,-0.00366906505105047,-0.0103131205090439,0.00265058274080526,0.00206914590682687,-0.00760038497228028,-0.00529169184547139,0.00213354359113063,-2.61580729738636e-05,-0.00287426457491492,-0.0054941006192,-0.000132269395068965,0.00429548629044132,0.00984264124575989,-0.00122645124212675,-0.00805164452683173,-0.00556211464904627,0.00025310562320952
"25",25,0.000984851647834601,-0.0125815857457506,-0.00190783564479873,-0.00697070099035353,-0.00404708630180964,0.000564887010066053,0.000338013740264515,-0.00314411513057379,-0.00996422901040562,-0.00986340444650323,-0.00309502901813859,0.00121407538402832,0.00139128167812708,0.00786341509004199,0.00534365508354459,-0.00245269139958441,-0.00887390970716123,-0.00597703470814795,-0.00180225903128204
"26",26,0.00416481741277262,-0.0113798354136244,-0.00274822151908921,-0.00515492071059705,-0.00116838883983491,2.08311736081789e-05,-0.000750442929953486,-0.00415239441832886,0.000905419404523843,-0.00141746344586642,-0.00603417209940896,-0.0041037212538275,0.00212207782676304,0.00349153965945494,0.00459656192711547,-0.00513032178870136,-0.0110648174548646,-0.0058585519400019,-0.00406834031323088
"27",27,0.00346141015523028,-0.0111247568979223,0.000409722147805633,-0.00254263797164862,-6.67171422295791e-05,-0.00189307789545234,-0.00516710936982096,-0.00672503778468363,-0.00295216259738245,0.00217500533662331,-0.00155864678090073,-0.000416228148027997,-0.00128218892481497,0.00223003990455184,0.00345310456642353,-0.00603690230422729,-0.00811933609139733,-0.00111762936474742,-0.000897866952340227
"28",28,0.00377113613728085,-0.0114378503929033,-0.00136726712729466,-0.00519348933794247,-0.00170163721209793,0.00158111098168272,-0.00147194543713387,-0.00149490330058866,-0.00532483040420233,-0.00446770594631983,-0.00509887663973534,0.00125763872178545,0.00189465612630821,0.00111829474296179,0.00428378288531961,-0.00284011529095413,-0.0125694108869472,-0.00760733754244127,0.00210042823841729
"29",29,0.00647371548525581,-0.00511842624382425,-0.00600224145364632,-0.00411271415821324,-0.00372553695663893,0.000868571172427711,-0.00586033671831711,-0.00148265554933062,-0.0026269354842729,-0.00362000484400902,-0.00529524438935224,-0.000299880952625329,0.0017435163460626,0.00405565850902663,0.00815763260883869,0.000273568822764285,-0.00250304029072364,-0.00079447768870263,-0.00245330406025049
"30",30,0.00227977907680216,-0.00777419521128197,-0.00348863884045722,-0.00784989914412913,-0.00126433719590349,0.00446651468026726,-0.00451172930111485,-0.00621081547751011,-8.67876373775284e-05,0.000194695952053205,-0.00578506612636489,-0.00163256523346657,0.00556219234081851,0.00138760125629715,0.0017507710357233,-0.00511656447717052,-0.00648728328108265,-0.00215495558059074,-0.00648902546850485
"31",31,0.00508236516673125,-0.00738281795165013,-0.00276895671025959,-0.00251393108716432,-0.00298572000616778,-0.00307153272300608,-0.00227689679214787,-0.00140653482986175,-0.00544156535268068,-0.000891654309406474,-0.00245278382269192,0.000258984427968095,-0.00040981009967503,-0.00460842408584916,0.000457290387441825,-0.00311462198295851,-0.00771990315379441,-0.00544554036231915,-0.00441167746564705
"32",32,0.0050969732175712,-0.00825352909440328,-0.00144221628414444,-0.00670726594015943,-0.00685283378729824,-0.000591206812560001,-0.00458420436459532,-0.00465380269047792,-0.00665693121943683,0.000552071063018205,-0.0034792536753935,-0.00366534820871711,0.00044565380688056,0.00368021611658446,0.00697984970731762,-0.00163682299261991,-0.00855000430903725,0.000636496766349895,-0.00278544654977694
"33",33,0.00482059642464799,-0.00978187872991632,-0.00155327065628069,-0.00107824112032437,-0.00292589085363839,-0.00186373633593307,-0.00639932144469616,-0.00415083962104989,0.00044271227088903,-0.00164645335819864,-0.00297118317424445,-0.001451992575934,-0.00406084456260318,-6.59418604802674e-05,0.00322010784054511,-0.0028959879082431,-0.00461049141433797,-0.00236810213582321,-0.00178069830035191
"34",34,-0.00215682948425399,-0.0105818939221425,-0.00549232235590001,-0.00666375022528288,0.00142382961792536,-0.00214172402609858,-0.00230707640054644,-0.00674894980418425,-0.00299512411010402,-0.00860061666896504,-0.00720550440429442,-0.00456035614785945,0.000448962036535136,0.00241748239442121,0.00234159979065901,-0.00483677052798877,-0.00675789404565215,-0.00700722562485992,-0.00230842366819253
"35",35,0.0028546407964278,-0.00970772383728468,-0.00427344878722778,-0.00895649340965092,-0.00533771353287162,0.00147279179931099,-0.000805767581486319,-0.0032736056255099,-0.0037537306401604,-0.00735566010226183,-0.00888734956753398,-0.00800689201169854,0.00410316224125408,0.00299539172691686,0.00534725396684284,0.00565923285423676,-0.00658695452580124,-0.0110578723292829,-0.00288627226578979
"36",36,0.00672847837026554,-0.00729565281514661,-0.00239410953119947,-0.00614166403302614,0.000563978395827946,-0.00242679291909052,-0.00787050153185275,-0.00485706039894536,-0.000394470607011181,0.00281790198623504,-0.00562579624242462,-0.00146475267521229,-0.00507708778351157,0.00279983521079056,0.00494066787470805,-0.00478406916884347,-0.00651074835550311,0.00197174330374788,0.00107486873165203
"37",37,-0.00227048543468204,-0.00925192695569112,-0.00770473695446954,-0.00607668309427439,-0.00164358021014169,-0.000260697100949823,-0.00401251474262321,-0.00469887901423359,-0.00180576091477347,-0.00281705047943748,-0.0083661670711222,0.00153561499431928,0.00480963262622386,-0.00235838893630927,0.00701920364903275,-0.00199526340792634,-0.00927240839336273,-0.00563388636817154,-0.00432535972964143
"38",38,-0.00459763970647831,-0.0114826128974043,-0.00545269392801443,-0.00557506626111443,0.00138074176524506,-0.00289733862008012,-0.00403795022628115,-0.00620800267888812,0.00094868833459943,-0.00617516175534214,-0.00252452941633941,-0.00246219969121437,0.00218140769170717,0.00114284692510951,0.00687076138043646,-0.00320968798028623,-0.00986546187518767,-0.00766823856997786,-0.000801118863401251
"39",39,-0.000920574716189093,-0.00467686895313764,-0.00733275211629258,-0.0027385676433967,-0.00432039757067258,0.00157748991581171,-0.0086199471849226,0.000911049495741913,-0.00346787726548552,0.00101831711827878,-0.00520243126751108,-0.00163352036559874,-0.000128621369441624,0.00233937799307956,0.00924188238148694,-0.000814811698126285,-0.00546253812634579,-0.000517254449415567,-0.000648767758781435
"40",40,-6.71740683026734e-06,-0.00508122372910787,-0.00572519581972631,-0.00505581562691637,-0.00693224149534384,-0.000239565670716477,-0.00835761046517835,0.000650501636119436,-0.00424431271627374,0.00025654226179178,-0.00807622285875216,-0.0049163693457535,-0.00147365008726375,-0.000570583412239703,0.00209769002261903,-0.000398455155277552,-0.00694749730448796,-0.000960767947532588,-0.00432717241145645
"41",41,0.0047194638741183,-0.0107411398145728,-0.000639434906586148,-0.00487804424748952,0.00122496290450135,-0.000701114962727341,0.00155451241110647,-0.00291765675219221,-0.000833931481691428,-0.0011581106247721,-0.000550924680794112,-0.00023419237203076,0.00028797408406255,0.00266615376146717,0.00578919417215322,-0.00511179855910706,-0.00887999812984753,-0.00502273443791609,-0.00270819096032946
