"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16","coef_lag17","coef_lag18","coef_lag19"
"1",1,0.00250357207053572,-0.00997195000843061,-0.00912565643614825,-0.00883856625085533,0.000766744180693413,0.0029897255570972,-0.00189708544501613,-0.0033568156768087,0.00136770962434363,-0.00495259087992834,-0.00452254819585103,-0.00589271576344196,0.00341298280702765,0.00446204654005991,0.00952097478539449,-0.00302734519669778,-0.00549931500034422,-0.00161908912624359,-9.30018397430952e-06,-0.00498665712865516
"2",2,0.00553960601604105,-0.0157929562391386,-0.00673803686031985,-0.0126169767606672,0.0002500641288761,-0.00460046377854205,-0.00226555004915413,-0.00900920119533137,0.00217784350050698,-0.00377959965081415,-0.0011678863592913,-0.00873816601394828,0.00152052300147959,0.00241248828315987,0.0103485235649261,-0.00137952772515904,-0.000775969631373327,-0.00832897950493609,-0.0037062726445921,-0.00639366690207816
"3",3,0.00253191006332075,-0.0116821288097227,-0.00456585055806328,-0.00688581689820895,-0.00552518291326155,-0.00344351716809726,-0.00498918761374059,-0.00887444781513558,-0.00122856420203192,-0.00509207463375535,-0.00165883023730172,-0.00448930734503965,0.0021619183670925,0.00308988335655159,0.00884330536240528,-0.001378610801551,-0.00578613378478553,0.00205052168997787,0.00527860989277093,-0.00658745966912325
"4",4,0.00280655462236654,-0.00854343572341511,-0.0041944478705881,-0.00047466478754005,0.000875126914564188,0.00644693991839255,-0.00721245775451637,-0.0027068351441415,-0.00540203545458586,-0.00362934599884577,-0.00737847943515921,0.000234308481208623,0.000766839142152914,0.00236932343018239,0.00782104749742198,-0.00333786497255971,-0.00620119828262523,-0.00504287568068798,-0.00237503461930359,0.00184408508418033
"5",5,-0.00039014696585639,-0.00596742583662947,-0.00960412223354661,-0.00887037710630716,-0.00717161953615647,-0.00351011420244397,-0.0116605953424589,-0.000111285531052323,-0.00731722505771194,-0.00486269317116241,-0.0070110673947526,-0.00374615423274244,0.00553544572987714,-0.00893274593183328,0.00859451008304609,0.0044906653736949,-0.00513680277478473,2.52453312397701e-05,-0.00629132554269899,-0.0036313797035529
"6",6,-0.00157428819792734,-0.00811640966356781,-0.00709599598137771,-0.00502486305842348,-0.00376140506798177,-0.00125271044430655,-0.0058866804121115,-0.00245056205375545,-0.00231060258385767,-0.00631270930997206,-0.000912774790844917,-0.00173646646729088,0.00527413777147014,-0.00263273828097589,0.00785291239911197,-0.00143518973719068,-0.00494800793946964,-0.0031872255614519,-0.0021551097638196,-0.00262021400713341
"7",7,0.00740842500018902,-0.0117669354441388,-0.00297999772121365,-0.0114182668951912,-0.00112541100874268,0.00376186996766728,-0.00407310219192789,-0.0111342281455557,-0.000991163316056757,0.000250775674813522,-0.00154641221638953,-0.0087257807029709,-0.00157361459748101,0.0077590485093119,0.0124826652176127,-0.00372469603593654,-0.00581787518814174,0.00115894350688181,0.00380931638975633,-0.00520705696573765
"8",8,0.00139926003758051,-0.0104563682669758,-0.0043395646517956,-0.00955098354286259,-0.00530504268410801,0.00108873982323906,-0.00338596140910749,-0.00787351409888099,-0.000648534224191648,-0.000695112479149999,0.000459147085923524,-0.00472962188426395,0.00517514155384823,-0.000312675662902931,0.0135337083066703,-0.00360737502165301,-0.00718951994977049,-0.00373904483950651,-0.00318222144258873,-0.0020681839590479
"9",9,0.00378522410224295,-0.00519740632348623,-0.00688898994402771,-0.0104527997307042,-0.00517213972213365,-0.0023658146807553,-0.00550397955458092,-0.00735932329046436,-0.00328959072389395,-0.00100302179003795,-0.00329407136041629,-0.00782406265312127,0.00112585117268444,-0.00121297144498568,0.00622931525196745,0.00257552858008132,-0.0081384740359019,-0.00724131500386285,-0.00469158273539401,-0.00605072060451882
"10",10,0.000114719361514323,-0.00529291710655125,-0.00878113463080799,-0.0064954108097592,-0.002567865647464,0.000524484720436603,-0.00408309203659452,-0.00389623789298705,-0.00458519418699312,-0.00820067828737338,-0.00422589484117375,-0.00379624324815782,0.00230732890756838,0.0020065853982041,0.0121399701017286,0.00049835120147208,-0.00321182227400404,-0.00313266884154008,-0.00531497830801878,-0.00632014567855851
"11",11,-0.000547989563121924,-0.00853256993777527,-0.0118754438353383,-0.00619398314920334,-0.00503403121810919,-0.000111364262928498,-0.00612750096202449,-0.00237239407532675,0.00101598781827977,-0.00633000613158157,-0.00567521604148081,0.000215281283507476,0.00335299163564545,0.00621530150308684,0.0118933802447381,-0.000925547277285614,-0.00306197636124651,-0.00755959144251906,-0.00379436039960169,-0.00059137876014301
"12",12,0.00122258786052629,-0.0136970148194847,-0.00995552800421953,-0.00566288706289298,-0.000378332101315359,0.000707221989387065,-0.00276223284519696,-0.00452049126331068,-0.000268850904619036,-0.0029060338893374,-0.00369823609885631,0.000964340597336949,0.00802255269385424,-0.0027237961172324,0.0117445709508997,-0.00378491209300357,-0.0119047243691273,-0.00978776543004033,-0.00816520093172246,-0.00350696260065739
"13",13,-0.00110734311298373,-0.0103691323154616,-0.00057109713218985,-0.0101830523854049,-0.00327769338234333,-0.00117486063660945,-0.00716500267411932,-0.0131808812103109,-0.00481742095353064,-0.00444812356804067,5.60393134524702e-05,-0.00523102319153853,0.00187855236575896,-0.00256450697536801,0.00759765131388985,-0.00132761265350142,-0.0048622349628634,-0.00170587293364248,-0.00232816647269162,-0.0003216183768075
"14",14,-0.00398399227948035,-0.00966907926098128,-0.00829309461118694,-0.00610117031675661,-0.00553694580210629,0.00232515006068444,-0.0051768376422753,-0.00307088402727508,-0.00220495165935451,-0.0014534509288971,-0.00234005288980241,0.00302540081450116,0.00489448318719802,-0.00402082926155801,0.00688839970236042,-0.00585735254146851,-0.00833091086386725,-0.0052241769820115,-0.00451549498773384,-0.00329402589014409
