"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16","coef_lag17","coef_lag18","coef_lag19"
"1",1,-0.0126952622998011,-0.0063831756033162,-0.00611052796968107,-0.0146289657772222,-0.0125950808712965,-0.00614567106553473,0.00881806256422979,0.00673565950640542,0.012792165986775,0.00923527926438029,0.00968495434674683,0.0165150121095823,0.00975711772329459,0.0145718677927692,0.0284143001563255,0.0163926562297043,0.0152747783377417,-0.0068463902183133,0.00495304727474092,0.00048171998049339
"2",2,-0.0124513566173198,-0.00104066521269066,-0.0126157854124591,-0.0111869547714057,-0.00715390740126748,-0.00220379333761342,0.00580629216069688,0.0040527905745949,0.00892947327027167,0.00410964932744225,0.0161665252605237,0.0151537184698301,0.0175172089920065,0.018560497245896,0.0246238649976769,0.0101106253073651,0.0131760985703103,-0.0013140480566265,0.00621994971437793,-0.00345926741009657
"3",3,-0.017816306496262,-0.0015729855669281,-0.00394445289365322,-0.00800675357619039,-0.00699499481174797,-0.00312660271823083,0.00309115172770219,-0.00127780768201213,0.00922692699737407,0.0122931970841651,0.0152618910259287,0.0233760735952498,0.020722601785521,0.0191498186537692,0.0252934363614162,0.0175572507966373,0.0220276037822468,-0.0029289744030044,0.00538301601302618,0.00832233100767166
"4",4,-0.0171225050035309,-0.00910690268130133,-0.0112650111969771,-0.00692935663943302,-0.00884375090342707,-0.00119741074613143,0.0127868729539984,0.00130745113302949,0.00655642972759962,-0.000625096222908886,0.00771780895415763,0.0131335835459433,0.0115855035364387,0.0224866909903119,0.0270460247448307,0.0202135374614212,0.0195104729106394,0.0039046363624834,0.0063565333084495,0.00108817977343855
"5",5,-0.0168508536881379,-0.00344009241890514,-0.0132600680990832,-0.00648878761084289,-0.0114283281096871,-0.00649874040473751,0.00108324637530347,-0.00997138356435642,0.00634188560764025,0.000357151896685741,0.0087209804755425,0.0129942289886494,0.0096423216502181,0.0246359098178928,0.0178761443967976,0.0111163406742304,0.00941797359661572,0.00184203937383663,0.00864774738770108,-0.00731247916301088
"6",6,-0.0180111074267551,-0.00945463137711607,-0.00874701038091635,-0.0113366132938699,-0.00836221552272291,-0.00853026941340921,-0.00149173585172929,-0.00349086053883898,0.00416928636878281,0.00676196989084766,0.0127592465765368,0.0225391846029877,0.0177076500182052,0.0211879789454377,0.0213272914542218,0.0140175937063183,0.0108485554903393,-0.00444497344739954,0.0032811478326152,-0.00290784621713944
"7",7,-0.0151215445121555,0.00301040147312807,-0.00370235686165675,-0.010693033325666,-0.0103030337610706,-0.00543276580825737,0.0100076984117597,0.00164263947152074,0.0145287779285076,0.00120111299877021,0.0154632819569869,0.0222485499698678,0.0150314658144344,0.014475130019912,0.0250408359839645,0.0211249674200145,0.0209448201929186,-0.0103272117861908,0.00963899107773857,0.0041488783514393
"8",8,-0.0173328870424943,-0.00325341690705353,-0.00974268037857789,-0.0127218557556929,-0.0178808009842006,-0.0120435788916951,0.000691152774889245,-0.00493614777756039,0.0154704198858098,-0.00263158693362932,0.0121468927521374,0.0241357993317369,0.0209268365554918,0.0254353024769497,0.0206464294613148,0.0165467851543203,0.0161217517409646,-0.0139804533938661,0.00351054451951537,-0.00234828942774488
"9",9,-0.0103871864462835,0.00602900879291395,0.00204632842182368,0.00402683389595515,-0.00102366460985837,-7.22444001572273e-05,0.0105063873264553,0.00622703115013093,0.0132564574420481,0.0108700495141598,0.019442345705837,0.0259467305811161,0.0219404170451934,0.0262708013884461,0.0298147521513139,0.0200881147084033,0.02292592790839,0.00532594131277374,0.0052993583260509,-0.000326651682763486
"10",10,-0.0173633011180253,-0.00811119555680643,-0.00992744191653587,-0.011654541254248,-0.00724912836578054,-0.00403233180858458,-0.000124841647082265,-0.00201584504449465,0.00172773853839293,-0.000267289003127284,-0.00305302778963121,0.00594972848894668,0.0116108587234239,0.0142570729871913,0.0240414771329012,0.0162596966109755,0.0164569718637074,-0.000788310402544305,0.00461236817246219,-0.00470096625125384
