"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16","coef_lag17","coef_lag18","coef_lag19","coef_lag20"
"1",1,-0.00988250873194823,-0.00315350366913887,-0.00379847391174599,-0.0117427243260981,-0.00962195924177389,-0.00872721955686789,0.00932636647618525,0.00627670417307833,0.0156758609758112,0.0093015921170419,0.0101074293378306,0.013551301324638,0.00999196678945439,0.0120301675558318,0.0275505142813522,0.0193137606511987,0.0127380621702743,-0.0038271783049775,0.000332109521851249,0.000114188710589658,-0.00219234483182862
"2",2,-0.0101739566454436,0.00154197071698964,-0.0112034642327787,-0.00854391101771694,-0.0041487572240481,-0.00211270877060844,0.0071129770831513,0.0043685571234943,0.0124242775660685,0.00512118189801828,0.018024587886582,0.0136488999792722,0.0169807616795504,0.0178005025493583,0.023170075966426,0.014220055752114,0.0109094568936082,0.0027804066624546,0.00360599820357353,-0.00291730681197359,-0.00187898589264101
"3",3,-0.0158251435756308,0.000299996495081033,-0.00227181953535858,-0.00657360120849083,-0.00500977604253054,-0.00431752422249744,0.00316918560580838,-0.00186262285700844,0.0107984612855848,0.012233629836868,0.015396665384134,0.0212378685674062,0.0200864459975751,0.0177125270190861,0.0247128544839736,0.0197380350318585,0.0198438905607399,-0.00104267247671199,0.00179146749160747,0.0080229012126217,-0.00390342013993218
"4",4,-0.0158139683221745,-0.00748620300944434,-0.0101378236346186,-0.00542346448011542,-0.00720175120017382,-0.000293655149830977,0.012764755067482,0.00124989294885153,0.00835377817051474,0.000120324286513887,0.00919992893252201,0.0124532904512767,0.0112471557855314,0.022090078413653,0.0265265146193761,0.0227470295712121,0.0181056649891293,0.00579588712414006,0.00440797041871926,0.00127323985837913,-0.00399223731053651
"5",5,-0.0152500969594517,-0.00205957341662358,-0.011460400782076,-0.0048992986693449,-0.00969214324075772,-0.00843683125790521,0.000505051384455306,-0.00993659500397551,0.00745083560073548,0.000371726296094233,0.00874677305580717,0.0123510313841718,0.010814530365548,0.0230531758794444,0.0183600589822714,0.0121942301245707,0.00874107480213495,0.00276180324343569,0.00618236363539296,-0.00742351446800084,-0.00147928423893477
"6",6,-0.0161013150860679,-0.00712352602598979,-0.00733626855635366,-0.00904045822804466,-0.00604796007442696,-0.0102532432288225,-0.000673683635209068,-0.00348785678330581,0.00658411596570576,0.00703911979379154,0.0133106694138325,0.0208049507637284,0.0182213744639045,0.0195948741198589,0.0205389712502787,0.0161173620086014,0.00937361875697966,-0.00196947288602383,0.000692667750758026,-0.00293603664776418,0.00044875366438679
"7",7,-0.0131852506221914,0.00480263674382704,-0.0017950782471312,-0.00995985153353277,-0.00906409905257567,-0.00842711630513776,0.00955216175736983,7.04991397124325e-05,0.0149451895116571,6.46320288029705e-05,0.0140449052105192,0.0183957717593234,0.0140529634280875,0.0118978907626914,0.0244897625050692,0.0220732235457324,0.0181570937622236,-0.0096287417229332,0.0047599762518317,0.00299222694074139,-0.00433906440907873
"8",8,-0.015251685558775,-0.00261162750540319,-0.008037599187965,-0.0140480333659245,-0.0168032878323017,-0.0128676821308065,-4.11311544467289e-05,-0.00747132964091824,0.0145007476348874,-0.00419231330204795,0.0100584290317361,0.0193337374382413,0.0166631082420791,0.0240084730147287,0.0197680910793714,0.0182876196536184,0.0112117233543126,-0.0136393374403699,-0.00305819195408525,-0.003775181314621,-0.0123039896205247
"9",9,-0.00873905849563437,0.00738179986888572,0.00360720323334668,0.00498062526878347,0.00087439725338337,0.00183238339797919,0.00979116522274078,0.00599010529978773,0.0145923958722951,0.0116638347850376,0.0210448542531939,0.0255489618547196,0.0207506552623639,0.0262723831389414,0.0299374166614829,0.0233796408710538,0.0210355624811277,0.00698543422313257,0.00278736424781506,7.75969248666533e-05,-0.00872512900768069
"10",10,-0.0148381102856874,-0.00600383613511169,-0.00730201682822547,-0.00994753533774537,-0.00485451150820319,-0.00642826111036568,-0.000973696658279205,-0.00277754194815421,0.00298878807356233,-0.000611475750957837,-0.00337099002403958,0.00357382482192266,0.0118108812376073,0.0117975310875394,0.0243133833783373,0.0180906887627168,0.0142290328642539,0.000526372513438025,-0.000239528804566119,-0.00530184207231793,-0.00540088066394472
