"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,0.00516665194117271,-0.00581986102633014,-0.00460988762562598,-0.00398495505098126,0.000717162885695585,-0.000887467947797181
"2",2,-0.00161524454961536,-0.00432873178835189,-0.0074332678854193,-0.00586995495325661,-0.00099372072901815,0.00498986093847229
"3",3,0.00542805306972841,-0.00454881715248588,-0.00710333205257527,-0.00395922401661432,0.000331393492832002,0.00803025013949495
"4",4,0.00343862968821384,-0.00455342604872294,-0.00527800362955792,-0.00725082449569067,0.00318649921872871,0.000218376173879776
"5",5,0.00700632570364551,-0.0102235441745201,-0.0036332631383225,-0.00730761238698125,-0.00287537426983093,0.00242423667526923
"6",6,0.00870894720183145,-0.00947255612367757,-0.00148151526318097,-0.00862381622472506,0.00713986659767639,-0.00240071262053864
"7",7,0.0102681065293813,-0.011583964476227,-0.00545820374558855,-0.0070610861427658,0.00429535806870616,0.0104592924557303
"8",8,0.00160281375093581,-0.00332129789813145,-0.00760830504416775,-0.0062757684797985,-0.00105146820171726,0.00586630474503245
"9",9,0.00324770875882182,-0.00616531164144142,-0.00397527834748298,-0.00355807295085196,0.000589008999755445,0.0029345819964969
"10",10,0.00239486041148542,-0.00490643710424216,-0.00706714805313701,-0.0074356756771646,-0.000596253724428218,0.00154791939065249
"11",11,0.0023983881428146,-0.00613279259285389,-0.0046010541551613,-0.00912350092905593,0.00138216807793695,0.00509886192914665
"12",12,0.00477896797251923,-0.00578700648726573,-0.00754828836793647,-0.00322633303648424,-0.00013241371450286,0.00525188066719219
"13",13,0.00601879753196529,-0.00989788803420858,-0.00150805949573813,-0.00165585612358795,-0.00208495551466252,0.000944970942190855
"14",14,0.00284075712102597,-0.00425041708930811,-0.00648913662597899,-0.00464949984947845,0.00330667544325244,0.00282604195727901
"15",15,0.00248825777179853,-0.00567132873802793,-0.0031073436748102,-0.0068089521666097,-0.000570466765173474,0.00308433525346266
"16",16,0.0047116559867694,-0.0037787638262762,-0.00715460166561743,-0.00699333796162261,0.000264802977005139,0.00493343665446625
"17",17,0.000780120097871652,-0.0056414458366376,-0.00216734450690647,-0.00344802042173062,0.00104725638048374,0.00451614948290541
"18",18,0.00467118817523291,-0.0102476060852638,-0.00310915252595709,-0.00658614914638617,0.00376337014571949,0.0042266264622775
"19",19,0.00538901056585856,-0.00954040153375595,-0.00178931338670728,-0.00560906213264958,-0.000543871320322605,0.00381149232141012
"20",20,0.00266813328160032,-0.0101986269613043,-0.00372836250245903,-0.00693625561685454,-8.85891671490972e-06,0.00151438596810126
"21",21,0.00146416040412393,-0.00710056887161637,-0.0044672799726115,-0.00728378126465134,0.000488096409813081,0.00365470860346867
"22",22,0.00501717503520901,-0.00708077715335617,-0.00379417923339161,-0.00613750631090243,-3.58826296058307e-05,0.00198104327264008
"23",23,0.00395767934618097,-0.00622871527468444,-0.00294885933590913,-0.00783020129101814,-0.000221151152881018,0.00299508037908037
"24",24,0.0109332587700482,-0.00680207897597428,-0.00307098916011267,-0.00928563764248512,-0.000458221140730014,0.00918845042887124
"25",25,-0.0050298559644664,-0.00920848035679336,-0.00548635700663384,-0.00242176074656465,0.00139294060300621,-2.11422070637667e-05
"26",26,0.00581775491974628,-0.00521409285203655,-0.00694983588762963,-0.00557462034511995,0.0022004027788115,0.00510899790787482
"27",27,0.0124044119863792,-0.00972475105388973,-0.00339230192257839,-0.00966280895898814,0.00385082194280927,0.0101748714792097
"28",28,0.00738681947324905,-0.00509677279259526,-0.00483878742692182,-0.00482458573253171,0.0029759642528865,0.0044068886374242
"29",29,0.00227194961083553,-0.00606227229838755,-0.00235545157225294,-0.00717703495778282,-0.0016633960950268,0.00306451955297018
"30",30,-0.00233464838869522,-0.000905388590546809,-0.00491560509887571,-0.00461138186384422,-0.00354082209994342,0.00173440005034306
"31",31,0.00858538958844276,-0.00743879463848784,-0.00733791714892661,-0.0048608121606819,0.00501421832798413,0.00296154548101898
"32",32,0.00417281927490592,-0.00405421564121483,-0.00445018458686688,-0.00362918870193894,-0.00050673933681248,0.00498235903282734
"33",33,0.00518588481226123,-0.00577464925612599,-0.00201714694874069,-0.00780302387944854,0.00162715242496297,0.00338641117411557
"34",34,0.00478750214668509,-0.00483999349722447,-0.00359313904122563,-0.00563263021015046,0.000233076977053729,0.00188557693348336
"35",35,-0.000696052133176763,-0.00518100486088857,-0.00806530767693379,-0.00714955011228771,0.00343317640630448,0.00230478197697611
"36",36,0.00263835661556301,-0.00835481856921527,-0.0026950378738177,-0.00664107806017187,0.00236078036997625,0.00400155473204264
"37",37,0.00436317566161354,-0.00976589732824263,-0.00554615152484713,-0.0062113604419684,-0.000456279510008526,0.00170250441341099
"38",38,0.00544230535414546,-0.00931939373638867,-0.0056082651674227,-0.00472448936824614,-0.000644856663590401,0.00200966903850534
"39",39,0.00510094689000938,-0.00222933954300077,-0.0025471163362658,-0.00844193389757328,-0.00165653602014564,0.00561000772160448
"40",40,0.00572879908845325,-0.0105299153053867,-0.00456519641606502,-0.00465687672310423,0.00330042716225278,0.00460356364924397
"41",41,0.00546102969948541,-0.00615657336638403,-0.00190734758675322,-0.00546892681945264,-0.000490666924280189,0.00210883366588262
"42",42,0.00333967840375765,-0.00653605390521175,-0.00536285764606279,-0.00557443698492692,0.00446649963917041,0.00807953155261923
"43",43,0.00418640763927506,-0.00685822632755896,-0.00571123098480847,-0.0051591432925587,-0.00018880114029099,0.00483755543367239
"44",44,0.00297367980576447,-0.00755500127845209,-0.00314956580621933,-0.00756169617030749,-0.00165869781771366,-0.000418639039195726
"45",45,0.00382232830004678,-0.00574244170389416,-0.00237674721001656,-0.00701489799195491,-0.00124420996888767,0.00541977218355385
"46",46,0.00787362552180767,-0.00728019316036854,-0.00252096721899514,-0.00723885288058887,-1.3993986034562e-05,0.00141696138736032
"47",47,0.00810272360506733,-0.00678060458416416,-0.00618385166208048,-0.00370704511916362,0.00100625699343532,0.00984506411905114
"48",48,0.000919577834851468,-0.00669301564972368,-0.00253181200062297,-0.00489344157874405,-0.00312415683381268,0.00128565367683387
"49",49,-0.000670119690710574,-0.00440446313784026,-0.00455574433608426,-0.00434310425881204,-0.00227370859177293,0.00269207473676695
"50",50,0.00409355410296713,-0.00547002872415826,-0.00806658107777078,-0.00677586666590379,0.00183385645635122,0.00248532062036966
"51",51,-0.00308837604833645,-0.00375771049267705,-0.00524203041464952,-0.00484425581018527,0.000863169012915507,0.000792723824893652
"52",52,0.00468943942707247,-0.0090470094547863,-0.00615211574910295,-0.00666252892900901,0.00232966671824771,0.00838957119963452
"53",53,0.00687395357063242,-0.00539939478478689,-0.00367235025429119,-0.00548520206849998,0.00363878659925147,0.00475048867393217
"54",54,0.00425531999381038,-0.00486582692750426,-0.00591934216153638,-0.00287531903528814,0.00318727557780511,0.00734586930470782
"55",55,0.000935456441273264,-0.00648237676945593,-0.00164533415234157,0.00018747122423728,-0.00114217504770752,-0.000510966554524185
"56",56,0.00511638702468171,-0.00706866703614496,-0.00161078689452357,-0.00978364785250289,0.00172634617813166,0.00791732583357669
"57",57,0.0040924153975467,-0.00658879052405201,-0.00284949998947919,-0.0021530078270021,-0.00105757196207147,0.00503323611204136
"58",58,-0.00289250321263939,-0.00935447288350245,-0.00466535158030312,-0.0056962002587156,-0.000371626224147376,0.00421562015634064
"59",59,0.0116636905461643,-0.0133411209073065,-0.00107214641424953,-0.00523213722437682,0.000674194503363842,0.000680470069363909
"60",60,0.00600725661423682,-0.00540536597301261,-0.00156912349065565,-0.00493529730413037,0.0008777408975044,0.00452781529945005
"61",61,0.00436713431851134,-0.0054523812511253,-0.0020524474926958,-0.00700173178138789,0.00189180804583922,0.00136867016795356
"62",62,0.00142333852142349,-0.00587647666705265,-0.00537636807637759,-0.00227453304755215,-0.00267684465431652,0.000802257419238226
"63",63,-0.00147495357046852,-0.00758461205796498,-0.00583394528254005,-0.00597519914814812,0.00262487236872745,0.00468889573939715
