"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,0.00407643293787113,-0.00593798316416122,-0.0049078621469463,-0.00400370633259714,0.00345737166790935,0.00251085845367946
"2",2,0.00456370038560654,-0.0076441961500576,-0.00561319856658141,-0.00344792417724023,-0.000229852707857788,0.00404164366166647
"3",3,-0.00010167760157265,-0.0106833719913927,-0.00491164539597607,-0.00128083736083834,-0.00110075224225712,0.00444676897286727
"4",4,0.00181714525554934,-0.0074336612957025,-0.00670089955089338,-0.00198195136258209,0.000585191931216799,0.00673217604088597
"5",5,0.00293694000940944,-0.00935537268493617,-0.00638502741471996,-0.00267717366906035,-0.000250610488330345,-0.000191653061921864
"6",6,0.00250563969874945,-0.00798862564744006,-0.00655193405785161,-0.0040714089506605,0.000543274926221464,0.0048090929715894
"7",7,0.0043956450417125,-0.00756244720065003,-0.00487243875350294,-0.00370197303064893,-0.000477151915218428,0.00428481337242339
"8",8,0.0060144426377613,-0.0078700877768941,-0.00752585961091514,-0.00257031616411646,0.00473100468515844,0.00256419159530707
"9",9,-0.00620408580851226,-0.00886480344855768,-0.00762526974290082,-0.00385747525757419,0.00221939061501664,0.000716437502777908
"10",10,0.00689917135771421,-0.00891687425541155,-0.00521180172914761,-0.00255966626473916,0.00317747374985104,0.00117066751112086
"11",11,0.00022867219722546,-0.00867719485541146,-0.00806289790992002,-0.00334272778303724,0.00566867379061509,0.00420397069555638
"12",12,0.000175956290518114,-0.00988677500416098,-0.00657022475291468,-0.00114758763921852,0.000725546485746286,0.00532588813564304
"13",13,-0.00349240379041747,-0.00789225241502662,-0.00716909518713358,-0.00546493417479972,0.000983702511753723,0.00372165049890815
"14",14,0.00239531210696208,-0.00934136161191914,-0.00539819879828112,-0.00383798247496448,0.0025709848365719,0.0017233356592853
"15",15,0.00699633431576562,-0.0104993723045501,-0.006027507809117,-0.00381782018367709,0.00353804743509871,0.00763249461487891
"16",16,-0.00173914748791644,-0.00969093764901638,-0.00623769612159101,-0.00420593246083628,0.00140266410147919,0.000357948062375796
"17",17,-0.000202733420188429,-0.00659095336411864,-0.00642614082270627,-0.00383697764128395,0.000317649192002561,0.00217129805792918
"18",18,0.00710808059453439,-0.0109767485335845,-0.00686313509941624,-0.00479454496661379,0.00381149536854597,-0.00145244825802163
"19",19,0.0068270510921815,-0.00851551616398545,-0.00909245185880517,-0.00294281628254663,0.0029345549663243,0.00482118568794998
"20",20,0.000180415406149448,-0.0068186803106955,-0.0068434608487154,-0.00405431608621054,-2.03510922328008e-05,0.0015961482947119
"21",21,-0.00050552036682475,-0.00910332757777285,-0.00810024285187852,-0.00421477634425798,0.00493315760604783,0.000602074772500304
"22",22,0.00341381720328449,-0.0046214704054408,-0.00623438674038669,-0.00302363356759108,0.00229838462882208,0.00228217413473982
"23",23,0.00133613656308198,-0.00757996859370052,-0.00653909397525141,-0.00285776220831925,0.00368238025018729,0.00321850643214096
"24",24,0.00235267895918169,-0.00802796732706896,-0.00273953842838216,-0.00347466886531516,0.00162974612411745,0.00380730447056734
"25",25,0.00541343212807139,-0.00687947565270958,-0.00757320834149209,-0.00269920457163186,0.000666596550240071,0.00482272718458484
"26",26,0.00011982643920294,-0.00839567581438095,-0.00633296632468066,-0.00152357990640056,0.00255420973547156,0.00528945054977107
"27",27,0.00688540848119115,-0.00955753843838594,-0.00404861743487054,-0.00206317426322009,0.000206343509128087,0.00615368548322892
"28",28,0.000714651151515342,-0.00733042266446761,-0.00617752956274332,8.62556971631535e-05,-0.000961039922388083,0.00539975956032554
"29",29,0.00953196616261703,-0.00465637476723954,-0.00519259597930913,-0.00427964110541436,-0.0019832520765139,0.00563489188464699
"30",30,0.00297953229249606,-0.00835059454762891,-0.00745917768866709,-0.00125619750294463,0.0035461160667717,0.00146072670549116
"31",31,0.00469920025928528,-0.00674887877940169,-0.00597307842637829,-0.00430520916718755,0.00136966783990811,0.00314640649174375
"32",32,0.00290755904472973,-0.00557439459435694,-0.0044792154669186,-0.00490255956701392,-0.00224053635446266,0.00321835935540165
"33",33,0.00549413600814022,-0.00624900830525612,-0.00689747088304821,-0.000658813107122527,0.00120544280612794,0.00666282270041054
