"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,0.00261060937107934,-0.00504936690892753,-0.00781134625860891,-0.00157743459399122,-0.00136093685617485,0.00500447437023459
"2",2,0.00257155446717517,-0.00522688394630003,-0.00576964253687293,-0.00391786956449922,-0.000470407739130307,-0.00011585876647783
"3",3,0.00315069232415623,-0.00780520393005788,-0.00340897447983851,-0.00556376439696331,0.000305664098401129,0.00441801184906478
"4",4,0.00259552149877436,-0.00819054499761719,-0.00656169170829574,-0.00537663523489348,-0.000665301907446686,0.00297456308393146
"5",5,1.43235895480681e-05,-0.00761433040104107,-0.00919678184939711,-0.00542657121560891,-0.00246307778915069,-0.00146587622984102
"6",6,0.00434639357161004,-0.00771161009932053,-0.00368311589885481,-0.00451645505270188,0.00116023992059488,-0.00200037398685914
"7",7,0.00397753630344589,-0.00763186878879002,-0.00434133277560438,-0.00431612171554405,-0.00174002462096225,0.00106222011707236
"8",8,0.00345927235745403,-0.0074873196857253,-0.00458039702181821,-0.00209777009829262,0.000277207445792629,0.00194217095724742
"9",9,0.00404704826767456,-0.0066783881976333,-0.0034552470738015,-0.00311607324813806,-0.00264201734957077,0.00139483576745495
"10",10,0.00623747175409182,-0.0092376440835226,-0.00399129282444872,-0.00430151124790291,0.000773113748593987,0.00328690553127197
"11",11,0.00333390296078578,-0.0056972561515961,-0.00589604162763139,-0.00647687466615448,-0.000672990915270119,0.00303647439467218
"12",12,0.000299481623633077,-0.00577882025973136,-0.00983535768015955,-0.00409272230913147,0.0011491591211878,0.00368192031111687
"13",13,0.0061768186041599,-0.00590554753700974,-0.003402352651848,-0.00192200224945739,0.00199642179202633,0.00535645291904086
"14",14,0.000924908224537297,-0.00530514627845872,-0.00676536003053931,-0.00555499000182702,-0.000446342656363254,0.00293672385450726
"15",15,0.00392627890451137,-0.00640177613873454,-0.00457654934297154,-0.00462236911542907,-0.00310236812511445,0.000298089637206559
"16",16,0.0011831407437762,-0.00628358979971934,-0.0047900867220462,-0.00333112855941805,-0.000602789740096881,0.00329597052762752
"17",17,0.00297980421092926,-0.00641421729851658,-0.00272317507020358,-0.00354850280195123,-0.00136071344993412,0.00280488660436141
"18",18,0.00337691679432881,-0.00629068774955957,-0.00298088242980856,-0.00581273538524591,0.000950384380494989,-0.000873268733553138
"19",19,0.0034536399603049,-0.0071107606785633,-0.00511161285557207,-0.00148881850354431,0.00472289508881546,0.00416883690855715
"20",20,-0.00103758227791025,-0.0066386823441358,-0.00585277840639436,-0.00366422055699131,-0.00244577251417853,0.00327094005513697
"21",21,-0.00115157319889624,-0.0057057345455065,-0.00641653595016273,-0.0035707590157925,-0.00375025207958761,0.00208754155552578
"22",22,-0.00041833883369161,-0.00728353393858684,-0.00634883309723626,-0.00504083670684555,-0.0003727227842692,-0.000731961722147858
"23",23,-0.00192216344752135,-0.00752055225368724,-0.00469676610604578,-0.00240599818980899,-0.00231931837540387,0.00093970978039068
"24",24,0.0048219392743706,-0.00933502592940258,-0.00359279615336511,-0.00894166530543872,0.00361518655177399,0.00298549278822819
"25",25,0.000735397886454364,-0.00766312249553108,-0.00529062505383341,-0.00134280571158978,-0.00221972575666396,0.00351536197593554
"26",26,0.00183595114333395,-0.00984078053571112,-0.00587264004852676,-0.0047883630989697,-0.00163803027296645,-0.000987458037555243
"27",27,0.00433803835021275,-0.00787186400396917,-0.00605935265002829,-0.00640679822320178,0.00403330762821655,0.00240144011577327
