"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.00166301931072068,-0.0110806472170506,-0.00408360377947962,-0.00671942737246834,-0.000188559418009742,0.00459206341677403
"2",2,0.00275656479808237,-0.00920681667267623,-0.0073674301787989,-0.0069697725808706,0.00479959201155558,0.00614140337825406
"3",3,0.00123074601420538,-0.011855016433942,-0.00632834576718009,-0.00686308694837065,0.00090827489725869,0.00233586067733601
"4",4,0.00336191238528264,-0.00878751468309164,-0.00556359752209209,-0.00284520226725302,0.00185674284484879,0.00767009728440024
"5",5,0.00582450579880581,-0.0117527724677592,-0.00569358066682197,0.000954288165352441,0.00701090173326187,0.0042238080126815
"6",6,-0.00271312027151052,-0.0069866502791297,-0.0112759384929501,-0.00858566622620955,-0.00141676549665384,0.00328701296561978
"7",7,-0.00159344227225881,-0.0106039039334128,-0.00803769568785049,-0.000986757137403612,0.00298818734630121,0.00374671042336165
"8",8,-0.00120546425468164,-0.0101760514852227,-0.00844988278076381,-0.00529462333638643,0.000608124992794981,0.00308287749614326
"9",9,0.00218050955894219,-0.00922299268215726,-0.0134872035035955,-0.00314236061658947,0.00367399300405207,0.00838830858104578
"10",10,0.00299737242013143,-0.00763407798393152,-0.00437421296495419,-0.00763903460283813,-0.00185220361258417,0.00685787049471965
"11",11,-0.00272115775918866,-0.0101774953743271,-0.00702357082127603,-0.00526463903156703,-0.00427538737187041,0.00369438329888925
"12",12,0.00509888479451131,-0.00659200225802322,-0.00740602506946726,-0.00490263702411951,3.18940524678929e-05,0.00866657174018614
"13",13,0.00271269937704658,-0.00752560931926634,-0.0058364004711499,-0.00275222453880239,0.00159594739528455,0.00685545295233488
"14",14,-0.00199115545110946,-0.00851995431643052,-0.00776307620009377,-0.00589785158041412,-0.00274801510487337,0.00190306022238308
"15",15,0.000937978671837694,-0.0110793593032352,-0.00464320851274245,-0.00467634049881238,0.00134679513685327,0.0035857947577941
"16",16,0.004490475120589,-0.00830470413029214,-0.00422216461805204,-0.00867651430511704,0.00127272675645372,0.0104682612187327
"17",17,0.00335394567539017,-0.0119212375861472,-0.00765248836712006,-0.00931501086931148,-0.00127093107308293,0.00873760238874107
"18",18,-0.00366902022768551,-0.00877108565057697,-0.0105647881204391,-0.00628349578014493,-0.00406171724434786,0.00544632352162582
"19",19,0.00061906218755944,-0.0135621177540085,-0.00918788230361267,-0.00484286993241602,0.00261622421926213,0.00170695524815316
"20",20,0.00413370054307596,-0.0109752767020985,-0.0055268965088055,-0.00377630182782272,0.0036777541718396,0.00592788283948276
"21",21,0.00432960934390315,-0.00685152496897416,-0.00146420121225681,-0.00335570038447903,0.000817701015905185,0.00314936804621751
"22",22,0.00196080851099945,-0.0134235452486642,-0.00471304431272316,-0.00298250172913598,0.00707666835431128,0.00524451830680684
"23",23,0.00437190601098869,-0.00875392315183299,-0.00973638012377121,-0.00518174571792657,0.00534396567639961,0.00769624194519057
"24",24,0.00142436831993735,-0.0129656188517939,-0.00460448616013579,-0.00130799097047888,0.00127406274609858,0.0066811464022855
"25",25,0.00646124699227553,-0.0143115684410236,-0.00439878946684234,-0.00599966206794851,0.00558000957768291,0.00608629163046308
"26",26,0.00712267787029827,-0.00732354255663043,-0.00786560336092475,-0.00900890201084655,0.00344442228732401,0.00293928392040444
"27",27,-0.000433990011597258,-0.0100432344791266,-0.00517987968071039,-0.00803632618124422,-0.0022789444569288,0.00878729869735762
"28",28,0.00057041424378269,-0.010015872616532,-0.00656673866006301,-0.00654089459215004,-0.0049941149366975,0.00141310287107635
"29",29,-0.0012031451595536,-0.0114196943073847,-0.00922783029568533,-0.0069266404218725,0.00459930181022412,0.00421582046029654
"30",30,-0.000918122681068571,-0.00947074644993889,-0.00760503345368622,-0.00799636761140593,-0.000769729312018034,0.00184109657566691
"31",31,0.00313372868693471,-0.0117290482313823,-0.00442758165055222,-0.00657556382183766,0.000923050970874743,0.007910626958344
"32",32,-0.00250168437324127,-0.0115653932578113,-0.00428609041857855,-0.00616445355318579,-0.00352466781076702,0.00192875813360978
"33",33,0.00236053896637076,-0.00931740264752342,-0.00476127917161095,-0.00536852271974545,0.0016433520082893,0.0118711786641345
"34",34,0.000397065538004209,-0.00758377386777206,-0.00552993005663865,-0.00604902755666346,-0.00512032572183846,0.00219854442315981
"35",35,0.000124645437807349,-0.00829320209451376,-0.00769404323671578,-0.00524078950399969,-0.00124766399112329,0.00411543786613688
"36",36,0.00280388098398837,-0.0107512636583093,-0.00777537364967934,-0.00719500090179736,-0.000932036090639544,0.00224601406870362
"37",37,-0.000361863342187891,-0.0100914172622557,-0.00229337707425737,-0.00747188132058462,-0.00220239085557138,0.00509439630098231
"38",38,0.00181836393920889,-0.0114778750119152,-0.00635927199799125,-0.0072381959929706,-0.000594330840706681,0.00521294475876445
"39",39,0.00229273356889856,-0.0108612267629539,-0.00738817842637909,-0.00490292455471599,0.00304583531233578,0.00742461680486634
"40",40,0.0070164239332734,-0.00939957744538706,-0.00792725567145515,-0.00475929208746688,0.00311577442941889,0.00258906795935502
"41",41,0.00105625948226158,-0.00644579051337587,-0.00646461879077233,-0.00390198186053779,0.00325196120303944,0.00245440114401835
"42",42,0.00137666675821546,-0.00915038804578181,-0.0052979434490997,-0.00446968771978534,-0.00208261655990953,0.0022318941044621
"43",43,0.00153557982779996,-0.0101489833521751,-0.00728241837865435,-0.00928543618216806,-0.00470774189930686,0.000180444240908745
"44",44,0.000105856598306226,-0.00971544514151467,-0.00549697323266247,-0.00645089319374264,0.000985978683175188,0.0125549358077214
"45",45,0.000972618938725951,-0.0105483672921049,-0.00637099455820665,-0.0035038809736881,0.00148500912000189,0.00212234229309383
"46",46,-0.00267078749544745,-0.0128083801819539,-0.00915487514506861,-0.00497701944958076,-0.000102350806985208,0.00448343472907161
"47",47,0.00534699921631281,-0.0105116448087954,-0.00667840999735678,-0.00298687111127356,-9.98238836436111e-05,4.37758436407979e-06
"48",48,-0.00116077234819711,-0.00568047840207409,-0.00248437927872552,-0.00695123704271678,0.00380660215265449,0.00755753793547201
"49",49,0.00220921073339728,-0.012449516121522,-0.00576485296550808,-0.00575402978988127,0.00425161804231659,-0.000668773409109199
"50",50,0.0030939396710834,-0.0114253887861669,-0.0048932601746227,-0.00460091057493868,0.00459833080402618,0.00472890378354855
"51",51,0.00495107104707589,-0.00621289240191658,-0.00226853131399535,-0.00183466608282652,0.00119423035973271,0.00660930632401176
"52",52,0.00585352361298543,-0.00885912129095643,-0.00517739995420108,-0.00915633535271379,0.00394493487586501,0.00638112195001387
"53",53,6.47585605071564e-05,-0.0138509596276713,-0.00654118436138856,-0.00751926394885509,0.00212010406020224,0.00358618016155184
"54",54,-0.00219533683179744,-0.0114659998049007,-0.00545966508321705,-0.00334956035486979,-2.6126514540605e-05,0.0050341359768204
"55",55,0.00117614963210828,-0.00671300261784029,-0.00724193391220194,-0.0044644504474357,-0.00116590855327475,0.0015596479296516
"56",56,-0.00172810536886398,-0.01281394183747,-0.00962392612501375,-0.00777981059479877,-0.00235757886595184,0.00202619593838108
"57",57,0.00233726899024578,-0.0118340179879772,-0.00628723581359679,0.000489175345469756,0.0035788361327343,0.00567775137539609
"58",58,0.00521436635444584,-0.00846680548936789,-0.00543233287551331,-0.00283774511677433,0.00263857611009444,0.00692632074608672
"59",59,0.000798813087827386,-0.0102520822853795,-0.00764808384843634,-0.00713836679823988,-0.0038666684721102,0.00364304395114502
"60",60,0.00501466838620739,-0.0155659513598628,-0.00486166761399898,-0.00767329684957869,0.000139855233934485,0.00522310566362868
"61",61,0.00525691814495474,-0.0068795462400126,-0.00563841836486323,-0.00536643130326241,-0.000709352543607466,0.00295039420926666
"62",62,0.00277882581948424,-0.011438181531305,-0.00405234796250194,-0.00487592706071213,0.00602383512567924,0.00216200157053932
"63",63,0.00311265906080334,-0.0111722455436218,-0.00612221017173447,-0.00617644569707849,0.00320222829860685,0.00529895889885527
"64",64,0.00502896275700496,-0.00902008424958171,0.00120672919012159,-0.00285750547033258,0.00176925336109465,0.00275373046604005
"65",65,-0.0042557765789806,-0.0125629099853807,-0.00886819603693888,-0.00599793321270416,9.35673960864193e-05,0.00345730535837054
"66",66,0.0065697176954906,-0.0115393612674022,-0.00117059768365313,-0.00933087238213077,-0.0063159850439056,0.00418985688691315
"67",67,0.00280591051600606,-0.00712484748970703,-0.00128073674378658,-0.0081629036251513,0.0045007566051902,0.00657457941116591
"68",68,0.00319839470562501,-0.00758387365894036,-0.00990679656290016,-0.00746186850500837,0.000997431145803779,0.000927040726034007
"69",69,0.00237986977374608,-0.0110754377466086,-0.00577271467819184,-0.00616877623282308,0.00375728421098782,0.00239973039923774
"70",70,0.000724989091243957,-0.00792945404474922,-0.00596222253232017,-0.00346823558381114,-0.000323394025973843,0.000586332942484521
"71",71,0.00328421765311301,-0.0106729828303418,-0.00170551570341556,-0.00456851125840171,0.00291225167783011,0.00801680656527959
"72",72,0.00376715455420494,-0.00950180238044742,-0.00329770742967515,-0.00172049307985435,0.00146993840997613,0.00415198787922826
"73",73,0.00360143051568196,-0.00915997520377508,-0.00773762665391801,-0.00531465159283651,0.00112712493872677,0.00876157061683641
"74",74,0.00106337132701632,-0.0105938612364353,-0.00200427556423701,-0.00555041616160848,0.00301595350026781,0.00459977357097552
"75",75,0.00309851095180017,-0.0173766576364669,-0.0115882939542831,-0.00505944990685286,0.0046617269738831,0.00234998229177806
"76",76,0.00100568818116645,-0.010743149922645,-0.0114688331700005,-0.00803547708151552,0.00627269192425587,-0.000146278338195845
"77",77,0.000705368741782875,-0.0132441477224329,-0.00729674256433559,-0.00221831727392893,0.00221767435616559,0.00508740291472004
"78",78,-0.00168615574842184,-0.010150316164273,-0.00710912970016949,-0.00546895927204755,0.000190535637377503,0.0052059331875529
"79",79,0.000661427491959055,-0.00840272002685736,-0.00758895169022502,-0.00495692517514958,0.00413688058664519,0.00121839000989894
"80",80,0.00476010135765691,-0.0106067416393666,-0.0086350016256044,-0.002464304633023,0.00338298019227081,0.00775405263177472
"81",81,0.00203700110384158,-0.00997845631321267,-0.00541069925420936,-0.00361929226711029,0.00176711549449341,0.00406917083483838
"82",82,-1.93831534656778e-05,-0.0115614281479259,-0.00171987037333215,-0.00482237001559268,-0.000263086597251651,0.00343851993044653
"83",83,0.0069616698134628,-0.00917464341191312,-0.00583884975740718,-0.00491301037446882,0.00415695023259507,0.0024179123228816
"84",84,-0.00209581838612858,-0.00907518789729554,-0.00668197123840822,-0.00585964805567163,-0.00133836363628124,0.000389687313344045
"85",85,-0.00167401073599844,-0.0072497353336804,-0.00170963284048931,-0.00475138085136253,-0.00242963889941682,0.00706112982041634
"86",86,-5.16946675712058e-06,-0.0126314818263999,-0.00945395123375946,-0.00698752857120576,-0.00286016039895422,0.00419999368229141
"87",87,0.00329075692450605,-0.0121578335618455,-0.00359188445598073,-0.00558432657621551,0.00114562338627999,0.00273076983226486
"88",88,0.0023659617502253,-0.00423564866366647,-0.00677796823073775,-0.00629005760624748,-0.00172315400915071,0.0104643137274494
