"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.0144283033986998,-0.0078687020038221,-0.0103812300930124,-0.013899810670385,-0.0122616194117057,-0.00938720709046715
"2",2,-0.0156329567069022,-0.0075251539522139,-0.0165969713546199,-0.0160439296008976,-0.0097334818332022,-0.0102847591194165
"3",3,-0.0197240607773263,-0.00659160808655755,-0.0165803049336513,-0.0161629620594273,-0.0122940874228385,-0.0108435070242954
"4",4,-0.0157457714105891,-0.00833091705201395,-0.0177513304306452,-0.0145882680196504,-0.0143552161513068,-0.0110835427126183
"5",5,-0.0141508339481003,-0.00534159468796001,-0.014685022942596,-0.0152235077250879,-0.0144982245007801,-0.0126261331629355
"6",6,-0.017626459880398,-0.0106584103525786,-0.01387880879752,-0.0188431458351708,-0.010052554174329,-0.0103162900475572
"7",7,-0.0159859415697302,-0.00472303680641037,-0.0172099656447297,-0.017486486890163,-0.0142421416064513,-0.00925379246259509
"8",8,-0.0191902479353197,-0.0132655136120444,-0.0176981365928749,-0.0221956717619588,-0.0190433995474803,-0.0145044349289116
"9",9,-0.0137717746204677,-0.000941793700701543,-0.0118046362594555,-0.0124326480407567,-0.0120777617711259,-0.0120388267335028
"10",10,-0.0148246285675196,-0.0107789315308708,-0.0149724744262833,-0.0176221306463051,-0.0118000372487228,-0.0112770217309887
"11",11,-0.016041932294213,-0.00549926055711304,-0.0112991259905292,-0.0127846207844849,-0.00721659074496727,-0.0165598162821193
"12",12,-0.0137864245185031,-0.00376782533791239,-0.00896848594603305,-0.0124313256703006,-0.0121315717019329,-0.00520262199950164
"13",13,-0.018038688773578,-0.00890995141732228,-0.0224599808551861,-0.018219439912788,-0.0114279215635197,-0.0160084965020273
"14",14,-0.0166906044447332,-0.0116246370045857,-0.017822795675013,-0.0204900740074118,-0.0159181416503666,-0.00928651147301999
"15",15,-0.0137793240060213,-0.00864844216097992,-0.0155134340468438,-0.0141917095801504,-0.00919845941405669,-0.0093394380296774
"16",16,-0.0179254646821952,-0.00484772308874612,-0.0160687592023148,-0.0181658723650801,-0.0133632523392258,-0.00579730605599062
"17",17,-0.0179246250698899,-0.012014464042811,-0.0201195983544005,-0.0228688261983674,-0.0207724214062871,-0.0137366676350525
"18",18,-0.0143762530898791,-0.00843373988990922,-0.0152774623335502,-0.017545915826276,-0.0130172833098511,-0.0086483100077842
"19",19,-0.0207665541975392,-0.00990669552981392,-0.0169487230856075,-0.0201948591539397,-0.0150137919392735,-0.0130184943946272
"20",20,-0.0164305982530777,-0.00925211096170223,-0.0146653679430081,-0.0146259482613607,-0.00665339435601691,-0.0124469245567656
"21",21,-0.013117953721289,-0.00501290422568208,-0.010613485772146,-0.0149293391511874,-0.00500289856405935,-0.010265384534456
"22",22,-0.012340175817406,-0.00831650974944599,-0.015486124624035,-0.0162355400017866,-0.011304686664817,-0.00870674199221247
"23",23,-0.0170419078390767,-0.00458337171385948,-0.0148295833489968,-0.0134383232519036,-0.00474331717580434,-0.0110086139707965
"24",24,-0.0164203446621649,-0.00961231729774497,-0.0165972878492168,-0.0167169507030193,-0.0173915093110998,-0.0127164327069724
