"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.0163831860745547,-0.00919037774899352,-0.0130724228154298,-0.0162307375916192,-0.014159029653765,-0.0113941501453631
"2",2,-0.0183120705992376,-0.00937402383685552,-0.0200754237561092,-0.0190704542477626,-0.0122514285474979,-0.012961476945947
"3",3,-0.0228576286933384,-0.0092043491569638,-0.0208220826798021,-0.0201785364419075,-0.0165970924558982,-0.0145969306782063
"4",4,-0.0183634098680833,-0.0103131129742129,-0.0213104133704492,-0.01786741859875,-0.0179113581964604,-0.0143273086498065
"5",5,-0.0166108004684796,-0.00711954543113449,-0.0177203386661693,-0.0177729384376223,-0.0164434653209246,-0.0150986535932035
"6",6,-0.019879148661355,-0.0125795116782254,-0.0171703966718845,-0.0217291941834714,-0.012397090133612,-0.0126937142205225
"7",7,-0.0188710401420046,-0.00691078830372254,-0.0212769252323905,-0.0210550609834047,-0.0179860099175736,-0.0123724952089867
"8",8,-0.0218364082466533,-0.0150574152289971,-0.0210950596980395,-0.0250422823715267,-0.022001352256471,-0.017281694209885
"9",9,-0.0165809259909365,-0.00338666321356673,-0.015453994966263,-0.0157195265868714,-0.0152863722035423,-0.0149615463584256
"10",10,-0.0173822297957196,-0.0128411260767261,-0.0181341245408375,-0.0206578976637513,-0.0144912950898963,-0.0141725421433103
"11",11,-0.018672010064857,-0.00722231958191107,-0.0149162118296392,-0.0160174682853998,-0.00971906855665891,-0.0192297144505442
"12",12,-0.0161374213588047,-0.00559503696255103,-0.0126476014279633,-0.0154601395429883,-0.0148650555605131,-0.00784697316218493
"13",13,-0.0211372127261223,-0.0110798428854519,-0.0258983964197173,-0.0212377599308998,-0.0143403232199225,-0.0189787505106663
"14",14,-0.019536541161354,-0.0135368473698066,-0.021549737959451,-0.0236381654774989,-0.018846817265848,-0.012299217913519
"15",15,-0.0167909012967432,-0.0111513512457817,-0.0197405971244779,-0.0176999312757024,-0.0125562858640431,-0.0126042147692341
"16",16,-0.0211765470370018,-0.00727519107095532,-0.0202783867730312,-0.0215955165654734,-0.0169500524974971,-0.00919996059807385
"17",17,-0.0205328582259586,-0.0141877231666465,-0.023768734084645,-0.0257096545923648,-0.0235897268601689,-0.0163748528884985
"18",18,-0.0171407039531387,-0.0101904870292347,-0.0184095871270037,-0.0203680366616021,-0.0159248271911124,-0.0115886487347679
"19",19,-0.0241552393281228,-0.0125850643983535,-0.021903791156291,-0.0250540733169083,-0.0202817215658247,-0.0174177322115345
"20",20,-0.0194198781087129,-0.0117756356893727,-0.0190459107820194,-0.0187314066006408,-0.0106434966412906,-0.0161702602844947
"21",21,-0.0156917393675302,-0.00727104864710921,-0.0146849893432744,-0.0186553384329801,-0.00834566749028675,-0.0132829481223985
"22",22,-0.0147374234055437,-0.0101678268644833,-0.0189746078284642,-0.0194256199896104,-0.0137454618086642,-0.0115707962455831
"23",23,-0.0196167086126392,-0.00654091653683997,-0.0183683288635188,-0.0167869232635372,-0.00714600577740934,-0.0139430820871255
"24",24,-0.0193267792591041,-0.0114279275822371,-0.0203496479064966,-0.0197742539609045,-0.020830650516888,-0.0157759214351732
"25",25,-0.0150346398692232,-0.00761247302682514,-0.016893906652842,-0.0197991743101536,-0.0133755057958607,-0.0201381569877376
"26",26,-0.0167493369707013,-0.0069978931822684,-0.0221149358199396,-0.0220757112839588,-0.015290320046475,-0.0139920174646827
"27",27,-0.0218665154211585,-0.00754365363926463,-0.0260293544682592,-0.0221847398401413,-0.0184178261684082,-0.0105989563948191
"28",28,-0.0186945228185009,-0.00785749027918626,-0.0150700050287493,-0.0176047096329427,-0.0149365189499996,-0.0135790467017469
"29",29,-0.0195449477697959,-0.00852688578183705,-0.0160829444163643,-0.0206759762914903,-0.0103323671219509,-0.0175512351069239
"30",30,-0.0184037436005231,-0.0131325871659767,-0.0213433941539007,-0.0264926316386799,-0.0167487551567855,-0.0207925950204577
"31",31,-0.0174632889885457,-0.00233134332114587,-0.0154122748380464,-0.0177126911589833,-0.0138436020528239,-0.0107016061438993
"32",32,-0.0149926179617884,-0.00641472222810291,-0.0178775859819905,-0.0198523257720299,-0.0103130606810189,-0.0151402219919004
"33",33,-0.0207723461744837,-0.0063180961512144,-0.0145392265489077,-0.0132017053536092,-0.00699572460734321,-0.0108519098793801
"34",34,-0.0163985947505249,-0.00574088527698841,-0.0105004291315122,-0.0162789006872066,-0.0132955961760505,-0.00770832477937785
"35",35,-0.0257062686849854,-0.0100412905774652,-0.0228699471305708,-0.0214273573850881,-0.0145121467493709,-0.0221694656064347
"36",36,-0.0164297662953919,-0.00806965969783477,-0.0140488894234508,-0.0157108855365288,-0.0125928983623436,-0.0111677248847002
"37",37,-0.0179527531311255,-0.00866072338801007,-0.0196453172115407,-0.018569176462058,-0.0162822875235246,-0.0115274534366531
"38",38,-0.0169389826237814,-0.0144499744736895,-0.0169416489777839,-0.0183614436274789,-0.0173326006786179,-0.00920013685224004
"39",39,-0.0140981805978997,-0.00453485959916484,-0.0128691306572988,-0.0122042971786163,-0.0118246877121326,-0.00975507114365672
"40",40,-0.0153075058894541,-0.00811884409569053,-0.017795532351748,-0.0179233053046382,-0.0141578378687727,-0.0148682994910394
"41",41,-0.0182296616243114,-0.0127973604557801,-0.0179042005473871,-0.0240852590611897,-0.0200662058479358,-0.0124943514708295
"42",42,-0.0216482339103639,-0.014531525512164,-0.0250454080471783,-0.0249112417760189,-0.0209630490778597,-0.0101179994138304
"43",43,-0.0176565992744673,-0.0106545359211833,-0.015971907740522,-0.0190596510896527,-0.0139687966685918,-0.00812071356628013
"44",44,-0.023389963751586,-0.0132735452358856,-0.0184921543837864,-0.0208571147544242,-0.0165478154707197,-0.0128048719220971
"45",45,-0.0180291300789978,-0.00887097199610429,-0.0191109345047267,-0.0191764353853338,-0.0113671080619498,-0.00852543169754107
"46",46,-0.0183105503668795,-0.0110807808344125,-0.0203612032803828,-0.0220355078449007,-0.0177618549955461,-0.00960723561990587
"47",47,-0.017307272686343,-0.0047857997845174,-0.0182868223207908,-0.0151193174830186,-0.0131955817400814,-0.0107064911240613
"48",48,-0.0171174856956075,-0.0052871773714972,-0.011200638843369,-0.0135283479113027,-0.0116884927874181,-0.012494744057913
"49",49,-0.0223742738120759,-0.00626987045570701,-0.0230781141705548,-0.0195670753126194,-0.0140450499060595,-0.0196171403255808
"50",50,-0.0137333228128672,-0.00606469064503289,-0.0145980141165647,-0.0164749532574297,-0.0134515111401293,-0.0116497753005224
"51",51,-0.017662866407492,-0.00834250742273455,-0.0185897489841349,-0.0192190290083561,-0.011176050199302,-0.0122996141968516
"52",52,-0.0177137651596731,-0.0090628491225141,-0.018563384135485,-0.0203772067878062,-0.0138618142311005,-0.0172310976728319
"53",53,-0.0188610191770853,-0.0073235759828428,-0.0188773436282181,-0.0198150538193052,-0.0155489905323391,-0.0153374981328134
"54",54,-0.019418542532485,-0.00524177172756949,-0.0152633675139601,-0.0135935131882126,-0.012648524542238,-0.0108465746886149
"55",55,-0.0138710608565069,-0.00677143918628117,-0.0122273779655647,-0.013850492433114,-0.00974824862364235,-0.00954639223638238
"56",56,-0.0158701745992022,-0.00485765291242984,-0.0167467950013614,-0.0156696755007452,-0.0108821813938224,-0.0130336774130201
"57",57,-0.0196466262767469,-0.00781131466883368,-0.0176212309212116,-0.0196131188893729,-0.0145625451684683,-0.0100006920755379
"58",58,-0.0211450891675059,-0.0132894616585543,-0.0214590291544026,-0.0255727948618799,-0.0209067527764902,-0.0190487860982294
"59",59,-0.0139324481126843,-0.00548763989512814,-0.0151307325297133,-0.0180984222167795,-0.0139553426899904,-0.010618587797582
"60",60,-0.0190940222031595,-0.00990915463673379,-0.0212221063236413,-0.0186813737987056,-0.0156891699153864,-0.0150976625774914
"61",61,-0.0163616872479855,-0.00927761727483685,-0.0142603315746458,-0.016732283432745,-0.0146828018354631,-0.0119437421662345
"62",62,-0.0159493084628129,-0.00597619534171057,-0.013382756161556,-0.0143947264461664,-0.00977497810555225,-0.0102683118545728
"63",63,-0.0162580627651611,-0.00686013845315847,-0.0183105136335276,-0.0161036126921523,-0.0161403122236179,-0.00959614142678905
"64",64,-0.0167621156145818,-0.00389986355422937,-0.0154943100396214,-0.0157296119117083,-0.00982474271872287,-0.0140290364470469
"65",65,-0.0226897972576182,-0.00827899325644592,-0.0221224160641001,-0.022388149689033,-0.0178040966545048,-0.0117889774804064
"66",66,-0.0151600815892604,-0.0153539476448768,-0.0187903161794752,-0.0243015919070884,-0.0151941629259218,-0.0102605487846462
"67",67,-0.0131881221566246,-0.00714145262616029,-0.0146777507026462,-0.0131797835737661,-0.0114242298188811,-0.00967581982204766
"68",68,-0.0166763631502885,-0.00699020601862336,-0.0158911595516614,-0.017792533835815,-0.00554972060544104,-0.0134086547736161
"69",69,-0.0235234543305352,-0.0188576990057295,-0.0279717109872082,-0.0279114255679395,-0.0211023917952681,-0.016803986058474
"70",70,-0.0186265869604282,-0.00844508980063161,-0.0218654875891515,-0.0200818865768931,-0.0191480570802604,-0.016281532778038
"71",71,-0.0219503041831864,-0.00953950933982586,-0.0226634519798897,-0.0242177257554559,-0.0209527548136271,-0.015334729295991
"72",72,-0.0212543048776202,-0.00956186001881592,-0.022057918893958,-0.0202972707190659,-0.0182769433752336,-0.0154068850666751
"73",73,-0.022948291235085,-0.00843061230032739,-0.0190926806156307,-0.0227597580425117,-0.0156258531301566,-0.0162620925347843
"74",74,-0.0157521845769149,-0.00449118601754529,-0.00588246679428112,-0.0111861623052051,-0.00688293569090085,-0.00950334039458831
"75",75,-0.0220999524935001,-0.0149523536749954,-0.0292876123861305,-0.024301210510774,-0.0219599169617732,-0.0208817134384098
"76",76,-0.0173271129845619,-0.0120294500185214,-0.0173499359300003,-0.0180321273607898,-0.0139091304685174,-0.0144936840033858
"77",77,-0.020791970790665,-0.00803589740117639,-0.0172629255977787,-0.0218066291885356,-0.019072929161335,-0.0178356686838909
"78",78,-0.0187728750574851,-0.00738856964321659,-0.0204333987003355,-0.0230708365291459,-0.0198251292052964,-0.0107559065918977
"79",79,-0.0168950945899808,-0.00981083297630565,-0.0190903237737382,-0.020345260483048,-0.0193159646685481,-0.0152080179544462
