"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.0201911076912706,-0.0103142369539722,-0.025965763849435,-0.018209589623906,-0.0144173647743242,-0.008109121211321
"2",2,-0.0189067436278682,-0.0157237031611544,-0.0266141431845217,-0.0267532667490712,-0.019996872872056,-0.0100554693051724
"3",3,-0.013750549203215,-0.0113094054905511,-0.0164847700743025,-0.0188601966672876,-0.0156782664165152,-0.0118762284414794
"4",4,-0.0146876230082253,-0.00342303041689903,-0.0121009549551596,-0.0112303659602007,-0.00781002775419021,-0.0111583233730886
"5",5,-0.0180689967087223,-0.0109688661431299,-0.0217909467712301,-0.0219925471511906,-0.0146756198814498,-0.0156118648025742
"6",6,-0.0157994649508668,-0.00886544069244416,-0.0232909869866229,-0.0238753669107861,-0.0181909837700356,-0.0212435669687232
"7",7,-0.0135915413098852,-0.0088403236504401,-0.0179540658603235,-0.0217325086532765,-0.0153840415519391,-0.00862626946664285
"8",8,-0.0187861355959062,-0.00864540967690773,-0.0176162170255846,-0.0184164997900304,-0.0105281702303673,-0.0104718052015884
"9",9,-0.0155370219379575,-0.00944875351967968,-0.028247243786177,-0.0261165051220408,-0.0178256275343,-0.0197176268994698
"10",10,-0.015612473587973,-0.00674914321203672,-0.0190020352998765,-0.0167297915928142,-0.0168560029026773,-0.00883932465441659
"11",11,-0.0136008303746628,-0.00385166279336362,-0.0136957234516826,-0.0120787997664298,-0.0131019357729815,-0.00631284324241053
"12",12,-0.0174695821508035,-0.0113731736720322,-0.0242861597417372,-0.0249873204093905,-0.0182342082328894,-0.0171723755732812
"13",13,-0.0166278777401546,-0.0110221222786096,-0.0171494814051378,-0.0232607394797016,-0.0165625781925851,-0.0139444995700507
"14",14,-0.0169348632149637,-0.00668233020273612,-0.0206883305038037,-0.0230684519176839,-0.0172463881684739,-0.0124133545971452
"15",15,-0.013756431821142,-0.00756666339145397,-0.018486068743053,-0.0184023992010306,-0.0140438241561963,-0.0105458422211058
"16",16,-0.0134620991654265,-0.00690559268349809,-0.0157388223166847,-0.0177479529156021,-0.0143083715539109,-0.00752990684831582
"17",17,-0.0142548441067813,-0.00563314606954834,-0.0184067126300028,-0.0208407503914302,-0.0117270231878424,-0.0123676625047644
"18",18,-0.0223724965330958,-0.00394220698283368,-0.0223288664454036,-0.0185424325242447,-0.0182998170980167,-0.00850007504624559
"19",19,-0.0150252963973042,-0.0108425971677606,-0.0224329502344403,-0.0235229101845301,-0.0160420571513612,-0.0168022076803096
"20",20,-0.017081588387368,-0.00398934592130713,-0.0183744462502426,-0.0200767020430317,-0.0142992450727051,-0.0101877184486427
"21",21,-0.0217029362420437,-0.0125122599377123,-0.0239303250135839,-0.0230632051017872,-0.0181941397893683,-0.00798480343152494
"22",22,-0.0140245962121264,-0.00794279791487154,-0.0149174448300265,-0.0167542671031489,-0.0136543619835658,-0.0136246034849777
"23",23,-0.0142476404558337,-0.00838808051953854,-0.0180361467535485,-0.0163394378329042,-0.0115504143598305,-0.00672254746534581
"24",24,-0.0159600274429057,-0.00765652985801461,-0.0166617347254465,-0.015774119580922,-0.010946025710995,-0.00998981209439925
"25",25,-0.0186076747015992,-0.0135714634889984,-0.0229573917786909,-0.0259033241862297,-0.0196314639907124,-0.0107847379405083
