"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.0154307322364116,-0.00840082549901754,-0.0115564050199973,-0.0148855982571815,-0.0132343400968955,-0.0102034658673108
"2",2,-0.0169079163783321,-0.00815525017826887,-0.0180974268550918,-0.0171176158491667,-0.0106874830201002,-0.0113310048062086
"3",3,-0.0209651641039978,-0.00700594007415918,-0.0182837915744434,-0.0171423789787178,-0.013303640432392,-0.0119635976345646
"4",4,-0.0172609907511627,-0.00899917884741063,-0.0197476332906781,-0.0157810315648821,-0.0155594924776084,-0.0123817617027806
"5",5,-0.015142868702964,-0.00597619614231745,-0.0159801911529275,-0.0160686976777075,-0.0151699781783383,-0.0134680534954002
"6",6,-0.0186979230419806,-0.0113306697140126,-0.0153334400329341,-0.0198206654134109,-0.0109667762568715,-0.0112446078805236
"7",7,-0.0174743499277147,-0.00521417941665202,-0.0189507361636125,-0.0187279156222364,-0.0154102857173937,-0.0104451702801262
"8",8,-0.0203526909722193,-0.0136697924762185,-0.0192764257469852,-0.0232412509966116,-0.0201908209833021,-0.0154999212704114
"9",9,-0.0150378958372558,-0.00159130206694782,-0.0135255345528465,-0.0134156954603779,-0.0130294299793307,-0.0131173275883892
"10",10,-0.01602225407874,-0.0114175600683746,-0.0163844250649297,-0.0186732456009279,-0.0125749298541558,-0.0123948810760509
"11",11,-0.0174826689821498,-0.00612876251490827,-0.0129623644992326,-0.0138986420642351,-0.00824566358566021,-0.0177175834991549
"12",12,-0.0148843421157288,-0.00420878930208954,-0.0105100729200846,-0.0134156016931361,-0.013208127505874,-0.00622644670823943
"13",13,-0.0192234244284595,-0.00954028849560824,-0.0240720424889069,-0.0191904292843422,-0.0123397931698274,-0.016962007885615
"14",14,-0.0180751901029359,-0.0122216055171437,-0.0196266251032527,-0.0217107311911293,-0.0170219644166158,-0.0105672718193986
"15",15,-0.0153887310935115,-0.00947578725467858,-0.0176783195400584,-0.0155770408380985,-0.0105332837494706,-0.0107489165431352
"16",16,-0.0195145920252711,-0.00541173448239111,-0.0180407336091648,-0.0196760975369944,-0.0146686536965158,-0.00723349038421149
"17",17,-0.0190216719924479,-0.0126805423698458,-0.0217844933831218,-0.0238879736515336,-0.0217152422649281,-0.0146972987944892
"18",18,-0.0156678025790526,-0.00894320925964492,-0.0168804827374375,-0.0188560410373274,-0.0141275674500893,-0.00995641190016648
"19",19,-0.0223048343470136,-0.0102993224327946,-0.0188192300619404,-0.0216479476819172,-0.0163836548710402,-0.0145137937366158
"20",20,-0.017483217790834,-0.00969718954441693,-0.0161967865325088,-0.0156633167839834,-0.00758757927291313,-0.0134260636394105
"21",21,-0.0142478839803746,-0.00554580319870492,-0.0120862393000419,-0.0159944016505419,-0.00596369935595363,-0.0112902583268116
"22",22,-0.0137601390879012,-0.00908972337407198,-0.0172571192615387,-0.0175181245966152,-0.0125538314954057,-0.0100870620950446
"23",23,-0.0179889101438085,-0.0050487775973653,-0.0159387799379987,-0.0141850857497295,-0.00534388125930599,-0.0118081899781435
"24",24,-0.0180562465896717,-0.0102604739095491,-0.0186721755311383,-0.0182254980804426,-0.0189031546461489,-0.0142450604866441
"25",25,-0.0135609764489681,-0.00601937617470485,-0.0145568511181741,-0.0175969857326784,-0.0117435577446741,-0.0183905210124032
"26",26,-0.015310407910744,-0.0054401958840477,-0.0195800445305876,-0.0195979125176382,-0.0129872022793992,-0.0119548349838592
"27",27,-0.0208349560414558,-0.00606989245648641,-0.0241835489525448,-0.0202516183831043,-0.0160949894053725,-0.00900455102053628
"28",28,-0.0173081090431372,-0.00656336638692727,-0.0130063543497857,-0.0156416246005986,-0.0130013026917675,-0.0118182229494626
"29",29,-0.0182481301809929,-0.00685431284661252,-0.0139188528542629,-0.0183899463839807,-0.00793274241803349,-0.0157817224226852
"30",30,-0.0169014088850852,-0.0115873304525062,-0.0194892822770631,-0.023927145800419,-0.0138186114502155,-0.0184660928200344
"31",31,-0.0163423484157371,-0.00108542895847036,-0.0137713194729735,-0.0160193047197205,-0.01221937928482,-0.00935537029965236
"32",32,-0.0139178722006548,-0.00502774105592065,-0.0163439824337416,-0.018134781088572,-0.00880962794652975,-0.0138011899602813
"33",33,-0.0195727951769271,-0.00512022580445759,-0.0126447579039106,-0.0109215844769637,-0.00505524664453666,-0.00901338423920701
"34",34,-0.0148096863172061,-0.00414965423704347,-0.00840629845279795,-0.0141470099008545,-0.0112016416495634,-0.00588342664435791
"35",35,-0.0238434556176234,-0.00838444250494186,-0.0200438772578369,-0.0184712101648729,-0.0122881096366229,-0.0196164809475915
"36",36,-0.0152264739202683,-0.00631281401547276,-0.0123907785464579,-0.0137300773967583,-0.0101349708467797,-0.00956623231025476
"37",37,-0.0161776751416336,-0.00705846538900801,-0.0172400571461343,-0.0161059501899403,-0.01386734787295,-0.00929049842248336
"38",38,-0.0152081235311477,-0.0127808925577407,-0.0148967192042475,-0.0162033687830547,-0.0148589136057066,-0.007109274915013
"39",39,-0.0134094798744888,-0.0038734702942679,-0.0118361459869303,-0.011315876403379,-0.0109955491065385,-0.00890243453595046
"40",40,-0.0138194187198302,-0.0068608855663881,-0.0157760477261933,-0.0159473393922822,-0.0122339429791388,-0.0129951640534344
"41",41,-0.0169288173030834,-0.0109966218617479,-0.016281769167697,-0.0222204623128701,-0.016988286561935,-0.0105733057375538
"42",42,-0.019532405646247,-0.0125457400170941,-0.0224237524309098,-0.0224252852741796,-0.0186109793821952,-0.00761859449329109
"43",43,-0.0157378996322976,-0.00878081017194733,-0.0135163100699236,-0.0161194730246718,-0.0115742926679778,-0.00569409995773454
"44",44,-0.0217649521682759,-0.0114389323505834,-0.0163060872882264,-0.0183050881103972,-0.0135167175060249,-0.0104113746254047
"45",45,-0.0165101633274186,-0.00755258382774575,-0.0169872213853961,-0.0172554645263433,-0.00965647229073033,-0.00687572830900647
"46",46,-0.0171068699948931,-0.00974644420543089,-0.0188401219277657,-0.0204380152370914,-0.0161194758564361,-0.00820360981936607
"47",47,-0.0157883447763905,-0.00316760328327315,-0.0161863423342219,-0.0128562115672547,-0.0108655225064741,-0.00865361271491889
"48",48,-0.0161334369885741,-0.00430731171769397,-0.00951005263879187,-0.0116839755061819,-0.0101927147162764,-0.0110091532202873
"49",49,-0.0212460237946642,-0.00503726995355678,-0.0212523494369239,-0.0174098249886545,-0.0121086549177912,-0.0179835384133404
"50",50,-0.0128186906194108,-0.00505418215124213,-0.0132471918735555,-0.0150033118236768,-0.011775788638549,-0.0103635658937748
"51",51,-0.0160686881945685,-0.00677869423623685,-0.0164036334305052,-0.0169789447375011,-0.00919673678334493,-0.010272835509936
"52",52,-0.0162079946540205,-0.007647714580839,-0.0165481192027693,-0.0181587749863979,-0.0120692297344154,-0.0153521025101027
"53",53,-0.0178362973938308,-0.0062124600252585,-0.0177349339454766,-0.018604429284496,-0.0140934765437942,-0.014104293692077
"54",54,-0.0184967788812883,-0.00400206468305356,-0.0137639225225016,-0.0119612494179109,-0.0108706151702513,-0.00943964452348407
"55",55,-0.0123858252931918,-0.00494260975185184,-0.0100973799912586,-0.0114178959245426,-0.00713931865035376,-0.00748275050371033
"56",56,-0.0148504952628884,-0.00385497723978362,-0.0149802350703837,-0.014213141034217,-0.00958738433061457,-0.011598657055367
"57",57,-0.0184098971782923,-0.00643402930660421,-0.0158730415051495,-0.0176418614781661,-0.0125979384698108,-0.00836233453260035
"58",58,-0.0193334148303288,-0.0116431743866774,-0.019362974600189,-0.0230976817428769,-0.0186010935463373,-0.0168201443385738
"59",59,-0.0129935451715499,-0.00430260008659197,-0.0138750221174452,-0.0168456017368432,-0.0126060264686725,-0.00952141551499603
"60",60,-0.0174536380329785,-0.00832290156636546,-0.0189160751852448,-0.0158754255114159,-0.013333484527625,-0.0128258078987675
"61",61,-0.0150592870827223,-0.00794695140800201,-0.0127428151090031,-0.0154173844145737,-0.0133392356079183,-0.0106812239373912
"62",62,-0.01506975786147,-0.00503421335198518,-0.0122512817095819,-0.0130953918305364,-0.00867643420605505,-0.00918391137848735
"63",63,-0.0151787791174269,-0.00572672361934108,-0.0163866449374411,-0.0141553899773652,-0.0143661475593582,-0.00792956010342667
"64",64,-0.0153553861671243,-0.00254399586656997,-0.0131678265169645,-0.0135159481567742,-0.00813521565849174,-0.0122356014580255
"65",65,-0.0210562233838278,-0.00677583266226493,-0.0197804711541712,-0.0203540150275938,-0.0162755587657891,-0.0099854946815373
"66",66,-0.013816721896174,-0.0137252136437861,-0.01718035736553,-0.0225235745869581,-0.0132204135137149,-0.00882481553351339
"67",67,-0.0118883476051981,-0.00584869245036929,-0.0131035927748936,-0.011389093423847,-0.0098517323606199,-0.00803089652166939
"68",68,-0.0151744835143452,-0.00544554331428994,-0.0138005870559994,-0.0155070963960804,-0.00359597131405067,-0.0115811352842804
"69",69,-0.0211321313478455,-0.0163045890676386,-0.0252797308620042,-0.0247552486145744,-0.0169935418013193,-0.0136121281737086
"70",70,-0.017010456231806,-0.00629177942403718,-0.0192643666392326,-0.0173460502735037,-0.0160044948939472,-0.0139064512298078
"71",71,-0.0197534915457303,-0.00701156816872037,-0.0192566828573168,-0.0206409302396415,-0.0173679308925495,-0.0124161575421312
"72",72,-0.0196232157293278,-0.00802982685248147,-0.0197633048854871,-0.0180810423731072,-0.0162541596247818,-0.0133980409304397
"73",73,-0.0212421622225884,-0.00674061966729362,-0.0169367365304853,-0.0204407499622338,-0.0134846342587321,-0.0141775649892151
"74",74,-0.0151624684973957,-0.0038921134629145,-0.00514038818042442,-0.0102869310135179,-0.00629235590209442,-0.00887675332110511
"75",75,-0.0208559004327407,-0.013691176138782,-0.0277207020467317,-0.0229957692450917,-0.0201443734378884,-0.0192791629769941
"76",76,-0.0163150884038663,-0.0111102139020475,-0.0156795790044561,-0.0163686398627418,-0.0122028714858017,-0.0129773175462621
"77",77,-0.0196373046305554,-0.0066667981311894,-0.0157762961107832,-0.0203826909753049,-0.0172692102681626,-0.0164421382061945
"78",78,-0.0169370239761728,-0.0053157390395311,-0.0181327951611327,-0.020562982036067,-0.0172146051427399,-0.00857109348217356
"79",79,-0.0154771169812978,-0.00849155775435886,-0.0168259388159634,-0.0181076399445782,-0.0174814396277133,-0.0133111802755136
"80",80,-0.0180563442230872,-0.00901771811744175,-0.0153062907058699,-0.0166360239757401,-0.00861160075284316,-0.0132993496152536
"81",81,-0.0184140375498046,-0.00559271278174084,-0.0143997146059535,-0.014455235680477,-0.00834302893077624,-0.0102936704907495
"82",82,-0.0167257706176792,-0.00642549588917735,-0.0104292406978155,-0.0113763709934766,-0.0060716907448099,-0.00875417914775889
"83",83,-0.0158144826088359,-0.00707631718582527,-0.0146846364392707,-0.0179791200906682,-0.0149167603087932,-0.0105385564246485
"84",84,-0.0202494285112067,-0.0134517537006621,-0.0270351128987278,-0.0276445185961537,-0.0253452272342919,-0.0163356483651776
"85",85,-0.0204682303609972,-0.00610289472833683,-0.0209726234287032,-0.020284132987867,-0.0125685134880237,-0.0125723954054305
"86",86,-0.0209889784591778,-0.00915353626628818,-0.0176688137799217,-0.0190384466790226,-0.0169031562203293,-0.0126459170463157
"87",87,-0.0130791068909393,-0.00661702233676288,-0.0154841367896353,-0.0132186584142618,-0.010445823008112,-0.0166616191729474
"88",88,-0.0171943979742095,-0.00799079839979026,-0.0177447652908854,-0.0162654327185446,-0.0165796624332931,-0.0121519652070236
"89",89,-0.0157193956685872,-0.00953924572621753,-0.0173991823612137,-0.014140311630226,-0.0127521250040612,-0.00678892269259931
"90",90,-0.0207747472722764,-0.00714504681633077,-0.0191482382268735,-0.0170103461365853,-0.0150087266062918,-0.00935848553611576
"91",91,-0.0154850666466833,-0.00986954100854174,-0.0187151890032172,-0.0161153271411678,-0.013918005270224,-0.00719586766360293
"92",92,-0.0162950549535937,-0.00839225418573908,-0.0191988113184265,-0.0198979752296056,-0.0177616143835881,-0.0144161021010513
"93",93,-0.0193324493151268,-0.00817243878192653,-0.0175869062517321,-0.0208602226274075,-0.0118855603618714,-0.011687939651736
"94",94,-0.0202234406291381,-0.00748593418899912,-0.0197626090042368,-0.0187534398815477,-0.0154584366328072,-0.0159028855450902
"95",95,-0.0152373828551928,-0.00582432574661639,-0.0117330660669155,-0.0102338189638856,-0.0114625467171461,-0.00499835648378224
"96",96,-0.016288062738348,-0.00608808080116768,-0.0103309241109916,-0.0120704020636219,-0.00786475496005492,-0.00722314627492505
"97",97,-0.0191697727910097,-0.00779975598523176,-0.0220834402484868,-0.0220231952510248,-0.0199850679161789,-0.0189035460701925
"98",98,-0.0152800301651314,-0.010977095257937,-0.0161896791515217,-0.0201467142070759,-0.0115224740587677,-0.0135073924919125
"99",99,-0.0177655632239723,-0.00755745026134314,-0.0195735549390733,-0.0212811083202783,-0.0139182715860773,-0.0126805637804881
"100",100,-0.0193126658417873,-0.0077326744276765,-0.0157023375844727,-0.0196424550387153,-0.0160946791026331,-0.0102347022640358
"101",101,-0.0158217766281435,-0.00900071655666816,-0.0207223612772877,-0.0191706337249958,-0.0137497587240119,-0.0107759560529932
"102",102,-0.0167881386390881,-0.0136116461130669,-0.0256145115427199,-0.028267965464702,-0.0181061575222207,-0.0206518766159536
"103",103,-0.0187532645558155,-0.0098430251720551,-0.0182217145279123,-0.0192420415032179,-0.0122756089990722,-0.0113953655406938
"104",104,-0.0146405406111527,-0.00931010235585509,-0.0144460752785997,-0.0149682543263893,-0.0132696038809727,-0.0111181122602627
"105",105,-0.0143064323103294,-0.00222102167854896,-0.0132074397137614,-0.0129033477487687,-0.0122358814288279,-0.00942751401924834
"106",106,-0.0180696809322603,-0.00725469580138862,-0.0185099146425014,-0.0179316779991844,-0.0179188603812895,-0.00944457023272712
"107",107,-0.0163964091060293,-0.00510172639755115,-0.0163746030539408,-0.0175345785467539,-0.010963840970309,-0.00933457303488574
"108",108,-0.0168349478856576,-0.00629918123997346,-0.016157594511165,-0.0162886903012267,-0.00783050383952233,-0.0180602631570565
"109",109,-0.0196331590213214,-0.0103714395741653,-0.0161479422835882,-0.0211028447500469,-0.0119407675960761,-0.0139941551137799
"110",110,-0.0184427201324259,-0.0118670800110569,-0.0157543692300314,-0.019099688426368,-0.0153526519247768,-0.0144887325190404
"111",111,-0.0140477902786861,-0.0085722250995312,-0.0154623363107282,-0.0195714905829277,-0.0163166686441716,-0.0150641890130766
"112",112,-0.0126707008527917,-0.0094608678114081,-0.0128092043017618,-0.0174999592518302,-0.0120568075894713,-0.0155764431553947
"113",113,-0.0143023183165063,-0.00450666277238195,-0.012912965955971,-0.014032982801715,-0.0124526199755176,-0.0133404382000062
"114",114,-0.0180757347958579,-0.00568531913182693,-0.0136542080751329,-0.0133119621475301,-0.0100572997553474,-0.0125982997700988
"115",115,-0.0181129468627385,-0.00808840561485632,-0.0155535657760342,-0.0173805608262809,-0.0150594702088301,-0.0113810953229765
"116",116,-0.0187801815520123,-0.00750945485875022,-0.0111078451613406,-0.0158403388201693,-0.00957572919150524,-0.0129698277959446
"117",117,-0.0128790938043446,-0.00276288746530759,-0.0137693958322983,-0.0106448687774013,-0.00792120942575975,-0.012734618921311
"118",118,-0.0141502339720671,-0.00949534135612097,-0.0220725482166889,-0.0224135981995863,-0.0170142152020981,-0.018011346482866
"119",119,-0.00903720456226002,-0.00735249574292911,-0.0106018782109725,-0.0135052663819563,-0.0095995629848931,-0.004371177681967
"120",120,-0.0145978567790779,-0.00558135130380148,-0.0134798270542213,-0.0149635016560199,-0.0119199860883515,-0.011374791892029
