"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.0174797570889498,-0.00715156565724074,-0.00904607967968736,-0.0202700867041086,-0.00781815847133285,-0.0056038933510488
"2",2,-0.0114275095848402,-0.00833040187975299,-0.0124435088460261,-0.0123394271837499,-0.00726904326868091,-0.00790367828523791
"3",3,-0.0130930639618688,-0.00510953952964413,-0.0104369656019013,-0.0142152265320018,-0.00955490543215218,-0.00947348962924739
"4",4,-0.0101308956328565,0.00408447774930857,-0.00473349861002053,-0.0101326805126586,-0.0102939605641112,-0.0123382795217516
"5",5,0.00012773444898335,0.0132005253863099,0.000432541098520347,-0.0140373926248401,-0.00754028428701477,-0.0130660366439028
"6",6,-0.0126711517633589,-0.00961416372379214,-0.0184219019185816,-0.0147558365456302,-0.00828223130982343,-0.00998431865636657
"7",7,-0.0128546404745387,-0.00377828215406834,-0.01554934834313,-0.0168714850533532,-0.00871667990284521,-0.0170711821328112
"8",8,-0.0200339454785918,-0.00927641159235667,-0.0281470276922258,-0.0189336032814459,-0.0102231899113421,-0.0157583690057617
"9",9,-0.0119467033847724,-0.00563496969962487,-0.00887095790990644,-0.0135129257834281,-0.00751402576700165,-0.00464506602454996
"10",10,-0.0184330122291589,-0.0136791320139961,-0.0206724664071264,-0.027748283501929,-0.017253817090331,-0.0168512651482766
"11",11,-0.0127073964488414,-0.00280682719352327,-0.00981402154110309,-0.0217566536084057,-0.0150800060436721,-0.0127776864548913
"12",12,-0.0207185599267329,-0.0142512511957467,-0.0214215591715716,-0.0277053682993562,-0.0164417808071692,-0.0149247662380528
"13",13,-0.000419803157210137,0.00330298975558576,-0.00639622709451391,-0.0111325320247808,-0.0101201464010445,-0.00746123250147141
"14",14,-0.0215861323520031,-0.0121112721992658,-0.0233249153911689,-0.0383489779617497,-0.0255624625864708,-0.0204311467439403
"15",15,-0.0167249769633976,-0.00519058913782286,-0.0151631051228754,-0.0168539249796057,-0.0141187309467354,-0.0120945142862049
"16",16,-0.0178890585070678,-0.0130070832240052,-0.0215192889419085,-0.0209145494798016,-0.0124054726381649,-0.0116438186689323
"17",17,0.00279908824397151,0.00610225343224169,-0.0037894802936783,-0.012849504919514,-0.0055738807831139,-0.0107236958145402
"18",18,-0.0217985661833167,-0.0137871919815347,-0.0210563655428752,-0.0176259822739344,-0.0150149819422972,-0.0112630133667699
"19",19,-0.0162567616759003,-0.00520946218836677,-0.0125201097982161,-0.0207526721226485,-0.0102678817604479,-0.00921852716296983
"20",20,-0.0128386077674148,-0.00435976837947379,-0.0172654957710907,-0.0180080395125168,-0.00961604187140823,-0.0103602167497222
"21",21,-0.0136674621684578,-0.00770681575894114,-0.0140052043958233,-0.013961030523267,-0.00967994030138453,-0.0127336023965533
"22",22,-0.00498856313687055,-0.000130166888300802,-0.00838790912723296,-0.0139972751464351,-0.0105741769887962,-0.00986825457585945
"23",23,-0.0194895274729349,-0.00839623614723861,-0.0164176193505176,-0.0188832546033392,-0.0144082374428971,-0.0113133383659223
"24",24,-0.00972855590610992,-0.00530402619368202,-0.0097418961351854,-0.0244531740765579,-0.0174444751822751,-0.0127222446028766
"25",25,-0.0146410943830329,-0.00614963340191768,-0.0164509812914953,-0.0186085049760266,-0.0107535925030763,-0.00608015371308573
"26",26,-0.015795364875316,-0.00264064321380907,-0.0146166755844091,-0.0140188087578629,-0.0118302896952425,-0.0138951413006431
"27",27,-0.0149142925060434,-0.00895576906773798,-0.0114384920780841,-0.0146044021457234,-0.010634175018798,-0.00562077048124904
"28",28,-0.0184363824501332,-0.00753041648627424,-0.0144039699004549,-0.018124519586904,-0.0123391670601816,-0.0132692500879649
"29",29,-0.020634293899637,-0.00926816755568249,-0.0169010041690114,-0.014234401414615,-0.0144507792155011,-0.0171512107800402
"30",30,-0.00363542315892467,-0.00326768786111689,-0.00694361681942245,-0.00841922544539136,-0.00337098397174803,-0.00462864599692404
"31",31,-0.0128260707688437,-0.00381811261353521,-0.01105774893467,-0.0137132307735692,-0.0101408043948524,-0.010835610992387
"32",32,-0.00971394610152775,-0.000443477623962502,-0.0145048908602464,-0.0172939015449971,-0.010663621086909,-0.00285136464516993
