"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.0163727994700347,-0.0061341598778498,-0.0157706659259193,-0.01721063245542,-0.0128845481121408,-0.0124078616182775
"2",2,-0.0107687327092096,-0.00315014403212708,-0.00671850112649273,-0.0110074278057594,-0.00958180443233874,-0.0101091053056148
"3",3,-0.0136260421394608,-0.00714451734369319,-0.0114865948241391,-0.0135268270272947,-0.00935913387200918,-0.0106369273709971
"4",4,-0.0176505162048394,-0.00244648184819029,-0.0182872569892438,-0.0195903053460527,-0.0166214679864128,-0.012321721712192
"5",5,-0.0193955103220647,-0.00498869554761327,-0.0219661590510678,-0.0210624033269536,-0.0158382604642803,-0.0114906441229503
"6",6,-0.0150429243104735,-0.00867675860825913,-0.0131621617679566,-0.0160019401235531,-0.0101990147642515,-0.0126407210470375
"7",7,-0.0157439705534962,-0.00923880362668756,-0.014762123735972,-0.0171196647658183,-0.0103131222980365,-0.0130320458391634
"8",8,-0.0193016065421373,-0.00471896799726314,-0.020523256198095,-0.0197133319228043,-0.0145650155306767,-0.0116105087532528
"9",9,-0.0176920956171037,-0.00220317487343951,-0.0183199575919803,-0.0195639405339773,-0.0169081783519308,-0.012909737147177
"10",10,-0.00780490317494103,-0.00541581923692842,-0.00188920684054075,-0.00249292863090863,-0.00307955203653942,-0.00370946437817514
"11",11,-0.0172605880118264,-0.00221120079971367,-0.018241496577265,-0.0200304332079525,-0.0132244262599971,-0.00772020754649181
"12",12,-0.0179708815218328,-0.008659265420013,-0.0190988553579378,-0.0186083992549421,-0.0127522813542528,-0.0115781110087676
"13",13,-0.0177954563009409,-0.00749788732548886,-0.0186975263503732,-0.0185826310652951,-0.013339359055511,-0.0120510430439697
"14",14,-0.0174141918572017,-0.00845563532673501,-0.017884292787162,-0.0180787581651346,-0.012581520537779,-0.0124581357033428
"15",15,-0.0156411803364449,-0.00908754850753976,-0.0148422810033464,-0.0171394299554867,-0.0104320583202502,-0.0130936137394891
"16",16,-0.0128279861111035,-0.00948360981571242,-0.00995936256386913,-0.0128914946021791,-0.00847672472802148,-0.0118692627063611
"17",17,-0.0125821670176792,-0.00675320938626278,-0.00900879554805563,-0.012214334471264,-0.0101899175269398,-0.0117158752766645
"18",18,-0.0133412726115729,-0.00397750202685247,-0.0109114168841472,-0.0137938681783599,-0.0119430104827108,-0.0112488560369668
"19",19,-0.016302213463488,-0.0070901270258959,-0.0159909141109579,-0.0168671175836165,-0.0125198299799148,-0.0122253019506604
"20",20,-0.0160892205654267,-0.00474194101334295,-0.0165708546986101,-0.0176375981045961,-0.0122702978698015,-0.0102842340281236
"21",21,-0.0103536861723376,-0.00528973824266649,-0.00600004577520724,-0.00915300368036982,-0.00888326383907626,-0.0108282316501518
"22",22,-0.0162858834901033,-0.00725113975736266,-0.0155725420748863,-0.0168956509225303,-0.0121843896563239,-0.0119348225475666
"23",23,-0.0165099588077734,-0.0080463872081145,-0.0162874185928965,-0.0177535126225284,-0.010433067820556,-0.0123598691549954
"24",24,-0.013653027140312,-0.00707690431927716,-0.0116749264304606,-0.0134004162275608,-0.00944955064197885,-0.0107397698466187
"25",25,-0.0133482847604099,-0.00794246579300763,-0.0109053354808939,-0.0139839566691516,-0.00998400150139595,-0.0127663665140165
"26",26,-0.0105772208368993,-0.00272802538108419,-0.00675157327169954,-0.0110252021205291,-0.0103831479505607,-0.0114510568947244
"27",27,-0.0103536861723382,-0.00528973824266647,-0.00600004577520779,-0.00915300368036986,-0.00888326383907703,-0.0108282316501518
"28",28,-0.0163264112488368,-0.00654786143904709,-0.0163860061802068,-0.0170972232078232,-0.0117980252972872,-0.0105194278538444
"29",29,-0.0201001339056572,-0.00627513406411136,-0.0227689528487748,-0.0208895774784356,-0.0157518118302707,-0.0115838549694266
"30",30,-0.0113987345732228,0.00126282518582679,-0.0096679246595065,-0.0143329756313389,-0.0103405776875972,-0.00813422915409015
"31",31,-0.0144865397611319,-0.011085487639833,-0.0131229340215942,-0.0165068956698233,-0.010450053995396,-0.0144578350458317
"32",32,-0.0179021796522714,-0.00463222449063885,-0.019170249791389,-0.0184393969624427,-0.00849231242932153,-0.00805405553426863
"33",33,-0.0140648865162638,-0.00643485015160925,-0.0121738654453897,-0.014656133138277,-0.0109087590609939,-0.0118629233055052
"34",34,-0.0193417783728877,-0.00506255992337037,-0.0216669464518741,-0.0210033874280999,-0.015618832898108,-0.0113363764461123
"35",35,-0.0139343317567997,-0.0102706048166983,-0.0122175774456356,-0.0154018321973939,-0.00998899950309334,-0.0138333212344789
"36",36,-0.0102838126275707,-0.00411302967567594,-0.00612151740099131,-0.00999602274886994,-0.00985775227251913,-0.0119243305293785
"37",37,-0.010767385728624,-0.0028969608920882,-0.00708114457213544,-0.0106627161303886,-0.00992728185438797,-0.0105421503833716
"38",38,-0.0140935879267372,-0.0112056976430644,-0.0121148137789182,-0.0153708917637253,-0.00962079637809242,-0.0134185637138406
"39",39,-0.0203426799834596,-0.00690781222390056,-0.0225321085304937,-0.0202292339918404,-0.0138292987755416,-0.0110262380954363
"40",40,-0.0128731252519712,-0.00328109517791195,-0.0102364387664214,-0.0140573001133033,-0.0126080027362193,-0.0128869968024326
"41",41,-0.0145709286963755,-0.011418679743511,-0.0137123202658037,-0.0174132165906073,-0.0106820119994119,-0.0149074131391028
"42",42,-0.0209729480842895,-0.00844807239984442,-0.0239755847424837,-0.0207091610203291,-0.0142470015633019,-0.0111135414986977
"43",43,-0.0211530895160583,-0.00798234992508328,-0.0252498060384169,-0.0218350765329166,-0.015377972963499,-0.0107214058797925
"44",44,-0.0111739339447365,-0.00612162536104147,-0.00764425301824305,-0.0108458708793417,-0.0085828651179023,-0.0114305822710655
"45",45,-0.0210315269020573,-0.00857923859574243,-0.023770505352326,-0.0206130329753222,-0.0140516220476268,-0.0110188389689398
"46",46,-0.0121546234373411,-0.00700697973686818,-0.00915596565187704,-0.0122405577941334,-0.00932057128148999,-0.012192867198838
"47",47,-0.0200476453055982,-0.00635623948008965,-0.0224311806082454,-0.0208145761640886,-0.0154976185114455,-0.011411727144858
