"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.00817304577969789,-0.00459449551058122,-0.0112933481933558,-0.0102036650892686,-0.00915786312874458,-0.0114985018910427
"2",2,-0.0122551476663337,-0.00443183117926653,-0.0181313631646992,-0.0152224497643169,-0.018389718088917,-0.00976698056637551
"3",3,-0.0126611525980766,-0.00666342830376015,-0.0166543806056834,-0.0183695669161666,-0.0104855955986733,-0.0100130746644217
"4",4,-0.0178699583535306,-0.00737176489315231,-0.011086424146956,-0.0196303119094273,-0.0100053066955119,-0.0087587629781419
"5",5,-0.0212269430237889,-0.00537186676932783,0.00650896732075907,-0.0241148918205825,-0.0113164101355685,-0.0267465499280907
"6",6,-0.0161525495670741,-0.00797971714580883,-0.0198933785886506,-0.0120731698398307,-0.0131873200304651,-0.00806017599253437
"7",7,-0.0154329597383261,-0.00572534016668156,-0.00337233473636771,-0.0150782544687533,-0.0108771513635195,-0.0157765645380971
"8",8,-0.0162071097681173,0.00143532151941031,-0.0112212796875683,-0.0138330007915994,-0.0120068789901569,-0.0121314650198978
"9",9,-0.0194372118735343,-0.00596783743197233,-0.0134429008814562,-0.0226558131135353,-0.0187782474503528,-0.0154101225149926
"10",10,-0.0166345716240694,-0.0139772472628601,-0.0177854130243537,-0.0267075374422221,-0.01812388693065,-0.0147562032921108
"11",11,-0.0115496460273696,-0.0138766276327824,-0.0145477072861493,-0.0164321128672812,-0.00910575209035399,-0.0116263218354245
"12",12,-0.0144470552565375,-0.00692641329485954,-0.0216180798782826,-0.0149205772872772,-0.0117594014191073,-0.0125645097096908
"13",13,-0.0130528486036996,0.00167719311613466,-0.0167965579936079,-0.0111494703493723,-0.0216497018749631,-0.0155390002566751
"14",14,-0.0238711891400568,-0.00958167272311835,-0.0177491329001926,-0.0213995924415963,-0.00994144648540192,-0.015068208839952
"15",15,-0.015099818448809,-0.00303284873270071,-0.0133362687896128,-0.0103034334000241,-0.00644130835062374,-0.0116959152859862
"16",16,-0.0157154795437907,-0.00777743719116875,-0.012876367366003,-0.0142667654345675,-0.0161374758133105,-0.0104313659104363
"17",17,-0.0196168714968274,-0.00915563210188319,-0.0136729478280898,-0.019242487658912,-0.00573168880277984,-0.00914473537634688
"18",18,-0.017286451425367,-0.00792640625540827,-0.0140268474773141,-0.0144618720969312,-0.012170173495633,-0.0139429136349533
"19",19,-0.0258677617305875,-0.0376719062395131,-0.0177110983595318,-0.0213432673940522,-0.0146019249011935,-0.00786139003879319
"20",20,-0.0225379655069392,-0.016069722143571,-0.0230696412604403,-0.0247738653379073,-0.0185789517572622,-0.0136736025232294
"21",21,-0.0194534696683092,-0.00763483997179999,-0.0156567148823609,-0.0140168940987838,-0.0124375442862774,-0.0129838802257432
