"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.0135441141843827,-0.0166003558624592,-0.0228038065912709,-0.0265177998674041,-0.00970750716970613,-0.0250602513229276
"2",2,-0.0183459711683033,-0.00862137374920231,-0.0127605399669848,-0.0231235823828422,-0.0172298328649622,-0.0249457390858708
"3",3,-0.017911260748354,-0.00435709452260848,-0.0118385826732462,-0.010773861420274,-0.00739224538672411,-0.00683361988043562
"4",4,-0.016101982887177,-0.00273929050960853,-0.0112556519701639,-0.0138617798021005,-0.00808541483780768,-0.00445462784805857
"5",5,-0.0225741324140935,-0.00458455634252301,-0.0187071164279005,-0.019256942992884,-0.0060954684985296,-0.0123856652765041
"6",6,-0.0146412715459158,0.00237630573988336,-0.0249565928840025,-0.0148852886146536,-0.0189167826013067,-0.00765537642096989
"7",7,-0.0167738553108818,-0.0100019235172573,-0.0192027507553671,-0.0204514785387691,-0.0111811448352247,-0.010583468802485
"8",8,-0.00699627789544052,-0.0132552016981491,-0.0119808803026739,-0.0283369112038449,-0.0171265338718477,-0.0168461045207877
"9",9,-0.0202128380060251,-0.00179226343522612,-0.0256912655089764,-0.00913786565325724,-0.00656125085599152,-0.00422647087709352
"10",10,-0.00445631559785483,-0.000263872045711597,-0.0150553179460823,-0.0146047646238414,-0.0155406270351421,-0.0119839367003625
"11",11,-0.0185091587647813,0.00195302439958264,-0.0132130811554417,-0.0250040778390255,-0.00860693704311243,-0.0187327045725656
"12",12,-0.023312110512744,-0.00185694210122008,-0.0111984510992707,-0.0146036026558374,-0.0117753475226884,-0.0109870120568701
"13",13,-0.00860789870110376,-0.00533815880313971,-0.0102790756636679,-0.0108829099358819,-0.00883185790696741,-0.0127474049068111
"14",14,-0.0234273941653109,-0.0104254333868015,-0.0193422513626689,-0.0232963493679462,-0.0198359448647153,-0.0220353852558501
"15",15,-0.0170651983834826,-0.00707128763372233,-0.00929077200001222,-0.0258712196162675,-0.0132853181642514,-0.0188426359591783
"16",16,-0.0134274810682682,-0.00780451644561202,-0.00663173767750962,-0.0179718497274152,-0.0118642995409941,-0.0188107338623179
"17",17,-0.0119150625816903,-0.00810266151231403,-0.0166183160685192,-0.020111620357516,-0.0121122633734428,-0.0107016813244175
"18",18,-0.00802976778259344,-0.00968465120343305,-0.0131568289100967,-0.0228981474916916,-0.0151362726735207,-0.00337626060152572
"19",19,-0.0187654741433266,-0.0161136630691677,-0.0270475913862613,-0.0240755608801591,-0.0232472541687859,-0.0130255782813101
"20",20,-0.00958628119628134,-0.000646614360009116,-0.0142346258104275,-0.0164185433593503,-0.0147264822961315,-0.0132618226160849
"21",21,-0.00837515196473239,-0.00362089574279014,-0.00876479915064235,-0.00980679559657667,-0.00951731998874589,-0.0132669405230335
"22",22,-0.00619729665101721,-0.00135110178942661,-0.00479254143515191,-0.00981461392283816,-0.00296497028571644,-0.0146530793305978
"23",23,-0.0134364818688293,-0.0138532285005574,-0.0174620342667267,-0.0181536580591406,-0.00500965686436245,-0.00476102845722923
"24",24,-0.0246486461350429,-0.00722118254319058,-0.0174335114306605,-0.0145120335323697,-0.00679352798263626,-0.00778407718108334
"25",25,-0.021197302242964,-0.00643614002780537,-0.0120124162732611,-0.0177600536366123,-0.00848890622513951,-0.0104504429944388
"26",26,-0.0210178324013603,-0.00477511807975541,-0.00995070546210496,-0.0227265184270423,-0.0058166944145606,-0.0179422338479616
"27",27,-0.00841711106180394,0.000277927165574525,-0.00674026362655933,-0.00757972925664332,-0.0109324498487245,-0.00704205390599302
