"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.0163684316055485,-0.00701521247942254,-0.0127516398409508,-0.0142796287023956,-0.0114349736002064,-0.0143719396770154
"2",2,-0.0200912198369877,-0.0100072108813694,-0.0174895522216388,-0.0204982565529013,-0.0175438828937745,-0.00483859155453057
"3",3,-0.0210878487212519,-0.0112332305568125,-0.0152960155130224,-0.0185797916716746,-0.0104403038723258,-0.0168985051898735
"4",4,-0.0178766393831909,-0.0145956266777525,-0.0121038620415133,-0.0173418980326666,-0.0171661661822118,-0.00636532309313916
"5",5,-0.0206272630152937,-0.0200594947307727,-0.00792202507687464,-0.0218391009747067,-0.0132435916775055,-0.00968761935308632
"6",6,-0.0167950693511164,-0.0106972093267384,-0.00833101486624882,-0.0130852667384937,-0.0063469463788971,-0.0112029974449611
"7",7,-0.0125209392702704,-0.00973205082053158,-0.0100555243693856,-0.0154255334954968,-0.0133989649810681,-0.00870285791554156
"8",8,-0.0159693664581218,-0.013996688066024,-0.0154736774367552,-0.0177564806385944,-0.0141007581788388,-0.00652214507187944
"9",9,-0.0208566230441414,-0.0116564717460358,-0.0108535246659911,-0.0152755058481187,-0.00591711138224659,-0.0152658773604657
"10",10,-0.0215081747590698,-0.0130031368226517,-0.0137981796427941,-0.02007380300253,-0.0140562390271094,-0.012648728519778
"11",11,-0.0120854907624019,-0.0103707132510678,-0.0116141474621644,-0.01126988227391,-0.0124144751615711,-0.00872562498803191
"12",12,-0.0175572585548629,-0.00796649102557416,-0.00763905247276925,-0.0100438543071402,-0.00458813166695979,-0.0140811502937009
"13",13,-0.0132120372672427,-0.00782379416454046,-0.00649599216720631,-0.00928634471880692,-0.0082979115045,-0.00811525685388127
"14",14,-0.017084137228652,-0.00898082145230741,-0.0123785228560494,-0.0115285028806927,-0.00933570139078777,-0.012969271187313
"15",15,-0.0191711723909287,-0.0221770721273871,-0.0181968286529532,-0.0266838108520221,-0.0152577832546859,-0.00623056081295941
"16",16,-0.0104000465858891,-0.00863017310929137,-0.00497605019809407,-0.0113672668946419,-0.00651424591954432,-0.00546300096271893
"17",17,-0.0172435011199743,-0.0140540383268028,-0.0112999094035799,-0.01463442557947,-0.0129482755860448,-0.0137023974268068
"18",18,-0.0131086076402688,-0.00497924375611734,-0.00821093436131381,-0.0115504169514595,-0.0154092836144534,-0.00507424557715514
"19",19,-0.0158023904487841,-0.00928060658501916,-0.00817048204556851,-0.0148095352431126,-0.00384204849001185,-0.0149019755944593
"20",20,-0.0165734743759737,-0.0155144854860283,-0.0123843683170973,-0.0220499373318991,-0.0142520407845513,-0.00772984702332912
"21",21,-0.0118680161925946,-0.00998628692149196,0.00133301195924898,-0.0127782807581314,-0.00159332693262384,0.0037852555572116
"22",22,-0.0137409188916996,-0.0139089877905122,-0.0126863120477319,-0.0192180145402649,-0.0144188969322735,-0.00685405229217886
"23",23,-0.0136286874984176,-0.00887402716593285,-0.00840497402675144,-0.011368482815994,-0.0114208051791241,-0.00345758801250418
"24",24,-0.0160510726594439,-0.0108534217935816,-0.00797156821553851,-0.0119715292043252,-0.00970486774983828,-0.00586097127915892
"25",25,-0.0169731907222246,-0.0170965829294495,-0.0124120627653077,-0.0206425351421791,-0.0120312572541487,-0.0063009192909464
"26",26,-0.0160205260305761,-0.00842806030051186,-0.00663849714862169,-0.0150127496959402,-0.0122302700441227,-0.0121735461822525
"27",27,-0.0134678812722964,-0.0121076047793497,-0.00942436085038588,-0.0136163113104012,-0.00842597627046606,-0.00759528558376831
"28",28,-0.0134068357917648,-0.00951872748251181,-0.00823241567747762,-0.0114523552119843,-0.0121213237428665,-0.00674713075963563
"29",29,-0.0128927573381481,-0.0118794816295804,-0.00837944960108511,-0.0122480523363832,-0.00862796419632318,-0.0117233145397858
"30",30,-0.016684726854817,-0.0117006533249757,-0.0113327072248052,-0.0195787978277212,-0.0174477886452612,-0.00869487955946136
"31",31,-0.010259428650445,-0.00811611831463697,-0.00279218963405556,-0.0149914063699906,-0.0123680705781519,-0.0027619423765738
"32",32,-0.0188500364169961,-0.00755750339407052,-0.0119806773662813,-0.0192915807399833,-0.0132005431812316,-0.0018971869038835
"33",33,-0.0140881355955383,-0.00874689988876255,-0.0113990985900328,-0.0169049718581275,-0.0140239312837939,-0.0113527254148826
"34",34,-0.0124691234964429,-0.00413941934440593,-0.00500206574663731,-0.0102672948936466,-0.00809669121202032,-0.00475177365151069
"35",35,-0.0175174416302243,-0.013219240442504,-0.0187221628986444,-0.022717992543811,-0.0143127777475208,-0.0136017272735102
"36",36,-0.0211173484012824,-0.0108226173588409,-0.0145739743333418,-0.0143630330330812,-0.0120603771561353,-0.0138813183266271
"37",37,-0.0132079184815668,-0.00998187600203662,-0.0128576195541889,-0.0142628895676531,-0.0158564680398733,-0.00718207544842254
"38",38,-0.0173676868036529,-0.0132385574608645,-0.0100281897597362,-0.0179451412850772,-0.0130874853086306,-0.00487620777008901
"39",39,-0.0141841697725764,-0.0101923540712021,-0.0119115968976732,-0.0168432330088171,-0.0121149277024182,-0.0127368547849968
"40",40,-0.0165506676176546,-0.0121469653221637,-0.0116891542171533,-0.0170138046458307,-0.0133904524934967,-0.00513951601101358
"41",41,-0.0145212309445181,-0.00814013117398743,-0.00555626858142854,-0.0110067323739488,-0.0030892716809163,-0.00240439671165543
"42",42,-0.0143479909038779,-0.00590425525538296,-0.00895560347161887,-0.00804242498857233,-0.0101288110831475,-0.0129532030774872
"43",43,-0.0130826568714322,-0.0145457977389344,-0.00712961589428572,-0.0192783915122344,-0.00977485848781614,-0.007814012107333
"44",44,-0.0155529851273793,-0.0115604597827531,-0.00873945139490599,-0.0169313400018428,-0.00727478359914431,-0.00859100002337886
"45",45,-0.0162532223562572,-0.0114264670659839,-0.0178271879008864,-0.0164482769410072,-0.0144943946421506,-0.0142562104824195
"46",46,-0.0178821093227827,-0.0132495127638993,-0.00748271535374004,-0.017797682392099,-0.0142249365052073,-0.00668484358861672
"47",47,-0.0155088040864848,-0.00764126597857066,-0.00791569083846094,-0.0118906256988773,-0.00430324432217652,-0.0137595717851759
"48",48,-0.0137486040173316,-0.00901070411172489,-0.00741097666341023,-0.0148706227897725,-0.00732418534625635,-0.0140133184569186
"49",49,-0.0141772390550277,-0.00703612698204705,-0.00903148169105892,-0.0161679835972337,-0.00273750602547715,-0.0092684232068001
"50",50,-0.0139093540299693,-0.00816043249405125,-0.010420098642885,-0.0117195902252708,-0.0126952811432546,-0.00964849581639033
"51",51,-0.0167002573054313,-0.0146444674586614,-0.0152575528059415,-0.0230592062438537,-0.00617395001871246,-0.0226721102908399
"52",52,-0.0163343613456967,-0.0118079698933435,-0.0098473078808082,-0.0245744459311958,-0.0105850351249512,-0.00918529635164273
"53",53,-0.0165282045652877,-0.0104204665862275,-0.00867112403015872,-0.0140173298048796,-0.0148444966231647,-0.00783008945845002
"54",54,-0.0215674322899022,-0.0129968625194627,-0.0147162726781254,-0.0120521986943128,-0.0105948747387075,-0.0186211960583529
"55",55,-0.0217640157579981,9.33871705559781e-05,-0.0189732380854325,-0.0164150943010486,-0.00661150901269183,-0.011567038325478
"56",56,-0.0135619839779647,-0.017078560752829,-0.0098488160142125,-0.0202741698769051,-0.00301269520637976,-0.00795643739019554
"57",57,-0.0109002124791679,-0.00939702701398186,-0.00881935627842081,-0.0109973417563914,-0.00910874344107763,-0.00701275275636505
"58",58,-0.0144876831005077,-0.017092071638574,-0.0128116177268458,-0.0196890276730866,-0.00614754100152511,-0.009340890902728
"59",59,-0.0185484131382472,-0.0124762979840928,-0.0115694388313984,-0.0137942500610004,-0.0104909779004378,-0.0154719794462589
"60",60,-0.0196000124095146,-0.0156333053490291,-0.0155476317473969,-0.0198723294777859,-0.0200544653291801,-0.0126508441708214
"61",61,-0.0176567149488565,-0.0131827987999339,-0.0150362977883028,-0.0189068710158043,-0.00466847900798274,-0.0178749624728878
"62",62,-0.009697549223841,-0.0206265198020631,-0.0101012784682795,-0.0161506839817379,-0.0085721328252688,0.00294658762111877
"63",63,-0.0175037864580233,-0.00822921862787747,-0.00623021176206053,-0.0112712518528599,-0.0107465000694088,-0.00672535314829875
"64",64,-0.0202832876955928,-0.0165573370525186,-0.0179207777189808,-0.018026964891207,-0.00416874172219825,-0.0185532994115492
"65",65,-0.0187884299819989,-0.0118965750869661,-0.00938072220700641,-0.0133899441001437,-0.00506582302488524,-0.0135901408910732
"66",66,-0.015042201664953,-0.00814042956284875,-0.00496936318009512,-0.00950134908279801,-0.00444004249171755,-0.00995338188804737
"67",67,-0.0229459196872134,-0.0254534084361563,-0.0200780162498374,-0.0282469516274564,-0.0169074304973553,-0.0246700245791457
"68",68,-0.019911061683672,-0.00718910952720978,-0.010280528689594,-0.0142040416980451,0.000446470904515528,-0.0171482090703312
"69",69,-0.0189242511835219,-0.00584160692365754,-0.017761295825147,-0.0252383878813608,-0.015077034838227,-0.0126562930439201
"70",70,-0.0131228847608968,-0.00793106492923482,-0.00334293439786986,-0.00914880193351892,-0.00573832120922336,-0.00820912598028697
"71",71,-0.010965229116478,-0.0111877307121129,-0.00883887670578822,-0.0151142794853994,0.00368383402725308,-0.0020639173449364
"72",72,-0.0167816470449678,-0.0122608837633489,-0.0143355261721567,-0.0125906457978091,-0.00984856327968871,-0.0125621559188735
"73",73,-0.012909140856216,-0.0121843288228227,-0.014684039341732,-0.0199036827944935,-0.0110812735558992,-0.00873675018317465
"74",74,-0.012424528958324,-0.00835024047922697,-0.00753397734845801,-0.0122452030780422,-0.00855502674027498,-0.0103485851084535
"75",75,-0.014190216216872,-0.0215202676160195,-0.0146100840546816,-0.0235184374828809,-0.0130290653712455,-0.00322703801591762
"76",76,-0.0139598826076907,-0.00942560613268751,-0.00743643429854616,-0.0141171667226779,-0.0105923812639713,-0.0106973106348074
"77",77,-0.0186335512622413,-0.00731183289823609,-0.0136682398207188,-0.0188678014598362,-0.0104228848853355,-0.0165113144887126
"78",78,-0.0212464331118942,-0.00981062314429752,-0.0130409808033497,-0.0137083793733456,-0.00871096125703575,-0.0156079800729338
"79",79,-0.0200809096066501,-0.0133076062707413,-0.0115089113170658,-0.01341675080508,-0.00564976365967523,-0.0159611105226684
"80",80,-0.0206069401010951,0.000126714918066418,-0.00734684959026247,-0.00776257864261875,0.00154570430300527,-0.0100188308553223
"81",81,-0.0183296233728589,-0.0103203447660312,-0.0116004246930612,-0.0145548673831903,-0.00425817414855521,-0.0184420122923957
"82",82,-0.0129691808754229,-0.00594659209532032,-0.00743081088493355,-0.00964642772610273,-0.00284214407307835,-0.00886393828884896
"83",83,-0.016610388740721,-0.00890131753982125,-0.00551925635865414,-0.0184396679093173,-0.0187239390714485,-0.00235539660847453
"84",84,-0.0163406466845226,-0.0109053297093606,-0.0100386570403229,-0.0137603935530175,-0.0191220226688313,-0.00536625776885639
"85",85,-0.0173180167886673,-0.00469783753935785,-0.0104967698322548,-0.0107149826261416,-0.00339431634808236,-0.0105293939852133
"86",86,-0.0207740502178726,-0.0198849617718715,-0.0195417805706158,-0.0251360897811578,-0.0141743971037966,-0.0153168341226001
"87",87,-0.0160316593265187,-0.0134133882476167,-0.00739411893747441,-0.0133406846240122,-0.0080929726551415,-0.010094159009877
"88",88,-0.0176170620301706,-0.0158923277812667,-0.0113369897973452,-0.0191825184559274,-0.00379778228503662,-0.0158886510689986
"89",89,-0.0168973864110005,-0.0112597950312149,-0.0111413084371913,-0.0172857131031422,-0.0186922272430669,-0.00234815721860232
"90",90,-0.0128261982414215,-0.00985425744358189,-0.00836772738794468,-0.0151042913856807,-0.0153665865338755,-0.00197242218035943
"91",91,-0.0204375856828887,-0.00815463110580241,-0.0099165166298218,-0.0191142825655359,-0.00456073269626652,-0.0175828610772623
"92",92,-0.0174037374181576,-0.00965598290135421,-0.0105278282127725,-0.0123286944460238,-0.0105078827260197,-0.0132092535035175
"93",93,-0.017094168050069,-0.00272483493299291,-0.0106759405728294,-0.0155623324613879,-0.00610859531455035,-0.0189083069316824
"94",94,-0.0125268528978432,-0.00767110137353148,-0.00637823648990529,-0.00980196538894197,-0.00530181135813981,-0.00990289792689573
"95",95,-0.0242162834129579,-0.0138488613518276,-0.013493813615291,-0.016801119835282,-0.00927593653520247,-0.0126395500836402
"96",96,-0.018088662170729,-0.0118983820851073,-0.0183553217670621,-0.0166562402622512,-0.00934117388481218,-0.0176713324552911
"97",97,-0.017885835777401,-0.0104037416435489,-0.0146409000506134,-0.0143383163898439,-0.0178593201092613,-0.0122559889225983
"98",98,-0.0223787236637524,-0.00896927039392325,-0.0214628944575237,-0.0264217149069723,-0.0150423859248582,-0.0165654804378849
"99",99,-0.0129561565900049,-0.00248080424488268,-0.0120589975203749,-0.0141896300635947,-0.00997458206682545,-0.0139525748596562
"100",100,-0.0222535421447679,-0.0166707690325253,-0.015258863019097,-0.0205981467536399,-0.00683366335129208,-0.0183792219535164
"101",101,-0.016368036209799,-0.00681707623316791,-0.00807539084926843,-0.0121093257077344,-0.0066588775502207,-0.0174737271073376
"102",102,-0.0153125001833699,-0.0109738225186129,-0.0057716288649848,-0.0161296538642035,-0.00709548918016831,-0.0108133915295654
"103",103,-0.0110441394187948,-0.00922893289009679,-0.00436989832325659,-0.0131941564928887,-0.00995769447096669,-0.00425551176452299
"104",104,-0.0288656679182702,-0.0103161272550595,-0.0149111368122545,-0.0133467353693769,-0.0060074639129271,-0.0218687527425289
"105",105,-0.0227951238127981,-0.0128900731620212,-0.0127128303769483,-0.0159742413141187,-0.00702902133188007,-0.0212823589810764
