"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.0183482967809381,-0.00898985111998323,-0.0135272345911825,-0.0212311371403955,-0.0153692403894941,0.00961653153325514
"2",2,-0.0241059789040769,-0.0116209329250825,-0.018487893208361,-0.0237210852810788,-0.0150398498806632,-3.25825496790416e-05
"3",3,-0.0151066416419676,-0.0150578107489426,-0.014101999753557,-0.0219508536752775,-0.01825411338617,-0.0121775283751383
"4",4,-0.0209803522473009,-0.0155209450865071,-0.0144286857531719,-0.0219685702157238,-0.0144921958765318,-0.00243511756699948
"5",5,-0.0149396053437482,-0.0109040824796597,-0.0218312031274312,-0.027100898817275,-0.013708640375939,-0.00870992467983163
"6",6,-0.0227164120706841,-0.0280858704510451,-0.0120781023245422,-0.0261543336843535,-0.0167483064369001,8.749282794486e-05
"7",7,-0.0236039525443886,-0.0250817426336719,-0.0182314555940425,-0.0283848035328601,-0.0203766069990646,0.00571952419695957
"8",8,-0.0331093734088908,-0.0147437737501854,-0.0247908747547123,-0.0195805053045692,-0.0176366494211912,-0.00929078088775047
"9",9,-0.0139418666703421,-0.0102491465688015,-0.0109203950262313,-0.0200288333820765,-0.0134843577223577,-0.00926752369495239
"10",10,-0.0162577198722292,-0.00619196443731198,-0.0205467511034923,-0.0254534560263095,-0.0121965759028947,-0.00830360719054066
"11",11,-0.0209662328206367,-0.0135029705412809,-0.0186456554776861,-0.0232407213991497,-0.0182560866422868,-0.0108602504697309
"12",12,-0.0183246893325623,-0.0135024599414076,-0.0127545705350607,-0.0226448736837209,-0.0165451187447535,0.00330134473093987
"13",13,-0.0142293716959218,-0.0100135525293824,-0.00287814972382381,-0.0244103924338333,-0.0122796719205226,0.0037544606004456
"14",14,-0.0213182499226716,-0.0083907034598706,-0.0217734250536605,-0.0183225905656892,-0.0106826331886987,-0.00657031109486582
"15",15,-0.0191579640979657,-0.0176300043300317,-0.0174590181946348,-0.02579863082398,-0.00847474375295819,-0.00594116651838073
"16",16,-0.0218658625535045,-0.0113804155215416,-0.0163504829124118,-0.0227653240294997,-0.0103219008221751,-0.00318037292563324
"17",17,-0.0225681044102626,-0.00871391746796406,-0.0166878739694505,-0.0192816535889639,-0.00978906183499979,-0.00814846913091581
"18",18,-0.02837566688911,-0.0216869602642265,-0.0272758476862364,-0.0309364917035901,-0.0215232289726741,-0.0205499142744397
"19",19,-0.0193526448455137,-0.0105757573023976,-0.0161691471233717,-0.0179814469047597,-0.0117231701318083,-0.00753534888455954
"20",20,-0.0281673433919853,-0.0302806382778424,-0.0165467054864496,-0.0300526561926366,-0.012800737416831,-0.0062954463058119
"21",21,-0.0208721736022235,-0.0110881072941534,-0.0136006482342296,-0.0175985705981562,-0.00757627310241319,3.72006874987794e-05
"22",22,-0.0221607403731902,-0.0090015021894748,-0.0170994143779595,-0.0244492586254405,-0.0174434320490106,-0.0106515022322325
"23",23,-0.0228324174236332,-0.00712192953560604,-0.0180310778499886,-0.0213025607293271,-0.00851067381164033,-0.00823111004483138
"24",24,-0.0190831851811298,-0.0147635679330733,-0.0119738834682849,-0.0218980286629999,-0.00779652673695275,-0.00312291202458509
"25",25,-0.0195034036220989,-0.012058644600084,-0.0170260247918843,-0.0172977927661046,-0.00293481568385134,-0.00729761441991092
"26",26,-0.0272836124076205,-0.0108116181004697,-0.0214839042395407,-0.0237211533984811,-0.0143551635717731,-0.00575683327187969
"27",27,-0.0192151105765444,-0.00624027565268899,-0.0159441193646669,-0.020706070650776,-0.00411094120544637,-0.000433506852401491
"28",28,-0.015694049735143,-0.00683576883743653,-0.017248097949316,-0.0241123325447391,-0.016273157771426,-0.00127930959762041
"29",29,-0.0228176766150856,-0.00778615992334973,-0.0173633015283799,-0.0206601191491589,-0.0142541007838076,-0.00230859701772275
"30",30,-0.02258772210478,-0.00616042256426133,-0.0157943763455665,-0.0165031724583398,-0.00790784212594992,-0.000133014663514053
"31",31,-0.0262575669996142,-0.0044267679400879,-0.0124682265564422,-0.0194256319179365,-0.00782022988498951,-0.00474483834446627
"32",32,-0.0242520997987417,0.000623418948685577,-0.0201703035835655,-0.00983830269449979,0.000942070007360598,-0.00025642039307925
"33",33,-0.0348768975534403,-0.0118712777306912,-0.0272171034530375,-0.0183932024866102,-0.0159063578904663,-0.0160539664878235
"34",34,-0.0206266811990664,-0.0247370696103096,-0.0127454662565725,-0.0282721814985309,-0.0186672533650931,-0.00618698727337302
"35",35,-0.0152429931344291,-0.00737508947515959,-0.0115505590140062,-0.0215699501200545,-0.00999812993149696,0.000879534878921948
"36",36,-0.0262935199038119,-0.0125257716180263,-0.0272187255580782,-0.0190123995491563,-0.0156764192588107,-0.00198365446946006
"37",37,-0.0224231643326536,0.000885178167416358,-0.0103970558370327,-0.0133266846967961,-0.00494581917680135,0.00135435011847946
"38",38,-0.0192691328386586,-0.020166074023172,-0.00970732491323701,-0.0201257341693556,-0.00497739411061943,0.00569288691085983
"39",39,-0.0258903142485695,-0.015062363780771,-0.0159853171221401,-0.0210469936803626,-0.0106389009633739,-0.00690170465497179
"40",40,-0.02217523739936,-0.0143273930331473,-0.0125880300231099,-0.0303372639959415,-0.0223867764598633,-0.00102010794463006
"41",41,-0.016885098382438,-0.0120131643951549,-0.0159932199853769,-0.022601511636212,-0.0136664376950159,-0.00739320018496687
"42",42,-0.0230174944047443,-0.00706419872398621,-0.0186540165998708,-0.021175753531182,-0.00861416144003197,-0.00864087286511302
"43",43,-0.0216417864452665,-0.0160992419374632,-0.00893940106667645,-0.0237438503148917,-0.013147745772016,0.00191169122602658
"44",44,-0.0167395668085969,0.000970875350392401,-0.0155328052172132,-0.021103451794838,-0.0121442717008399,0.00155772031684969
"45",45,-0.0283495612470823,-0.00953824546739131,-0.0180553824459831,-0.0235334258988086,-0.0171724036737564,-0.00789610963782641
"46",46,-0.0201396438344434,-0.00814221257804676,-0.0124150797942327,-0.0236710701969548,-0.0137304589364293,0.00344018432330011
"47",47,-0.00995011768892114,-0.00575971681964301,-0.00771809837482633,-0.0156380297293338,-0.00554373023879735,-0.00406543967939662
"48",48,-0.019794108082197,-0.0272727434940181,-0.0190023258184951,-0.0308115363524731,-0.0201961401316416,-0.0124827112670006
"49",49,-0.0213360850243272,-0.016088227524,-0.0163477841389959,-0.026500205608762,-0.00201334902605635,-0.0056231805540306
"50",50,-0.020909438721977,-0.00643063202332314,-0.0153758278943377,-0.0160251061558508,-0.00298144040180905,-0.00519861184539431
"51",51,-0.0166834609585817,-0.00356180457669715,-0.0143170396621671,-0.0221519015719686,-0.00544745374223293,-0.0071409368078827
"52",52,-0.0155666887764486,-0.00676287101763725,-0.009823451519343,-0.0204505415032247,-0.00698476320275044,-0.00710109682515802
"53",53,-0.0254200947409912,-0.00409843217544384,-0.0145694448192073,-0.0203496390108172,-0.0127814742331747,-0.00878966559647951
"54",54,-0.0224066906796081,-0.0159351352518963,-0.0153180935463489,-0.0235713170263321,-0.015132623918514,-0.0142786960793088
"55",55,-0.00618491711890744,-0.00646791051078706,-0.00252790695341825,-0.0210341240695347,0.00686682448252824,-0.0020796710539712
"56",56,-0.0292354359768432,-0.0110588442087048,-0.0117993093684945,-0.00594779815906269,-0.00297352677978469,-0.00418338696278416
"57",57,-0.0184486707615717,-0.00809158385522276,-0.0141534695321915,-0.0148133803945457,-0.0146274240607279,0.0022544025045713
"58",58,-0.0195707362576755,-0.00661717883920392,-0.0139868734830551,-0.0195049426211179,-0.00897525457391816,-0.000589430656698753
"59",59,-0.0156432237810259,0.000823743786110083,-0.010240697413587,-0.0205529200401947,-0.00930511446928794,2.9799810058424e-05
"60",60,-0.023798866038402,-0.00611090326917701,-0.0141721309456558,-0.0195744828609928,-0.00953066991619189,0.000617970471880354
"61",61,-0.0261096582471776,-0.0157068606131758,-0.0194673621829461,-0.0261258797693505,-0.00626336474264586,-0.0010413973977954
"62",62,-0.0096750485267276,-0.0031499303333652,-0.0106804471075709,-0.0173666492431719,0.000981815152778651,-0.00624603570744214
"63",63,-0.0171612633802402,-0.00908125632945457,-0.0131633428352462,-0.0240915805810327,-0.0190665534522589,-0.00990055112793439
"64",64,-0.0110463606264501,-0.0121055113772608,-0.00854105532522417,-0.0225666267903419,0.00142125128076311,0.00192063352472489
"65",65,-0.0205953363548846,-0.0120202256707019,-0.0187430667586761,-0.0240392875700658,-0.0135667576810217,-0.00859158356952886
"66",66,-0.0240360759816341,-0.0135003793564158,-0.0148263738797778,-0.0231910394153764,-0.0141219843271783,-0.00756445073432479
"67",67,-0.0157576504082861,-0.0121428757725861,-0.0155420015104,-0.0259015789745861,-0.0122006066484856,-0.0170340975890449
"68",68,-0.0203474566646192,-0.014206304953464,-0.00232736858679415,-0.0235668395947659,-0.0142246934332249,0.00670360826462791
"69",69,-0.0148908832445772,0.000604539344889859,-0.0122069921979757,-0.0160071377628262,-0.000865528736798596,0.00483670159066731
"70",70,-0.0218317341405535,-0.00457185452424212,-0.0116728386270195,-0.0214691916365648,-0.0163377469240804,-0.00184845699087424
"71",71,-0.0235575891622639,-0.00611944893837474,-0.0111311181013626,-0.0186464240736691,-0.0113538161883936,-0.00890196302804032
"72",72,-0.02421703178741,-0.0123895975381336,-0.0205153193101635,-0.0246896008583048,-0.0174511623937576,-0.0101859849394728
"73",73,-0.0232301843416302,-0.0149401299709119,-0.0194117852553905,-0.0208297344305042,-0.00505321935804398,-0.00881426236459385
"74",74,-0.0213594991189186,-0.0145035383925807,-0.0117482244371865,-0.0228003550164903,-0.0155873496777523,-0.00452292174580355
"75",75,-0.026555380962512,-0.0183441118584332,-0.0150946242180619,-0.0192512728002492,-0.0167451990501287,-0.00681310034568199
"76",76,-0.0168952174123352,-0.0129916095571376,-0.0112480999735481,-0.0235646130083037,-0.00830960354926283,-0.0060304707829716
"77",77,-0.0163058939337921,-0.0140934059617873,-0.00986517865316416,-0.0242475351304511,-0.0128728185807314,-0.00211749932533503
"78",78,-0.0251516858814215,-0.00354874531964729,-0.0132704337401912,-0.00887973037106932,-0.00303400986827474,-0.00362263974604222
"79",79,-0.0167997508876278,-0.0105070093852028,-0.0115555481694737,-0.0220405489552195,-0.00454259537988544,-0.0123483851926776
"80",80,-0.024743621992887,-0.0119831665252316,-0.0146183860564033,-0.022271079212266,-0.0120430238763532,-0.00375006945575152
"81",81,-0.00999331955243895,-0.0101112575033125,-0.00560007980150863,-0.0215408873098433,-0.014489915770578,-0.00588866664486126
"82",82,-0.0230611562506221,-0.00953972011256232,-0.0211327142261383,-0.0270396754734763,-0.0189856227114175,-0.00782683770031191
"83",83,-0.0251334305561931,-0.0076170269687401,-0.0181367918216937,-0.0151282781231498,-0.00633574432342791,-0.00176914730713455
"84",84,-0.0210438842577649,-0.0152202913422207,-0.0103720900084698,-0.0178199806620947,-0.0133149168242904,-0.00901509520822501
"85",85,-0.018145673599982,-0.00733609551401455,-0.0151202582536947,-0.0225417919422577,-0.00786726218836781,-0.00985263153702916
"86",86,-0.027878990800205,-0.01988834774953,-0.0238033990674792,-0.0236486202034858,-0.0152370579115614,-0.0178157942219261
"87",87,-0.020849664283782,-0.0106277695195919,-0.0213161989103324,-0.0274366987318881,-0.0160790280478996,-0.00765427183401816
"88",88,-0.0123704216471868,-0.00723735218504038,-0.00883544128526816,-0.0198784923844759,-0.00736513399640038,-0.0104746138808949
"89",89,-0.0248599119839894,-0.0174544737604677,-0.0209489551554195,-0.0271724410576717,-0.0163953060181273,-0.00837506394830033
"90",90,-0.022423038237177,-0.0239771956839558,-0.0182458917308099,-0.0301223118657278,-0.0159101595661095,-0.0120226102467649
"91",91,-0.0312071160133584,-0.00668711018196129,-0.0198086887340505,-0.0154332592133406,-0.0114812135131678,-0.00102728944683149
"92",92,-0.0385176688743061,-0.00944741090026149,-0.0289160595416067,-0.022542331170191,-0.022699235726399,-0.00442925569608855
"93",93,-0.0210130379977221,-0.0213118334818424,-0.0188931675558187,-0.0299908440758963,-0.014580327479326,-0.0164071584116546
"94",94,-0.0148724211168119,-0.00771576270331868,-0.00892630836536079,-0.0192536701062259,-0.00788558847721269,-0.00330577157766101
"95",95,-0.0187738663897738,-0.00772941250858679,-0.00426047714969969,-0.0138302910149975,-0.00630187032132069,-0.00477384628726637
"96",96,-0.0129703414743979,-0.0118871920681212,-0.0023928978408408,-0.021019445255481,-0.00285328857499738,0.00904764410392426
