"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.00941856271531229,-0.00538598729478398,-0.021133652497059,-0.0163657593422971,-0.0134804133805792,-0.0153230979853971
"2",2,-0.0115064772841514,-0.0105009302205615,-0.0171440363738878,-0.0164008397533836,-0.0170276307398931,-0.0119480987472848
"3",3,-0.00785158675574928,-0.00602893039893688,-0.0171086791464594,-0.0165025629118559,-0.00999534762781887,-0.019643258565455
"4",4,-0.00520616774158197,-0.0110507181312019,-0.0169587866982192,-0.0203158956915923,-0.0129350303171139,-0.0124570529354933
"5",5,-0.00859142333658406,-0.00698317155277812,-0.0104231291041028,-0.0148264413528251,-0.00723731804909795,-0.00698468402364762
"6",6,-0.00709474514179048,-0.00779996681205869,-0.013000306685811,-0.0158912303795563,-0.0175539612428467,-0.0121512508835395
"7",7,-0.00698829738486112,-0.00901986173983609,-0.0119555835032345,-0.0186702687656831,-0.0113193640120737,-0.00866501701568395
"8",8,-0.00920212080893464,-0.00627578994428116,-0.0124628802122496,-0.0179195032822521,-0.0167101378196537,-0.0106106602132442
"9",9,-0.00945063740789023,-0.00841280882743965,-0.0145273648020636,-0.0168929510856397,-0.016333586894411,-0.00929869649425186
"10",10,-0.0116291094674711,-0.00263023734155529,-0.0140563263436724,-0.0148395401618294,-0.0143405134154378,-0.0139768841831809
"11",11,-0.00987240724116788,-0.00940226064856562,-0.0118923950565936,-0.0175651895127986,-0.00920002715208564,-0.0117437259672768
"12",12,-0.00507030292037288,-0.0103697358374386,-0.0178871411992415,-0.0213021203841539,-0.0147834523528303,-0.0152766188637421
"13",13,-0.00458933051081256,-0.00492468759605814,-0.0106237557573241,-0.0119373907728896,-0.0111913231006938,-0.00789228514835903
"14",14,-0.0023096434127974,-0.00253783736749699,-0.00773105932680923,-0.0121365855204274,-0.00770781804964671,-0.0122665368847708
"15",15,-0.00828069855368018,-0.00739181723524501,-0.0145511447236837,-0.0139594910978698,-0.00846890159525262,-0.0112162294891935
"16",16,-0.00596755161173745,-0.00695798169276136,-0.0159449041579732,-0.0140390603896411,-0.00718400013884215,-0.0169805725669375
"17",17,-0.0127840006790571,-0.0113834828743449,-0.0192734053614881,-0.0226210735873916,-0.0196593133695343,-0.021141657071792
"18",18,-0.0104103576782224,-0.0131666528930459,-0.019376281763735,-0.0172368647860193,-0.0149783000776831,-0.0128753000455921
"19",19,-0.0088399300647806,-0.00391956056255492,-0.0161949848950689,-0.0173725549376277,-0.012753105123186,-0.00911813161695503
"20",20,-0.010437729163859,-0.00622536342881199,-0.0129786570998467,-0.0150797055774961,-0.0143990436965345,-0.0101994409741663
"21",21,-0.012366673519396,-0.00419207696236244,-0.0102922528189684,-0.014330576811964,-0.00928078571144176,-0.013087093098643
"22",22,-0.0145346687527076,-0.00761059942031645,-0.019706388688307,-0.0226215746858591,-0.0146804844528414,-0.0124447396504771
"23",23,-0.0107177357038538,-0.0104791642834147,-0.0121446761737556,-0.016738563311648,-0.0107507892216493,-0.0117315335094833
"24",24,-0.00636795174435069,-0.00712795355982431,-0.0172408993736938,-0.0200833463733544,-0.0131858531290808,-0.0160733436373757
"25",25,-0.00404269224837686,-0.00363126056068777,-0.0178288283524875,-0.0201116979624709,-0.0151239208511536,-0.0157741333650498
