"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.0168777849597269,-0.00427124634457645,-0.0168855216291215,-0.0139390965522792,-0.00987936858884498,-0.0139482375945377
"2",2,-0.0212386089363133,-0.0108280079109457,-0.0209825058776411,-0.0220127189276583,-0.0160506508149069,-0.0124553441776045
"3",3,-0.0135585683715811,-0.00591513629820964,-0.0171458431885417,-0.0185321246322407,-0.0116455767391997,-0.023788714555344
"4",4,-0.0166622035139691,-0.00556055799907342,-0.0161511221949812,-0.0154448692606759,-0.014839329285888,-0.0106976730211386
"5",5,-0.0184939011442734,-0.00759391614234706,-0.0207473933690986,-0.0167764680871215,-0.0116025196095163,-0.00875790943705707
"6",6,-0.0130651698696219,-0.00603244619974079,-0.0144599499077893,-0.0151199662478463,-0.0129177120053813,-0.00811316325548222
"7",7,-0.0137036522211162,-0.00645829147510916,-0.0153805309789102,-0.0169763365008333,-0.0180438922136641,-0.015970054981265
"8",8,-0.0154407122252463,-0.00588621233072632,-0.0123176210810412,-0.0158244180379385,-0.00974192463271507,-0.0147927221555397
"9",9,-0.0146453428551855,-0.0096592665646947,-0.0147497152971255,-0.0152198324043139,-0.011540122520508,-0.0112588845663998
"10",10,-0.0161423433538761,-0.00749790043313555,-0.0179519978147353,-0.0164005874777057,-0.0151745475730324,-0.0100354402204354
"11",11,-0.0211863137382958,-0.00890490952122491,-0.0248609763242835,-0.0258012718687026,-0.0147895335740061,-0.0122436140011104
"12",12,-0.01592358106636,-0.00452018182730164,-0.0114889197808508,-0.0179580611270325,-0.0117406953664331,-0.00979891747517037
"13",13,-0.0128041614380351,-0.0052564605222798,-0.0108417796730338,-0.0157274768539374,-0.00931080405164525,-0.0156042781768443
"14",14,-0.0158443038546736,-0.00488230490443983,-0.016098251376179,-0.0167316412237511,-0.0160213091371611,-0.0124420037080434
"15",15,-0.0166338393958676,-0.0063621558795321,-0.0139806814945642,-0.0171950778064143,-0.00706979701770547,-0.0138133495881447
"16",16,-0.0123380987176401,-0.00708589162788393,-0.0126600311502208,-0.0168008130845171,-0.00557553109138134,-0.0172560363462344
"17",17,-0.0188792681257621,-0.00865393613212421,-0.0201011638488016,-0.0219714831459715,-0.0155266864761563,-0.0146922266928566
"18",18,-0.015396785780706,-0.00446849138980414,-0.0106242488389845,-0.0103029390729281,-0.00539702313888722,-0.0125572727398227
"19",19,-0.0167239150740029,-0.00313781705329237,-0.0154745527216007,-0.01319955840196,-0.011782557368365,-0.0133055412500423
"20",20,-0.018851439019579,-0.00995597630243399,-0.0158365255613763,-0.017880078478547,-0.0147482337189777,-0.00849464790238176
"21",21,-0.0186732795824933,-0.0122487500140242,-0.0148918066765459,-0.0142900449291691,-0.00878908024472475,-0.0111000753775867
"22",22,-0.0182603290163167,-0.00841418334809763,-0.0166611652765786,-0.0195551966940785,-0.0114710456141036,-0.0120307160904722
"23",23,-0.0137454062017762,-0.00334592602081935,-0.0150530227451977,-0.0154303880359885,-0.015349257106266,-0.00967809465283233
"24",24,-0.0163150443548771,-0.00506984345268909,-0.0150032796958809,-0.0133060462241389,-0.00954880535883017,-0.0138947141376498
"25",25,-0.0176926302074742,-0.00598371986820049,-0.0193097365676706,-0.0153002579582515,-0.0151533906458852,-0.0123563459683603
"26",26,-0.0149922947104546,-0.00698347973403182,-0.020470007622156,-0.016241760084556,-0.0133382885402546,-0.00870182160129005
"27",27,-0.0138590035078645,-0.00567193093117374,-0.0141126666650879,-0.0144309557902867,-0.0123260138293179,-0.0105329713311214
"28",28,-0.0124677395024202,-0.00696192836548114,-0.0106444909388048,-0.0149667258116605,-0.0100142954501035,-0.0136592795679086
"29",29,-0.0170168007744538,-0.0105640932217274,-0.0187632774970792,-0.0175028203289691,-0.0138542535356093,-0.0131338984677783
"30",30,-0.0154444908963817,-0.00810778806674628,-0.0142989797497138,-0.0168777658855089,-0.0121434293664964,-0.0145970882805235
"31",31,-0.0169745348519623,-0.0083006214007733,-0.0170996138391218,-0.0161819726865281,-0.0126624445501171,-0.015421546942962
"32",32,-0.0167598565021147,-0.00792319849174006,-0.0163906269989051,-0.0163567433943504,-0.00858294357110946,-0.00965062899255784
"33",33,-0.0178068384393219,-0.0122224394817723,-0.0211170331881388,-0.0201229565081288,-0.0122106858382053,-0.0150099717601589
"34",34,-0.01360062656295,-0.00826751336442051,-0.0125517849353852,-0.015068025845269,-0.0105864176204458,-0.0126501854076822
"35",35,-0.0176403368847494,-0.00633354755297728,-0.0179183103025832,-0.0182703513006635,-0.0129046993168677,-0.0105574919657099
"36",36,-0.0205027928030528,-0.00821150569151293,-0.0175616218577472,-0.0195826582037621,-0.0098008966497514,-0.00982247853109509
"37",37,-0.0157902889189047,-0.00695464943225896,-0.0232855188588572,-0.0222418604412887,-0.0159163317731704,-0.0183294139536996
"38",38,-0.0147108740509905,-0.0115569364822729,-0.0157144283247497,-0.016694132940119,-0.0193721745441187,-0.0149460950988792
"39",39,-0.0173306380781637,-0.00651262952231006,-0.024349640077754,-0.0214818366714509,-0.0157261001186229,-0.00838356976276159
"40",40,-0.01384817359395,-0.00556879190758397,-0.0104464304278017,-0.0146430847974658,-0.00887629634500656,-0.0046803722752811
"41",41,-0.0162695503732688,-0.00237737984529484,-0.00714700349316497,-0.0128182074230487,-0.00730972048891535,-0.0102115958879866
"42",42,-0.0174030526226181,-0.00746528210974862,-0.0185917506519016,-0.020464920316927,-0.0152674408653498,-0.0147078799634277
"43",43,-0.0202429027008881,-0.00672268082591952,-0.0186433378068089,-0.0169565987544889,-0.0124001772955628,-0.0131240921551823
"44",44,-0.0123112707408891,-0.00751831255593245,-0.0130502732897489,-0.0136789067959452,-0.0123619886902279,-0.00776566741009629
"45",45,-0.0181731446244158,-0.00930273775805853,-0.0205318333003242,-0.020128892183989,-0.0181742948907216,-0.0150101098696518
"46",46,-0.015796817028801,-0.0119397727625348,-0.0119228882794094,-0.0132515317815407,-0.0110720157485478,-0.0108253356057691
"47",47,-0.0162855353132675,-0.00811709085370448,-0.00986933524415432,-0.0121297472702581,-0.0090441233031578,-0.00757630844681398
"48",48,-0.018174454300453,-0.00492390514757293,-0.0131463309211486,-0.0129412920737981,-0.00937914184952764,-0.01000731113732
"49",49,-0.0194839299358537,-0.00764186171138437,-0.0179606660445977,-0.0201740763047388,-0.0110464969814847,-0.0164386042560111
"50",50,-0.0168650987812281,-0.00609007917427962,-0.0204164646126259,-0.0207100770166737,-0.0146897885500321,-0.014880082766975
"51",51,-0.0181043109164031,-0.00728890707937421,-0.014001672391056,-0.0140162364492312,-0.00285111878582549,-0.0131205247711908
"52",52,-0.0139532642228657,-0.00644365094717925,-0.015498080653844,-0.0214941790355513,-0.0159821596345913,-0.00979175845655755
"53",53,-0.0177310188512757,-0.00596646851014059,-0.0134591501867099,-0.0183428705090414,-0.0141454192563337,-0.0129917654355806
"54",54,-0.0119264353715398,-0.00691888821989202,-0.013904443290427,-0.0159536397800978,-0.0131092771851744,-0.00848262310780685
"55",55,-0.0132849819329037,-0.00732487429414328,-0.0175665732563851,-0.0200260857670343,-0.014323840036368,-0.0114710471504024
"56",56,-0.0156038147592536,-0.00499374066206225,-0.0144064389452735,-0.0176200614210353,-0.0135831620222671,-0.0101683193154573
"57",57,-0.0181959671288285,-0.00895349925349515,-0.017620410689811,-0.0174226523671834,-0.0160790128720579,-0.0145499768904415
"58",58,-0.0182975490037419,-0.00885258024094208,-0.0176124828914628,-0.0160851093956214,-0.0166323083537246,-0.0114509860577704
"59",59,-0.0157337605763632,-0.00841441050616982,-0.0123201217198904,-0.0113991786656043,-0.00559774561679542,-0.0130437120364717
"60",60,-0.0210686120218716,-0.00814665863698474,-0.0217920340633057,-0.018611553011282,-0.0150046268691518,-0.0173552992961301
"61",61,-0.0151516471801611,-0.00535140815599189,-0.0169554643864754,-0.0164148770404672,-0.00928735204537424,-0.0117944509308693
"62",62,-0.01513990742919,-0.00450617050460354,-0.0130383590051697,-0.0182418100419553,-0.0116033937759119,-0.0132909602457614
"63",63,-0.0180453378152822,-0.0102529740457772,-0.0200601702936825,-0.0170972553032529,-0.0164828742564824,-0.0144231568092206
"64",64,-0.0159122170924414,-0.00625356399643859,-0.0152786922917534,-0.0143265149869112,-0.0140005628186663,-0.011957509399279
"65",65,-0.013566714776224,-0.0107012924489816,-0.0143240895728247,-0.0187866811810506,-0.0118575591092638,-0.00929933814484857
"66",66,-0.016449343307799,-0.0068026709607463,-0.0221912605634314,-0.0212510365057968,-0.0134664337147416,-0.0156477960859412
"67",67,-0.023357616290192,-0.0110662338994885,-0.0277194432687773,-0.0246894640886655,-0.0178253349175643,-0.0173372226830483
"68",68,-0.0138336390661173,-0.00564009420442894,-0.0182557579218759,-0.0190837691944652,-0.00890045272039162,-0.00926788809795536
"69",69,-0.0118043379381578,-0.00460158814898663,-0.0115837879056957,-0.013493165309655,-0.0129889338941413,-0.00961172582758554
"70",70,-0.0140187551195864,-0.00360000964552493,-0.0136381034413144,-0.0122171564226326,-0.00667241619593309,-0.0142730558211182
"71",71,-0.0193040138913586,-0.0104903232685059,-0.0141179220433443,-0.016582163659135,-0.0128136145285651,-0.00773771320809363
"72",72,-0.010105245183346,-0.00456717584035737,-0.00953591572499179,-0.0158107283256199,-0.0148909347027063,-0.0102295417412557
"73",73,-0.0195625898393221,-0.00797434611724813,-0.0173051398526875,-0.0158254432610906,-0.0150674662059503,-0.0119909121850682
"74",74,-0.0246321213269545,-0.0124088647530371,-0.0257968250706321,-0.016976587022313,-0.0186621254868223,-0.0117754300006581
"75",75,-0.0127802020347769,-0.00350936641456788,-0.0149806075606983,-0.0136065117928403,-0.0082221439298469,-0.0146286707297983
"76",76,-0.0180904952944648,-0.00454963465778877,-0.0164317630754852,-0.0143919190768158,-0.0102340992771559,-0.00963631970846116
"77",77,-0.0133414129282165,-0.0085371145987871,-0.017822513383084,-0.0218917114061646,-0.0187521299915293,-0.0140816312510193
"78",78,-0.0140613311139246,-0.00269848407204384,-0.00827295080218268,-0.00934328892392533,-0.00651556106494583,-0.0108093741594488
"79",79,-0.0177871190768987,-0.00624469805251827,-0.0163217113073273,-0.0208654223619005,-0.0125560408655819,-0.0118999361921312
"80",80,-0.0189769998725649,-0.00964913922089376,-0.023627940974631,-0.0240376215911543,-0.0163333390969788,-0.0194574543872118
"81",81,-0.0125134403747682,-0.00714565632123688,-0.0125737549437446,-0.0109146453353895,-0.00811034260051706,-0.0131778741170812
"82",82,-0.0177540630126325,-0.00786629588438212,-0.0174765912222103,-0.0176898108380601,-0.0146589780591868,-0.0160324772935296
"83",83,-0.0195141303259861,-0.00374647200628649,-0.0157684271477731,-0.0138896907470646,-0.00977005571531366,-0.0111997030932633
"84",84,-0.0187239757997781,-0.00555351423117867,-0.0156916376215245,-0.015840997331476,-0.00942907388071689,-0.0131021873654699
"85",85,-0.0153870912579002,-0.00981713296255421,-0.016491339835399,-0.0160739919505438,-0.0120184267940219,-0.0111965426665122
"86",86,-0.020219387424739,-0.00871945099414051,-0.0160803888103764,-0.0172704018997552,-0.0117381296019846,-0.0122408405402904
"87",87,-0.0170888426482034,-0.0131773227540677,-0.0205824272303692,-0.0213051555886377,-0.0138385366434294,-0.00962605500960261
"88",88,-0.0138722843331462,-0.0107819986482298,-0.0167224999596376,-0.021391111848018,-0.0160473200299386,-0.0128694550342118
"89",89,-0.0173027823288432,-0.00668610034430763,-0.0194964680565648,-0.0179924264645396,-0.0162540280526388,-0.012770827506388
"90",90,-0.0173110098201859,-0.00930752665501514,-0.0211239239527804,-0.0210960729233206,-0.0133788172976215,-0.0182512753121252
"91",91,-0.014513072080877,-0.00705322007021594,-0.0139903721845375,-0.0144512798334481,-0.0123584503112918,-0.00745882013479168
"92",92,-0.0207230260132141,-0.0123065246937088,-0.0240876955411305,-0.0236373085827811,-0.0159953641750408,-0.0126048960296427
"93",93,-0.0213527808844682,-0.0112514019453603,-0.0223941144888303,-0.0210615824685179,-0.0148501516630454,-0.0160395367207679
"94",94,-0.0181051184544693,-0.00868860766996512,-0.0190173034982068,-0.0220834459148494,-0.0147156355264723,-0.0167818835467131
"95",95,-0.014922340747717,-0.00877920959312672,-0.0162021712346729,-0.0168560011873885,-0.0136511670861724,-0.00537244135883392
"96",96,-0.0170056256984845,-0.0105635045267208,-0.0177274298297486,-0.0180645174715263,-0.0145973340682129,-0.00680209332593759
"97",97,-0.0168129264365544,-0.00586326886882109,-0.0183720098367165,-0.0175480471476202,-0.0134293499402015,-0.0163035070692863
"98",98,-0.0155301826843066,-0.00876054861454889,-0.0135282839666453,-0.0150334857208532,-0.00979777725167539,-0.0116805670341518
"99",99,-0.0173541502872586,-0.00575756127158877,-0.0156246492108933,-0.0151734755247471,-0.0142123363501052,-0.00798518766250531
"100",100,-0.0153017271451596,-0.0076680176844632,-0.0158626946786804,-0.0132056156240405,-0.010373266969917,-0.0131974968646224
"101",101,-0.0152641567679492,-0.00368948436392313,-0.0116198658411419,-0.0144648911499177,-0.0109121986510299,-0.0102420607588531
"102",102,-0.016387149678888,-0.00872700090299413,-0.0176367257070816,-0.0193066317055783,-0.0189925574097233,-0.0124382148988285
"103",103,-0.0167490790103968,-0.00224141012433629,-0.0171993428547013,-0.0134619243640079,-0.00867589990004297,-0.0084090469782571
"104",104,-0.0172680607318387,-0.0112216305107096,-0.0188718562142254,-0.0230498958335493,-0.0124146585899891,-0.012035438694477
"105",105,-0.015498770002514,-0.00066115531959798,-0.0136833495676728,-0.0139398759395354,-0.00891757786399826,-0.00322509689763952
"106",106,-0.0161739814597632,-0.00633204556457534,-0.0142021551486422,-0.0174691866696892,-0.0155309658253167,-0.010574446032914
"107",107,-0.0178311078516003,-0.00872690507812485,-0.0183819764224695,-0.0174620702559797,-0.00978336066702695,-0.0130218173854195
"108",108,-0.014157155537027,-0.0106982900168729,-0.0168979674589366,-0.0196949995793499,-0.013766343826155,-0.0108631277051941
"109",109,-0.0144112019948599,-0.00415668086574496,-0.0128475479203657,-0.0121181186318959,-0.0133977609033482,-0.0123011275736209
"110",110,-0.0211742509691713,-0.00952108058230773,-0.024485440421494,-0.0161941062429304,-0.0162635005598271,-0.0162251117889614
"111",111,-0.0167121003376163,-0.00448470743461923,-0.0156403981304216,-0.0135130139710019,-0.00979258554667781,-0.00733370469880993
"112",112,-0.0159661722428575,-0.00955819008376888,-0.011512818336209,-0.0131567689833502,-0.00363718573024713,-0.00702274966734318
"113",113,-0.0183696683337094,-0.00645477869963247,-0.0150754771229033,-0.015523504756854,-0.0104943606207189,-0.014236588522894
"114",114,-0.0165218191224296,-0.004017926371997,-0.0184286440714548,-0.0174294973576136,-0.0107886517548281,-0.0151877566780918
"115",115,-0.0169764979178975,-0.0140196821259458,-0.0189837147864373,-0.0182362764764753,-0.0128602386709485,-0.00977117793131932
"116",116,-0.0205314775101345,-0.00143628377275787,-0.014598577160023,-0.0129223486567991,-0.0129574244643533,-0.0112343298194747
"117",117,-0.0152331268636792,-0.00620309679018389,-0.0154750948875033,-0.0163958517161887,-0.0140710709236256,-0.00990917483026212
"118",118,-0.0152384297263871,-0.00470504124923554,-0.00930374771260805,-0.0140386480515037,-0.0116271961420589,-0.00397294517097841
