"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.0160818077467094,-0.015499722291619,-0.0168999835307997,-0.018928305022077,-0.0146502828088003,-0.010770877392008
"2",2,-0.0149792600799347,-0.0057879348788568,-0.00957822458374395,-0.0126088563120628,-0.00947356959211383,-0.0048664888801153
"3",3,-0.0181922716993338,-0.0152534054861436,-0.0247844960543497,-0.0214025467446135,-0.0190041121820424,-0.00936928155273745
"4",4,-0.019855502357216,-0.0116342725027388,-0.0205731491389397,-0.0177678546145078,-0.0177660791524249,-0.0150959968532771
"5",5,-0.0160604681147,-0.0117047042200676,-0.012878082009125,-0.0204823233922891,-0.0158894164967124,-0.0115370495582081
"6",6,-0.0222105104624736,-0.014992308394661,-0.0259772103934375,-0.0212773064577166,-0.0174070846261174,-0.0175236522873828
"7",7,-0.0183030897885569,-0.00868034763818579,-0.0144364898562064,-0.0181040676918341,-0.00589723282235545,-0.0124283644491611
"8",8,-0.0109508903781244,-0.0115870897720234,-0.0153805955000598,-0.0129186962676353,-0.0144177088356809,-0.00724847415469033
"9",9,-0.0125036989817197,-0.00925505485852833,-0.0107855270972424,-0.0108521104572904,-0.0040393322098497,-0.0114087346566161
"10",10,-0.0168399120742364,-0.0154949146841365,-0.0169123004839637,-0.019157755300468,-0.0135975877702513,-0.0118434468022512
"11",11,-0.0190719195497735,-0.00812988924049114,-0.0195777836265164,-0.0144090340060982,-0.017838450728729,-0.0113980009909385
"12",12,-0.0229430475901051,-0.0120337156164046,-0.0275194404255683,-0.0226768133810354,-0.0197915265894964,-0.0152585743445494
"13",13,-0.0174007101836453,-0.0129523761533793,-0.013785504508681,-0.0122686610010528,-0.0113564959988992,-0.0109690467622722
"14",14,-0.017231874971291,-0.0122522450774002,-0.0215842976115543,-0.0252242665158664,-0.0211632594260469,-0.0158198113087406
"15",15,-0.0157037150538386,-0.00998387138022707,-0.0173827200337085,-0.0158980414476136,-0.0146366666057774,-0.00930175604613144
"16",16,-0.0181831642401639,-0.00810053266828206,-0.0118982146314034,-0.0148429796575374,-0.0143974654392926,-0.00728890596812079
"17",17,-0.0246794234804217,-0.00739850106609381,-0.0178112836994834,-0.0124453771652824,-0.011265699772465,-0.00347169406234602
"18",18,-0.0262179532400636,-0.0244900074587589,-0.0277742427234906,-0.0227441886546421,-0.0242594706502313,-0.0121637739526574
"19",19,-0.015888281451148,-0.0104147623722394,-0.0163763204813636,-0.00545900876194572,-0.0118993320348115,-0.00136382664377137
"20",20,-0.0189981330520057,-0.014138558414386,-0.0211682909292623,-0.0191359790369186,-0.0205875191977477,-0.0142995724050269
"21",21,-0.0196242905128396,-0.0185846485545563,-0.0240886985931897,-0.0207231467317649,-0.019676748616955,-0.00880842407373507
"22",22,-0.0225665486777749,-0.0119958645675313,-0.0199420937251354,-0.0214153022216681,-0.0179253448138551,-0.00606919367609608
"23",23,-0.0199524355944644,-0.0133924971649321,-0.0198177976055883,-0.0198603947383353,-0.0137791870538307,-0.00649289989987063
"24",24,-0.0195867213655228,-0.0134938091287655,-0.0114952646960496,-0.0158534383839021,-0.015477980351051,-0.00705831691467445
"25",25,-0.0165282826373599,-0.00991028537390721,-0.0153164958886115,-0.0157129160363455,-0.01349725939908,-0.0117621751497563
"26",26,-0.0147400117216659,-0.0142662074236058,-0.0159010410981986,-0.0210779098002706,-0.0147411261579447,-0.0095849656242405
"27",27,-0.0220417905222502,-0.0132884394833129,-0.0205555540581648,-0.0205913543056643,-0.020765849779846,-0.00759214882893509
"28",28,-0.0142673172389059,-0.0123814132646605,-0.0184324815614568,-0.0177871111845834,-0.0168657442328355,-0.0119053470600627
"29",29,-0.0158436803047167,-0.0120163642775058,-0.016000602412082,-0.017042063480056,-0.0148441884294371,-0.00783130360942186
