"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.0160573974458967,-0.00389430582227545,-0.0165024224476912,-0.0146818657297275,-0.0125354960692759,-0.0135007423004762
"2",2,-0.0115742404752575,-0.00922458833267733,-0.0143454944679801,-0.0163455942861426,-0.0115145940969509,-0.0187583700603179
"3",3,-0.0143230961693988,-0.00718068065976801,-0.0128264207209898,-0.016558105919203,-0.01193821626407,-0.0173907918037245
"4",4,-0.0118657117588967,-0.00305663102232287,-0.0134223976573623,-0.0114467661060977,-0.0139269963475077,-0.0128620495980333
"5",5,-0.0165860796651985,-0.00270465329041385,-0.0155098651271022,-0.0172464819642687,-0.0147049447032933,-0.0200422635528325
"6",6,-0.00369040889031878,0.00750790492612617,-0.0123380143653432,-0.0115707214053093,-0.0176892750815723,-0.0225565133594201
"7",7,-0.0197806377509018,-0.00408803535468164,-0.02260362637525,-0.0246385414014454,-0.0186892482428054,-0.0244606735591389
"8",8,-0.00962857289136204,-0.00267041557865805,-0.00952099228105195,-0.0128363489842609,-0.0186020303842043,-0.00985538703345345
"9",9,-0.014795759335195,-0.00616600060121433,-0.0176069655734307,-0.0201333629690575,-0.0126647976544821,-0.0175919654229762
"10",10,-0.0134762327170461,-0.00530638172361535,-0.0118674293617649,-0.0125670542978507,-0.0102054597734314,-0.0183301720480252
"11",11,-0.0137506552743455,-0.00496040611408976,-0.0187694210965084,-0.0148835549099701,-0.0191566047255153,-0.0145412498223545
"12",12,-0.0112021756105124,-0.00500434955631655,-0.0115797732454582,-0.011558222180886,-0.0130899247951457,-0.0157743582365166
"13",13,-0.0177912339143577,-0.00143046727605393,-0.0225832692267663,-0.0176358407203526,-0.0130691090042097,-0.0169014886566478
"14",14,-0.0145860078980706,-0.006220668414354,-0.019364391456136,-0.0201229284308716,-0.0163173402185013,-0.0195541739178528
"15",15,-0.0101627664084204,-0.00403978999547107,-0.0139164644740503,-0.0172857105180836,-0.00991017294758591,-0.0181854161754547
"16",16,-0.0152118409985866,-0.00740359849847456,-0.0133105028429013,-0.0124294084903109,-0.0122361280803962,-0.0153699708990496
"17",17,-0.0101054473089378,-0.00299595123168381,-0.0181971757185438,-0.0139704571422743,-0.0108737424864704,-0.0168218896086453
"18",18,-0.0141663623282225,-0.00552881982915126,-0.0172896244274003,-0.0175095252538504,-0.0128068219480092,-0.0149786929813145
"19",19,-0.011952709368497,-0.00116240693558274,-0.0141768163575494,-0.0127387279689032,-0.0103761943305728,-0.0136483322153928
"20",20,-0.0134529589900094,-0.00250022354812284,-0.0162629453395728,-0.0124531436580267,-0.0148488374126222,-0.0114843765931768
