"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.0162042551557858,-0.00632755576096284,-0.0111502665841493,-0.0142627138324825,-0.00459172549513735,-0.0137695566428815
"2",2,-0.015365437788848,-0.0069701620247757,-0.01503747320165,-0.0169442753118878,-0.0111757132434412,-0.0145122881911411
"3",3,-0.0187973283262159,-0.00968591290554052,-0.0177809428924346,-0.0191224170991648,-0.00866819112847431,-0.0141381400004795
"4",4,-0.0157551549044366,-0.0102195347204472,-0.0190381962038477,-0.0194096390034297,-0.0138522093278542,-0.0100064900877541
"5",5,-0.0204518994526526,-0.0102248397362243,-0.01882994073968,-0.0186403705635501,-0.0110770457187482,-0.0155646086234022
"6",6,-0.0157937920293606,-0.00650286379119577,-0.0150818819483077,-0.0162959401344225,-0.0138813666281751,-0.0145749773266976
"7",7,-0.0185001486759027,-0.00812171861203786,-0.0177593608918072,-0.0175898247721826,-0.0129731790573632,-0.0133239138888478
"8",8,-0.0139690846118791,-0.00220102716490098,-0.0125917178349833,-0.0141307393992397,-0.00721337293535497,-0.00967360923065628
"9",9,-0.0117137648624454,-0.012268854551134,-0.0143279527904732,-0.0161294535406177,-0.0115142512579957,-0.00727465408917584
"10",10,-0.0169845465544009,7.09895670661571e-05,-0.0209169013200071,-0.0211870604187227,-0.0150216940794826,-0.0131142921871891
"11",11,-0.0173761455639952,-0.012858797806657,-0.0165900648361857,-0.0196247085185522,-0.0153471350560821,-0.0116605977371867
"12",12,-0.0206943552906755,-0.00987418689472874,-0.0270739616329852,-0.0210730090701116,-0.0171135922976149,-0.0162743909237513
"13",13,-0.0139396353129333,-0.00849720744763822,-0.0188361132408255,-0.0203261464734217,-0.0161000004971065,-0.0153181471283598
"14",14,-0.0160487094264932,-0.00718214997551089,-0.0166530491074673,-0.0171625582222654,-0.0146555367393919,-0.00883340060354269
"15",15,-0.0171330580874804,-0.0117407373978467,-0.0221169378867201,-0.0290414279992171,-0.0160459004900763,-0.0181259353695125
"16",16,-0.0168614693770951,-0.0109784900984302,-0.0220375165349822,-0.0214606495003529,-0.0149820774114191,-0.0133112727635152
"17",17,-0.0124116700047863,-0.0056076658239628,-0.0116865875522938,-0.0118517404560819,-0.0106685604149121,-0.0105321633351817
"18",18,-0.0228949290645023,-0.00328788661772171,-0.0215959668617602,-0.021366528496948,-0.0165705387494155,-0.0116887162852529
"19",19,-0.021005101885991,-0.00473460201158037,-0.0139922582895099,-0.0163090124848846,-0.0129285070215447,-0.0123331987942219
"20",20,-0.0156918532920912,-0.00856837025588341,-0.0120125497639611,-0.0140502816275712,-0.0121561865000394,-0.0103469214910211
"21",21,-0.016081844597286,-0.00776678084723966,-0.0151813125731615,-0.0183778677935758,-0.0132140757372663,-0.0110076245884893
"22",22,-0.0208629717827096,-0.0117190658035682,-0.0154282996451417,-0.012765343402497,-0.0108533918500258,-0.0125524010862104
"23",23,-0.0129425168338599,-0.00499006124966888,-0.0118197568443564,-0.0148778247010766,-0.0130040165197853,-0.0101346565529414
"24",24,-0.0211369750767158,-0.00732920974367418,-0.0191022857513818,-0.0137049483940215,-0.00976518688092909,-0.0120510913967705
"25",25,-0.0186436619283386,-0.0091421196761914,-0.0156184794360957,-0.0180429402808785,-0.00759473608738056,-0.0175946380691153
"26",26,-0.0163220477093333,-0.0113800569460996,-0.014952407090943,-0.019042861625071,-0.0123491311590691,-0.011995187252746
"27",27,-0.0226331198143131,-0.0167354186235774,-0.020492937911142,-0.0209827057863517,-0.0100950021320519,-0.017154892413207
"28",28,-0.0184520667710751,-0.0101665479700154,-0.0156701714464669,-0.0187007711950567,-0.00467397062153157,-0.0169841793621292
"29",29,-0.0198106796197284,-0.00617478142929802,-0.0144289987354801,-0.016866102572815,-0.0113456355991846,-0.0185335760580992
"30",30,-0.0150126021024372,-0.00510599100447162,-0.0123673976665324,-0.0136437108052383,-0.0123292334251648,-0.00888787098982275
"31",31,-0.020377521128223,-0.011958004216717,-0.0194199248210509,-0.0197732364552608,-0.0142318418813266,-0.0115853728932546
"32",32,-0.0159108112191918,-0.00475938428906623,-0.0157535258662334,-0.0148510557422479,-0.0115138467755204,-0.0167803006621148
"33",33,-0.0202831022680015,-0.0079895825026731,-0.0181924398677648,-0.0200906822285134,-0.00886930444741769,-0.0194902635199087
"34",34,-0.0206511292217595,-0.00725113247269919,-0.0187004947275511,-0.0146715891462985,-0.00713354448711912,-0.0133717968479064
"35",35,-0.0173270030340245,-0.00392474934865642,-0.0127893203382542,-0.0130626448397692,-0.0112218695407596,-0.00827675353632252
"36",36,-0.0175434715356882,-0.00676168817645602,-0.0153191620735678,-0.0144457188672428,-0.00473753620199783,-0.00726911174474864
"37",37,-0.0221209366774919,-0.00576937988947506,-0.0169397109605632,-0.0149182810966735,-0.0149070109834085,-0.0122861756327185
"38",38,-0.019770067769132,-0.00996554387071026,-0.0165551935044036,-0.0225183756855628,-0.0102288424926013,-0.00899644487350935
"39",39,-0.0227779191311791,-0.00400066691136602,-0.0248809863416422,-0.022514418740237,-0.0129575717185312,-0.0122701002987943
"40",40,-0.0176176268853449,-0.00865388207474641,-0.0166655019946974,-0.0136854264778128,-0.0123565842521805,-0.0109858115638365
"41",41,-0.0167929176580091,-0.00942280931477633,-0.021658818602805,-0.0193879420565492,-0.0128033793589862,-0.0164636245587769
"42",42,-0.0173241840299419,-0.00913810629701565,-0.016217535356081,-0.0160831792509486,-0.0101464143234608,-0.0132545264396182
"43",43,-0.0135324106930801,-0.00783144566766208,-0.0138269265163945,-0.0160948863798756,-0.0143517733378996,-0.0102205738169058
"44",44,-0.0257631166064664,-0.00581038601938886,-0.0246320185870781,-0.0188397145666166,-0.0133360520181668,-0.0143666119587849
"45",45,-0.0161909803148953,-0.01115879897467,-0.0248606675915781,-0.02503858421201,-0.0213616234950722,-0.0117421311236743
"46",46,-0.0165246257405747,-0.00899594146554067,-0.0205323418748905,-0.0231453596952439,-0.0170492643760471,-0.0133212255146236
"47",47,-0.0151975809259092,-0.00660290242134451,-0.0141879334961311,-0.0148171265988204,-0.0149216039842057,-0.014904612114019
"48",48,-0.013760881237308,-0.0080272567309044,-0.0225529729064028,-0.023898261099374,-0.0117054773346552,-0.013506480550803
"49",49,-0.0237736773138266,-0.00952307985522791,-0.0185805176877406,-0.0194089413348875,-0.0148435953219969,-0.0128757452949855
"50",50,-0.0189400908686901,-0.00943745741002762,-0.0179165801686258,-0.0165044187748471,-0.0108714586333985,-0.0152928995365936
"51",51,-0.0214004260166369,-0.0136557623104532,-0.0207262129618453,-0.0189693918826919,-0.0150182687592054,-0.00738395791014825
"52",52,-0.0157214844038964,-0.00474498324289035,-0.0156442834857413,-0.0198549486062838,-0.0144330175507767,-0.0160781231658908
"53",53,-0.0148864566103743,-0.00648589898751591,-0.0137276731576184,-0.011892812066418,-0.0124388809439687,-0.0115947211456107
"54",54,-0.012989407242916,-0.00926099071788616,-0.018263162247403,-0.0179445041414114,-0.0126572589083072,-0.0112447703530289
"55",55,-0.0191299449172165,-0.00595855330505409,-0.0146246481900021,-0.0157965180103527,-0.01301807410546,-0.0150573015673234
"56",56,-0.0192380276885905,-0.00970846987171829,-0.0214847543446081,-0.0187919832169361,-0.0181174767280634,-0.0146193060375533
"57",57,-0.0154018775289921,-0.0115701610864269,-0.0188407726713107,-0.0194865361954706,-0.0191290883723023,-0.0144602432000723
"58",58,-0.0135798980045345,-0.0106885344262698,-0.0154625775484984,-0.0191463515355144,-0.0144107447901488,-0.0119339474994991
"59",59,-0.0156754390578267,-0.00214346759866981,-0.0160121087365785,-0.0151266853248836,-0.00875502737885524,-0.00532814257758735
"60",60,-0.0141215382048598,-0.00609784753813972,-0.0143393104688092,-0.0138100096204531,-0.010980126686545,-0.00732624757803382
"61",61,-0.0197295133192714,-0.00652898554509238,-0.0253406059794859,-0.0238783722605508,-0.01988545579849,-0.00918233138182633
"62",62,-0.0161889572748715,-0.0104255186606791,-0.0167503970114264,-0.0201896516409716,-0.00857959478399834,-0.0113477253456882
"63",63,-0.0213828780289768,-0.0147748060026353,-0.0201160674278832,-0.0216858298903038,-0.0162935828191203,-0.0156083973033253
"64",64,-0.0184007014688425,-0.0107487542847684,-0.0163572536830344,-0.0168442803858496,-0.0134964312388479,-0.0102276876699998
