"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.0272394800473107,-0.00635710584710262,-0.0284156642538383,-0.0228649646897025,-0.016814696808832,-0.0158682117465194
"2",2,-0.0184999289623448,-0.0113841506621648,-0.0206838596183328,-0.0192872542917381,-0.0178015579302409,-0.0155793439238918
"3",3,-0.0179700829599787,-0.00726076298195062,-0.0191806528638617,-0.0203363499433271,-0.0150800003984494,-0.0204486668535311
"4",4,-0.0252261613204051,-0.0166258226090386,-0.0272817143304937,-0.0258555481843217,-0.0217000172039514,-0.0213779963375687
"5",5,-0.0279033021419828,-0.0215238900122459,-0.0322700965449985,-0.026008618628307,-0.0207390688111546,-0.0166661921437743
"6",6,-0.0261344225458857,-0.0146234405005116,-0.0272361085749687,-0.0256513234034663,-0.027391772061274,-0.0186311067227517
"7",7,-0.0160673289670871,-0.0050890248130122,-0.022657492319719,-0.025883096501737,-0.0211463260074611,-0.0165787302334727
"8",8,-0.0291830287856843,-0.0158537919823137,-0.0225575966267597,-0.0186850455927996,-0.0120865147720932,-0.0153217333451981
"9",9,-0.0232518526055834,-0.0135458167829508,-0.0290841651544043,-0.0270631379971862,-0.0237913750807375,-0.0182720036847503
"10",10,-0.0152433193538034,-0.00980288157052184,-0.0263001172611462,-0.0199212491511892,-0.0132499867763025,-0.013256367799504
"11",11,-0.0216087375022071,-0.0143876821909451,-0.0218879112324696,-0.0238868012780378,-0.0102534821934123,-0.0177238816660042
"12",12,-0.0345420839905916,-0.021902528274782,-0.0382822685706087,-0.0290672598932323,-0.0268526823119016,-0.017487300907695
"13",13,-0.0213290834892992,-0.0161418013160892,-0.0159762635275327,-0.0147190092659281,-0.00377936176870283,-0.0097918938411415
"14",14,-0.0160427553497355,-0.0131706539302477,-0.0227871050884297,-0.0234190789560044,-0.0222765735483919,-0.017905364297688
"15",15,-0.024492072067736,-0.0193245545736571,-0.0346669923367475,-0.0295729719543297,-0.0262928726295922,-0.0173183449294331
"16",16,-0.0197020918722161,-0.0150609788703188,-0.0274538909782286,-0.0293739868176679,-0.0229573696069544,-0.0209842474465597
"17",17,-0.0156512389411579,-0.00847220998120254,-0.0216436077016255,-0.0183686006909628,-0.0162127765012885,-0.0119817900509878
"18",18,-0.0204507483272138,-0.0099075542151893,-0.0194596481484437,-0.0143513244484028,-0.012360683392678,-0.0115369809194604
"19",19,-0.016273645018201,-0.0141942824600967,-0.0219026467966432,-0.0202990478115864,-0.01672297912766,-0.0124933676947327
"20",20,-0.0263468517819085,-0.0131077029884839,-0.0399416523446835,-0.0352458678121977,-0.0237246701493984,-0.0247258879756304
"21",21,-0.0192365456037566,-0.0100979455425161,-0.0202400354658228,-0.0210641014990957,-0.0105648731250387,-0.0142099329779492
"22",22,-0.0233472184817484,-0.00423186783347158,-0.0270430363859609,-0.0150072853871346,-0.0227364141285717,-0.010409750076445
"23",23,-0.017745246581167,-0.0155208559922988,-0.0222672918687542,-0.0215653192905635,-0.0197443044031705,-0.0193364961387535
"24",24,-0.0193135813885281,-0.0131485971766307,-0.0215061220498273,-0.0239206047010791,-0.0152027712226078,-0.0131686185873588
"25",25,-0.022670390063372,-0.0142221854132969,-0.0224906593399623,-0.0205994170109302,-0.0153816164370546,-0.0144635570794784
"26",26,-0.0177138693801714,-0.00521066923204213,-0.0154150275128186,-0.0158661905228041,-0.0120915516889582,-0.0103093754828902
"27",27,-0.0276670264102868,-0.00692321026788809,-0.0266491083121322,-0.0148034176161756,-0.0218195608306205,-0.0138915606698451
"28",28,-0.0292981257869309,-0.0107145282925676,-0.0349652695882074,-0.0272399919882876,-0.0189687145922407,-0.0210254166320241
"29",29,-0.0263047895620428,-0.0122753825027028,-0.0262952681648558,-0.0213450988908341,-0.0195370313781761,-0.019187328488207
"30",30,-0.0192274290882696,-0.0167036294575883,-0.0321367848969158,-0.0275112084686534,-0.0210992762408584,-0.0133408417212674
"31",31,-0.0253007943469399,-0.010993839198378,-0.030126888037743,-0.0276160613006738,-0.0192294376416361,-0.0201786566618073
"32",32,-0.0227435569870364,-0.0150971048050455,-0.0254955393883506,-0.0217241172097751,-0.0158425598830612,-0.0154238770879873
"33",33,-0.0244852156556941,-0.0155385013614794,-0.0258328753782623,-0.0171620712792258,-0.0161669104677475,-0.0149072449905939
"34",34,-0.0182296785643179,-0.016223792789247,-0.0257413539935479,-0.028348800529451,-0.0185666859948154,-0.017274709713624
"35",35,-0.0249711668185695,-0.0202082382833537,-0.0214628738186648,-0.0183452970661801,-0.0228109412994125,-0.0181126857963849
"36",36,-0.0246242797816546,-0.0125399855970067,-0.0280981611641907,-0.0243003360999373,-0.0164769193431455,-0.0192394466320683
"37",37,-0.0238557158390852,-0.00172843068178646,-0.0192593808585555,-0.0125950197828925,-0.00908490690551272,-0.0163797687590419
"38",38,-0.0247972161024194,-0.0165389972594152,-0.0296913624274391,-0.025272763793761,-0.010669975687927,-0.019621175934712
"39",39,-0.0268541946925623,-0.0135033135181929,-0.0371291720281958,-0.0259335571232411,-0.00551204737310285,-0.0163683454218153
"40",40,-0.0255599646962447,-0.00742940747884638,-0.0220470109158589,-0.0115665661855235,-0.0122455922207523,-0.0144475729880037
"41",41,-0.0173331779946041,-0.0202142525030364,-0.025345564436166,-0.0159561413069435,-0.0156101944404301,-0.0107343218961483
"42",42,-0.0221829994217649,-0.00400606813155434,-0.0224090802401939,-0.0176331356519388,-0.0129603833775314,-0.0157071098572673
"43",43,-0.0201955660112465,-0.011332032152452,-0.0225654553697793,-0.0221622883431656,-0.0110647697212948,-0.00748386425825763
"44",44,-0.0242301082913433,-0.0129706672624333,-0.0215907765302381,-0.0235155458444953,-0.0171600229180072,-0.0218406225113032
"45",45,-0.0233323937512416,-0.00772155604467455,-0.0252963270049939,-0.0164229013396022,-0.0165646213094935,-0.0157695802376288
"46",46,-0.0209078889249466,-0.0173904390176597,-0.0300138990682637,-0.0266484191664803,-0.0216098844190115,-0.0157546045281334
"47",47,-0.0169125870770962,-0.0116328706975459,-0.00990509265198099,-0.015237808451413,-0.0101581182678857,-0.00922471589632663
"48",48,-0.023667634998799,-0.0185137484123648,-0.0230209103026463,-0.0223120719343289,-0.0275672608881255,-0.0108233463719165
"49",49,-0.0159732980327068,-0.00497431413082109,-0.026174809671258,-0.0234710822848743,-0.0121084556495019,-0.0160996830521985
"50",50,-0.0227710826127976,-0.0115907499701165,-0.022152294828623,-0.0143640811521162,-0.0199860736652407,-0.0107165806260403
"51",51,-0.0254166101819693,-0.0178994947221078,-0.0338110921952284,-0.0265926141224422,-0.031442036234788,-0.0172203151548451
"52",52,-0.0172558171299958,-0.00839982783191709,-0.0239350839748012,-0.0270403006222787,-0.022839581600765,-0.0146249086189026
"53",53,-0.0200440948478472,-0.00651724782889471,-0.0245986741131464,-0.0218272034653206,-0.00765965476498954,-0.0125403857208926
"54",54,-0.0190757991434697,-0.0128923383709309,-0.023465066923968,-0.0226992213379767,-0.0186811706204362,-0.0178850270615575
"55",55,-0.0178593541608337,-0.0158442242444813,-0.0157251951591661,-0.016283795753535,-0.0195647334745517,-0.0133997350913521
"56",56,-0.0154330583149933,-0.00664895647797905,-0.012552105230932,-0.0160721394637183,-0.00737883797074106,-0.0184160030667575
"57",57,-0.0255527483069323,-0.0209147027183043,-0.0377489890797816,-0.0338529485929711,-0.0220250205585354,-0.0208608651846022
"58",58,-0.0210733292682984,-0.00239821584127828,-0.0258360538483595,-0.0205322066891348,-0.00660091690598069,-0.0124260082736388
"59",59,-0.0230535783096907,-0.00127331591312701,-0.024395411527916,-0.0241621859585978,-0.0199022242363998,-0.027176920261161
"60",60,-0.0235107134562346,-0.0138071656594086,-0.0260449369478153,-0.0186010100738272,-0.0131901197800839,-0.0133494698582926
"61",61,-0.022152807176988,-0.00966742519054253,-0.0212567025469012,-0.0161562401381739,-0.0245536446531731,-0.0117105202562637
"62",62,-0.0222409644124697,-0.0135884332185861,-0.0291868417202623,-0.0271885924441898,-0.0271051003628072,-0.0160661005856855
"63",63,-0.0198753937753434,-0.0168382253864003,-0.024519471275263,-0.0273538266075278,-0.0203976082636803,-0.0165158939022689
"64",64,-0.0305378798253489,-0.0187206736530453,-0.0263930760587501,-0.016415369108652,-0.0201044036789581,-0.0133962037740437
"65",65,-0.0176103780382975,-0.0111906379937787,-0.019415297690745,-0.0186277403568355,-0.0143321064524922,-0.0125190305674206
