"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.018638104692265,-0.0116410494942487,-0.0155212949075118,-0.0208721619372727,-0.01588080719572,-0.0117732210553438
"2",2,-0.0135568927816094,-0.00206180409813537,-0.0104447681741163,-0.0112761658919977,-0.00602390804627298,-0.01084958980311
"3",3,-0.0191298359986823,-0.0166013106270872,-0.0218157472956502,-0.0222922321222076,-0.013077974203034,-0.0136989015163112
"4",4,-0.0200161237090261,-0.0129522891568526,-0.0207684793233978,-0.0186481050352987,-0.0115375737652897,-0.0169030606779291
"5",5,-0.0152159837807506,-0.00930459948572336,-0.0184463789413724,-0.0175962930495884,-0.0113818940527745,-0.0148696329649633
"6",6,-0.0160820027884089,-0.0116520378509166,-0.0188367435806331,-0.018960521802085,-0.0112020668065253,-0.011518528446906
"7",7,-0.0196904237594608,-0.00863794403903467,-0.0197047219681851,-0.0199661541134573,-0.0133293990011728,-0.015559844955737
"8",8,-0.0167378530976682,-0.0111055833781949,-0.017124217245402,-0.0189274922673764,-0.0113623738835637,-0.0135678710186101
"9",9,-0.0148551773420521,-0.00726993959276826,-0.0218477204915494,-0.0156673501870814,-0.00852248165157788,-0.0193220459002983
"10",10,-0.0132211578512102,-0.00985535679756059,-0.0158984842720729,-0.017907187165222,-0.014955811285764,-0.0160685105873845
"11",11,-0.0144808419983312,-0.012344355813791,-0.0142088508866585,-0.0127665179471599,-0.00963331081400901,-0.0103849374193649
"12",12,-0.0158980962441167,-0.00986607257328577,-0.014876304896989,-0.0146126624903987,-0.0134742124232862,-0.0128114830881795
"13",13,-0.0158057200038383,-0.0114168159738441,-0.018261693258808,-0.0134201592975965,-0.0161834368466811,-0.0167672949835906
"14",14,-0.0196324879024291,-0.00493884837438873,-0.0214265909341956,-0.0202948989826106,-0.01372325816577,-0.0164973943249057
"15",15,-0.0173595876872776,-0.00886332009250564,-0.0168484538464905,-0.0163650829269831,-0.0109262239819033,-0.0147092360350601
"16",16,-0.0187675177864267,-0.00472831999705036,-0.0173449727615276,-0.0160207724481195,-0.00892879737496259,-0.0119592288400181
"17",17,-0.0192796287728065,-0.00722495517919195,-0.0179894303687067,-0.0175632978690707,-0.0126126633294551,-0.0148448612516288
"18",18,-0.0137427833867846,-0.00660258842533882,-0.0141529860085491,-0.01402590436203,-0.00989851097640746,-0.0148282625385737
"19",19,-0.0172492145240835,-0.0149292484709279,-0.0265641874876386,-0.0249959195650071,-0.0181965687901132,-0.0181510899624152
"20",20,-0.0160555411376192,-0.00980215526069311,-0.0176587535181613,-0.0168818042696553,-0.0139419614549573,-0.00624261783754601
"21",21,-0.0199419068389878,-0.012658978195264,-0.0171471624187192,-0.0193234651512599,-0.0174427175564496,-0.0143984480548955
"22",22,-0.0209587474976682,-0.00391009158141049,-0.0142413968369501,-0.0110150914848957,-0.011706767662291,-0.00743369967189611
"23",23,-0.0181019844192483,-0.0109269322038261,-0.0189134609408167,-0.0194507740494818,-0.0166815340992186,-0.00937163002097538
"24",24,-0.0171707579859937,-0.00888343551145241,-0.0189947675130161,-0.0197806532060898,-0.0187660164467855,-0.0132576207664822
"25",25,-0.01350492275373,-0.00737504891839788,-0.00810065148439055,-0.0117353533316102,-0.00844264877601059,-0.0061859495295436
"26",26,-0.0142068926194573,-0.0104238151359261,-0.0133763674836715,-0.0173734735940913,-0.00909723889742753,-0.0140231097113203
"27",27,-0.012742423864974,-0.00896956635040783,-0.0132175713136571,-0.0144458017928124,-0.0128014919549478,-0.0129212547907538
"28",28,-0.0147432019635188,-0.0105474261985067,-0.0168678752169053,-0.0191425411392395,-0.0114224838839871,-0.0108681495965545
"29",29,-0.0183752680471073,-0.0100793046012211,-0.0212469448592805,-0.0197825330429983,-0.0148810579042834,-0.014280266941822
