"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.015332969099573,-0.00649368220692223,-0.0123908629720265,-0.0171328249272594,-0.00982133233496477,-0.0111393640821375
"2",2,-0.0156153533858425,-0.00282831572484959,-0.0150347070411208,-0.0124807965983098,-0.0131582162114272,-0.01142919742404
"3",3,-0.0169868746861031,-0.00746184742443897,-0.0206886528908025,-0.0164531161353178,-0.0184010834073146,-0.0103613027890824
"4",4,-0.0159397742029377,-0.00685351693398413,-0.0155116888610962,-0.0148248202538724,-0.0125549174081406,-0.0102266867075834
"5",5,-0.017427102606816,-0.00743232295221378,-0.0145876981878941,-0.0167494458238479,-0.0151654627279829,-0.00892411082180662
"6",6,-0.0167333951371954,-0.0069416269680516,-0.0127759499161123,-0.0167013487988475,-0.0135551918276588,-0.0119802902845084
"7",7,-0.016412539315285,-0.0067591376162901,-0.0119027642418153,-0.0150770214316637,-0.0132714662581517,-0.0159163154348453
"8",8,-0.0136065093417046,-0.00780109024502827,-0.0151741369100021,-0.0165322950869943,-0.0117756979854525,-0.011386474825069
"9",9,-0.014500630006046,-0.00736691500275188,-0.0137244528204486,-0.0154388609036509,-0.00697905278295612,-0.00950208595745588
"10",10,-0.0184062664899484,-0.000159577202268006,-0.0193105182400086,-0.0168244839000696,-0.0135895021399171,-0.0133077416460146
"11",11,-0.0181482697953099,-0.00837211570555292,-0.0169365812537553,-0.0155178188415334,-0.0110694135859119,-0.0160572817660722
"12",12,-0.0170438417034023,-0.0126634934941349,-0.0164732452946272,-0.021193625148059,-0.0161016485111365,-0.0100730940404868
"13",13,-0.00920439917770376,-0.00659530751780276,-0.00801887378306647,-0.0139393000719416,-0.00778541696801748,-0.00608765539227081
"14",14,-0.0144959744276503,-0.00789359603846429,-0.0162252186518674,-0.014430233414281,-0.0142358839540613,-0.0129039047891078
"15",15,-0.0184966373248728,-0.00517505580382523,-0.0158884191215201,-0.0125955334042288,-0.00944375542631914,-0.0110957266316683
"16",16,-0.0130168336322819,-0.00828079079862907,-0.0153393172631422,-0.0190834173744081,-0.011853354420286,-0.0120914107136367
"17",17,-0.0181449569959313,-0.00843027731819176,-0.0196932858260094,-0.0189593769196593,-0.0131773107962845,-0.0171977395236292
"18",18,-0.0121252318422326,-0.00411008233352728,-0.00662930648647772,-0.00901310051571565,-0.00654916783561929,-0.00816507751680192
"19",19,-0.0153034033020282,-0.0031338366313081,-0.0111858609862723,-0.0125560108931856,-0.012096496860567,-0.00722264599321534
"20",20,-0.0160502408753162,-0.00737930277069348,-0.0153631262712927,-0.0180455617970319,-0.00903252371297231,-0.0122624230961701
"21",21,-0.0206993661475595,-0.0124986484080241,-0.016132632867767,-0.0156398112481658,-0.0111619990536614,-0.0120272294259951
"22",22,-0.0151996691071144,-0.0065724613016343,-0.0165721242297894,-0.016097398256589,-0.0119448614405471,-0.0143458563757668
"23",23,-0.0144471446994586,-0.00852380301703311,-0.0187077251392897,-0.0211033159144158,-0.0135666468837755,-0.0108948880605483
"24",24,-0.0141770625515801,-0.00216351384374292,-0.0166855873902181,-0.0168266919356889,-0.0149119590169793,-0.0077927444695217
"25",25,-0.0167955658361566,-0.00453355100291717,-0.0166607009122593,-0.0154201976181689,-0.00805306098814612,-0.0128997086284635
"26",26,-0.0206955445470984,-0.00881271382646181,-0.0144684481183001,-0.0168303525013567,-0.0132704921297332,-0.0066668669501719
"27",27,-0.0153393390960466,-0.00676864272252416,-0.0135918982084353,-0.0138878652929837,-0.0141901616960239,-0.00990064791427388
"28",28,-0.0151070261667106,-0.00846088162691457,-0.0165127139721587,-0.0189089945401317,-0.0117502642760223,-0.0154392778740087
"29",29,-0.0114489821362896,-0.00115423583839089,-0.0100007612847147,-0.00992977364501033,-0.0101607606164769,-0.012752432932786
