"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.0227319295066913,-0.00637103641494799,-0.00785753499227453,-0.0174267543711029,-0.0245133142814881,-0.00746771262857855
"2",2,-0.0212768824262702,-0.0129110962879904,-0.0155254905847279,-0.00686249626726417,0.00108233893693534,-0.0014974812710998
"3",3,-0.032196088341061,-0.00423959388772396,-0.00626037298655273,-0.0140380103743748,-0.000156065097356673,-0.0188661216134301
"4",4,-0.0154026409987901,0.0070110963211278,0.0152270656314108,-0.00168267125310331,0.00558993948215637,-0.0046208903931949
"5",5,-0.0354755434709239,-0.012227049658151,-0.0201209427041076,-0.0156572629742028,-0.0189540380954609,-0.0127419156945526
"6",6,-0.0260912518040998,-0.0146959290267236,-0.0141044988914816,-0.00645591862788398,-0.0227199589495196,0.00842436527946776
"7",7,-0.0423488486360589,-0.0132717818304601,-0.0178803544568758,-0.0217359357636805,-0.0178041526654624,-0.0125639077380061
"8",8,-0.0220756883503899,-0.0182439839757858,-0.0187781548475395,-0.0186908423856876,-0.0273248623121022,-0.00296700606488554
"9",9,-0.0237123413391337,-0.00779202169289436,-0.00906081580998077,-0.00870597556769412,-0.0166865364915757,-0.00786976602391672
"10",10,-0.026754410498188,-0.00853274681880178,-0.00815025417993144,-0.0107497110503623,-0.0142365192475519,-0.00221927768437412
"11",11,-0.0270005870988819,-0.00103965634718918,-0.0142147951429266,-0.0171875222852858,-0.00663617833361616,-0.00798686238155513
"12",12,-0.0197805934406893,0.000840696849438488,-0.00854913225485967,-0.0165007328871218,-0.00838073752012276,-0.00768454702523652
"13",13,-0.032012287137818,-0.00328640889604059,-0.00863363658595477,-0.0156906236719641,-0.0150053400775812,-0.00750373247302698
"14",14,-0.029776764207199,-0.0075667747470223,-0.0180372217815744,-0.0109692236079126,-0.0219145582398379,-0.00956666168970017
"15",15,-0.035630546345914,0.00437431030878696,-0.0049844631095266,-0.00878511034667303,-0.0112441154041156,-0.00465030880299838
"16",16,-0.0248962533782802,0.00827566925298116,0.00610026027632102,-0.00528257088952523,-0.0054581860878572,0.000447505510901434
"17",17,-0.0230428387096128,-0.0110404980734362,-0.00925448414916332,-0.0188353072252772,-0.0215831395510816,-0.00425840812247399
"18",18,-0.0191690955017264,0.00145364501265547,0.0142784958654648,-0.00668885213827848,-0.00352098211098823,-0.00805209651988806
"19",19,-0.032183652096595,-0.0111851320909552,-0.0294410678235777,-0.0179985854371615,-0.0215903193111268,-0.0118429322552194
"20",20,-0.0366492303081734,-0.00472032094524749,-0.0125685486335544,-0.0149472802527739,-0.0146490567574977,-0.0146045256521541
"21",21,-0.0251097051437269,0.00757228094160134,-0.00207367533656531,-0.00480511677899818,-0.0127431927770156,-0.0053417053010539
"22",22,-0.0177919052851487,-0.00292528259938055,0.00159277455994041,-0.00927180222362462,-0.00811491353241863,-0.0126000539946588
"23",23,-0.0377558639044941,-0.00884860229004718,-0.0213684978247936,-0.015696652563342,-0.0258014684718032,-0.00993140990853422
"24",24,-0.0204507272283491,0.0014017151591552,-0.00298566009864817,-0.00743775428541667,-0.00713533170682385,-0.00904561479410323
"25",25,-0.0346724086015868,-0.00719453327614477,-0.0125584418168694,-0.012044931884055,-0.0058210158005735,-0.0122736196287241
"26",26,-0.0245756396692217,-0.0030476349908349,-0.0156874376858228,-0.0146363611305959,-0.0117989724299591,-0.0168190963277501
"27",27,-0.0208465172574718,0.00885533562847604,-0.00743993543136314,-0.0134030222349162,-0.0038821102172309,-0.0201578266314524
"28",28,-0.0195198677048707,-0.0100849313950755,-0.0100845950896645,-0.0155461579439143,-0.00715097954053702,-0.0184964721432453
"29",29,-0.0225607879173045,-0.0058080389806379,-0.0231004575536084,-0.0208427541655937,-0.0240665436495166,-0.0160021325534233
"30",30,-0.0298935455712476,-0.0130139529714706,-0.0123485319505788,-0.0102211496097552,-0.00778353717954965,-0.0108093563996246
"31",31,-0.0390266242254581,-0.00224157948738281,-0.0211744699493218,-0.0178478524866556,0.000868596938747895,-0.0145471916054329
"32",32,-0.0250742305376496,-0.010713926985703,-0.0178347173834186,-0.0105770726994045,-0.0196460435078055,-0.00704870265657519
