"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.0134135499978749,-0.00889385102130906,-0.0120784949802913,-0.0129440358173747,-0.0113552984631029,-0.00942993679893337
"2",2,-0.012657469520542,-0.00614786201720319,-0.0121927974745098,-0.012388169510349,-0.00640219461872117,-0.00884961101160562
"3",3,-0.0200529991403311,-0.00883286293276433,-0.0190755313915495,-0.0167409120203205,-0.010163753261902,-0.0137288921378078
"4",4,-0.0116107645984406,-0.00708576165686929,-0.0142369810834723,-0.0109081803199215,-0.0116726416122864,-0.00818021051849446
"5",5,-0.0102224646733799,-0.00709840604519436,-0.0118273114220701,-0.0110217474194973,-0.0109319583713369,-0.00956804076342078
"6",6,-0.0144120409346147,-0.00979490861527323,-0.0135265793703032,-0.0141367350676538,-0.00773594991878332,-0.0105315174767822
"7",7,-0.0124092813097612,-0.00314148323894666,-0.0137784806246773,-0.0144264623750228,-0.0143082657397825,-0.00943296564547892
"8",8,-0.0255580206246638,-0.0188370014107812,-0.0288026488639416,-0.0287379764608239,-0.0274054847735517,-0.0185424022623004
"9",9,-0.0104245903773085,-0.00174741907962771,-0.0105640899968689,-0.0116705058780264,-0.0108674291381079,-0.0111107222735577
"10",10,-0.0126160564844972,-0.0102790387788793,-0.0150681397549471,-0.0143532942822503,-0.0110631236433758,-0.0105847230882865
"11",11,-0.0148476644242563,-0.00578256225167215,-0.00945257229411285,-0.0100013857477627,-0.00364713261890494,-0.0157400219508881
"12",12,-0.0109248979387149,-0.00401806960999248,-0.00924117950006531,-0.0125194640977376,-0.0105238754305993,-0.00530539649875566
"13",13,-0.022656776745813,-0.0142260653137633,-0.031384586527293,-0.0262576596267192,-0.0143172023139283,-0.0212694966079864
"14",14,-0.0208761844233107,-0.0179734702968131,-0.0282801259665276,-0.0275139748710825,-0.019163198697513,-0.0133562930133403
"15",15,-0.00986384791398739,-0.00656714223255583,-0.0113923279607488,-0.0106709155343465,-0.00821809598177714,-0.00691737464761973
"16",16,-0.015781771602714,-0.00651599522050738,-0.0162853298431853,-0.0161301944133997,-0.0141067748054259,-0.00662105372772129
"17",17,-0.0167449195261828,-0.0119768882668874,-0.020735030357756,-0.0188182692807577,-0.0183976611572192,-0.0114346429899147
"18",18,-0.0101732591908337,-0.00597268204890843,-0.0104268665937284,-0.0123460760684667,-0.00981612596979176,-0.00739203475411305
"19",19,-0.020928510207721,-0.0100933864117809,-0.0170490755921694,-0.0200028150954333,-0.0114164476177791,-0.0173813197545517
"20",20,-0.0120527361320106,-0.00732131774061796,-0.0102435235520753,-0.0105121534142426,-0.00426526755651605,-0.0103262301824009
"21",21,-0.0106014487120447,-0.00398397732434796,-0.00804748928419287,-0.0110661231458499,-0.00313835534934174,-0.010591342145557
"22",22,-0.0204749938827081,-0.01655814703588,-0.0292024930086145,-0.0234689197079155,-0.0200123802761683,-0.0137207957926016
"23",23,-0.0159393000748823,-0.00569179978327691,-0.013832184846502,-0.0121414641860389,-0.00384745073054847,-0.0145520635018564
"24",24,-0.0138160281368252,-0.00718831905099725,-0.0120445893609387,-0.0115713023800347,-0.0113591674816463,-0.01207404000648
"25",25,-0.0105959589053191,-0.00592665308527757,-0.0122833759902777,-0.0129473253303026,-0.00934112212062799,-0.0141507377189662
"26",26,-0.0118695302335016,-0.00466042862899018,-0.0132023679843911,-0.0139541134223787,-0.00786011829727624,-0.0101845954663456
"27",27,-0.02024624132766,-0.00845622995424778,-0.0245728983003271,-0.0186090750049367,-0.0138706891658753,-0.0107424271625482
"28",28,-0.0123633174508449,-0.00534645955318174,-0.00870335490728582,-0.00931362795411179,-0.00835974141420871,-0.00757593507894683
"29",29,-0.013626191014784,-0.00581278933376168,-0.010163285888221,-0.0114323015524532,-0.00538272032682659,-0.0126813878148586
"30",30,-0.0179508640925142,-0.0142016647056438,-0.0252659662702773,-0.0332669333923395,-0.0172372424622073,-0.0230261532142182
"31",31,-0.0124370188481599,-0.00328489728992123,-0.0115459428107826,-0.0120407278114452,-0.00990756483645451,-0.00799982393467466
"32",32,-0.0105401238033441,-0.00458045453016048,-0.0122137642186215,-0.013739343065674,-0.0084316757312788,-0.0104805110980654
"33",33,-0.0193079560854579,-0.00617924103699573,-0.0137460014018802,-0.0111540670491643,-0.00397588322037643,-0.0106110007084845
"34",34,-0.0117357288350613,-0.0040423358204081,-0.00618551019960994,-0.0108045875411616,-0.00740057019703109,-0.00681394544550253
"35",35,-0.0192202433302338,-0.00802721781331906,-0.0158580514871361,-0.0131634717510796,-0.00585862736468725,-0.017507037356121
"36",36,-0.0107169955964955,-0.00479636505290774,-0.00843449789617258,-0.00905467842370184,-0.00777749172309579,-0.00725921859832472
"37",37,-0.0122471019527518,-0.00601092088661121,-0.0133408518536236,-0.0137166505840446,-0.0111402821908287,-0.00914313694790735
"38",38,-0.00977131442481275,-0.00825022669062386,-0.0108311231845073,-0.0115607846974712,-0.0103932842205338,-0.00531211803113121
"39",39,-0.00925309499280456,-0.00513256798521611,-0.00900866365928742,-0.00748040732723718,-0.00890050365448728,-0.00655154889881677
"40",40,-0.010575753278437,-0.00658928434027294,-0.0121366833268522,-0.0113107642860633,-0.00905507736541724,-0.0100935262429451
"41",41,-0.0127637084907426,-0.00920772723009214,-0.0138233855072105,-0.0188707939904689,-0.0129721100329319,-0.00887399137055326
"42",42,-0.0168522460815966,-0.0142625520540385,-0.0223788142524959,-0.0187993208866463,-0.0182886500069847,-0.00570486523822473
"43",43,-0.0166999922944797,-0.00990000552037744,-0.0143403115108269,-0.0193148613851598,-0.0134453829321599,-0.00765788079824256
"44",44,-0.0200293645682171,-0.00899473989413768,-0.014186905979169,-0.0161049212284032,-0.00906496232777731,-0.0125606437606365
"45",45,-0.0197879311739575,-0.00993903137297309,-0.0188215668975057,-0.0205836188748097,-0.00865704646370867,-0.00852611085284887
"46",46,-0.0101163625707389,-0.00631680707707026,-0.011146426389046,-0.0123504678754401,-0.010584093173808,-0.00615298008129512
"47",47,-0.00894966763226026,-0.00334212475415996,-0.00800956513241124,-0.00867553665539823,-0.00705515353116731,-0.00636965518259173
"48",48,-0.0104921991389277,-0.00283979799552364,-0.00597594022819101,-0.00817527060897967,-0.00482544035935991,-0.0084075562579482
"49",49,-0.0142579307068278,-0.00402484600020957,-0.0150539275317027,-0.0134699110766478,-0.00789388759424483,-0.0143881354431813
"50",50,-0.00782218408765383,-0.00307460065216907,-0.00692093267982337,-0.00975749134339158,-0.00892326662419698,-0.00751312186618219
"51",51,-0.0122086381680265,-0.00700537386581473,-0.0117007342038917,-0.0111965926165379,-0.0068853449670805,-0.00848308550616608
"52",52,-0.0122225579742549,-0.00642957882993854,-0.0123615957310486,-0.0125587460953692,-0.00936782294406598,-0.0129247081249912
"53",53,-0.0216398751930394,-0.0129403737953273,-0.0269005929158429,-0.0259849625168592,-0.0173310167240788,-0.0195374557140037
"54",54,-0.0137555808658982,-0.00440936510524765,-0.011532419060696,-0.00942020129534042,-0.0085655223715855,-0.0079440856306979
"55",55,-0.00843002968578588,-0.00464077558365156,-0.00777235868763747,-0.00961318232075952,-0.00587726225240556,-0.00758776311613051
"56",56,-0.0112026408961765,-0.0055852272230884,-0.0110811950960899,-0.0107686112921946,-0.0082648721331495,-0.00835055644927705
"57",57,-0.0141318330703212,-0.00625844177491198,-0.0117688046201227,-0.013573130983323,-0.00737365180591438,-0.00893141786011423
"58",58,-0.0138164930801693,-0.00994037874330123,-0.0151296278699647,-0.0177270626004051,-0.0128037751930347,-0.014072541222247
"59",59,-0.00984020443651112,-0.00555032826102865,-0.0126297948049993,-0.0129807485832697,-0.0110855958629703,-0.00682850078179316
"60",60,-0.0169524483315228,-0.0118491346089701,-0.0224816221974987,-0.0174580540281779,-0.0129609578066427,-0.0157648060450358
