"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.000861345108988132,-0.000704269645405811,-0.000662160708937785,-0.00125632208037467,-0.000767014821862203,-0.0012406320705482
"2",2,-0.00126299741302911,-0.000278168019115993,-0.000870183100218989,-0.000779809870966783,-0.000859237995384513,-0.000665175822621556
"3",3,-0.00101053161533579,-0.000897178348016624,-0.00141474492658747,-0.00166526776537862,-0.000938767995732727,-0.00150987305465343
"4",4,-0.00154422456930385,-0.0008856998374205,-0.00169579599682496,-0.00128918660680361,-0.00106708885601412,-0.00141471274981621
"5",5,-0.00152174698273765,-0.000260831591594169,-0.000965722151035855,-0.00108302052364277,-0.000365286796563548,-0.000464681388678048
"6",6,-0.00107541062572932,-0.000311080115857626,-0.00110819253961166,-0.00132007329054817,-0.000877929543639597,-0.00139250601084968
"7",7,-0.00101342278723722,-0.000172361784754928,-0.000859394892572033,-0.000658047701396429,-0.000770058909871733,-0.000512193299318953
"8",8,-0.000862016194732781,-0.000241616980534403,-0.000453959189432308,-0.000756084262662547,-0.000209620607889723,-0.000848374791827314
"9",9,-0.00115692200294561,-0.000636223354463858,-0.00155335246622864,-0.00120308174433651,-0.000651299598427214,-0.00106278429050982
"10",10,-0.000861444214065915,-0.000757059544243535,-0.00127766278778064,-0.00156103122656675,-0.00125243805573406,-0.00118753485125291
"11",11,-0.00102104772430343,-0.000355354317269353,-0.000784513532375463,-0.000849647303368879,-0.000841373145087673,-0.000643456099858648
"12",12,-0.000970537553511058,-0.000777640652500233,-0.00093515435563911,-0.00108854273332241,-0.0010561402684556,-0.000956024223086151
"13",13,-0.00114649523678057,-0.000456231950195469,-0.00125846268076386,-0.000974979073586834,-0.000751845705032111,-0.000712045032663222
"14",14,-0.00158513855491294,-0.000815901311377515,-0.000886075035824579,-0.000975571092225772,-0.000453061351874145,-0.00105427318021913
"15",15,-0.00139504542904083,-0.00103392820961862,-0.00123906840327503,-0.00147952337484337,-0.00100409477296517,-0.000861044389921459
"16",16,-0.00176984759902883,-0.000641894583461328,-0.00114679007297826,-0.00136834978435281,-0.000785296711199146,-0.00150039112402774
"17",17,-0.00126799222567217,-0.000884129463126472,-0.00154999787850059,-0.00180250483952081,-0.00140510045128594,-0.00121705710546042
"18",18,-0.00076930245824931,-0.000491624632966869,-0.00118293382630169,-0.00109811104982461,-0.000834734513305741,-0.00136691166641497
"19",19,-0.00131635456412472,-0.000505321501177937,-0.000997233748077778,-0.000966243618202857,-0.000965544765735193,-0.000813208523490204
"20",20,-0.00156181111628584,-0.000373783262287125,-0.00102954291773421,-0.00122561916709514,-0.000957154787060018,-0.00106567155094099
"21",21,-0.00132445823860237,-0.000136651047061364,-0.000817187891981619,-0.00076666616516143,-0.000342965862319423,-0.00041158205074157
"22",22,-0.00112652742114529,-0.00079020685736613,-0.00106645042639103,-0.00111023790328875,-0.000776751868948304,-0.00120981900426632
"23",23,-0.00117085697389143,-0.00065936334013709,-0.00123268956283363,-0.00132303872951848,-0.0010262672246429,-0.00110742295825944
"24",24,-0.00116212289798228,-0.000680965270036802,-0.000664549397156032,-0.00103771031998023,-0.00039682648577175,-0.00102988638520778
"25",25,-0.00115038847220804,-0.000606018339324296,-0.00124433624966332,-0.00144403911972856,-0.000996553659056423,-0.00150859736326788
"26",26,-0.00112394023956421,-0.000967631638395801,-0.00107861474109552,-0.00128005563598857,-0.000561069312318749,-0.00151328106470725
"27",27,-0.00137423409074162,-0.000448772588881221,-0.000919524488621974,-0.000612640188509283,-0.000506398983734272,-0.00100208726766908
"28",28,-0.00125304658546884,-0.000712172907609903,-0.000911315307621087,-0.000894649182580677,-0.00109494669136955,-0.000511017417807784
"29",29,-0.000847126387303526,-0.00048911073674712,-0.000530098290681502,-0.000593778331577515,-0.000462251794473037,-0.000848516295879272
"30",30,-0.0018644604433661,-0.000992142403352485,-0.00154459069846465,-0.000938009215525314,-0.000994270003424218,-0.00166397614565874
"31",31,-0.001363221602773,-0.000650052680371462,-0.000589077783336009,-0.000865304023233434,-0.000199610736518194,-0.000831090230356401
"32",32,-0.00118498921144841,-0.000827310148387637,-0.00148978513264941,-0.00163809699847659,-0.000991644406760732,-0.00169033311132326
"33",33,-0.00097367475713718,-0.000438764918678955,-0.000817867005079082,-0.0010822145125966,-0.000502510018864324,-0.00101755398219392
"34",34,-0.000900223425766337,-0.000422804661234135,-0.000816649279730121,-0.00122933244418212,-0.0011846343801832,-0.000682307585558423
"35",35,-0.00126936009420241,-0.00058453760935675,-0.00139521297104315,-0.001525026819879,-0.000990798073894737,-0.00124929001391187
"36",36,-0.00158987544230031,-0.000279709884945067,-0.00128730460489999,-0.00115439571707626,-0.000812273566879503,-0.000673478594741288
"37",37,-0.00122538504751523,-0.000929321810022873,-0.00121909455088311,-0.00100256811645417,-0.000826129974426111,-0.00138860848513257
"38",38,-0.00103805075536775,-0.000716115546558602,-0.000833435759705363,-0.00116214896414273,-0.000670790475448184,-0.00107163821698678
"39",39,-0.00128791909425879,-0.000624568220273602,-0.000965217736317634,-0.00151099874642459,-0.00114251183602035,-0.000754892856421431
"40",40,-0.00121779376449696,-0.000672317484477007,-0.000912179549404497,-0.000891585761722748,-0.000642278263245095,-0.00108019763238552
"41",41,-0.00134369550958122,-0.000378777371711574,-0.000878750481483838,-0.000730373899572841,-0.000797622950869511,-0.000859360719927479
"42",42,-0.00146229763960847,-0.000290249243630398,-0.0010835258479359,-0.00124772211855176,-0.000617163552327065,-0.000991873211526801
"43",43,-0.00135057386382656,-0.000338001953257268,-0.000534174229151186,-0.000775616667054169,-0.000680545159244015,-0.00110738508651847
"44",44,-0.00145846654022959,-0.000793444968590173,-0.000951517680366828,-0.00133579519555111,-0.00119821424803443,-0.00123626234378754
"45",45,-0.000831202298293107,-0.000486704874117586,-0.000862958063568622,-0.000949891065139487,-0.000843453065664851,-0.000927940361086267
"46",46,-0.000598164670112766,-0.000641939527308003,-0.000453328818373605,-0.000791775358955718,-0.000927024116960692,-0.000878652005969713
"47",47,-0.000928418825410417,-0.000164076846994276,-0.000880631360187122,-0.00100790252075351,-0.000687827423427999,-0.00134634438572968
"48",48,-0.00132582522360606,-0.000122913523376402,-0.000523013309034525,-0.000604381896290732,-0.000924983048137919,-0.000498911467892593
"49",49,-0.000963775173351969,-0.000918515802849767,-0.000745267815022808,-0.00106843032918894,-0.000822798169902491,-0.00101838274763103
"50",50,-0.000763321866874459,-0.000114931534860743,-0.000249264399193684,-0.000759472702507306,-0.000743229921431523,-0.000395052905116267
"51",51,-0.00114460898409314,-0.000222465548013041,-0.000705229874517548,-0.00086870098670452,-0.000727725087003341,-0.000980644581165927
"52",52,-0.000776371483896323,-0.000572612157573387,-0.00093443229053929,-0.00122476729640214,-0.000683869665035887,-0.00140508244573311
"53",53,-0.00100815734833774,-0.000694618239840234,-0.000562201598266359,-0.000823754237412658,-0.000827787867858247,-0.000657496376745383
"54",54,-0.00119810085569407,-0.000679160189905524,-0.000927283654647986,-0.00118281176178075,-0.00117443102163757,-0.000780333876781582
"55",55,-0.00157774624937683,-0.0008459492657245,-0.000879869649695948,-0.00154948074905573,-0.00108173392724278,-0.00048482260092578
"56",56,-0.000926568326055565,-0.000364331794269736,-0.000941133073737179,-0.00117387484840583,-0.00067816389479591,-0.00145348749915391
"57",57,-0.00113068642795876,-9.53732051207879e-05,-0.000729387804120953,-0.000424220438493595,-0.000519689912134574,-0.000683595697188833
"58",58,-0.00119425196550986,-0.000412291604183632,-0.000963132402464058,-0.000934834422547314,-0.000662167383835219,-0.0011951123143853
"59",59,-0.000997591501054861,-0.000679668468134954,-0.00121559031798201,-0.00147079437840794,-0.000821674364812047,-0.000993512766859284
"60",60,-0.00166063391756152,-0.000876062818633481,-0.000955334494822659,-0.00131042756180016,-0.000780632231037751,-0.00112398309026273
"61",61,-0.001277214603211,-0.000800077417824806,-0.000891357133849193,-0.00102445272240799,-0.000293572072708366,-0.000738308521887428
"62",62,-0.000939326195061656,-0.000595961991610528,-0.00110716126807184,-0.00108295497889902,-0.0006743560018747,-0.00137219070981858
"63",63,-0.0012801910841826,-0.00103830913975348,-0.00133549667059258,-0.0016926205928362,-0.00133305730651126,-0.0013120134968158
"64",64,-0.00123292180911174,-0.000527864848809228,-0.000527644373762913,-0.000576464997128452,-0.000503604911532686,-0.000682789222532328
"65",65,-0.00110037892835417,-0.000428775722643089,-0.000634112552324262,-0.000900380235879201,-0.000630318051384475,-0.00126016130490363
"66",66,-0.00113235020025058,-0.000541385882963556,-0.000833040439229676,-0.00117497348267781,-0.000630574850074983,-0.00118136005579338
"67",67,-0.000778339074612782,-0.000423361122746726,-0.000819557844835804,-0.00123860733965826,-0.00112312708640247,-0.000912744195420894
"68",68,-0.00118988144303033,-0.000512081882046258,-0.000951643206228473,-0.000815632214347869,-0.000314712681724446,-0.00133706334192178
"69",69,-0.00128506670788931,-0.000389439336974849,-0.0010973956779708,-0.00104922715493432,-0.000409545523757698,-0.0010949311087091
"70",70,-0.00133881742880863,-0.000831798294629701,-0.00119020995946774,-0.00113546427182474,-0.000719963782703461,-0.00126667333075805
"71",71,-0.00133866190329539,-0.00046457463862934,-0.00129665988939574,-0.00131319809216388,-0.000952692004921508,-0.00129471110950735
