"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.00197275523656332,-0.00162249420644276,-0.00276086238402918,-0.00239465294314484,-0.00210272825469055,-0.00234664882376606
"2",2,-0.00168565329343878,-0.000721506147447924,-0.00188614891970014,-0.0013400779693846,-0.00123880524756093,-0.00135676242902209
"3",3,-0.00124988775351702,-0.000643683334744285,-0.00131666780900629,-0.0012980847756094,-0.0010617820874765,-0.00142755986213204
"4",4,-0.00124546806033224,-0.000933441097935413,-0.00155277237699703,-0.00189515305147641,-0.00144179973214166,-0.00090294581687974
"5",5,-0.00172045289055914,-0.000720125469241005,-0.001723436319422,-0.00170649597269684,-0.000727252456488067,-0.00217280122897198
"6",6,-0.00189790335430957,-0.000775156753336617,-0.00217777566513292,-0.00171790054848888,-0.00165938608373775,-0.00118053636572653
"7",7,-0.00122622149972115,-0.000595966887032735,-0.00119257215383039,-0.00183567169714387,-0.000598144352737229,-0.00161218780905648
"8",8,-0.00123108057975079,-0.000936322240360792,-0.00152199910926376,-0.00197187950721036,-0.00129132595354874,-0.00182329701914875
"9",9,-0.00143228565134053,-0.000843491658304806,-0.00157625991729172,-0.00186240736209099,-0.0016522884771233,-0.00117018960306178
"10",10,-0.00130878546330117,-0.000605508255081688,-0.00120031624240154,-0.00173536465830689,-0.00167081105853612,-0.000767726342541904
"11",11,-0.00202651711793953,-0.000483543329978454,-0.00173854565124077,-0.00132146308527028,-0.000822212139430406,-0.00140437448947843
"12",12,-0.00111879909959939,-0.000692619995530049,-0.00147844740837437,-0.00157020903731614,-0.00172734911555723,-0.00123311976077964
"13",13,-0.00105618174023027,-0.000666048441190561,-0.00190740860894773,-0.00206103936052153,-0.00161102042759311,-0.00156106440905524
"14",14,-0.00185844961875292,-0.000720449325192807,-0.00137044463542634,-0.00124751594316085,-0.000706893723551755,-0.0016125553387583
"15",15,-0.00144356974143165,-0.00044768542827916,-0.00153319860433832,-0.00183596368436379,-0.00127154392866024,-0.00150062456947618
"16",16,-0.00105723635547629,-0.00132701780152372,-0.00194106026258974,-0.00250102130305777,-0.00176576843674676,-0.00172093004306022
"17",17,-0.00167404777099231,-0.000701679454749651,-0.00146238649781831,-0.0014924618293434,-0.0012800045169579,-0.00144961718018047
