"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.0152415869791431,-0.00307445383712894,-0.0225679079244272,-0.0194508410109115,-0.0103419209245554,-0.0185435656194851
"2",2,-0.024834204596964,-0.0152969019401642,-0.0255163712853957,-0.022752232693279,-0.0211815554589885,-0.016815434732281
"3",3,-0.0231926231091174,-0.00722971512895168,-0.0240833282767016,-0.022507741521877,-0.0124903966855957,-0.023012268065207
"4",4,-0.0186691857188647,-0.0166471907917375,-0.027702421849559,-0.0259430520473907,-0.0202287265299778,-0.0169879953924649
"5",5,-0.0203311970049477,-0.0100765678317378,-0.0181900613509081,-0.0205124073182725,-0.0109735165248579,-0.0102506161676628
"6",6,-0.0157028745030521,-0.0107825735774311,-0.0194516991312851,-0.0225635590506426,-0.0218285187101481,-0.016713567909689
"7",7,-0.0190622476210783,-0.011514894940625,-0.0200422607643718,-0.0245244734223873,-0.0149045044238868,-0.0108459225087874
"8",8,-0.0211470554712956,-0.0119733690241328,-0.0238662872595534,-0.0246699514922577,-0.022051721654034,-0.0125396314945484
"9",9,-0.019211568046176,-0.0146882595586299,-0.0262650765312612,-0.0262149655188833,-0.0241534533687234,-0.0135857330647339
"10",10,-0.0198251703416552,-0.00705073155847175,-0.0239560340372737,-0.0215836622088838,-0.0187018126600436,-0.0190575020912471
"11",11,-0.0136444209688013,-0.0121978390485743,-0.0172562818796077,-0.022639369114563,-0.00965154167761697,-0.0125452268904722
"12",12,-0.0196296815254536,-0.0119026939489205,-0.0276529835301166,-0.0314131218779898,-0.0188396893036776,-0.0209454164522458
"13",13,-0.0193592486608064,-0.00894310876693744,-0.0196177760447299,-0.0198318280299542,-0.0181161094339228,-0.00972461930495891
"14",14,-0.0138594990568904,-0.00590059645309987,-0.0148139093030635,-0.0176911342279846,-0.0100915620104418,-0.0146974705051213
"15",15,-0.0230015932960877,-0.00895494836029651,-0.0234545733837353,-0.0199540470734595,-0.0109626034262423,-0.0151838857464273
"16",16,-0.0222613530229888,-0.00869018326904232,-0.0238322551446506,-0.0204411221643643,-0.0104700871172029,-0.0222600011457989
"17",17,-0.0217700714935715,-0.016128436756896,-0.0287567157876808,-0.0321110016294423,-0.022984797752834,-0.0282763396521013
"18",18,-0.0202849976461008,-0.0136681321554699,-0.0251601573432459,-0.0238040943307792,-0.0166081568965142,-0.0179560265022376
"19",19,-0.0155833732423258,-0.00552011296110686,-0.0227024384019451,-0.0243796063808798,-0.0148934114523835,-0.01029942173722
"20",20,-0.0220309846073146,-0.00834080210282315,-0.0199356895927337,-0.020313647589317,-0.0164279641781282,-0.0133081088999838
"21",21,-0.0216431328281827,-0.0058078622081913,-0.0165824291349854,-0.0182229407105109,-0.0120146935410616,-0.0157542092700266
"22",22,-0.0261423924624208,-0.0104258003710088,-0.0312232963254398,-0.0290538999563871,-0.0182512878538142,-0.0152858375184339
"23",23,-0.0212682829979273,-0.0134978716287573,-0.0183139526917914,-0.0241569777801065,-0.0138349546277147,-0.0175644054969693
"24",24,-0.0212285137944317,-0.0107494308086719,-0.0284952967381747,-0.0276259085158859,-0.0186434604448515,-0.0192058106099722
"25",25,-0.0230702447725769,-0.0103559964469436,-0.0326167146665237,-0.0291864763752643,-0.022618853066584,-0.0183847104648899
"26",26,-0.0232606548803496,-0.00980055488930694,-0.0229472804214046,-0.0218475903979488,-0.0235087769682038,-0.0176443743977878
"27",27,-0.0136470157539698,-0.00868132164616357,-0.0225930396117056,-0.0219724968975313,-0.0122425373791969,-0.021946962492127
"28",28,-0.0197616077207079,-0.00860708352020602,-0.0234201766154312,-0.0231011957812867,-0.0158414677522717,-0.0165688526108971
"29",29,-0.0253752464148745,-0.0127272882361332,-0.0295131097084039,-0.024879001053787,-0.0227534880050899,-0.0142686798638281
"30",30,-0.0228638199771177,-0.0173956328579113,-0.0266682621493464,-0.0248930849739183,-0.0159680136960985,-0.0181466048608891
"31",31,-0.0242932706970569,-0.00511158067901122,-0.0287255667134844,-0.0239779797709811,-0.0135293533562146,-0.0179235938792944
"32",32,-0.016373931003228,-0.00925630963117906,-0.0193725851170212,-0.0181224851809736,-0.00772836521080327,-0.0168812467873602
"33",33,-0.0200126788593932,-0.0148831882871526,-0.0260838916953789,-0.0276243233514405,-0.0140169065474983,-0.0199775776489638
"34",34,-0.0222381939487391,-0.012522078380795,-0.0357561271420677,-0.0295625088213423,-0.0191189391220835,-0.0265133151057583
"35",35,-0.0158625019825811,-0.00839336282295615,-0.0187474652127115,-0.0213693255435706,-0.0133935019012494,-0.0142714697625835
"36",36,-0.0215342315500062,-0.00866462984453493,-0.0250768606876902,-0.0224656917138867,-0.0150710348060885,-0.0170452736125345
"37",37,-0.0137544538868052,-0.00743708495450901,-0.0132648562128194,-0.0189006618257865,-0.000263699408911486,-0.0158257023336572
"38",38,-0.0204050316449976,-0.00163077924860137,-0.0242217598163716,-0.0215795640054944,-0.00834182260542616,-0.0167994250099734
"39",39,-0.0243409801644927,-0.0116305364435999,-0.0233660142890216,-0.0247662136421288,-0.0165425053662984,-0.0197738225615584
"40",40,-0.0235812817373135,-0.00922316414837426,-0.0251301553057464,-0.0209972814839811,-0.0206299597630019,-0.00966367046716433
"41",41,-0.0227510708683308,-0.0157533379328487,-0.0242893238084949,-0.0219147498075306,-0.0101342430465354,-0.0206384773841531
"42",42,-0.0246064657869605,-0.0140283881370349,-0.0256522733169123,-0.019936623064585,-0.0145174739068314,-0.0104455582404612
"43",43,-0.0229162435765535,-0.0105229971223614,-0.0275105141445435,-0.0248042568967026,-0.0206749636366899,-0.0232320557947022
"44",44,-0.0228856851917734,-0.0116513471539291,-0.0293682717031803,-0.0269630344301678,-0.016051832346208,-0.0228861680566164
"45",45,-0.0154224124524624,-0.0121555702641126,-0.021127621939365,-0.0279592217747674,-0.0123825784652423,-0.0187063558653781
"46",46,-0.0208209396226084,-0.0109910550817771,-0.0232089513446308,-0.0220924075638848,-0.0126598485734047,-0.0166834720546001
"47",47,-0.0230856194343047,-0.00769213930862296,-0.0198022683900436,-0.0227849450699676,-0.0162893262386116,-0.0169331025050408
"48",48,-0.012460322336974,-0.00602903523533165,-0.0201151325399147,-0.0189011425819819,-0.00949178320415335,-0.0177755592312019
"49",49,-0.0198208768720517,-0.00896939839564697,-0.0244841649298206,-0.0250865939709536,-0.0160654136906282,-0.0155384767556076
"50",50,-0.0148470518487957,-0.00573957790428867,-0.0188641682549456,-0.0228635547510138,-0.0100878448176943,-0.0157179317798975
"51",51,-0.0218535418160402,-0.0113099955264889,-0.0202205384588928,-0.0196464380173942,-0.00759058790621509,-0.0181287311804283
"52",52,-0.0190265325988435,-0.00649533422178596,-0.0200546625461002,-0.017308610370498,-0.0109395663313219,-0.0229589741224357
"53",53,-0.0174038293927406,-0.0095805155060052,-0.026663664702618,-0.0253806567257583,-0.0197792943236211,-0.017224730798546
"54",54,-0.0193740420490741,-0.0130205643750337,-0.0243143047035063,-0.0232865492949387,-0.0118490833070401,-0.0212294540449957
"55",55,-0.0147592172990231,-0.00748856474897821,-0.0201770510317302,-0.0186380586888907,-0.0166338111472526,-0.0115113527098242
"56",56,-0.0172968977476399,-0.0126179282153337,-0.0238038049676284,-0.023129993486879,-0.0154845319618613,-0.0179858901008675
"57",57,-0.0221862173343173,-0.017650678111821,-0.0223680895375195,-0.0273532235787714,-0.0193500474017952,-0.00870103089040749
"58",58,-0.0239138933959217,-0.0139250408412748,-0.0238091139008732,-0.0234573912061736,-0.0185514051423752,-0.0192394975990836
"59",59,-0.0207500381803889,-0.00707579224007606,-0.0227084683551496,-0.0186047787487823,-0.0119825923448065,-0.01443385083889
"60",60,-0.0234864435609646,-0.00961286338456045,-0.0286503775448314,-0.0316759263596945,-0.0272851171489956,-0.0178504561366988
"61",61,-0.0224965658127196,-0.0102906096386619,-0.0159382566234331,-0.0184757628543617,-0.0117804883913021,-0.0156663205351756
"62",62,-0.0177012807238845,-0.00692491299886661,-0.0198250065997228,-0.0168481810338432,-0.0101407460072689,-0.0120361545457065
"63",63,-0.0219571431288409,-0.0152795680521687,-0.0237295909466915,-0.020477876645649,-0.015124773154819,-0.0185729934655631
"64",64,-0.0204685674072225,-0.00566105066022237,-0.0203167744373141,-0.0184100079092786,-0.00709909865534248,-0.0127316994609985
"65",65,-0.0183935693941286,-0.00781719635350906,-0.0311418138812224,-0.0297139389805143,-0.0198562180631238,-0.0219984423397409
"66",66,-0.0222842401716715,-0.00222520970161795,-0.0130650407624801,-0.013327572655356,-0.00371346412861104,-0.0150897204712318
"67",67,-0.0117108773357275,-0.00769101687734944,-0.0135619140254516,-0.0152869501730157,-0.00506355269592738,-0.0159128053021128
"68",68,-0.00645927406087716,-0.00457541663780104,-0.0120068764967081,-0.0225436189485787,-0.0181956439656708,-0.0149672838767035
"69",69,-0.0195337305111571,-0.0127529850014336,-0.02169972046277,-0.0237981269739896,-0.0151141735910155,-0.0194028341926418
"70",70,-0.0197338046562114,-0.00880390914329994,-0.0152694629211148,-0.0158100348277237,-0.0136635490128241,-0.0113685610666914
"71",71,-0.0190717286135511,-0.0109395155183224,-0.0249849189492928,-0.0248678077937814,-0.0125834446255727,-0.0196910013530257
"72",72,-0.0177733394214927,-0.008601418495038,-0.020276107917083,-0.0220631903046231,-0.0124919605061926,-0.011622750076077
"73",73,-0.0188823045145873,-0.00997615233667856,-0.020732836305002,-0.0265112714753895,-0.0170396530552155,-0.0174260352724566
"74",74,-0.0151832713163034,-0.0061907901755246,-0.0186382218221227,-0.0208326468181391,-0.010365737071682,-0.0134405196898049
"75",75,-0.0190830172495896,-0.00611120986469003,-0.0218837768136899,-0.0285836448379535,-0.0189564707837096,-0.0129489410099917
"76",76,-0.0201962592412706,-0.0107935086063915,-0.025601655247748,-0.0223477884467575,-0.0202300423387839,-0.0123281171812408
"77",77,-0.0193184202750071,-0.00723312026313228,-0.0210356296806436,-0.0226698314788465,-0.0116181348997511,-0.0112863643139305
"78",78,-0.0137785283177109,-0.00819300885400134,-0.0200963585180224,-0.0207866413954227,-0.0120936548234284,-0.0161356186990991
"79",79,-0.0173986211533074,-0.0116737289460984,-0.0174956852461419,-0.0201763165726837,-0.0150792988907867,-0.0120173527979128
"80",80,-0.0218962717481211,-0.01043799817316,-0.0255425497121216,-0.0262980828749646,-0.0168398025196136,-0.0158203426787517
"81",81,-0.0143510862932358,-0.00982232616808395,-0.0172920158159714,-0.0234017800879838,-0.00771467585149246,-0.0173024001510524
"82",82,-0.0143479147992817,-0.00753134543628515,-0.0203298632918468,-0.0151324273381965,-0.00729649604633808,-0.0141799250440051
"83",83,-0.0144789646702823,-0.00558967967472998,-0.00867950966284047,-0.0184110329525587,-0.00980744579178418,-0.00996953259846864
"84",84,-0.0193580823959632,-0.0108231511609499,-0.0217988147807972,-0.0165463997394588,-0.0118760216319004,-0.0156473126469664
"85",85,-0.0177670778815685,-0.00907053012673937,-0.021131706105898,-0.0190494777334799,-0.0143656612814218,-0.0206203260885411
"86",86,-0.0229442816499047,-0.013695876144335,-0.0244304684232716,-0.0265326045429169,-0.0187521043245324,-0.0179634241535583
"87",87,-0.0206011606004418,-0.00963482847750451,-0.0277967673160007,-0.0210669826608283,-0.0132855008941674,-0.0153857022760866
"88",88,-0.0204636476488564,-0.0143912874622858,-0.0232247633564514,-0.0214550387584033,-0.0153461643329774,-0.0227048604142569
"89",89,-0.0132088082572628,-0.013245996908518,-0.0186745265600702,-0.0231091257602109,-0.0135178870516029,-0.0150195703220141
"90",90,-0.0238478170247106,-0.0119588306642656,-0.0254764866575727,-0.02137460439968,-0.015370502208429,-0.015750971957883
"91",91,-0.0299595849327465,-0.0097390220530812,-0.0310791745933269,-0.0298775742187758,-0.015150483652009,-0.0222904231526098
"92",92,-0.0223821244694181,-0.0146428414587367,-0.0251581279484443,-0.0231513024786058,-0.0164035395935346,-0.0150698587564968
"93",93,-0.0203383176444232,-0.0111125669506656,-0.0198818843829388,-0.022911849743169,-0.0150357140557654,-0.0167265596853358
