"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.0136430261269931,-0.00667492279779127,-0.0166784751895857,-0.0182970706998445,-0.0153079530440172,-0.0175501014447218
"2",2,-0.0143603225075361,-0.00818883010347914,-0.0228634697803407,-0.0194361614175899,-0.0105917434448835,-0.0134306171618841
"3",3,-0.0191978593402176,-0.0102928142486375,-0.0205839526573849,-0.0184165647562706,-0.0107763732153707,-0.0154080940570667
"4",4,-0.0140939949425825,-0.0125639050222251,-0.0219754993495574,-0.0215582534927971,-0.0167385398933483,-0.0177827240609042
"5",5,-0.0146073004279525,-0.00424467913632184,-0.0155117296810074,-0.0145137088811871,-0.0118346439168867,-0.0146808420694037
"6",6,-0.0185087375434613,-0.0133140984087916,-0.0187832344619371,-0.0211943634586723,-0.0127753485139596,-0.0133982301831684
"7",7,-0.0153299099278987,-0.00364306596606199,-0.0233995784470783,-0.0175385873921791,-0.0151656343178715,-0.0170294038633448
"8",8,-0.0190348473826175,-0.0102503936728738,-0.0258258638482066,-0.0240534209466558,-0.0205082098220703,-0.021925286880741
"9",9,-0.0131718995215727,-0.0042421182451032,-0.0152589815816984,-0.0151759030364546,-0.00951437063601729,-0.0157128236272603
"10",10,-0.0149370807468062,-0.00964772474773903,-0.0154062757648666,-0.0182047663893555,-0.0135054194012328,-0.0154068341694178
"11",11,-0.0146202815660757,-0.00638973473140154,-0.018592707560775,-0.0180598378759904,-0.0103391406278017,-0.0245576233481778
"12",12,-0.0133073853561598,-0.007735906960261,-0.0138116460947453,-0.01803299931189,-0.0140209577083575,-0.0120143825412507
"13",13,-0.0188372399141229,-0.0117741475737267,-0.0292819465492855,-0.0208444713437256,-0.0115746307745353,-0.0213221352841131
"14",14,-0.0184854898442478,-0.00815846086179176,-0.0229171384262353,-0.0228583024381535,-0.0186925033301112,-0.0140079536104818
"15",15,-0.0156736259313632,-0.00897967697453362,-0.0192826327809619,-0.0168469518261758,-0.0104024706967776,-0.0138419504035956
"16",16,-0.0172733890474868,-0.00699920763230653,-0.0203780753742606,-0.0174807474025625,-0.0135221013949969,-0.00827101125434917
"17",17,-0.0216113258850341,-0.0132756555353127,-0.0250570874995582,-0.0230547873895465,-0.0197150391504392,-0.0145166919084305
"18",18,-0.0156936094817897,-0.00756231854849594,-0.0216286718407574,-0.0182550866122533,-0.0137360936328978,-0.0103416605876288
"19",19,-0.0191566805880399,-0.00836647334699579,-0.0209504629879954,-0.0192135841423634,-0.0156080943242857,-0.0153845541142349
