"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.0135738780259484,-0.00816727173526537,-0.00918883814287447,-0.0096149346726186,-0.00767513820422228,-0.00863077057949044
"2",2,-0.0150713954489032,-0.00820457838117308,-0.0145834807941735,-0.0103677745364493,-0.00554273803999122,-0.00854868709830288
"3",3,-0.0187985114876612,-0.00658569654144886,-0.0132308118803289,-0.0103973230193055,-0.00664947508194611,-0.0105040521015302
"4",4,-0.0147457346118139,-0.00973439357763907,-0.0166502077372779,-0.011636762759593,-0.0116579686588004,-0.0113598321164171
"5",5,-0.0136143049251585,-0.00576089031679977,-0.0135201432453222,-0.011273571161121,-0.00967491987010936,-0.00910127345428716
"6",6,-0.0167359212640815,-0.0111904776015049,-0.0117123935478486,-0.0147447131362752,-0.00642236608501479,-0.00965874597487743
"7",7,-0.0150184687043822,-0.00545919269872041,-0.0162488009030025,-0.0118551859843281,-0.00893799651706182,-0.00836085919304384
"8",8,-0.0190065641628909,-0.0132087036039822,-0.0169713085073103,-0.017220036909479,-0.0141151309263546,-0.0132808732266385
"9",9,-0.0129571549826334,-0.00231103867247828,-0.0118217193539884,-0.00886949199205996,-0.00633991006681832,-0.00887846379034381
"10",10,-0.0144304992912672,-0.0114002451611329,-0.0146460520697245,-0.0148287414006594,-0.00824497706059441,-0.0106375138011933
"11",11,-0.0162272766929319,-0.00555500610331023,-0.0121710899626927,-0.00747215508175275,-0.00371826966486152,-0.0142508393347838
"12",12,-0.012827902188402,-0.00549980846691017,-0.00866749093982796,-0.00812204265298395,-0.00733140919619344,-0.00351118052226726
"13",13,-0.0180515675407414,-0.00918230124560366,-0.0203415110173168,-0.0140391668861163,-0.00749287515753457,-0.0137935279818296
"14",14,-0.0164069438435866,-0.0115277788361277,-0.0156568837874633,-0.0154268542658888,-0.0109429899880006,-0.0073265904007074
"15",15,-0.0135692551767288,-0.0100090818377117,-0.013666920246953,-0.0102462232893035,-0.00420482768858589,-0.00784069291067391
"16",16,-0.0178186072453761,-0.00537385848363579,-0.0156392864449891,-0.013265323555013,-0.00999854426219115,-0.00665596769258338
"17",17,-0.0170342134663682,-0.0121092913170625,-0.0182332531524998,-0.0184101730571758,-0.0155648859922176,-0.0116883500939546
"18",18,-0.0141707741976487,-0.00866311344427603,-0.0141496526633416,-0.0123795911713101,-0.00879411323907526,-0.00727733488538825
