"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,-0.00897447546697873,-0.00805073114599297,-0.00774778329085167,-0.00607198196080421,-0.00336665431594548,-0.00383854912010602
"2",2,-0.00632120145672493,-0.00749145639619516,-0.00974336487619569,-0.00805023927310471,-0.00499547673044008,-0.0039112597558547
"3",3,-0.012755528778939,-0.00884059863168841,-0.0117301982777574,-0.0097368690796804,-0.00402563885906227,-0.00430070877037776
"4",4,-0.00620237630315298,-0.00523664767288673,-0.00646598625266736,-0.00307229197352969,-0.001429072445485,-0.00145485098055144
"5",5,-0.00625844993492057,-0.0041045382754572,-0.00904695084717539,-0.00775040179825168,-0.0063147565793752,-0.00441403780362544
"6",6,-0.00841488157423026,-0.00877476104038652,-0.007017535860799,-0.0085071338801255,-0.00261860684048921,-0.00376023777864509
"7",7,-0.00907310741835354,-0.00578082813330516,-0.0136033049737341,-0.00792675851460475,-0.00504457890141901,-0.0030709875024284
"8",8,-0.00814045914720869,-0.00675149625264698,-0.00739534137512969,-0.00642858522785631,-0.00529615502701131,-0.00523508537959383
"9",9,-0.00624297773392283,-0.00387848757689662,-0.00864927534887402,-0.00839985001127864,-0.00327541718023788,-0.00331645192498994
"10",10,-0.00166883374555279,-0.00457052944692666,-0.0037466317805949,-0.00631808127442351,-0.000677794340902836,-0.00441984272334699
"11",11,-0.00642640024773231,-0.00427951467118771,-0.0095908899201302,-0.00306427705943536,-0.00371124378996706,-0.00715182201034352
"12",12,-0.00746086545543796,-0.00866755665184431,-0.00888119465010445,-0.0100361664751429,-0.00727424578100921,-0.00260866531513398
"13",13,-0.00709252769753596,-0.00686426289831755,-0.0118887049064584,-0.00824913395462659,-0.00383752282963256,-0.00785538335838805
"14",14,-0.00572940467216246,-0.00806459334929981,-0.00912715597543948,-0.0107743283696809,-0.00611713474270626,-0.00344509996267385
"15",15,-0.00602490589051102,-0.00952889046234984,-0.0113463887628969,-0.0107356445119633,-0.00261418769823766,-0.00215424358507015
"16",16,-0.00993277295145325,-0.00272625346733262,-0.0105895065578618,-0.00615221243173624,-0.00574044695612406,-0.000752156491400722
"17",17,-0.0059631192438837,-0.00502072203401147,-0.00704623890910064,-0.00727266451788771,-0.006121395555468,-0.00407365125187288
"18",18,-0.0060610022818902,-0.00631950121388812,-0.00940720777796761,-0.0077791244156321,-0.00600625835801613,-0.00282904949357196
"19",19,-0.00788135018183364,-0.00553108711201753,-0.00911951756790845,-0.00668065327355046,-0.00198549200969203,-0.00148529751420653
"20",20,-0.00648029250909023,-0.00806515917689288,-0.00799190645973726,-0.00665722652612023,0.00213981714705154,-0.0017380901116015
"21",21,-0.00853183741633993,-0.00692554700160152,-0.00914386570338016,-0.008818413182817,-0.0016908803673404,-0.00297744162357242
"22",22,-0.00132477963621124,-0.00717896085505352,-0.00460976576383242,-0.00510297477737369,-0.00195982724320643,0.00155726984234042
"23",23,-0.0115900486952811,-0.00777690879022283,-0.0105542559180849,-0.00565409099270878,-0.0028295231633284,-0.00294736642391452
"24",24,-0.00481612636961456,-0.00413587029773168,-0.00963407195080851,-0.00593094758863716,-0.00436604782746342,-0.00488745463112019
"25",25,-0.00912738105263613,-0.0088326748948519,-0.0112553464462704,-0.0118686166397407,-0.00310873046140293,-0.00626157276830577
"26",26,-0.00300211298296049,-0.0038709565366989,-0.0082921339050113,-0.00732052434374385,-0.00290217561995741,-0.00243807306021735
"27",27,-0.00465333653850127,-0.00150827575479252,-0.0100188911493656,-0.00641727406621833,-0.00426722697180861,-0.000758956772524545
"28",28,-0.006136817742271,-0.00742677270518191,-0.00780455591382665,-0.00903030181386009,-0.00404767938394952,-0.00115183180204435
"29",29,-0.00610315988400956,-0.00342263072997784,-0.00507168124737133,-0.00516822857844227,0.00238159482978278,-0.00354422014747947
"30",30,-0.0023936231062316,-0.00670090107790085,-0.00562081427911098,-0.00780422022396994,0.00190718950866664,-0.00165969385487365
"31",31,-0.00581446818462609,-0.00240591594266575,-0.00510955369518644,-0.00631829748511823,-0.00177915786884267,-0.00392720358754537
"32",32,-0.00449818516514526,-0.00538942343076159,-0.00843919834535175,-0.00956062246342962,-0.00171323513554868,-0.00272986790885177
"33",33,-0.00479907922660391,-0.00864072421959061,-0.00562377345982972,-0.00611130938805467,-0.00127452324108155,-0.00285916065399111
"34",34,-0.00758083981863343,-0.00866734206324977,-0.00789047202664605,-0.00951216773506355,-0.00314208795832553,-0.00370839209802034
"35",35,-0.0096653770803971,-0.00568373099328393,-0.00744935274677706,-0.00706922931357176,-0.0035897803453643,-0.00638559695686036
"36",36,-0.00197201695892041,-0.00307679687799174,-0.00539134879026886,-0.0037055104918907,0.00202018046553953,-0.00113485880232212
"37",37,-0.00794349598213586,-0.00574271412735824,-0.0106338042939278,-0.00759985219413663,-0.0057829084547363,0.00103703738559116
"38",38,-0.00749652151119919,-0.0104435503138703,-0.0108462058889959,-0.00857390543191602,-0.00436827990177054,-0.00278820658472142
"39",39,-0.00690104697272714,-0.00294011985767463,-0.00875956857448857,-0.00448038509465162,-0.00339060696099811,-0.00396638182268453
"40",40,-0.00465268935268316,-0.00406194433169717,-0.0092376190825149,-0.00649837511720607,-0.00465861757882373,-0.00522728352182457
"41",41,-0.00281460513559564,-0.0080400605310076,-0.00417190132343168,-0.00731467685067724,-0.00114461888285795,-0.000608897572719471
"42",42,-0.00876692038590745,-0.00866956823455955,-0.010709283907091,-0.00549869416839207,-0.00654491922601431,0.00163185313038659
"43",43,-0.0092814137334746,-0.0135898902732116,-0.0110313197890606,-0.00939428950992264,-0.00500861535395014,0.00140903566097367
"44",44,-0.00683170432852925,-0.00945516487079034,-0.00665478288548002,-0.00630585380113049,0.000203940488813995,-0.00151948976259714
"45",45,-0.00539639037785124,-0.00480484467587647,-0.0120463223572159,-0.00898322503486918,-0.00494543109828245,-0.00179465019335871
"46",46,-0.00920326156140839,-0.00681623792414702,-0.012552759204294,-0.011506295267604,-0.0077699621821059,-0.000586803496389291
"47",47,-0.00794332791681811,-0.00514874742250887,-0.0115240960111586,-0.00588017186437204,-0.00520462015735204,-0.00135794576971032
"48",48,-0.00831390179805617,-0.00881010608379472,-0.00464848680714955,-0.00498389318277948,-0.00139974458640924,-0.00472775334670718
"49",49,-0.00981055472283964,-0.00450095657832626,-0.0100691893080766,-0.00717619486365939,-0.00114776409549472,-0.00577113565926822
"50",50,-0.00325011564199163,-0.00126682358159594,-0.00508178305158976,-0.00269954575759999,0.000950163386339117,0.00108603939528542
"51",51,-0.0075198037204985,-0.00770998487504109,-0.0106604135603215,-0.00846305243401004,-0.00260077998719692,-0.00167275396991296
"52",52,-0.0052692439194899,-0.00675542722930188,-0.00793134055576228,-0.0085817823685119,-0.00183192159064856,-0.00132435632823796
"53",53,-0.002241311112834,-0.00242148986358828,-0.00484910968043968,-0.0082463724287331,-0.00350657117584924,-0.00380396815613631
"54",54,-0.00677584948934088,-0.0063720076221664,-0.00767130814945151,-0.00514205048236612,-0.00287601268642086,-0.00165452266437508
"55",55,-0.00751925369724972,-0.00556825668875523,-0.00878793012949934,-0.00871940400134226,-0.00478027849588991,-0.00116737718249959
"56",56,-0.00620229330213661,-0.00429784456742981,-0.00953584759789985,-0.00657358914612596,-0.00406831722591348,-0.00502266417250682
"57",57,-0.00979626223574446,-0.00813320340603026,-0.00926578275008092,-0.00589693686163596,-0.00247287372475922,6.30208154808162e-05
"58",58,-0.00710946956222463,-0.00782289130758472,-0.00888536453820914,-0.00904134994191098,-0.00372162772623367,-0.00217483593839055
"59",59,-0.00915871525621029,-0.00720027286876498,-0.00942792901491907,-0.00836922316216664,-0.00198459939133836,-0.00225288457037399
"60",60,-0.00723672484479766,-0.00584453711263824,-0.00709047994630348,-0.00764723741471425,-0.00233288312672987,-3.71996693885676e-05
"61",61,-0.00588283229851494,-0.0051191184042037,-0.00913505016730339,-0.0084148799684651,-0.00630310026115695,-0.00450521886391876
"62",62,-0.0099332181174858,-0.00643933704059187,-0.0108955349394663,-0.00752110075642069,-0.00293307822718321,-0.00353741411325428
"63",63,-0.00827604430779994,-0.00700630549519549,-0.0112984874648881,-0.00709954951736781,-0.00692546631503006,-0.00350138761043998
