,forecast,time,cumulative_global_gdp_loss
0,BCC_CSM11m,2024,-0.36388587067421263
1,BCC_CSM11m,2025,-0.7585724928575712
2,BCC_CSM11m,2026,-1.5603328016011107
3,BCC_CSM11m,2027,-2.445091478386535
4,BCC_CSM11m,2028,-3.7354854479720965
5,BCC_CSM11m,2029,-5.359675444253096
6,CMC CANSIP,2024,-0.3936776963434487
7,CMC CANSIP,2025,-0.820653991445365
8,CMC CANSIP,2026,-1.6878052591414061
9,CMC CANSIP,2027,-2.64472954617926
10,CMC CANSIP,2028,-4.040031815492815
11,CMC CANSIP,2029,-5.796003685682051
12,COLA CCSM4,2024,-0.34686197029179494
13,COLA CCSM4,2025,-0.7230957299965883
14,COLA CCSM4,2026,-1.4874728020365566
15,COLA CCSM4,2027,-2.3309756227775518
16,COLA CCSM4,2028,-3.5613718961483736
17,COLA CCSM4,2029,-5.110177424204966
18,GFDL SPEAR,2024,-0.4128295842736716
19,GFDL SPEAR,2025,-0.8605616199572692
20,GFDL SPEAR,2026,-1.7697299751434115
21,GFDL SPEAR,2027,-2.7730248490131864
22,GFDL SPEAR,2028,-4.235709512547929
23,GFDL SPEAR,2029,-6.076303688995156
24,IOCAS ICM,2024,-0.29366228159673624
25,IOCAS ICM,2025,-0.6122232485053063
26,IOCAS ICM,2026,-1.2596980975829415
27,IOCAS ICM,2027,-1.9741902367565918
28,IOCAS ICM,2028,-3.0167634852697645
29,IOCAS ICM,2029,-4.329614329577989
30,LDEO,2024,-0.13406321551155503
31,LDEO,2025,-0.27953791402709116
32,LDEO,2026,-0.5754776165703097
33,LDEO,2027,-0.9021536951899728
34,LDEO,2028,-1.3793288192688484
35,LDEO,2029,-1.9808628181270747
36,NASA GMAO,2024,-0.24471856799727862
37,NASA GMAO,2025,-0.5102103986291062
38,NASA GMAO,2026,-1.050012010544632
39,NASA GMAO,2027,-1.6456989866470426
40,NASA GMAO,2028,-2.5151916543097452
41,NASA GMAO,2029,-3.6104569624048497
42,NCEP CFSv2,2024,-0.40006165898685947
43,NCEP CFSv2,2025,-0.8339567000474114
44,NCEP CFSv2,2026,-1.7151153986926575
45,NCEP CFSv2,2027,-2.6874984251240406
46,NCEP CFSv2,2028,-4.105266590519024
47,NCEP CFSv2,2029,-5.8894541179013205
48,SINTEX-F,2024,-0.2319506427104627
49,SINTEX-F,2025,-0.48359674844280254
50,SINTEX-F,2026,-0.9952791676917311
51,SINTEX-F,2027,-1.5599553029629998
52,SINTEX-F,2028,-2.3842517910547385
53,SINTEX-F,2029,-3.4226755441209966
54,BCC_RZDM,2024,-0.13193522796374765
55,BCC_RZDM,2025,-0.2751014889174212
56,BCC_RZDM,2026,-0.5663479438857493
57,BCC_RZDM,2027,-0.8878451874933443
58,BCC_RZDM,2028,-1.357461318855442
59,BCC_RZDM,2029,-1.9494759676345375
60,CPC CA,2024,-0.2213107049714494
61,CPC CA,2025,-0.4614182001175019
62,CPC CA,2026,-0.9496642290172741
63,CPC CA,2027,-1.4884922450282412
64,CPC CA,2028,-2.2751111018463948
65,CPC CA,2029,-3.266141536636109
66,CPC MRKOV,2024,-0.18513491665880924
67,CPC MRKOV,2025,-0.3860076915884976
68,CPC MRKOV,2026,-0.7945446277701353
69,CPC MRKOV,2027,-1.2454499123931653
70,CPC MRKOV,2028,-1.9038685500178514
71,CPC MRKOV,2029,-2.7335890963693483
72,CSU CLIPR,2024,-0.3383500201005857
73,CSU CLIPR,2025,-0.705356906526782
74,CSU CLIPR,2026,-1.45103772951566
75,CSU CLIPR,2027,-2.273907612198527
76,CSU CLIPR,2028,-3.4742737418000385
77,CSU CLIPR,2029,-4.985365048084793
78,IAP-NN,2024,0.12129529022474192
79,IAP-NN,2025,0.25298455921640617
80,IAP-NN,2026,0.5212801398995281
81,IAP-NN,2027,0.8177725421661177
82,IAP-NN,2028,1.2511852830522854
83,IAP-NN,2029,1.79816243537426
84,UCLA-TCD,2024,-0.08299151436429514
85,UCLA-TCD,2025,-0.17305761591908975
86,UCLA-TCD,2026,-0.35632191773531774
87,UCLA-TCD,2027,-0.5586487920049786
88,UCLA-TCD,2028,-0.8542727349826825
89,UCLA-TCD,2029,-1.227055075619743
90,UW PSL-CSLIM,2024,-0.23833460535387366
91,UW PSL-CSLIM,2025,-0.4969036564183321
92,UW PSL-CSLIM,2026,-1.022646282310257
93,UW PSL-CSLIM,2027,-1.6028287791280644
94,UW PSL-CSLIM,2028,-2.4497256717384186
95,UW PSL-CSLIM,2029,-3.51657435015626
96,UW PSL-LIM,2024,-0.17236699137199774
97,UW PSL-LIM,2025,-0.3593909471270008
98,UW PSL-LIM,2026,-0.7397859017926857
99,UW PSL-LIM,2027,-1.1596451925416438
100,UW PSL-LIM,2028,-1.7727811470480446
101,UW PSL-LIM,2029,-2.5455050335047793
