,name,iso,year,gdp_percapita_change_percent
0,Afghanistan,AFG,1998,
1,Afghanistan,AFG,1999,
2,Afghanistan,AFG,2000,
3,Afghanistan,AFG,2001,
4,Afghanistan,AFG,2002,
5,Afghanistan,AFG,2003,
6,Angola,AGO,1998,-1.2262137393286612
7,Angola,AGO,1999,-2.0108342984153706
8,Angola,AGO,2000,-3.6515323632254457
9,Angola,AGO,2001,-4.666010640650598
10,Angola,AGO,2002,-5.383721934072951
11,Angola,AGO,2003,-6.046902641177123
12,Albania,ALB,1998,0.0
13,Albania,ALB,1999,0.0
14,Albania,ALB,2000,0.0
15,Albania,ALB,2001,0.0
16,Albania,ALB,2002,0.0
17,Albania,ALB,2003,0.0
18,Andorra,AND,1998,
19,Andorra,AND,1999,
20,Andorra,AND,2000,
21,Andorra,AND,2001,
22,Andorra,AND,2002,
23,Andorra,AND,2003,
24,United Arab Emirates,ARE,1998,-0.9388305493700828
25,United Arab Emirates,ARE,1999,-1.8381792143146276
26,United Arab Emirates,ARE,2000,-3.285033179993451
27,United Arab Emirates,ARE,2001,-4.181422388263505
28,United Arab Emirates,ARE,2002,-4.8870795511060985
29,United Arab Emirates,ARE,2003,-5.2930917129379615
30,Argentina,ARG,1998,0.0
31,Argentina,ARG,1999,0.44453860952302426
32,Argentina,ARG,2000,1.044244532816303
33,Argentina,ARG,2001,1.7661933973733082
34,Argentina,ARG,2002,2.3199358669327474
35,Argentina,ARG,2003,2.604770688239341
36,Armenia,ARM,1998,
37,Armenia,ARM,1999,
38,Armenia,ARM,2000,
39,Armenia,ARM,2001,
40,Armenia,ARM,2002,
41,Armenia,ARM,2003,
42,Australia,AUS,1998,0.0
43,Australia,AUS,1999,0.5132768051242674
44,Australia,AUS,2000,0.8521208419663444
45,Australia,AUS,2001,0.8852200832565194
46,Australia,AUS,2002,0.9182707565073341
47,Australia,AUS,2003,1.0809249874874232
48,Austria,AUT,1998,-0.5870222491233915
49,Austria,AUT,1999,-1.1801029823384113
50,Austria,AUT,2000,-2.1417988840314313
51,Austria,AUT,2001,-2.3908461862174972
52,Austria,AUT,2002,-2.6412025777245276
53,Austria,AUT,2003,-2.600216594709291
54,Azerbaijan,AZE,1998,
55,Azerbaijan,AZE,1999,
56,Azerbaijan,AZE,2000,
57,Azerbaijan,AZE,2001,
58,Azerbaijan,AZE,2002,
59,Azerbaijan,AZE,2003,
60,Burundi,BDI,1998,-1.1098461101523047
61,Burundi,BDI,1999,-1.8095983442690229
62,Burundi,BDI,2000,-3.320261384212623
63,Burundi,BDI,2001,-4.161965689717031
64,Burundi,BDI,2002,-4.823338167787921
65,Burundi,BDI,2003,-5.369218136409126
66,Belgium,BEL,1998,-0.6054975770288994
67,Belgium,BEL,1999,-1.2071825697223921
68,Belgium,BEL,2000,-2.1823564599571963
69,Belgium,BEL,2001,-2.450773343142749
70,Belgium,BEL,2002,-2.714390565781317
71,Belgium,BEL,2003,-2.687723076890294
72,Benin,BEN,1998,-1.5427373903688282
73,Benin,BEN,1999,-2.647887607055127
74,Benin,BEN,2000,-4.6505557135045
75,Benin,BEN,2001,-5.8908526539907795
76,Benin,BEN,2002,-6.857036165342097
77,Benin,BEN,2003,-7.893400860153814
78,Burkina Faso,BFA,1998,-1.039530488705167
79,Burkina Faso,BFA,1999,-1.6483352093043495
80,Burkina Faso,BFA,2000,-3.009230241363007
81,Burkina Faso,BFA,2001,-3.6742167218911845
82,Burkina Faso,BFA,2002,-4.232999401440902
83,Burkina Faso,BFA,2003,-4.639111567682744
84,Bangladesh,BGD,1998,-0.5706549421159522
85,Bangladesh,BGD,1999,-0.6887385394372397
86,Bangladesh,BGD,2000,-1.194580398990548
87,Bangladesh,BGD,2001,-1.1027918077334504
88,Bangladesh,BGD,2002,-1.1062720808336137
89,Bangladesh,BGD,2003,-0.8216108140028388
90,Bulgaria,BGR,1998,0.0
91,Bulgaria,BGR,1999,0.0
92,Bulgaria,BGR,2000,0.0
93,Bulgaria,BGR,2001,0.0
94,Bulgaria,BGR,2002,0.0
95,Bulgaria,BGR,2003,0.0
96,Bahrain,BHR,1998,
97,Bahrain,BHR,1999,
98,Bahrain,BHR,2000,
99,Bahrain,BHR,2001,
100,Bahrain,BHR,2002,
101,Bahrain,BHR,2003,
102,Bosnia and Herzegovina,BIH,1998,
103,Bosnia and Herzegovina,BIH,1999,
104,Bosnia and Herzegovina,BIH,2000,
105,Bosnia and Herzegovina,BIH,2001,
106,Bosnia and Herzegovina,BIH,2002,
107,Bosnia and Herzegovina,BIH,2003,
108,Belarus,BLR,1998,
109,Belarus,BLR,1999,
110,Belarus,BLR,2000,
111,Belarus,BLR,2001,
112,Belarus,BLR,2002,
113,Belarus,BLR,2003,
114,Bolivia,BOL,1998,-1.2250870057424121
115,Bolivia,BOL,1999,-2.052246529933142
116,Bolivia,BOL,2000,-3.663052958081163
117,Bolivia,BOL,2001,-4.585188350211706
118,Bolivia,BOL,2002,-5.312936047099714
119,Bolivia,BOL,2003,-5.968979740934937
120,Brazil,BRA,1998,-1.1021129437946502
121,Brazil,BRA,1999,-1.6722515375587619
122,Brazil,BRA,2000,-3.1376484095452133
123,Brazil,BRA,2001,-4.234402489068339
124,Brazil,BRA,2002,-5.068758434004234
125,Brazil,BRA,2003,-5.577237210787595
126,Brunei Darussalam,BRN,1998,-1.4006035553101848
127,Brunei Darussalam,BRN,1999,-2.403586559455992
128,Brunei Darussalam,BRN,2000,-3.951670198444741
129,Brunei Darussalam,BRN,2001,-4.44417613228473
130,Brunei Darussalam,BRN,2002,-4.880882016238255
131,Brunei Darussalam,BRN,2003,-5.561384771301344
132,Bhutan,BTN,1998,0.0
133,Bhutan,BTN,1999,0.5320256232780488
134,Bhutan,BTN,2000,0.7792524238915016
135,Bhutan,BTN,2001,0.6173813976718182
136,Bhutan,BTN,2002,0.5165810156018705
137,Bhutan,BTN,2003,0.6335935601804774
138,Botswana,BWA,1998,-1.0927389170020514
139,Botswana,BWA,1999,-1.6524755467233194
140,Botswana,BWA,2000,-3.0337567664245273
141,Botswana,BWA,2001,-3.842587077423317
142,Botswana,BWA,2002,-4.456325183235522
143,Botswana,BWA,2003,-4.88195338865295
144,Central African Republic,CAF,1998,-1.3990120087255309
145,Central African Republic,CAF,1999,-2.306131056454958
146,Central African Republic,CAF,2000,-4.305983603286462
147,Central African Republic,CAF,2001,-5.767446080718844
148,Central African Republic,CAF,2002,-6.889035625043079
149,Central African Republic,CAF,2003,-7.915625311050766
150,Canada,CAN,1998,0.0
