Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,15221.85068,17697.52345,21036.38745,23491.66468,24007.49571,25097.27211,25692.23846,26743.7228,28027.51564,27868.54308,27358.54212,28413.14401,28121.31558,27646.19565,29005.93337,29693.13991,29059.48651,29093.57824,30931.9365,30505.33919,30490.36584,31051.00157,31230.19304,27243.3332,26200.7273,26829.63448,26337.58506,27821.7916,27624.3773,28421.38649,28852.23707,30270.9416,31705.27905,31762.73403,25823.63482,30271.83347
Africa Eastern and Southern,AFE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1176.014714,1148.259672,1206.960217,1235.275902,1256.624574,1287.016686,1300.790186,1331.46358,1346.27813,1377.41481,1401.26822,1434.76512,1424.769236,1446.113621,1486.880643,1468.885125,1467.204854,1443.807052,1416.223984,1411.549383,1445.13523,1463.541854,1426.445438,1386.970748,1387.984125,1341.970024,1332.483506,1347.752924,1362.096064,1362.957332,1323.971613,1289.473932,1231.711639,1195.162185,1188.227088,1207.58041,1239.811513,1262.201133,1253.968504,1255.100944,1264.526699,1277.632516,1293.803019,1299.833172,1336.08018,1380.986752,1432.873966,1486.169563,1508.392382,1477.414128,1512.484129,1526.646519,1497.369205,1518.48285,1537.159571,1538.552268,1534.924746,1534.683482,1533.524108,1523.775055,1438.876104,1464.047225
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.7663427,363.1014815,354.0339129,379.9558293,384.0783052,429.4125373,437.4200268,512.4092792,569.282712,551.0009703,596.4428151,608.3867146,602.5169793,592.4765375,590.4277388,588.9304508,578.985909,584.3868829,553.0364789,426.0300153
Africa Western and Central,AFW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1086.56746,1083.580309,1100.841677,1155.696507,1191.667752,1212.81071,1164.426512,1029.265805,1020.71328,1152.684765,1328.287457,1437.739546,1447.739365,1471.9105,1581.81176,1506.730802,1593.079429,1624.110361,1544.524859,1580.457327,1567.679678,1417.782473,1331.351133,1210.979031,1186.569525,1219.482764,1203.971272,1189.282425,1213.948423,1208.072628,1254.501667,1236.006988,1235.741952,1189.542544,1155.44673,1146.659261,1168.304374,1185.782331,1194.762853,1179.742378,1191.155978,1219.173837,1303.684669,1338.118134,1405.710653,1446.876559,1482.713127,1521.79982,1572.857213,1625.533689,1690.634529,1723.563611,1762.502106,1819.906214,1876.224943,1876.623483,1829.131551,1821.996368,1826.910949,1836.823853,1773.886822,1797.960202
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,2657.054582,2451.442455,2364.944749,2376.729187,2430.010202,2426.037742,2408.943527,2422.54248,2485.891356,2404.480588,2245.149862,2193.230732,1999.167237,1472.404189,1445.155567,1608.146316,1766.154054,1832.482312,1856.559776,1836.829653,1832.514102,1847.874736,2031.503726,2022.035684,2166.147716,2404.631169,2587.725057,2844.818355,3048.594002,2963.315988,2993.420974,2983.032611,3118.343699,3152.704327,3185.122401,3100.830685,2914.415459,2808.521753,2677.177816,2569.691347,2347.787032,2299.640572
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,1740.505382,1804.010307,1818.367344,1799.878145,1740.347226,1735.289858,1798.014609,1748.578262,1691.530506,1808.645604,1606.296047,1163.491294,1086.438487,1197.580594,1305.000719,1488.020491,1633.551572,1464.297579,1603.64723,1821.872654,1960.881946,2143.526278,2247.497491,2380.643997,2522.448714,2675.507936,2851.367012,3044.895819,3298.478044,3432.169973,3577.113388,3678.046738,3736.339101,3780.698202,3855.759734,3952.802538,4090.371657,4249.803734,4431.539181,4543.38652,4410.455165,4830.596317
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,43258.72667,42165.96567,42586.45871,42965.76649,42570.18233,40266.07851,39247.76588,38203.4909,36828.69056,35151.90412,34446.22432,33120.81208,32134.02552,31219.43154,30459.01033,30007.92278,29763.96915,30076.23938,30323.1792,30565.00336,30577.93866,30301.50968,29595.90473,28363.22639,28144.26271,28051.27871,28797.73892,31149.23204,31895.85421,32966.10603,33901.04244,35722.38713,35749.78705,37250.14737,38696.34105,39306.98487,40994.28493,42724.39766,41470.27337,40442.62462,40937.11162,41486.03485,39174.74183,37597.55613,38402.49687,38885.37601,39886.4818,39321.45827,39319.93641,39413.63447,34394.27755,36839.87622
Arab World,ARB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,4003.873829,4475.211984,4675.223327,4505.402162,4839.4041,5099.710499,5108.252191,4538.838575,4122.990125,4049.000787,3848.616137,3900.876556,3785.937995,3899.989129,3884.20322,4221.586895,4230.541654,4342.145072,4361.753762,4385.696718,4410.282772,4509.004196,4614.269332,4740.453664,4719.601069,4917.073676,4890.856656,4817.198508,4944.032745,5267.706889,5431.9044,5619.783405,5723.495198,5882.299233,5753.68604,5883.43123,5945.234875,6119.280762,6136.386895,6176.971222,6245.787785,6331.945485,6269.139762,6286.807653,6237.013498,5835.394957,5952.950767
United Arab Emirates,ARE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,102025.9775,105186.0351,110988.243,95880.76561,102768.7243,114047.9061,110016.8984,96677.53481,86901.73129,85503.79529,78175.72241,62446.12606,60166.03975,54839.99325,57887.42665,64592.6091,61637.31642,60452.80051,58267.661,59458.04448,60698.96199,60755.24252,61581.20483,58060.78685,56342.79295,59067.60347,56792.58274,55301.50955,57331.65405,59986.44002,58672.48468,56315.19123,48474.20899,42033.23358,34826.47011,33344.12116,35265.88739,36567.62229,38034.9684,39242.27531,41525.1389,43457.51348,43419.56374,43644.14704,43785.41727,41276.05551,42535.96605
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7410.305029,7687.517338,7498.840061,6986.564802,7572.231166,8241.529337,8059.450431,8187.373351,8450.037064,9126.186479,9257.895572,9628.037838,9630.010366,9739.416271,10105.04951,9935.938635,9581.841403,10083.81518,9476.063436,10278.92462,10270.95612,9585.206772,9366.17038,9622.347319,9624.404556,8987.933706,9397.883608,9507.339813,9262.963927,8473.026569,8144.494294,8762.661384,9327.859451,9957.256522,10397.37929,9969.331576,10388.53871,11097.38206,11391.94516,10880.20621,10672.72204,10090.65344,8895.319642,9581.969792,10341.64341,11141.31067,11913.95853,12857.09258,13246.63489,12336.86194,13551.33919,14200.26989,13895.63371,14071.50868,13567.94842,13789.06042,13360.21183,13595.03736,13105.39716,12716.2242,11341.26837,12402.49079
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1641.983169,1425.386762,839.5720422,791.6470077,855.0810535,928.0925102,989.6423577,1031.098274,1116.907209,1166.187979,1249.612148,1385.044814,1582.057645,1815.788251,2018.46017,2312.982895,2636.256687,3019.465605,3250.498659,2810.192882,2889.56627,3043.262831,3278.670496,3402.083904,3538.529444,3666.141876,3689.830136,3985.916757,4215.899456,4561.967866,4256.13129,4522.319107
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12804.43584,12980.7223,13105.16908,13136.48008,12690.52911,13029.61628,12795.02456,12378.17019,12532.31112,12656.68814,12247.63529,12098.27515,12494.98021,13101.54182,13116.43098,12442.85767,13049.33015,13288.35656,14303.62703,14396.36856
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,5400.583259,5618.7466,6046.409265,6511.66278,6740.651746,6718.985288,7060.235271,7783.381756,8418.771292,9435.146894,10116.47728,10705.59543,11329.14814,11727.10929,11924.73887,11871.65842,12275.39592,12853.28379,12054.6163,12592.99959,13017.21157,13378.71536,13639.99593,14247.97301,13392.98172,13358.81437,14010.84906,14656.29262,15423.80002,17163.39783,18505.79067,18228.64913,15804.44514,14367.9515,13918.59653,14232.96959,14015.87931,14427.40691,14861.88271,15570.90406,15962.68012,16967.08623,17697.23115,14040.36755,14692.41562
Australia,AUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,19948.55217,20041.04773,19811.03668,20642.80034,21654.5447,22504.21271,22519.5201,23639.08163,24408.83313,25587.38426,26888.50613,27034.81982,27580.30379,27873.32941,28292.78614,28320.03793,28763.33022,29463.48972,29382.95825,30244.37009,30784.91792,31319.9852,31805.10159,30674.91163,31700.55103,32932.16026,33746.64654,34087.82323,35465.3368,36221.36573,36965.64011,36357.64661,36106.95845,37235.65704,38346.87994,39396.24203,40422.03755,41551.63881,43037.45003,44679.06423,45893.81175,46233.24851,47535.78957,48454.2822,49960.38024,50912.4669,51606.66553,52587.786,53383.7075,53272.98473,53607.98476,54132.52175,55271.36614,55729.19299,56320.11029,56710.44572,57356.05124,57703.03436,58481.03442,58870.02169,58117.45203,59341.23774
Austria,AUT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,12051.15117,12648.9747,12904.66988,13352.65113,14076.27616,14471.82132,15181.58876,15521.80965,16132.00952,17085.32997,18101.99195,18943.18115,20002.55611,20864.84746,21650.4868,21629.0463,22659.31778,23801.26754,23770.36624,25086.40019,25520.74056,25419.00965,25911.66094,26725.19072,26740.57724,27395.87265,28008.55459,28370.71788,29264.32358,30265.19323,31340.68129,32097.24109,32410.53977,32313.71187,32962.81742,33790.48499,34537.73957,35220.88774,36442.28823,37664.94328,38842.89052,39184.8086,39636.48261,39815.22195,40651.22662,41281.27076,42496.35105,43937.71289,44440.05589,42655.19213,43334.50896,44451.00019,44549.8817,44299.37818,44245.16874,44195.81759,44590.25163,45281.7234,46154.6251,46647.08096,43455.70007,45238.39071
Azerbaijan,AZE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2820.740991,2763.976876,2107.222743,1596.076584,1264.482759,1102.459153,1105.548397,1158.440954,1262.247536,1343.808721,1480.756662,1614.792119,1754.073609,1918.543625,2077.812263,2631.758981,3501.041809,4326.961569,4692.912185,5023.79077,5215.020915,5152.657454,5194.73839,5425.905292,5505.988233,5500.310382,5270.552975,5229.526141,5262.183808,5348.265267,5083.38164,5344.421348
Burundi,BDI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,290.7332384,244.5934153,260.1623882,265.339869,274.0744958,277.1879573,283.1420883,314.2932611,306.0751487,295.2636108,350.7127855,351.8723581,329.6031179,353.073658,342.0242169,336.2171988,355.1859614,386.1917561,371.9538796,369.1874317,357.6831416,385.2952865,371.9972319,375.6770143,367.2662403,401.7672152,407.1173349,419.8560628,431.4373072,428.9714243,435.0709522,447.7448667,440.591866,427.069007,408.4193248,354.1161883,325.9119232,321.0896974,330.1289376,319.1358075,310.0067174,308.6452055,313.4864125,300.0861593,303.1196764,294.7387796,299.7691271,298.9366667,300.8413556,296.8471011,297.7917333,299.0171819,301.4813256,305.2908416,307.7655378,289.3596333,282.9759725,277.9598089,274.1319142,270.1372831,263.3609942,261.0193796
Belgium,BEL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11734.30617,12277.63472,12866.22877,13326.11327,14118.90232,14489.4451,14846.09735,15334.76789,15915.19565,16922.35438,17849.49471,18527.14874,19432.03103,20607.18091,21480.26132,20997.20683,22144.52361,22255.68441,22866.82323,23381.12724,24393.29818,24325.81328,24477.19988,24555.48097,25161.49098,25569.48933,26026.2805,26603.9281,27772.05205,28631.31909,29441.66215,29870.14777,30204.56375,29797.40632,30664.30785,31329.89207,31681.93636,32804.36054,33376.57484,34479.90645,35674.79125,35943.23796,36393.24177,36617.38038,37761.28132,38426.05191,39147.76356,40290.22776,40151.84987,39025.22079,39777.92528,39929.09514,39975.57364,39970.3175,40421.42079,41008.29672,41318.01964,41825.76283,42382.31828,43098.48472,40612.39246,42901.43206
Benin,BEN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,657.2189415,667.5197086,634.185933,652.9089598,684.006879,706.9956759,718.4122419,712.090361,724.8012367,730.5617469,730.5233477,704.458103,733.5709844,744.0288108,751.6637186,698.4851507,688.0399097,704.7878625,695.8809954,722.3994964,750.9600069,803.165084,798.2682395,742.1193272,778.2914483,812.9483203,806.5404339,771.1611554,773.8469744,729.408784,771.075864,779.423309,778.2552682,787.8191187,774.2629219,804.350333,817.8497352,839.9516967,847.0744875,865.4525625,888.7301846,908.347703,922.4176387,925.8492611,938.0381781,924.2695241,931.7691409,959.5549935,977.3031632,970.9659689,962.8161095,962.7445897,980.0746132,1020.528234,1054.108767,1041.652523,1045.150937,1072.361966,1111.22724,1153.72621,1164.705946,1214.07759
Burkina Faso,BFA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,243.9305047,250.1562773,261.6243263,254.4739372,256.3122968,261.7424605,258.8898765,277.0913112,280.7802485,281.6063649,277.1168299,276.3004472,277.9398719,274.3467131,291.6305019,294.4878708,312.927577,306.9005634,313.1738194,316.3701098,310.4725759,315.0163417,335.8013171,327.5955594,312.624169,329.5699926,345.8774303,335.7669335,345.848562,344.0903653,333.1715937,354.3218872,346.5072679,349.7019749,345.4817015,355.9879399,385.2291986,399.1849984,416.7416983,434.6583908,429.8473708,444.5497534,449.8539297,470.129581,476.0099793,501.2072485,516.1767659,521.3452574,535.5836429,535.5168327,563.9267748,583.6794751,602.7867568,618.8045811,626.6262487,632.1266837,650.4172587,671.251794,696.0445685,716.012195,710.4713527,739.6727224
Bangladesh,BGD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,441.4481884,454.7790481,465.4148261,449.5655249,484.042374,477.309243,475.2222,452.4979419,480.7966311,472.8404491,487.0285689,454.7247108,385.7081459,388.4629838,415.2019203,388.8847959,401.8645193,403.3250062,421.7631762,431.7581706,424.8099464,443.7754794,440.9607776,445.5460854,454.5225083,457.8432061,465.7265852,472.6260095,473.682403,476.8796679,493.0953392,500.4940904,518.1101237,532.2530076,542.4547398,559.6895332,574.8361301,590.0031076,609.0138919,625.364192,646.0381127,666.0681154,678.8678759,698.7324633,723.2282294,758.8903834,799.781907,847.2824062,890.2966484,927.0185879,967.5616037,1017.628281,1070.595743,1120.68594,1173.893634,1236.00506,1307.733035,1376.604208,1460.305017,1557.965291,1593.348321,1684.43439
Bulgaria,BGR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,3428.409512,3584.441373,3657.287766,3773.315984,3892.356835,3996.864802,4166.14167,4411.886223,4889.25632,4784.054646,4427.010714,4093.476679,3836.763955,3810.243722,3892.71107,4021.96453,4253.202202,3675.152739,3839.947478,3537.318429,3717.900482,3937.671502,4260.372215,4519.149921,4849.8344,5231.298204,5629.758314,6048.696092,6464.672654,6288.67741,6427.810062,6605.08982,6693.612364,6693.450153,6796.689119,7074.681023,7341.047614,7599.124957,7859.692156,8234.839669,7956.46909,8633.982291
Bahrain,BHR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,21290.94332,19366.61397,17281.13169,17758.34752,18004.39394,16549.30854,16156.62215,17210.96495,17776.69734,17234.79321,17405.8852,18709.79574,19275.4815,21024.96862,20283.08741,20403.37053,20576.51539,20566.55701,20915.83341,21195.90078,21713.53805,21681.0283,21866.04923,22348.90481,22325.70308,22027.33131,21783.85153,22013.75842,21918.00506,21157.79342,21452.92152,21906.74643,22484.85482,23012.70834,23107.95659,22795.44886,22810.77492,23019.25574,23023.11978,23414.21907,22510.40408,23234.71207
"Bahamas, The",BHS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,19234.53663,20274.18762,21313.691,22431.8339,23689.82907,25064.48061,26168.70678,27434.18357,28439.64887,29686.20582,27010.82171,26660.44314,25082.59639,26369.93232,21485.21548,17931.71181,18475.75565,19742.0789,22071.53614,27281.33725,28491.62255,25385.90297,26594.04389,27037.21356,30282.46773,31129.28841,31073.49148,31398.21989,31527.21484,33009.26635,31860.01944,29932.86864,28183.87597,27663.25325,27968.21467,28651.31902,29334.66259,30822.18806,28946.27851,31982.76084,32823.80576,33214.16875,33665.57034,32799.13686,32645.12485,33295.93274,33663.54892,33672.97124,32425.58808,30627.33786,30664.02592,30470.24837,31072.84567,29902.24342,30182.19433,30206.24043,29699.1856,30371.58098,30705.60197,31082.8061,23566.57533,26705.56601
Bosnia and Herzegovina,BIH,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.4782289,784.6151413,1422.940087,1846.144148,2099.233896,2279.73336,2554.552539,2606.738563,2735.522879,2851.260618,3061.537538,3218.579603,3423.108456,3669.00015,3931.997486,3878.422873,3980.42425,4091.563324,4133.883971,4297.474001,4403.653938,4599.901029,4803.861295,5015.224234,5263.848266,5476.355762,5373.168757,5862.4583
Belarus,BLR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890.524166,2854.520751,2574.823852,2373.890521,2098.624263,1886.477425,1945.838948,2176.69235,2370.186467,2461.826851,2616.912993,2754.66447,2912.123361,3139.120986,3522.489851,3880.01437,4294.228672,4684.980291,5180.712344,5203.854887,5621.937175,5938.22068,6047.871129,6110.904667,6212.912772,5967.052204,5811.197944,5964.892944,6165.90933,6264.860965,6247.431909,6418.237634
Belize,BLZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1558.388648,1593.587952,1629.310709,1663.812881,1697.048942,1728.645186,1757.082019,1787.996972,1862.645157,1902.743698,1948.698005,1989.877942,2158.782423,2241.675545,2511.109385,2557.954095,2505.931066,2615.585112,2766.887652,2914.254635,3230.438706,3187.322664,3107.743967,2970.125649,2959.144261,2921.161805,2985.181095,3232.394566,3470.881206,3837.292403,4185.207492,4567.64728,5014.297695,5220.64559,5119.192762,5021.867308,4921.528771,4927.029981,4943.16082,5204.56481,5693.741485,5795.345531,5903.978933,6259.038916,6353.227391,6301.915865,6400.181438,6421.955138,6148.522801,5955.111038,5881.382237,5742.670206,5831.158848,5960.360401,6069.46148,6142.478833,6024.835945,5806.065449,5756.852249,5907.348872,5040.122521,5733.352611
Bermuda,BMU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,37935.8868,38751.23323,39527.7963,39029.44774,42301.43241,43253.54393,48593.39054,53985.64048,54082.13914,54904.69426,57309.15837,59713.44026,61244.53704,62615.31535,63637.71536,66534.04059,72208.73162,76180.80129,76999.15781,78360.68704,83239.53461,84633.16048,79583.13396,80483.73501,80164.5663,77902.65419,82395.27318,84794.99688,87481.3788,87131.94941,86436.23431,83812.1328,84371.03566,86444.67822,86361.95281,89518.27764,91261.15148,94878.49225,97857.32328,100602.9275,109001.586,115619.4747,113172.1206,116268.8169,118193.1487,119396.4494,125294.9594,128757.8807,125610.0334,117886.738,115839.796,112471.3475,106119.795,105492.4807,101374.4698,102005.6256,102407.3944,107237.0318,106697.7375,107036.2393,99745.24161,105187.7881
Bolivia,BOL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1275.177509,1275.255662,1318.736793,1379.257392,1404.030313,1442.221598,1513.080241,1574.507105,1672.215897,1709.316314,1759.665163,1808.31408,1909.408772,1974.33012,1987.162648,2085.03168,2132.759008,2188.880462,2184.048696,2138.528352,2062.969044,2023.879742,1902.58589,1787.052725,1746.009485,1680.794016,1603.296963,1608.403556,1620.501035,1646.809162,1687.442722,1739.854608,1732.739114,1770.776897,1817.4734,1866.65293,1912.002257,1970.168079,2031.972203,2003.861306,2017.394606,2015.377477,2029.617941,2048.559815,2097.258351,2152.361967,2216.544706,2277.503824,2376.078087,2414.129943,2471.47363,2556.830266,2643.690813,2777.720529,2882.806893,2975.648811,3054.892547,3135.031644,3219.200886,3242.948843,2920.197443,3061.73861
Brazil,BRA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2578.432125,2717.004894,2811.630814,2746.517052,2758.866607,2746.261344,2850.904774,2892.687723,3095.225632,3304.860245,3558.856612,3866.390089,4224.20124,4699.445339,4962.928333,5097.714461,5489.986665,5626.723761,5768.433152,6014.874585,6415.645527,6001.652206,5914.572189,5613.618268,5788.09413,6110.365748,6433.505717,6528.631318,6399.492062,6479.076886,6086.08487,6043.4399,5911.694131,6103.384553,6358.686433,6524.526698,6567.360357,6689.207419,6613.991133,6551.234548,6745.865881,6749.889719,6868.704165,6865.181505,7178.356116,7325.912358,7534.551559,7909.834758,8231.110269,8142.770839,8673.908812,8935.288057,9025.324848,9216.14336,9183.470768,8783.225984,8426.853352,8470.950789,8553.876187,8592.221538,8204.202726,8537.93922
Barbados,BRB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,11609.35344,11331.66822,11765.32872,12130.15724,12653.51914,13580.57473,14105.09202,13776.8777,13052.58379,13073.8753,13503.83609,13618.6866,14288.37827,14642.49042,15149.4401,15695.0019,15169.48506,14547.87951,13677.03101,13744.14187,13982.09535,14231.55666,14769.88011,15444.65716,15995.10554,16016.55742,16698.06105,16258.84218,16320.56803,16610.53694,16781.89833,17382.7728,18380.66991,18692.12112,18729.59024,17714.67524,17237.77116,17071.05344,16953.43554,16667.73838,16615.50544,16990.21947,17385.20075,17430.87321,17220.931,17168.14569,14855.68986,14800.83815
Brunei Darussalam,BRN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,43472.58151,42168.16425,49006.38713,52604.72962,54378.62335,64532.40725,58110.59773,45106.28229,45364.56542,44077.68608,42863.42198,40810.67514,38372.92481,37843.49262,37010.56793,35445.75873,34722.8695,34762.51287,35424.8304,34622.04532,34827.61268,35516.1274,35691.27013,34378.13262,33445.38841,33739.76368,33986.08738,34219.58437,34857.67208,35203.07073,34750.85165,34290.38511,35213.50015,34714.81796,33526.27087,32450.08994,32810.76615,33577.32906,33456.53296,32342.14776,31155.99337,30681.67944,29601.33333,29696.11841,29438.1007,30313.65639,30402.08706,29673.40332
Bhutan,BTN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,393.6374113,439.0146955,440.1904431,471.3626065,478.0274086,482.5437441,521.7691474,653.8796387,665.5970913,694.6528255,747.2365551,732.0397014,796.2482076,851.2086382,892.6330247,944.4082033,978.4956411,1013.410005,1053.542682,1110.068066,1115.626099,1176.654075,1272.632676,1338.509564,1385.397381,1456.480787,1535.428927,1795.073019,1859.071722,1961.940105,2171.91129,2319.592527,2411.898057,2436.861451,2551.484823,2695.638773,2889.495868,2998.475263,3065.85565,3219.643671,2878.437705,2976.906483
